"species";"lon";"lat"
"Desmodesmus spinosus";117.033572;36.674704
"Desmodesmus spinosus";-73.996043;40.655882
"Desmodesmus spinosus";26.465222;58.265174
"Desmodesmus spinosus";11.6867;57.6675
"Desmodesmus spinosus";17.4071;60.6623
"Desmodesmus spinosus";17.09299;61.31102
"Desmodesmus spinosus";120.87876;24.08277
"Desmodesmus spinosus";22.26549;65.63597
"Desmodesmus spinosus";22.2785;65.6837
"Desmodesmus spinosus";22.6539;65.52718
"Desmodesmus spinosus";153.000379;-27.541428
"Desmodesmus spinosus";-87.982822;43.226796
"Desmodesmus spinosus";120.68072;23.93657
"Desmodesmus spinosus";36.3692;60.5879
"Desmodesmus spinosus";120.93639;24.56688
"Desmodesmus spinosus";120.92448;24.54885
"Desmodesmus spinosus";120.95251;24.46739
"Desmodesmus spinosus";120.90391;24.44684
"Desmodesmus spinosus";120.88588;24.4668
"Desmodesmus spinosus";120.86688;24.41159
"Desmodesmus spinosus";35.2647;50.0745
"Desmodesmus spinosus";35.1787;50.0961
"Desmodesmus spinosus";4.392004;51.066341
"Desmodesmus spinosus";5.17179;51.231107
"Desmodesmus spinosus";5.200833;51.225278
"Desmodesmus spinosus";22.25156;65.66445
"Desmodesmus spinosus";22.23952;65.66597
"Desmodesmus spinosus";129.223611;35.767778
"Desmodesmus spinosus";4.902941;52.171465
"Desmodesmus spinosus";4.998113;52.229232
"Desmodesmus spinosus";4.925841;52.245663
"Desmodesmus spinosus";4.83338;52.227487
"Desmodesmus spinosus";4.944748;52.201119
"Desmodesmus spinosus";4.923546;52.250939
"Desmodesmus spinosus";4.935723;52.208275
"Desmodesmus spinosus";4.81822;52.254658
"Desmodesmus spinosus";4.804247;52.197695
"Desmodesmus spinosus";4.963151;52.205572
"Desmodesmus spinosus";27.43343;58.58933
"Desmodesmus spinosus";27.2888;58.44403
"Desmodesmus spinosus";27.48742;58.23278
"Desmodesmus spinosus";27.5887;58.11782
"Desmodesmus spinosus";4.903731;52.311707
"Desmodesmus spinosus";4.865223;52.267916
"Desmodesmus spinosus";4.789633;52.191349
"Desmodesmus spinosus";22.217511;60.43437
"Desmodesmus spinosus";6.131197;52.674569
"Desmodesmus spinosus";6.085149;52.679791
