"species";"lon";"lat"
"Diatoma tenuis";14.326855;50.086487
"Diatoma tenuis";-3.230117;51.414095
"Diatoma tenuis";18.31974;59.29523
"Diatoma tenuis";18.34321;59.36615
"Diatoma tenuis";18.6734;59.37828
"Diatoma tenuis";18.39062;59.43943
"Diatoma tenuis";11.6867;57.6675
"Diatoma tenuis";11.488309;53.794147
"Diatoma tenuis";-3.754738;51.720477
"Diatoma tenuis";11.310001;64.47
"Diatoma tenuis";7.006108;62.094402
"Diatoma tenuis";18.338;69.502
"Diatoma tenuis";10.051567;59.019299
"Diatoma tenuis";10.420983;59.627766
"Diatoma tenuis";10.678084;59.484333
"Diatoma tenuis";19.80817;63.525
"Diatoma tenuis";19.808;63.525
"Diatoma tenuis";18.15263;59.3192
"Diatoma tenuis";18.8527;59.31379
"Diatoma tenuis";11.6667;57.9012
"Diatoma tenuis";10.569373;59.81498
"Diatoma tenuis";22.375;65.8075
"Diatoma tenuis";22.44667;65.73
"Diatoma tenuis";17.6699;59.81533
"Diatoma tenuis";17.66646;59.81445
"Diatoma tenuis";-3.754301;51.719647
"Diatoma tenuis";-3.872378;51.702052
"Diatoma tenuis";10.458333;59.486668
"Diatoma tenuis";19.8185;63.49967
"Diatoma tenuis";18.2645;62.8635
"Diatoma tenuis";22.067;64.70833
"Diatoma tenuis";22.37583;65.80583
"Diatoma tenuis";17.09299;61.31102
"Diatoma tenuis";20.3359;63.7105
"Diatoma tenuis";20.5208;63.6936
"Diatoma tenuis";20.3866;63.6355
"Diatoma tenuis";20.3206;63.6096
"Diatoma tenuis";20.2475;63.70833
"Diatoma tenuis";17.0715;58.7385
"Diatoma tenuis";18.1079;59.33057
"Diatoma tenuis";20.32912;63.67898
"Diatoma tenuis";22.375;65.80717
"Diatoma tenuis";22.44617;65.7295
"Diatoma tenuis";-105.121683;39.972264
"Diatoma tenuis";17.62367;58.80333
"Diatoma tenuis";10.590569;59.35867
"Diatoma tenuis";11.314266;59.111717
"Diatoma tenuis";-4.797953;51.802976
"Diatoma tenuis";-2.881836;51.682462
"Diatoma tenuis";-3.546168;53.227364
"Diatoma tenuis";11.161667;59.114334
"Diatoma tenuis";18.23683;58.59867
"Diatoma tenuis";19.819;63.49933
"Diatoma tenuis";19.8085;63.52467
"Diatoma tenuis";-3.053825;52.962296
"Diatoma tenuis";-3.902638;51.679228
"Diatoma tenuis";-3.920337;51.660632
"Diatoma tenuis";-3.916905;51.672477
"Diatoma tenuis";10.72905;59.28868
"Diatoma tenuis";10.355416;59.202835
"Diatoma tenuis";22.44717;65.72983
"Diatoma tenuis";22.37517;65.8075
"Diatoma tenuis";5.75517;62.32841
"Diatoma tenuis";22.37533;65.80733
"Diatoma tenuis";17.16636;60.95757
"Diatoma tenuis";17.28398;60.69692
"Diatoma tenuis";22.06683;64.70833
"Diatoma tenuis";19.80883;63.52467
"Diatoma tenuis";18.18221;59.32579
"Diatoma tenuis";21.6823;65.41538
"Diatoma tenuis";22.66671;65.73475
"Diatoma tenuis";22.38523;65.63696
"Diatoma tenuis";23.5082;65.7717
"Diatoma tenuis";21.70433;65.40103
"Diatoma tenuis";21.54898;65.08322
"Diatoma tenuis";21.51404;65.0901
"Diatoma tenuis";22.6539;65.52718
"Diatoma tenuis";23.88068;65.69992
"Diatoma tenuis";21.98934;65.48951
"Diatoma tenuis";21.58452;65.39879
"Diatoma tenuis";21.94473;65.41958
"Diatoma tenuis";21.54771;65.38509
"Diatoma tenuis";21.56563;65.11497
"Diatoma tenuis";24.14358;65.65237
"Diatoma tenuis";22.01021;65.39857
"Diatoma tenuis";21.64247;65.33254
"Diatoma tenuis";22.26549;65.63597
"Diatoma tenuis";22.01776;65.51054
"Diatoma tenuis";22.36667;65.72562
"Diatoma tenuis";22.40178;65.68358
"Diatoma tenuis";22.74777;65.53559
"Diatoma tenuis";23.91366;65.74157
"Diatoma tenuis";23.03952;65.76172
"Diatoma tenuis";21.74833;65.34591
"Diatoma tenuis";22.47397;65.69915
"Diatoma tenuis";22.70051;65.88256
"Diatoma tenuis";22.32293;65.48424
"Diatoma tenuis";21.45183;64.52917
"Diatoma tenuis";20.916;64.03667
"Diatoma tenuis";21.08733;64.20767
"Diatoma tenuis";20.94917;64.07383
"Diatoma tenuis";21.1655;64.6675
"Diatoma tenuis";-3.902251;51.687948
"Diatoma tenuis";22.2785;65.6837
"Diatoma tenuis";22.2492;65.6639
"Diatoma tenuis";24.08653;65.69676
"Diatoma tenuis";24.11752;65.75391
"Diatoma tenuis";24.14155;65.70077
"Diatoma tenuis";23.42507;65.79643
"Diatoma tenuis";21.89184;65.52339
"Diatoma tenuis";22.86479;65.7689
"Diatoma tenuis";23.71289;65.76779
"Diatoma tenuis";22.73812;65.83659
"Diatoma tenuis";23.02927;65.73167
"Diatoma tenuis";20.3208;63.6096
"Diatoma tenuis";18.37725;59.32534
"Diatoma tenuis";21.452;64.52917
"Diatoma tenuis";21.16533;64.6675
"Diatoma tenuis";21.08767;64.20767
"Diatoma tenuis";20.949;64.07383
"Diatoma tenuis";72.102686;41.118632
"Diatoma tenuis";72.040892;41.106275
"Diatoma tenuis";19.80817;63.52467
