"species";"lon";"lat"
"Fragilaria crotonensis";-72.312635;41.767669
"Fragilaria crotonensis";-88.199177;41.78745
"Fragilaria crotonensis";2.351377;48.857548
"Fragilaria crotonensis";-83.584612;42.217024
"Fragilaria crotonensis";-81.770455;26.465225
"Fragilaria crotonensis";-73.747754;41.045391
"Fragilaria crotonensis";-122.401302;45.597858
"Fragilaria crotonensis";-122.469722;37.787282
"Fragilaria crotonensis";25.134822;54.466248
"Fragilaria crotonensis";18.68;50.92
"Fragilaria crotonensis";-74.59121;46.178266
"Fragilaria crotonensis";8.893724;45.959918
"Fragilaria crotonensis";-90.48986;38.60725
"Fragilaria crotonensis";15.57557;58.39502
"Fragilaria crotonensis";15.58379;58.39801
"Fragilaria crotonensis";6.575303;46.522392
"Fragilaria crotonensis";-122.38225;45.542722
"Fragilaria crotonensis";-85.757346;42.933648
"Fragilaria crotonensis";19.217025;49.879062
"Fragilaria crotonensis";15.52583;58.13811
"Fragilaria crotonensis";-97.115758;32.782879
"Fragilaria crotonensis";-97.115794;32.782899
"Fragilaria crotonensis";14.326781;50.086332
"Fragilaria crotonensis";16.84088;59.08294
"Fragilaria crotonensis";-84.558569;42.717572
"Fragilaria crotonensis";17.291006;47.2751
"Fragilaria crotonensis";135.80057;34.910063
"Fragilaria crotonensis";11.438594;53.69191
"Fragilaria crotonensis";30.367972;59.950401
"Fragilaria crotonensis";8.667298;49.414792
"Fragilaria crotonensis";14.404957;50.033339
"Fragilaria crotonensis";11.314266;59.111717
"Fragilaria crotonensis";11.161667;59.114334
"Fragilaria crotonensis";10.420983;59.627766
"Fragilaria crotonensis";18.15263;59.3192
"Fragilaria crotonensis";9.402452;48.848083
"Fragilaria crotonensis";59.583581;56.029414
"Fragilaria crotonensis";10.569373;59.81498
"Fragilaria crotonensis";10.051567;59.019299
"Fragilaria crotonensis";17.6699;59.81533
"Fragilaria crotonensis";17.66225;59.81712
"Fragilaria crotonensis";13.70692;56.09419
"Fragilaria crotonensis";20.016537;49.857096
"Fragilaria crotonensis";-122.792221;44.795587
"Fragilaria crotonensis";-84.662819;45.58257
"Fragilaria crotonensis";10.63338;59.60468
"Fragilaria crotonensis";11.032425;59.330515
"Fragilaria crotonensis";17.0715;58.7385
"Fragilaria crotonensis";17.09299;61.31102
"Fragilaria crotonensis";20.3206;63.6096
"Fragilaria crotonensis";15.78459;58.04679
"Fragilaria crotonensis";72.021234;41.071376
"Fragilaria crotonensis";72.040892;41.106275
"Fragilaria crotonensis";10.723783;59.7863
"Fragilaria crotonensis";10.678084;59.484333
"Fragilaria crotonensis";17.6066;60.6633
"Fragilaria crotonensis";17.4071;60.6623
"Fragilaria crotonensis";18.1079;59.33057
"Fragilaria crotonensis";18.37725;59.32534
"Fragilaria crotonensis";18.34321;59.36615
"Fragilaria crotonensis";18.39062;59.43943
"Fragilaria crotonensis";-72.534274;42.603806
"Fragilaria crotonensis";-72.534277;42.603815
"Fragilaria crotonensis";27.323253;56.505011
"Fragilaria crotonensis";10.323477;60.097441
"Fragilaria crotonensis";-95.262369;32.636949
"Fragilaria crotonensis";-125.530115;49.659615
"Fragilaria crotonensis";10.72905;59.28868
"Fragilaria crotonensis";19.77006;69.7544
"Fragilaria crotonensis";10.355416;59.202835
"Fragilaria crotonensis";120.87876;24.08277
"Fragilaria crotonensis";-79.871102;43.255391
"Fragilaria crotonensis";-118.766459;46.317868
"Fragilaria crotonensis";17.28398;60.69692
"Fragilaria crotonensis";19.467841;51.823135
"Fragilaria crotonensis";1.24;42.12
"Fragilaria crotonensis";1.12;42.03
"Fragilaria crotonensis";0.76;41.93
"Fragilaria crotonensis";0.55;41.3
"Fragilaria crotonensis";0.79;41.12
"Fragilaria crotonensis";0.43;41.29
"Fragilaria crotonensis";22.6539;65.52718
"Fragilaria crotonensis";22.32293;65.48424
"Fragilaria crotonensis";20.32912;63.67898
"Fragilaria crotonensis";20.3359;63.7105
"Fragilaria crotonensis";1.22;42.75
"Fragilaria crotonensis";1.35;42.75
"Fragilaria crotonensis";1.35;42.66
"Fragilaria crotonensis";23.88068;65.69992
"Fragilaria crotonensis";24.08653;65.69676
"Fragilaria crotonensis";24.14358;65.65237
"Fragilaria crotonensis";23.71289;65.76779
"Fragilaria crotonensis";23.91366;65.74157
"Fragilaria crotonensis";20.3208;63.6096
"Fragilaria crotonensis";11.8053;57.6615
"Fragilaria crotonensis";30.286257;59.97208
"Fragilaria crotonensis";-71.948662;41.451542
"Fragilaria crotonensis";7.599192;51.946487
"Fragilaria crotonensis";0.79;41.3
"Fragilaria crotonensis";0.9;41.3
"Fragilaria crotonensis";0.54;41.48
"Fragilaria crotonensis";0.87;42.38
"Fragilaria crotonensis";19.8085;63.525
"Fragilaria crotonensis";11.6984;57.7193
"Fragilaria crotonensis";11.7683;57.6788
"Fragilaria crotonensis";40.93923;57.019301
"Fragilaria crotonensis";40.93961;57.018983
"Fragilaria crotonensis";-80.691736;35.226592
"Fragilaria crotonensis";19.81933;63.49983
"Fragilaria crotonensis";10.760812;59.0407
"Fragilaria crotonensis";-76.148534;44.879468
"Fragilaria crotonensis";-89.260563;48.421606
"Fragilaria crotonensis";-74.614062;40.437869
"Fragilaria crotonensis";-74.614039;40.437899
"Fragilaria crotonensis";-76.133085;44.872291
"Fragilaria crotonensis";-76.134459;44.872169
"Fragilaria crotonensis";11.310001;64.47
"Fragilaria crotonensis";12.513718;55.933
"Fragilaria crotonensis";-71.4142;41.777342
"Fragilaria crotonensis";3.06;42.31
"Fragilaria crotonensis";19.819;63.49933
"Fragilaria crotonensis";22.375;65.8075
"Fragilaria crotonensis";10.115123;63.16624
"Fragilaria crotonensis";2.41886;48.75923
"Fragilaria crotonensis";18.31974;59.29523
"Fragilaria crotonensis";18.6734;59.37828
"Fragilaria crotonensis";1.1;42.66
"Fragilaria crotonensis";19.81967;63.49967
"Fragilaria crotonensis";16.30782;58.62837
"Fragilaria crotonensis";18.18221;59.32579
"Fragilaria crotonensis";18.44225;59.37692
"Fragilaria crotonensis";18.28706;59.36413
"Fragilaria crotonensis";21.6823;65.41538
"Fragilaria crotonensis";22.2785;65.6837
"Fragilaria crotonensis";21.70433;65.40103
"Fragilaria crotonensis";21.56563;65.11497
"Fragilaria crotonensis";22.2492;65.6639
"Fragilaria crotonensis";24.11752;65.75391
"Fragilaria crotonensis";22.01021;65.39857
"Fragilaria crotonensis";22.36667;65.72562
"Fragilaria crotonensis";22.40178;65.68358
"Fragilaria crotonensis";22.74777;65.53559
"Fragilaria crotonensis";5.707969;59.542744
"Fragilaria crotonensis";21.54771;65.38509
"Fragilaria crotonensis";24.14155;65.70077
"Fragilaria crotonensis";21.89184;65.52339
"Fragilaria crotonensis";11.6867;57.6675
"Fragilaria crotonensis";0.50142;43.301409
"Fragilaria crotonensis";2.007737;45.161941
"Fragilaria crotonensis";-111.450319;56.767471
"Fragilaria crotonensis";-111.448688;56.76606
"Fragilaria crotonensis";30.298103;59.942636
"Fragilaria crotonensis";11.467269;60.187299
