"species";"lon";"lat"
"Hegewaldia parvula";4.881475;52.263619
"Hegewaldia parvula";5.004275;52.28033
"Hegewaldia parvula";5.092248;52.144578
"Hegewaldia parvula";4.898049;52.251024
"Hegewaldia parvula";5.127883;52.284827
"Hegewaldia parvula";5.11481;52.289678
"Hegewaldia parvula";4.879684;52.510386
"Hegewaldia parvula";4.763275;52.524642
"Hegewaldia parvula";4.923804;52.874694
"Hegewaldia parvula";4.803535;52.504257
"Hegewaldia parvula";4.768661;52.691233
"Hegewaldia parvula";4.861558;53.14708
"Hegewaldia parvula";5.069996;52.284632
"Hegewaldia parvula";4.944789;52.576722
"Hegewaldia parvula";4.860731;52.487718
"Hegewaldia parvula";5.081002;52.218601
"Hegewaldia parvula";5.088441;52.272394
