"species";"lon";"lat"
"Hemiselmis virescens,";17.62367;58.80333
"Hemiselmis virescens,";18.2345;58.59317
"Hemiselmis virescens,";18.23617;58.59367
"Hemiselmis virescens,";18.23633;58.59367
"Hemiselmis virescens,";18.23683;58.59867
"Hemiselmis virescens,";18.95267;62.65267
"Hemiselmis virescens,";18.2365;58.59367
"Hemiselmis virescens,";22.44667;65.73
"Hemiselmis virescens,";18.2365;58.59333
"Hemiselmis virescens,";19.81933;63.4995
"Hemiselmis virescens,";18.236;58.5935
"Hemiselmis virescens,";19.80833;63.52517
"Hemiselmis virescens,";18.23633;58.59383
"Hemiselmis virescens,";18.26617;62.8635
"Hemiselmis virescens,";17.16636;60.95757
"Hemiselmis virescens,";17.28398;60.69692
"Hemiselmis virescens,";22.06683;64.70833
"Hemiselmis virescens,";18.27479;60.35582
"Hemiselmis virescens,";18.44778;60.3464
"Hemiselmis virescens,";18.87949;59.77715
"Hemiselmis virescens,";18.57657;60.10986
"Hemiselmis virescens,";18.48382;60.17682
"Hemiselmis virescens,";18.70181;60.15101
"Hemiselmis virescens,";18.31829;59.29366
"Hemiselmis virescens,";18.75731;59.52486
"Hemiselmis virescens,";19.17208;59.41931
"Hemiselmis virescens,";18.57889;59.3845
"Hemiselmis virescens,";18.76939;59.33389
"Hemiselmis virescens,";17.7875;58.84167
"Hemiselmis virescens,";17.7265;58.934
"Hemiselmis virescens,";17.72367;58.98383
"Hemiselmis virescens,";17.72167;59.03667
"Hemiselmis virescens,";17.67667;59.0685
"Hemiselmis virescens,";18.39213;59.22278
"Hemiselmis virescens,";18.5543;59.15906
"Hemiselmis virescens,";17.74215;59.08473
"Hemiselmis virescens,";18.63224;59.12155
"Hemiselmis virescens,";17.66253;60.53203
"Hemiselmis virescens,";17.8602;58.85202
"Hemiselmis virescens,";17.28443;58.7154
"Hemiselmis virescens,";17.42774;58.77192
"Hemiselmis virescens,";17.62249;59.02449
"Hemiselmis virescens,";17.59841;58.86936
"Hemiselmis virescens,";18.38648;59.43668
"Hemiselmis virescens,";18.44225;59.37692
"Hemiselmis virescens,";18.28706;59.36413
"Hemiselmis virescens,";18.9025;60.14133
"Hemiselmis virescens,";21.45183;64.52917
"Hemiselmis virescens,";21.08733;64.20767
"Hemiselmis virescens,";18.51717;63.0675
"Hemiselmis virescens,";18.52367;63.0665
"Hemiselmis virescens,";18.62133;63.1775
"Hemiselmis virescens,";19.80817;63.52467
"Hemiselmis virescens,";18.41649;60.24931
"Hemiselmis virescens,";18.92884;59.52676
"Hemiselmis virescens,";17.01491;58.67112
"Hemiselmis virescens,";21.452;64.52917
"Hemiselmis virescens,";21.16533;64.6675
"Hemiselmis virescens,";20.916;64.03667
"Hemiselmis virescens,";21.08767;64.20767
"Hemiselmis virescens,";20.949;64.07383
"Hemiselmis virescens,";19.81883;63.49933
"Hemiselmis virescens,";18.264;62.86367
"Hemiselmis virescens,";18.2355;58.59367
"Hemiselmis virescens,";18.23333;58.58333
"Hemiselmis virescens,";18.23617;58.5935
"Hemiselmis virescens,";19.80817;63.525
"Hemiselmis virescens,";22.44683;65.72983
"Hemiselmis virescens,";18.75732;59.52487
"Hemiselmis virescens,";18.92883;59.52675
"Hemiselmis virescens,";17.6225;59.02448
"Hemiselmis virescens,";18.23667;58.5935
"Hemiselmis virescens,";18.23383;61.18333
"Hemiselmis virescens,";18.61983;63.17733
"Hemiselmis virescens,";18.18221;59.32579
"Hemiselmis virescens,";-90.123;28.935
"Hemiselmis virescens,";-85.378;29.5
"Hemiselmis virescens,";-87.76;28.701
"Hemiselmis virescens,";18.953;62.653
"Hemiselmis virescens,";18.2625;62.86367
"Hemiselmis virescens,";19.819;63.49967
"Hemiselmis virescens,";18.2385;58.59367
"Hemiselmis virescens,";18.26383;62.86367
"Hemiselmis virescens,";18.26433;62.8635
"Hemiselmis virescens,";17.78754;58.84164
"Hemiselmis virescens,";17.72662;58.93388
"Hemiselmis virescens,";17.72374;58.9839
"Hemiselmis virescens,";17.72169;59.03668
"Hemiselmis virescens,";17.67665;59.06857
"Hemiselmis virescens,";19.36083;63.45667
"Hemiselmis virescens,";17.6515;62.43733
"Hemiselmis virescens,";17.63833;62.44017
"Hemiselmis virescens,";19.35617;63.47267
"Hemiselmis virescens,";19.808;63.525
"Hemiselmis virescens,";18.95217;62.65283
"Hemiselmis virescens,";22.44667;65.72983
"Hemiselmis virescens,";19.81917;63.49967
"Hemiselmis virescens,";18.2365;58.5935
