"species";"lon";"lat"
"Heterocapsa rotundata";8.816667;58.383329
"Heterocapsa rotundata";17.62367;58.80333
"Heterocapsa rotundata";14.1;54.972
"Heterocapsa rotundata";18.2345;58.59317
"Heterocapsa rotundata";19.80783;63.52483
"Heterocapsa rotundata";18.95167;62.65267
"Heterocapsa rotundata";18.26317;62.86367
"Heterocapsa rotundata";13.643;55.3858
"Heterocapsa rotundata";13.0188;55.3471
"Heterocapsa rotundata";12.8808;55.5133
"Heterocapsa rotundata";11.6867;57.6675
"Heterocapsa rotundata";10.723783;59.7863
"Heterocapsa rotundata";10.72905;59.28868
"Heterocapsa rotundata";10.355416;59.202835
"Heterocapsa rotundata";10.678084;59.484333
"Heterocapsa rotundata";10.550012;58.966672
"Heterocapsa rotundata";20.076;57.31217
"Heterocapsa rotundata";18.23617;58.59367
"Heterocapsa rotundata";16.536;56.11633
"Heterocapsa rotundata";15.98417;55.24983
"Heterocapsa rotundata";19.81933;63.5005
"Heterocapsa rotundata";11.9883;57.3033
"Heterocapsa rotundata";14.8236;56.1115
"Heterocapsa rotundata";12.8808;55.7017
"Heterocapsa rotundata";11.4033;58.3433
"Heterocapsa rotundata";4.7568;60.980399
"Heterocapsa rotundata";6.4398;60.4014
"Heterocapsa rotundata";6.16818;60.106069
"Heterocapsa rotundata";5.952701;61.146
"Heterocapsa rotundata";9.655319;63.86995
"Heterocapsa rotundata";11.161667;59.114334
"Heterocapsa rotundata";10.420983;59.627766
"Heterocapsa rotundata";18.23633;58.59367
"Heterocapsa rotundata";18.23683;58.59867
"Heterocapsa rotundata";16.53617;56.11717
"Heterocapsa rotundata";15.98467;55.25017
"Heterocapsa rotundata";12.2117;56.94
"Heterocapsa rotundata";10.5133;58.275
"Heterocapsa rotundata";12.72;56.565
"Heterocapsa rotundata";12.6521;56.3155
"Heterocapsa rotundata";12.4745;56.2012
"Heterocapsa rotundata";11.5933;57.9196
"Heterocapsa rotundata";10.63338;59.60468
"Heterocapsa rotundata";10.569373;59.81498
"Heterocapsa rotundata";7.055821;60.996322
"Heterocapsa rotundata";5.75517;62.32841
"Heterocapsa rotundata";21.0725;70.1161
"Heterocapsa rotundata";14.977001;67.2743
"Heterocapsa rotundata";9.7342;59.033295
"Heterocapsa rotundata";20.0785;57.30983
"Heterocapsa rotundata";14.09883;54.97117
"Heterocapsa rotundata";16.536;56.11617
"Heterocapsa rotundata";15.98317;55.25067
"Heterocapsa rotundata";11.5467;58.3233
"Heterocapsa rotundata";12.1167;56.6666
"Heterocapsa rotundata";11.4333;58.2583
"Heterocapsa rotundata";14.5138;55.9831
"Heterocapsa rotundata";12.8539;55.8005
"Heterocapsa rotundata";11.7733;58.3125
"Heterocapsa rotundata";11.58;58.23
"Heterocapsa rotundata";11.1033;58.8683
"Heterocapsa rotundata";6.244303;59.274621
"Heterocapsa rotundata";6.134501;59.2435
"Heterocapsa rotundata";12.235439;65.60086
"Heterocapsa rotundata";11.310001;64.47
"Heterocapsa rotundata";7.006108;62.094402
"Heterocapsa rotundata";28.08599;70.691485
"Heterocapsa rotundata";28.346774;70.750013
"Heterocapsa rotundata";18.338;69.502
"Heterocapsa rotundata";11.314266;59.111717
"Heterocapsa rotundata";10.051567;59.019299
"Heterocapsa rotundata";9.255;58.73833
"Heterocapsa rotundata";10.653178;59.191948
"Heterocapsa rotundata";10.590569;59.35867
"Heterocapsa rotundata";10.458333;59.486668
"Heterocapsa rotundata";20.07583;57.31233
"Heterocapsa rotundata";14.09717;54.97133
"Heterocapsa rotundata";16.53717;56.11667
"Heterocapsa rotundata";15.98417;55.2495
"Heterocapsa rotundata";11.5375;58.3178
"Heterocapsa rotundata";18.264;62.86383
"Heterocapsa rotundata";11.24;58.3537
"Heterocapsa rotundata";11.81;58.1092
"Heterocapsa rotundata";11.6667;57.9012
"Heterocapsa rotundata";21.6887;69.9664
"Heterocapsa rotundata";15.4461;67.1709
"Heterocapsa rotundata";20.07633;57.31183
"Heterocapsa rotundata";14.099;54.97117
"Heterocapsa rotundata";18.23633;58.59417
"Heterocapsa rotundata";16.53617;56.11683
"Heterocapsa rotundata";15.98433;55.25
"Heterocapsa rotundata";18.95267;62.65267
"Heterocapsa rotundata";18.264;62.8635
"Heterocapsa rotundata";18.1521;57.21594
"Heterocapsa rotundata";18.4006;55.554
"Heterocapsa rotundata";20.0763;57.3118
"Heterocapsa rotundata";19.8787;57.9979
"Heterocapsa rotundata";18.2364;58.5941
"Heterocapsa rotundata";17.9846;58.0166
"Heterocapsa rotundata";17.6688;57.1172
"Heterocapsa rotundata";15.9843;55.2499
"Heterocapsa rotundata";-15.633333;61.583333
"Heterocapsa rotundata";-51.7175;60.166944
"Heterocapsa rotundata";-2.9675;59
"Heterocapsa rotundata";-18.067778;65.684722
"Heterocapsa rotundata";-12.628056;55.717778
"Heterocapsa rotundata";-23.098333;66.078333
"Heterocapsa rotundata";6.363333;58.183333
"Heterocapsa rotundata";-49.466667;61.116667
"Heterocapsa rotundata";-21.863333;64.156667
"Heterocapsa rotundata";12.095;54.167333
"Heterocapsa rotundata";12.094444;54.173889
"Heterocapsa rotundata";10.33;57.845556
"Heterocapsa rotundata";9.77012;63.65006
"Heterocapsa rotundata";5.4742;60.10425
"Heterocapsa rotundata";20.07617;57.31217
"Heterocapsa rotundata";18.2365;58.59367
"Heterocapsa rotundata";16.53617;56.11633
"Heterocapsa rotundata";15.98417;55.25
"Heterocapsa rotundata";11.5414;58.3184
"Heterocapsa rotundata";18.9525;62.65283
"Heterocapsa rotundata";18.2645;62.8635
"Heterocapsa rotundata";17.0715;58.7385
"Heterocapsa rotundata";18.13118;57.40002
"Heterocapsa rotundata";18.91088;57.68525
"Heterocapsa rotundata";17.4911;60.6585
"Heterocapsa rotundata";17.4071;60.6623
"Heterocapsa rotundata";18.9005;59.74159
"Heterocapsa rotundata";18.8086;59.97791
"Heterocapsa rotundata";18.74744;59.75996
"Heterocapsa rotundata";18.81035;59.76973
"Heterocapsa rotundata";19.02881;59.78752
"Heterocapsa rotundata";15.7469;56.0654
"Heterocapsa rotundata";-51.147222;69.221111
"Heterocapsa rotundata";12.095;54.174444
"Heterocapsa rotundata";-54.778056;67.352778
"Heterocapsa rotundata";-46.044722;60.708333
"Heterocapsa rotundata";-1.128889;60.156111
"Heterocapsa rotundata";-44.250556;60.158889
"Heterocapsa rotundata";-21.861111;64.155
"Heterocapsa rotundata";-8.867222;64.418056
"Heterocapsa rotundata";-51.721667;64.168611
"Heterocapsa rotundata";-50.489167;61.987778
"Heterocapsa rotundata";-52.931667;64.253611
"Heterocapsa rotundata";12.630278;55.717778
"Heterocapsa rotundata";-18.079444;65.684722
"Heterocapsa rotundata";9.52296;63.7654
"Heterocapsa rotundata";10.3;63.46
"Heterocapsa rotundata";29.880368;69.958382
"Heterocapsa rotundata";19.77006;69.7544
"Heterocapsa rotundata";18.2365;58.59333
"Heterocapsa rotundata";16.53833;56.11617
"Heterocapsa rotundata";15.98417;55.25017
"Heterocapsa rotundata";18.95283;62.65283
"Heterocapsa rotundata";18.23283;61.1835
"Heterocapsa rotundata";17.5138;60.7068
"Heterocapsa rotundata";17.16621;61.27754
"Heterocapsa rotundata";18.95155;59.77824
"Heterocapsa rotundata";18.3983;55.5543
"Heterocapsa rotundata";20.0763;57.312
"Heterocapsa rotundata";18.2365;58.5933
"Heterocapsa rotundata";17.9848;58.0169
"Heterocapsa rotundata";17.6686;57.1171
"Heterocapsa rotundata";15.9842;55.2501
"Heterocapsa rotundata";16.95011;58.36541
"Heterocapsa rotundata";20.3208;63.6096
"Heterocapsa rotundata";5.8;59.066669
"Heterocapsa rotundata";17.3649;68.4705
"Heterocapsa rotundata";17.254999;68.3374
"Heterocapsa rotundata";20.07633;57.31217
"Heterocapsa rotundata";18.236;58.5935
"Heterocapsa rotundata";16.53583;56.11633
"Heterocapsa rotundata";19.80833;63.52517
"Heterocapsa rotundata";18.26467;62.8635
"Heterocapsa rotundata";18.9525;62.65217
"Heterocapsa rotundata";20.07683;57.31217
"Heterocapsa rotundata";14.09917;54.97083
"Heterocapsa rotundata";16.534;56.11567
"Heterocapsa rotundata";19.819;63.49967
"Heterocapsa rotundata";20.07433;57.31367
"Heterocapsa rotundata";15.98283;55.2495
"Heterocapsa rotundata";19.8085;63.52467
"Heterocapsa rotundata";18.95233;62.65317
"Heterocapsa rotundata";18.26367;62.86367
"Heterocapsa rotundata";20.07783;57.31167
"Heterocapsa rotundata";14.1;54.97133
"Heterocapsa rotundata";18.23633;58.59383
"Heterocapsa rotundata";19.82;63.49783
"Heterocapsa rotundata";18.26317;62.86433
"Heterocapsa rotundata";-122.498744;37.495306
"Heterocapsa rotundata";-122.499198;37.495288
"Heterocapsa rotundata";-122.498955;37.494992
