"species";"lon";"lat"
"Kirchneriella lunaris";-48.777781;-26.330825
"Kirchneriella lunaris";-48.779389;-26.328864
"Kirchneriella lunaris";-48.782558;-26.327109
"Kirchneriella lunaris";-8.715467;40.148043
"Kirchneriella lunaris";-123.135715;49.269482
"Kirchneriella lunaris";14.089107;50.140783
"Kirchneriella lunaris";25.39166;54.71947
"Kirchneriella lunaris";-73.995918;40.702755
"Kirchneriella lunaris";31.114368;49.461256
"Kirchneriella lunaris";140.863281;38.333001
"Kirchneriella lunaris";-73.68216;3.89341
"Kirchneriella lunaris";24.424225;54.058964
"Kirchneriella lunaris";31.00205;46.333333
"Kirchneriella lunaris";31.105467;46.35965
"Kirchneriella lunaris";31.304133;44.216233
"Kirchneriella lunaris";31.563167;44.121633
"Kirchneriella lunaris";30.2518;45.338633
"Kirchneriella lunaris";31.235;45.215883
"Kirchneriella lunaris";31.8255;46.483533
"Kirchneriella lunaris";29.773889;45.298611
"Kirchneriella lunaris";29.783889;45.603056
"Kirchneriella lunaris";31.666944;46.221944
"Kirchneriella lunaris";30.253056;45.873333
"Kirchneriella lunaris";30.210556;45.253333
"Kirchneriella lunaris";31.724167;46.393333
"Kirchneriella lunaris";31.461389;46.611389
"Kirchneriella lunaris";30.772167;46.438528
"Kirchneriella lunaris";30.768333;46.4275
"Kirchneriella lunaris";-3.784634;40.82015
"Kirchneriella lunaris";39.0537;60.4272
"Kirchneriella lunaris";-71.530738;42.797022
"Kirchneriella lunaris";-5.284245;6.813591
"Kirchneriella lunaris";-48.629214;-23.503642
"Kirchneriella lunaris";35.2049;50.0612
"Kirchneriella lunaris";118.1992;39.5117
"Kirchneriella lunaris";-45.890117;-23.316783
"Kirchneriella lunaris";35.61;32.81
"Kirchneriella lunaris";-48.29;-22.17
"Kirchneriella lunaris";126.188586;33.318931
"Kirchneriella lunaris";10.879641;49.693562
"Kirchneriella lunaris";5.088441;52.272394
"Kirchneriella lunaris";-121.88;38.051667
"Kirchneriella lunaris";5.101885;52.273335
"Kirchneriella lunaris";4.765018;52.4469
"Kirchneriella lunaris";-121.8;38.06
"Kirchneriella lunaris";17.68742;59.11788
"Kirchneriella lunaris";5.884061;51.404889
"Kirchneriella lunaris";4.254526;51.676385
"Kirchneriella lunaris";73.11841;40.774081
"Kirchneriella lunaris";4.252009;51.989667
"Kirchneriella lunaris";4.342272;51.915581
