"species";"lon";"lat"
"Lagerheimia genevensis";36.241506;50.027973
"Lagerheimia genevensis";17.66453;59.81632
"Lagerheimia genevensis";139.695133;35.795434
"Lagerheimia genevensis";4.85;52.05
"Lagerheimia genevensis";17.66646;59.81445
"Lagerheimia genevensis";0.55;41.3
"Lagerheimia genevensis";22.26549;65.63597
"Lagerheimia genevensis";0.76;41.93
"Lagerheimia genevensis";0.79;41.12
"Lagerheimia genevensis";18.41649;60.24931
"Lagerheimia genevensis";17.16621;61.27754
"Lagerheimia genevensis";0.54;41.48
"Lagerheimia genevensis";17.09299;61.31102
"Lagerheimia genevensis";29.773889;45.298611
"Lagerheimia genevensis";11.04677;59.345379
"Lagerheimia genevensis";13.307819;52.452544
"Lagerheimia genevensis";11.48725;49.601
"Lagerheimia genevensis";11.972561;48.995291
"Lagerheimia genevensis";140.403611;36.035833
"Lagerheimia genevensis";5.9;53
"Lagerheimia genevensis";22.27467;65.63079
"Lagerheimia genevensis";22.25494;65.66078
"Lagerheimia genevensis";22.25156;65.66445
"Lagerheimia genevensis";5.85;53.2
"Lagerheimia genevensis";4.951277;52.278313
"Lagerheimia genevensis";4.831164;52.231485
"Lagerheimia genevensis";4.863088;52.424195
"Lagerheimia genevensis";4.81822;52.254658
"Lagerheimia genevensis";4.898506;52.330776
"Lagerheimia genevensis";4.946255;52.258719
"Lagerheimia genevensis";4.804247;52.197695
"Lagerheimia genevensis";5.004275;52.28033
"Lagerheimia genevensis";4.944748;52.201119
"Lagerheimia genevensis";5.45;52.85
"Lagerheimia genevensis";4.918315;52.291498
"Lagerheimia genevensis";4.959127;52.159908
"Lagerheimia genevensis";4.935723;52.208275
"Lagerheimia genevensis";18.55597;54.5181
"Lagerheimia genevensis";5.076016;52.148859
"Lagerheimia genevensis";-1.316245;43.777726
"Lagerheimia genevensis";-1.129382;45.088185
"Lagerheimia genevensis";-1.319607;43.778057
"Lagerheimia genevensis";-1.318619;43.777948
"Lagerheimia genevensis";5.109706;52.306725
"Lagerheimia genevensis";5.11481;52.289678
"Lagerheimia genevensis";5.127883;52.284827
"Lagerheimia genevensis";4.930885;52.290702
"Lagerheimia genevensis";5.062369;52.227296
"Lagerheimia genevensis";6.190976;53.410616
"Lagerheimia genevensis";6.448775;53.192955
"Lagerheimia genevensis";6.494338;52.897417
"Lagerheimia genevensis";5.998474;52.72071
"Lagerheimia genevensis";6.001598;52.732377
"Lagerheimia genevensis";6.13519;52.696365
"Lagerheimia genevensis";5.977859;52.794508
"Lagerheimia genevensis";4.763275;52.524642
"Lagerheimia genevensis";4.765018;52.4469
"Lagerheimia genevensis";5.018184;52.426568
"Lagerheimia genevensis";4.939153;52.479556
"Lagerheimia genevensis";4.803535;52.504257
"Lagerheimia genevensis";4.879684;52.510386
"Lagerheimia genevensis";4.863819;52.515386
"Lagerheimia genevensis";4.919133;52.511618
"Lagerheimia genevensis";5.12657;52.745811
"Lagerheimia genevensis";5.661174;52.608198
"Lagerheimia genevensis";4.753131;52.557923
"Lagerheimia genevensis";4.768661;52.691233
"Lagerheimia genevensis";4.716344;52.707809
"Lagerheimia genevensis";4.823502;52.788349
"Lagerheimia genevensis";4.811925;52.685572
"Lagerheimia genevensis";4.72221;52.461911
"Lagerheimia genevensis";5.139365;52.722257
"Lagerheimia genevensis";6.428823;52.879763
"Lagerheimia genevensis";6.541201;52.814919
"Lagerheimia genevensis";4.975679;52.548469
"Lagerheimia genevensis";4.721922;52.57393
"Lagerheimia genevensis";10.879641;49.693562
"Lagerheimia genevensis";6.135574;52.688472
"Lagerheimia genevensis";6.084957;52.66766
"Lagerheimia genevensis";4.831191;52.587622
"Lagerheimia genevensis";5.017011;52.390974
"Lagerheimia genevensis";4.860731;52.487718
"Lagerheimia genevensis";5.011463;52.601747
"Lagerheimia genevensis";4.908071;52.483011
"Lagerheimia genevensis";4.766668;52.729687
"Lagerheimia genevensis";4.696173;52.513207
"Lagerheimia genevensis";11.567639;53.038142
"Lagerheimia genevensis";5.088441;52.272394
"Lagerheimia genevensis";18.57657;60.10985
"Lagerheimia genevensis";6.164304;53.3752
"Lagerheimia genevensis";5.038054;52.920932
"Lagerheimia genevensis";4.490179;51.879527
"Lagerheimia genevensis";5.228278;52.717277
"Lagerheimia genevensis";5.124029;52.274842
"Lagerheimia genevensis";5.393304;52.810045
"Lagerheimia genevensis";4.239958;51.550564
"Lagerheimia genevensis";5.874014;53.214636
"Lagerheimia genevensis";5.109472;52.315937
"Lagerheimia genevensis";6.694442;53.127621
"Lagerheimia genevensis";4.185156;51.850841
"Lagerheimia genevensis";4.695275;51.808097
"Lagerheimia genevensis";3.950607;51.803814
"Lagerheimia genevensis";4.396756;51.827621
"Lagerheimia genevensis";4.616328;51.850868
"Lagerheimia genevensis";5.069996;52.284632
"Lagerheimia genevensis";6.085149;52.679791
"Lagerheimia genevensis";5.99724;52.695822
"Lagerheimia genevensis";6.044864;52.655755
"Lagerheimia genevensis";6.074057;52.443036
"Lagerheimia genevensis";4.31461;52.021572
"Lagerheimia genevensis";4.928997;52.739122
"Lagerheimia genevensis";5.026548;52.911624
"Lagerheimia genevensis";5.106041;52.276491
"Lagerheimia genevensis";5.110083;52.636313
"Lagerheimia genevensis";5.158606;52.702362
"Lagerheimia genevensis";4.492358;51.678525
"Lagerheimia genevensis";6.951219;53.245871
"Lagerheimia genevensis";4.077676;51.847669
"Lagerheimia genevensis";4.18099;51.73863
"Lagerheimia genevensis";4.623022;51.873779
"Lagerheimia genevensis";4.353747;51.873615
"Lagerheimia genevensis";6.88892;52.187052
"Lagerheimia genevensis";6.030178;52.662127
"Lagerheimia genevensis";5.157614;51.910312
"Lagerheimia genevensis";5.671452;51.930578
"Lagerheimia genevensis";4.298701;52.010702
"Lagerheimia genevensis";4.393511;51.987181
"Lagerheimia genevensis";4.243876;51.995135
"Lagerheimia genevensis";4.779237;52.58424
"Lagerheimia genevensis";5.191847;52.652921
"Lagerheimia genevensis";5.001737;52.66068
"Lagerheimia genevensis";5.063346;52.756341
"Lagerheimia genevensis";4.908896;52.379532
"Lagerheimia genevensis";6.826228;53.271698
"Lagerheimia genevensis";4.134222;51.823745
"Lagerheimia genevensis";4.328473;51.697806
"Lagerheimia genevensis";4.006585;51.828731
"Lagerheimia genevensis";4.028084;51.825899
"Lagerheimia genevensis";4.583819;51.714775
"Lagerheimia genevensis";4.299354;51.776563
"Lagerheimia genevensis";4.589275;51.717159
"Lagerheimia genevensis";4.628058;51.82832
"Lagerheimia genevensis";4.478836;51.88024
"Lagerheimia genevensis";5.070003;52.127353
"Lagerheimia genevensis";6.091208;52.688743
"Lagerheimia genevensis";4.885954;51.900605
"Lagerheimia genevensis";4.858977;52.818887
"Lagerheimia genevensis";4.944789;52.576722
"Lagerheimia genevensis";5.280564;52.729521
"Lagerheimia genevensis";13.94336;50.96433
"Lagerheimia genevensis";4.783682;51.528389
"Lagerheimia genevensis";4.52294;51.801849
"Lagerheimia genevensis";4.526629;51.80148
"Lagerheimia genevensis";4.378892;51.846714
"Lagerheimia genevensis";5.020959;52.20466
"Lagerheimia genevensis";18.47713;60.2155
"Lagerheimia genevensis";13.65432;68.198771
"Lagerheimia genevensis";4.284024;51.829267
"Lagerheimia genevensis";4.69237;51.760422
"Lagerheimia genevensis";4.55393;51.742621
"Lagerheimia genevensis";4.291948;52.098649
"Lagerheimia genevensis";4.30679;52.096314
"Lagerheimia genevensis";4.308497;51.831157
"Lagerheimia genevensis";4.610337;51.859098
"Lagerheimia genevensis";4.385523;51.882636
"Lagerheimia genevensis";5.90694;52.790165
"Lagerheimia genevensis";4.488851;51.954717
"Lagerheimia genevensis";4.766239;51.809177
"Lagerheimia genevensis";3.888629;51.79431
"Lagerheimia genevensis";3.875192;51.798992
"Lagerheimia genevensis";4.600069;51.826949
"Lagerheimia genevensis";4.244154;51.855628
"Lagerheimia genevensis";5.751987;53.034094
"Lagerheimia genevensis";5.899362;53.21383
"Lagerheimia genevensis";5.882713;53.21354
"Lagerheimia genevensis";5.879182;53.216286
"Lagerheimia genevensis";5.872907;53.212071
"Lagerheimia genevensis";5.86575;53.214571
"Lagerheimia genevensis";5.861161;53.212486
"Lagerheimia genevensis";5.858388;53.213468
"Lagerheimia genevensis";4.176711;51.831841
"Lagerheimia genevensis";4.95157;52.24843
"Lagerheimia genevensis";6.114762;51.318596
"Lagerheimia genevensis";6.04369;53.189746
"Lagerheimia genevensis";5.752881;53.051793
"Lagerheimia genevensis";6.012857;53.085313
"Lagerheimia genevensis";6.099383;52.982835
"Lagerheimia genevensis";5.633996;52.915777
"Lagerheimia genevensis";5.540483;52.873158
"Lagerheimia genevensis";5.458732;52.88826
"Lagerheimia genevensis";6.011474;53.086704
"Lagerheimia genevensis";4.881475;52.263619
"Lagerheimia genevensis";4.898049;52.251024
