"species";"lon";"lat"
"Lagerheimia subsalsa";18.41649;60.24931
"Lagerheimia subsalsa";18.33801;60.29853
"Lagerheimia subsalsa";17.66253;60.53203
"Lagerheimia subsalsa";18.48382;60.17682
"Lagerheimia subsalsa";10.519274;60.330636
"Lagerheimia subsalsa";10.473006;60.31098
"Lagerheimia subsalsa";10.530523;60.332808
"Lagerheimia subsalsa";18.57657;60.10985
"Lagerheimia subsalsa";5.85;53.2
"Lagerheimia subsalsa";5.45;52.85
"Lagerheimia subsalsa";5.9;53.1
"Lagerheimia subsalsa";4.951277;52.278313
"Lagerheimia subsalsa";4.863088;52.424195
"Lagerheimia subsalsa";5.07913;52.152777
"Lagerheimia subsalsa";5.076016;52.148859
"Lagerheimia subsalsa";4.944748;52.201119
"Lagerheimia subsalsa";6.15;53.45
"Lagerheimia subsalsa";4.753131;52.557923
"Lagerheimia subsalsa";5.011463;52.601747
"Lagerheimia subsalsa";4.908071;52.483011
"Lagerheimia subsalsa";5.12657;52.745811
"Lagerheimia subsalsa";5.080234;52.234516
"Lagerheimia subsalsa";4.803535;52.504257
"Lagerheimia subsalsa";4.863819;52.515386
"Lagerheimia subsalsa";5.109706;52.306725
"Lagerheimia subsalsa";4.812238;52.235952
"Lagerheimia subsalsa";4.721922;52.57393
"Lagerheimia subsalsa";4.763275;52.524642
"Lagerheimia subsalsa";4.831191;52.587622
"Lagerheimia subsalsa";4.879684;52.510386
"Lagerheimia subsalsa";4.860731;52.487718
"Lagerheimia subsalsa";4.923804;52.874694
"Lagerheimia subsalsa";4.704186;52.823493
"Lagerheimia subsalsa";4.935723;52.208275
"Lagerheimia subsalsa";4.860843;52.461007
"Lagerheimia subsalsa";5.101885;52.273335
"Lagerheimia subsalsa";5.094325;52.237734
"Lagerheimia subsalsa";5.082112;52.270293
"Lagerheimia subsalsa";5.088441;52.272394
"Lagerheimia subsalsa";5.036869;52.900026
"Lagerheimia subsalsa";4.218552;51.871098
"Lagerheimia subsalsa";4.332697;51.768535
"Lagerheimia subsalsa";4.185005;51.850534
"Lagerheimia subsalsa";4.207337;51.871282
"Lagerheimia subsalsa";4.284024;51.829267
"Lagerheimia subsalsa";4.339803;51.818173
"Lagerheimia subsalsa";4.539573;51.74997
"Lagerheimia subsalsa";4.134222;51.823745
"Lagerheimia subsalsa";4.306435;51.810643
"Lagerheimia subsalsa";3.945887;51.80542
"Lagerheimia subsalsa";3.950607;51.803814
"Lagerheimia subsalsa";4.318003;51.75517
"Lagerheimia subsalsa";4.31461;52.021572
"Lagerheimia subsalsa";4.823502;52.788349
"Lagerheimia subsalsa";5.124029;52.274842
"Lagerheimia subsalsa";4.16465;51.849622
"Lagerheimia subsalsa";4.274401;51.833518
"Lagerheimia subsalsa";4.4355;51.817559
"Lagerheimia subsalsa";4.544431;51.750409
"Lagerheimia subsalsa";4.596441;51.817909
"Lagerheimia subsalsa";4.975679;52.548469
"Lagerheimia subsalsa";5.001737;52.66068
"Lagerheimia subsalsa";4.755726;53.010429
"Lagerheimia subsalsa";4.202022;51.856379
"Lagerheimia subsalsa";4.168488;51.816699
"Lagerheimia subsalsa";4.329767;51.852754
"Lagerheimia subsalsa";4.310366;51.846438
"Lagerheimia subsalsa";4.308497;51.831157
"Lagerheimia subsalsa";3.875192;51.798992
"Lagerheimia subsalsa";3.965548;51.814685
"Lagerheimia subsalsa";4.090788;51.803613
"Lagerheimia subsalsa";4.478836;51.88024
"Lagerheimia subsalsa";4.811925;52.685572
"Lagerheimia subsalsa";4.696173;52.513207
"Lagerheimia subsalsa";5.110083;52.636313
"Lagerheimia subsalsa";4.861558;53.14708
"Lagerheimia subsalsa";18.33802;60.29853
"Lagerheimia subsalsa";4.168746;51.842554
"Lagerheimia subsalsa";4.228399;51.868211
"Lagerheimia subsalsa";4.167997;51.906136
"Lagerheimia subsalsa";4.289859;51.824378
"Lagerheimia subsalsa";4.006585;51.828731
"Lagerheimia subsalsa";4.030565;51.804218
"Lagerheimia subsalsa";5.070003;52.127353
"Lagerheimia subsalsa";5.020959;52.20466
"Lagerheimia subsalsa";4.716344;52.707809
"Lagerheimia subsalsa";5.280564;52.729521
"Lagerheimia subsalsa";5.228278;52.717277
"Lagerheimia subsalsa";4.29955;51.84116
"Lagerheimia subsalsa";4.318295;51.83095
"Lagerheimia subsalsa";4.031949;51.805924
"Lagerheimia subsalsa";7.91529;45.3253
"Lagerheimia subsalsa";3.888629;51.79431
"Lagerheimia subsalsa";5.458732;52.88826
"Lagerheimia subsalsa";5.751987;53.034094
"Lagerheimia subsalsa";4.106063;51.760021
"Lagerheimia subsalsa";4.2121;51.685397
"Lagerheimia subsalsa";4.096084;51.755363
"Lagerheimia subsalsa";4.140659;51.728383
"Lagerheimia subsalsa";4.128745;51.707094
"Lagerheimia subsalsa";4.22492;51.693588
"Lagerheimia subsalsa";4.214642;51.682186
"Lagerheimia subsalsa";4.254526;51.676385
"Lagerheimia subsalsa";4.314307;51.661999
"Lagerheimia subsalsa";4.280289;51.71667
"Lagerheimia subsalsa";4.118758;51.786624
"Lagerheimia subsalsa";4.168391;51.749997
"Lagerheimia subsalsa";5.409805;52.457356
"Lagerheimia subsalsa";5.633996;52.915777
"Lagerheimia subsalsa";4.118709;51.793527
"Lagerheimia subsalsa";4.105312;51.767582
"Lagerheimia subsalsa";4.082744;51.739322
"Lagerheimia subsalsa";4.245696;51.738101
"Lagerheimia subsalsa";4.20593;51.749986
"Lagerheimia subsalsa";4.930885;52.290702
"Lagerheimia subsalsa";5.981195;53.083767
"Lagerheimia subsalsa";5.540483;52.873158
"Lagerheimia subsalsa";4.1705;51.762577
"Lagerheimia subsalsa";4.107924;51.766415
"Lagerheimia subsalsa";4.347892;51.686232
"Lagerheimia subsalsa";5.407651;52.475079
"Lagerheimia subsalsa";4.83338;52.227487
"Lagerheimia subsalsa";5.879182;53.216286
"Lagerheimia subsalsa";5.861161;53.212486
"Lagerheimia subsalsa";4.085506;51.709292
"Lagerheimia subsalsa";5.887789;53.128271
"Lagerheimia subsalsa";5.86575;53.214571
"Lagerheimia subsalsa";5.879401;53.210589
"Lagerheimia subsalsa";4.169864;51.735099
"Lagerheimia subsalsa";4.374598;51.862111
"Lagerheimia subsalsa";6.085149;52.679791
"Lagerheimia subsalsa";5.004275;52.28033
"Lagerheimia subsalsa";5.906114;53.129001
"Lagerheimia subsalsa";5.899362;53.21383
"Lagerheimia subsalsa";5.882713;53.21354
"Lagerheimia subsalsa";4.243905;51.473923
"Lagerheimia subsalsa";4.262688;51.488578
"Lagerheimia subsalsa";5.53004;52.995107
"Lagerheimia subsalsa";4.280909;51.923577
"Lagerheimia subsalsa";4.328077;51.999177
"Lagerheimia subsalsa";4.774773;52.276578
"Lagerheimia subsalsa";4.876794;51.629507
"Lagerheimia subsalsa";4.065477;51.766798
"Lagerheimia subsalsa";4.11021;51.74295
"Lagerheimia subsalsa";4.167249;51.762256
"Lagerheimia subsalsa";4.36134;51.679249
"Lagerheimia subsalsa";4.350632;51.680242
"Lagerheimia subsalsa";4.358297;51.683986
"Lagerheimia subsalsa";4.173151;51.755557
"Lagerheimia subsalsa";4.252009;51.989667
"Lagerheimia subsalsa";4.218459;51.976961
"Lagerheimia subsalsa";4.258716;51.984644
"Lagerheimia subsalsa";4.297112;51.943064
"Lagerheimia subsalsa";4.419553;51.939461
"Lagerheimia subsalsa";4.271634;51.935876
"Lagerheimia subsalsa";4.303244;51.965602
"Lagerheimia subsalsa";4.214667;51.938244
"Lagerheimia subsalsa";4.683367;52.463565
"Lagerheimia subsalsa";4.739449;52.447239
"Lagerheimia subsalsa";4.338931;51.616665
"Lagerheimia subsalsa";4.373563;51.591891
"Lagerheimia subsalsa";4.241892;51.513906
"Lagerheimia subsalsa";4.239631;51.739183
"Lagerheimia subsalsa";4.177878;51.763499
"Lagerheimia subsalsa";5.231227;52.415725
"Lagerheimia subsalsa";4.742439;52.00507
"Lagerheimia subsalsa";4.322978;51.943454
"Lagerheimia subsalsa";4.196622;52.011655
"Lagerheimia subsalsa";5.904695;53.023942
"Lagerheimia subsalsa";4.060431;51.727996
"Lagerheimia subsalsa";4.302973;51.917194
"Lagerheimia subsalsa";4.685396;52.539702
"Lagerheimia subsalsa";4.134238;51.852888
"Lagerheimia subsalsa";4.10116;51.747535
"Lagerheimia subsalsa";4.1731;51.763404
"Lagerheimia subsalsa";4.290211;51.932609
"Lagerheimia subsalsa";4.515933;52.191758
"Lagerheimia subsalsa";4.181909;52.008953
"Lagerheimia subsalsa";4.169995;51.691008
"Lagerheimia subsalsa";4.309513;51.684258
"Lagerheimia subsalsa";3.840931;51.44168
"Lagerheimia subsalsa";4.786763;51.556989
"Lagerheimia subsalsa";4.783682;51.528389
"Lagerheimia subsalsa";4.532451;51.666366
"Lagerheimia subsalsa";4.103947;51.75037
"Lagerheimia subsalsa";4.116276;51.790336
"Lagerheimia subsalsa";4.130158;51.777505
"Lagerheimia subsalsa";4.115246;51.713772
"Lagerheimia subsalsa";4.234854;51.716996
"Lagerheimia subsalsa";4.18099;51.73863
"Lagerheimia subsalsa";4.14552;51.749065
"Lagerheimia subsalsa";4.132624;51.630906
"Lagerheimia subsalsa";4.237335;52.03669
"Lagerheimia subsalsa";4.700241;51.791444
"Lagerheimia subsalsa";4.695275;51.808097
"Lagerheimia subsalsa";4.246791;51.667168
"Lagerheimia subsalsa";6.016677;52.753571
"Lagerheimia subsalsa";4.206556;51.990667
"Lagerheimia subsalsa";4.256171;52.016288
"Lagerheimia subsalsa";5.331038;53.382064
"Lagerheimia subsalsa";4.165405;51.761338
"Lagerheimia subsalsa";4.283831;51.710285
"Lagerheimia subsalsa";4.632813;51.614345
"Lagerheimia subsalsa";4.527878;51.867548
"Lagerheimia subsalsa";4.30679;52.096314
"Lagerheimia subsalsa";6.694161;53.16784
"Lagerheimia subsalsa";3.817787;51.386891
"Lagerheimia subsalsa";4.328473;51.697806
"Lagerheimia subsalsa";4.638303;51.888385
"Lagerheimia subsalsa";3.752828;51.519593
"Lagerheimia subsalsa";4.074941;51.878777
"Lagerheimia subsalsa";4.201996;51.900929
"Lagerheimia subsalsa";4.497184;51.926259
"Lagerheimia subsalsa";6.694442;53.127621
"Lagerheimia subsalsa";4.248983;51.864466
"Lagerheimia subsalsa";5.347367;52.259337
"Lagerheimia subsalsa";5.083732;52.18085
"Lagerheimia subsalsa";5.097837;52.201845
"Lagerheimia subsalsa";5.838239;51.568518
"Lagerheimia subsalsa";4.114503;51.926577
"Lagerheimia subsalsa";4.120168;51.91079
"Lagerheimia subsalsa";4.69237;51.760422
"Lagerheimia subsalsa";5.287266;52.248965
"Lagerheimia subsalsa";4.857101;52.12702
"Lagerheimia subsalsa";4.935804;52.8719
"Lagerheimia subsalsa";4.221696;51.890429
"Lagerheimia subsalsa";4.925934;51.96642
"Lagerheimia subsalsa";5.431128;52.240461
"Lagerheimia subsalsa";4.934806;52.87648
"Lagerheimia subsalsa";4.185156;51.850841
"Lagerheimia subsalsa";4.176711;51.831841
"Lagerheimia subsalsa";5.117261;51.548296
"Lagerheimia subsalsa";4.163847;51.898434
"Lagerheimia subsalsa";4.290323;51.807698
"Lagerheimia subsalsa";4.287057;51.840487
"Lagerheimia subsalsa";4.360803;51.840552
"Lagerheimia subsalsa";6.039566;52.697126
"Lagerheimia subsalsa";4.563531;52.036106
"Lagerheimia subsalsa";5.817254;53.093185
"Lagerheimia subsalsa";3.922949;51.454426
"Lagerheimia subsalsa";4.908896;52.379532
"Lagerheimia subsalsa";5.739009;53.10674
"Lagerheimia subsalsa";5.650801;52.965974
"Lagerheimia subsalsa";5.412633;53.095878
"Lagerheimia subsalsa";4.028084;51.825899
"Lagerheimia subsalsa";6.925424;52.709912
"Lagerheimia subsalsa";6.720195;52.735307
"Lagerheimia subsalsa";4.766239;51.809177
"Lagerheimia subsalsa";4.574314;51.854629
"Lagerheimia subsalsa";4.45931;51.874155
"Lagerheimia subsalsa";4.499487;51.867795
"Lagerheimia subsalsa";6.030178;52.662127
"Lagerheimia subsalsa";3.590469;51.551192
"Lagerheimia subsalsa";6.699347;52.627413
"Lagerheimia subsalsa";19.2;54.51
"Lagerheimia subsalsa";18.96;54.4
"Lagerheimia subsalsa";4.077676;51.847669
"Lagerheimia subsalsa";4.935097;52.039081
"Lagerheimia subsalsa";5.883635;53.296366
"Lagerheimia subsalsa";5.335511;51.986673
"Lagerheimia subsalsa";5.244773;52.051097
"Lagerheimia subsalsa";5.277999;52.026631
"Lagerheimia subsalsa";6.444743;52.598315
"Lagerheimia subsalsa";4.398262;51.918942
"Lagerheimia subsalsa";5.699517;52.910141
"Lagerheimia subsalsa";4.219319;51.534538
"Lagerheimia subsalsa";6.678337;52.611105
"Lagerheimia subsalsa";4.409734;51.978975
"Lagerheimia subsalsa";5.874014;53.214636
"Lagerheimia subsalsa";3.768178;51.428044
