"species";"lon";"lat"
"Lebouridinium glaucum";9.800005;59.034995
"Lebouridinium glaucum";-21.93736;70.14198
"Lebouridinium glaucum";-20.316852;75.165832
"Lebouridinium glaucum";-24.250293;72.433289
"Lebouridinium glaucum";-22.024473;75.623895
"Lebouridinium glaucum";-19.629027;76.594205
"Lebouridinium glaucum";-22.009596;75.634642
"Lebouridinium glaucum";-22.999934;72.166777
"Lebouridinium glaucum";-20.290099;75.170141
"Lebouridinium glaucum";-24.239116;72.431426
"Lebouridinium glaucum";-21.341589;75.459078
"Lebouridinium glaucum";-23.049496;72.17058
"Lebouridinium glaucum";-21.464305;70.183981
"Lebouridinium glaucum";-125.0992;50.0307
"Lebouridinium glaucum";-56.810433;67.528067
"Lebouridinium glaucum";-56.744917;69.15655
"Lebouridinium glaucum";-56.268617;70.410017
"Lebouridinium glaucum";-54.9548;67.49992
"Lebouridinium glaucum";-55.2671;70.20865
"Lebouridinium glaucum";-56.0095;69.10402
"Lebouridinium glaucum";-56.9208;66.97933
"Lebouridinium glaucum";-52.8067;69.12703
"Lebouridinium glaucum";-127.9516;51.6505
"Lebouridinium glaucum";10.569384;59.814999
"Lebouridinium glaucum";-127.5583;51.5208
"Lebouridinium glaucum";-128.2384;51.705
"Lebouridinium glaucum";0.44;40.4
"Lebouridinium glaucum";-0.69;37.97
