"species";"lon";"lat"
"Lepocinclis acus";-74.531438;39.494599
"Lepocinclis acus";-71.172639;42.284
"Lepocinclis acus";-71.948622;41.458048
"Lepocinclis acus";119.983149;16.084084
"Lepocinclis acus";4.7;52.9
"Lepocinclis acus";-48.804247;-26.217333
"Lepocinclis acus";-48.788307;-26.271177
"Lepocinclis acus";-48.779735;-26.273446
"Lepocinclis acus";-48.777781;-26.330825
"Lepocinclis acus";4.9;52.1
"Lepocinclis acus";4.85;52.05
"Lepocinclis acus";140.547115;53.11503
"Lepocinclis acus";-9.047451;53.043271
"Lepocinclis acus";4.75;52.9
"Lepocinclis acus";150.46314;-26.957119
"Lepocinclis acus";144.423763;-38.184483
"Lepocinclis acus";144.364808;-38.182211
"Lepocinclis acus";-71.379312;41.835603
"Lepocinclis acus";-48.779389;-26.328864
"Lepocinclis acus";-48.782558;-26.327109
"Lepocinclis acus";83.199706;54.946137
"Lepocinclis acus";117.033588;36.674653
"Lepocinclis acus";5.35;51.45
"Lepocinclis acus";-48.755798;-26.268281
"Lepocinclis acus";-80.31929;27.275276
"Lepocinclis acus";11.528062;45.518633
"Lepocinclis acus";153.184754;-27.812355
"Lepocinclis acus";-48.818358;-26.218206
"Lepocinclis acus";25.375451;54.73372
"Lepocinclis acus";83.12849;54.735765
"Lepocinclis acus";83.092077;54.890441
"Lepocinclis acus";-90.257523;38.607168
"Lepocinclis acus";9.489231;48.888702
"Lepocinclis acus";-41.023428;-21.78066
"Lepocinclis acus";152.925179;-30.658365
"Lepocinclis acus";152.92519;-30.658372
"Lepocinclis acus";-73.315308;42.459725
"Lepocinclis acus";11.587337;45.526168
"Lepocinclis acus";-87.971064;42.260894
"Lepocinclis acus";100.538383;13.713842
"Lepocinclis acus";4.9;52.05
"Lepocinclis acus";15.58426;58.39749
"Lepocinclis acus";15.58355;58.39789
"Lepocinclis acus";15.58881;58.39366
"Lepocinclis acus";2.35912;48.843677
"Lepocinclis acus";37.52634;55.706297
"Lepocinclis acus";18.708582;45.559574
"Lepocinclis acus";15.58649;58.4042
"Lepocinclis acus";15.82314;58.358
"Lepocinclis acus";14.683043;49.136418
"Lepocinclis acus";14.359248;50.084334
"Lepocinclis acus";14.890946;49.07514
"Lepocinclis acus";2.351377;48.857548
"Lepocinclis acus";4.6;52.55
"Lepocinclis acus";5.8;51.9
"Lepocinclis acus";-101.804303;33.569845
"Lepocinclis acus";88.432546;22.359923
"Lepocinclis acus";-79.806388;36.068928
"Lepocinclis acus";24.984854;60.277059
"Lepocinclis acus";30.331213;59.83511
"Lepocinclis acus";-3.27052;53.085425
"Lepocinclis acus";-81.343137;28.558836
"Lepocinclis acus";26.465222;58.265174
"Lepocinclis acus";17.66646;59.81445
"Lepocinclis acus";24.980235;60.269981
"Lepocinclis acus";1.143273;46.705183
"Lepocinclis acus";6.5;53.2
"Lepocinclis acus";43.80139;56.388704
"Lepocinclis acus";25.287017;54.72704
"Lepocinclis acus";-96.588191;39.219657
"Lepocinclis acus";5.85;52
"Lepocinclis acus";5.5;51.4
"Lepocinclis acus";-71.730861;5.420282
"Lepocinclis acus";-65.801559;18.093186
"Lepocinclis acus";-0.57841;44.849012
"Lepocinclis acus";6;53.15
"Lepocinclis acus";-72.539863;11.162673
"Lepocinclis acus";-72.542551;11.168379
"Lepocinclis acus";-72.556497;11.172052
"Lepocinclis acus";-72.559013;11.173596
"Lepocinclis acus";-111.511786;56.988764
"Lepocinclis acus";-111.51659;56.990347
"Lepocinclis acus";-111.517018;56.987025
"Lepocinclis acus";-101.866051;33.554186
"Lepocinclis acus";19.491028;51.768604
"Lepocinclis acus";-111.441643;56.743919
"Lepocinclis acus";-72.242307;40.990221
"Lepocinclis acus";15.06147;47.85437
"Lepocinclis acus";-75.371229;40.100332
"Lepocinclis acus";4.8;52.05
"Lepocinclis acus";22.26549;65.63597
"Lepocinclis acus";-124.802582;49.544803
"Lepocinclis acus";-80.771073;35.211514
"Lepocinclis acus";12.085075;57.670959
"Lepocinclis acus";7.599192;51.946487
"Lepocinclis acus";-124.802601;49.54494
"Lepocinclis acus";-95.269557;32.641173
"Lepocinclis acus";152.544163;-25.437873
"Lepocinclis acus";-122.780886;38.612083
"Lepocinclis acus";-72.530746;11.162449
"Lepocinclis acus";-72.559079;11.173644
"Lepocinclis acus";-72.767517;10.97845
"Lepocinclis acus";-72.69053;11.102546
"Lepocinclis acus";-73.863838;7.361684
"Lepocinclis acus";14.421314;50.070481
"Lepocinclis acus";14.786353;47.947701
"Lepocinclis acus";-74.426377;40.472652
"Lepocinclis acus";-72.556562;11.172262
"Lepocinclis acus";-72.558999;11.173599
"Lepocinclis acus";-72.558746;11.175823
"Lepocinclis acus";6.536543;50.611017
"Lepocinclis acus";22.2785;65.6837
"Lepocinclis acus";21.54771;65.38509
"Lepocinclis acus";8.309147;55.571913
"Lepocinclis acus";-72.561155;11.173674
"Lepocinclis acus";-72.561623;11.173569
"Lepocinclis acus";-76.321573;0.487967
"Lepocinclis acus";-76.371572;0.484973
"Lepocinclis acus";5.1;52.25
"Lepocinclis acus";-72.561724;11.173708
"Lepocinclis acus";-72.553121;11.168989
"Lepocinclis acus";-72.58488;11.113028
"Lepocinclis acus";-72.767525;10.979029
"Lepocinclis acus";-72.679733;11.111741
"Lepocinclis acus";-72.675223;11.114238
"Lepocinclis acus";-72.584865;11.112899
"Lepocinclis acus";-72.767548;10.979031
"Lepocinclis acus";-72.679858;11.111625
"Lepocinclis acus";-72.675451;11.114111
"Lepocinclis acus";-73.891587;7.300332
"Lepocinclis acus";8.587786;45.675535
"Lepocinclis acus";8.587808;45.675767
"Lepocinclis acus";144.452683;-38.187744
"Lepocinclis acus";-73.853469;7.286502
"Lepocinclis acus";-76.397196;0.503859
"Lepocinclis acus";-76.383684;0.481056
"Lepocinclis acus";-74.495289;10.508489
"Lepocinclis acus";120.684134;36.37608
"Lepocinclis acus";-72.712998;11.033308
"Lepocinclis acus";-72.767557;10.978764
"Lepocinclis acus";-72.690453;11.102604
"Lepocinclis acus";-99.206899;20.219884
"Lepocinclis acus";7.633553;52.35202
"Lepocinclis acus";6;52.85
"Lepocinclis acus";-72.564048;11.11096
"Lepocinclis acus";-72.758556;10.970139
"Lepocinclis acus";-72.56171;11.173602
"Lepocinclis acus";-72.718861;11.029639
"Lepocinclis acus";37.671161;55.665434
"Lepocinclis acus";-84.613722;33.383103
"Lepocinclis acus";-72.55657;11.172331
"Lepocinclis acus";-72.561649;11.173664
"Lepocinclis acus";-72.539742;11.162611
"Lepocinclis acus";-72.558719;11.175568
"Lepocinclis acus";-72.542458;11.168527
"Lepocinclis acus";-123.193506;49.270796
"Lepocinclis acus";-72.671748;11.054
"Lepocinclis acus";-72.755384;10.964
"Lepocinclis acus";-72.590202;11.139
"Lepocinclis acus";-72.561619;11.174
