"species";"lon";"lat"
"Lindavia bodanica";0.9;41.3
"Lindavia bodanica";0.74;42.65
"Lindavia bodanica";0.87;42.38
"Lindavia bodanica";1.85;42.04
"Lindavia bodanica";2.69;42.22
"Lindavia bodanica";0.98;42.56
"Lindavia bodanica";0.55;41.3
"Lindavia bodanica";6.19554;48.75382
"Lindavia bodanica";0.53;41.84
"Lindavia bodanica";6.16792;48.6564
"Lindavia bodanica";6.17935;48.66451
"Lindavia bodanica";6.16693;48.65714
"Lindavia bodanica";6.16667;48.65716
"Lindavia bodanica";6.17271;48.65185
"Lindavia bodanica";-86.05537;52.78366
"Lindavia bodanica";-86.23215;52.86728
"Lindavia bodanica";-86.48864;52.8376
"Lindavia bodanica";-86.73127;52.60998
"Lindavia bodanica";-86.05807;52.75734
"Lindavia bodanica";-85.85557;52.73203
"Lindavia bodanica";-85.88654;52.56343
"Lindavia bodanica";-86.50212;52.64603
"Lindavia bodanica";-86.54862;52.71812
"Lindavia bodanica";-85.80959;52.76029
"Lindavia bodanica";-85.46288;52.71329
"Lindavia bodanica";-85.44016;52.70445
"Lindavia bodanica";-85.41091;52.71464
"Lindavia bodanica";-85.46314;52.61996
"Lindavia bodanica";-85.41056;52.56204
"Lindavia bodanica";-86.24873;52.71905
"Lindavia bodanica";-86.40667;52.60527
"Lindavia bodanica";-86.54396;52.6136
"Lindavia bodanica";-87.766314;52.194642
"Lindavia bodanica";-87.851908;51.519906
"Lindavia bodanica";8.392994;46.426667
"Lindavia bodanica";7.126744;45.458692
"Lindavia bodanica";8.464408;45.9558
"Lindavia bodanica";1.85;41.68
"Lindavia bodanica";2.34;41.59
"Lindavia bodanica";2.22;41.5
"Lindavia bodanica";1.13;41.67
"Lindavia bodanica";0.42;41.47
"Lindavia bodanica";-84.4073;55.0381
"Lindavia bodanica";-84.4697;54.8473
"Lindavia bodanica";-84.598;54.7626
"Lindavia bodanica";5.540483;52.873158
"Lindavia bodanica";0.88;42.11
"Lindavia bodanica";0.89;41.84
"Lindavia bodanica";0.64;42.11
"Lindavia bodanica";-85.10079;54.3282
"Lindavia bodanica";-84.7561;54.5343
"Lindavia bodanica";-84.5686;54.3281
"Lindavia bodanica";-84.6288;54.5269
"Lindavia bodanica";0.66;41.57
"Lindavia bodanica";8.6306;45.945
"Lindavia bodanica";5.35216;49.93475
"Lindavia bodanica";7.91529;45.3253
"Lindavia bodanica";0.86;42.56
"Lindavia bodanica";0.99;42.29
"Lindavia bodanica";5.84841;45.09082
"Lindavia bodanica";176.376229;-38.314719
"Lindavia bodanica";-77.45;59.03
"Lindavia bodanica";-78.133;58.983
"Lindavia bodanica";-78.2167;58.8
"Lindavia bodanica";-78.133;58.567
"Lindavia bodanica";-77.45;58.283
"Lindavia bodanica";-76.3;57.85
"Lindavia bodanica";-76.25;57.467
"Lindavia bodanica";-75.883;56.9
"Lindavia bodanica";-75.867;56.13
"Lindavia bodanica";-76.183;55.983
"Lindavia bodanica";-76.85;55.55
"Lindavia bodanica";-77.2;55.367
"Lindavia bodanica";-76.85;55.13
"Lindavia bodanica";-77.83;55.083
"Lindavia bodanica";-77.8167;55.05
"Lindavia bodanica";-77.67;53.55
"Lindavia bodanica";-77.55;53.4
"Lindavia bodanica";-77.55;53.367
"Lindavia bodanica";-77.3;52.783
"Lindavia bodanica";-88.258611;21.576389
"Lindavia bodanica";-85.5;49.353
"Lindavia bodanica";-85.5149;49.463
"Lindavia bodanica";-85.5385;49.3424
"Lindavia bodanica";-85.5123;49.2322
"Lindavia bodanica";-85.3825;49.1966
"Lindavia bodanica";-84.9406;49.40299
"Lindavia bodanica";-85.9409;49.3807
"Lindavia bodanica";-84.679;49.3579
"Lindavia bodanica";-84.7337;49.095
"Lindavia bodanica";-85.1675;49.1415
"Lindavia bodanica";-84.656;49.0446
"Lindavia bodanica";-84.2921;49.4473
"Lindavia bodanica";-84.416;49.196
"Lindavia bodanica";-84.3532;49.3636
"Lindavia bodanica";12.145042;48.529842
"Lindavia bodanica";12.999916;47.56778
"Lindavia bodanica";12.962408;47.532433
"Lindavia bodanica";1.96;42.4
"Lindavia bodanica";9.499741;46.749969
"Lindavia bodanica";32.583862;46.588159
"Lindavia bodanica";32.575721;46.55577
"Lindavia bodanica";32.606534;46.595381
"Lindavia bodanica";32.576928;46.601556
"Lindavia bodanica";32.769476;46.667534
"Lindavia bodanica";34.316667;61.766667
"Lindavia bodanica";9.166667;47.666667
