"species";"lon";"lat"
"Micractinium pusillum";153.000987;-27.540982
"Micractinium pusillum";17.66453;59.81632
"Micractinium pusillum";16.56324;58.99588
"Micractinium pusillum";21.015096;55.313674
"Micractinium pusillum";14.359238;50.084426
"Micractinium pusillum";113.277079;22.896804
"Micractinium pusillum";11.526583;45.521375
"Micractinium pusillum";-96.584228;39.192845
"Micractinium pusillum";25.312949;54.724128
"Micractinium pusillum";-102.598881;33.531628
"Micractinium pusillum";-75.653558;40.276816
"Micractinium pusillum";-87.982822;43.226796
"Micractinium pusillum";17.0715;58.7385
"Micractinium pusillum";24.14155;65.70077
"Micractinium pusillum";-125.314627;49.696625
"Micractinium pusillum";0.76;41.93
"Micractinium pusillum";0.55;41.3
"Micractinium pusillum";0.43;41.29
"Micractinium pusillum";0.54;41.48
"Micractinium pusillum";14.413823;50.068245
"Micractinium pusillum";14.414365;50.068203
"Micractinium pusillum";17.0715;58.73833
"Micractinium pusillum";0.77;41.84
"Micractinium pusillum";0.76;42.02
"Micractinium pusillum";53.72399;16.87233
"Micractinium pusillum";11.04677;59.345379
"Micractinium pusillum";-97.572123;30.439157
"Micractinium pusillum";-47.528474;-23.633314
"Micractinium pusillum";18.57111;54.48522
"Micractinium pusillum";9.056633;56.89985
"Micractinium pusillum";9.057333;56.901317
"Micractinium pusillum";21.5379;65.3371
"Micractinium pusillum";15.984;55.25
"Micractinium pusillum";-72.400523;5.348903
"Micractinium pusillum";13.5673;45.5188
"Micractinium pusillum";-4.159167;50.350134
"Micractinium pusillum";91.7;26.19
"Micractinium pusillum";12.72;56.565
"Micractinium pusillum";25.3;60.25
"Micractinium pusillum";-70.164185;-9.914744
"Micractinium pusillum";22.27467;65.63079
"Micractinium pusillum";5.17179;51.231107
"Micractinium pusillum";13.305573;52.461132
"Micractinium pusillum";18.96;54.38
"Micractinium pusillum";27.5887;58.11782
"Micractinium pusillum";5.661174;52.608198
"Micractinium pusillum";6.001598;52.732377
"Micractinium pusillum";6.034711;52.668843
"Micractinium pusillum";27.48833;58.235
"Micractinium pusillum";6.281005;52.78498
"Micractinium pusillum";6.13519;52.696365
"Micractinium pusillum";6.115406;52.712054
"Micractinium pusillum";9.274686;41.012211
"Micractinium pusillum";18.93;54.38
"Micractinium pusillum";27.48742;58.23278
"Micractinium pusillum";7.883769;45.486222
"Micractinium pusillum";22.24667;65.6535
"Micractinium pusillum";21.6695;65.29383
"Micractinium pusillum";21.54483;65.34433
"Micractinium pusillum";21.48383;65.355
"Micractinium pusillum";4.812238;52.235952
