"species";"lon";"lat"
"Monoraphidium komarkovae";-48.921897;-26.294087
"Monoraphidium komarkovae";-48.905669;-26.302786
"Monoraphidium komarkovae";-48.802331;-26.213242
"Monoraphidium komarkovae";-48.912361;-26.298191
"Monoraphidium komarkovae";-48.804247;-26.217333
"Monoraphidium komarkovae";17.66621;59.81441
"Monoraphidium komarkovae";11.528062;45.518633
"Monoraphidium komarkovae";1.350335;49.179474
"Monoraphidium komarkovae";22.06533;64.70767
"Monoraphidium komarkovae";22.44617;65.733
"Monoraphidium komarkovae";18.26317;62.86367
"Monoraphidium komarkovae";22.06583;64.70867
"Monoraphidium komarkovae";18.952;62.65217
"Monoraphidium komarkovae";19.81933;63.5005
"Monoraphidium komarkovae";19.80833;63.52483
"Monoraphidium komarkovae";22.44883;65.73033
"Monoraphidium komarkovae";-48.818358;-26.218206
"Monoraphidium komarkovae";22.4465;65.73
"Monoraphidium komarkovae";22.06433;64.7055
"Monoraphidium komarkovae";18.264;62.86383
"Monoraphidium komarkovae";11.032425;59.330515
"Monoraphidium komarkovae";18.95267;62.65267
"Monoraphidium komarkovae";18.264;62.8635
"Monoraphidium komarkovae";22.375;65.8075
"Monoraphidium komarkovae";19.80817;63.525
"Monoraphidium komarkovae";6.825231;62.351546
"Monoraphidium komarkovae";19.8185;63.49967
"Monoraphidium komarkovae";18.9525;62.65283
"Monoraphidium komarkovae";18.2645;62.8635
"Monoraphidium komarkovae";22.067;64.70833
"Monoraphidium komarkovae";22.37583;65.80583
"Monoraphidium komarkovae";22.44667;65.73
"Monoraphidium komarkovae";18.82474;59.95834
"Monoraphidium komarkovae";20.2475;63.70833
"Monoraphidium komarkovae";10.63338;59.60468
"Monoraphidium komarkovae";19.80817;63.52517
"Monoraphidium komarkovae";18.95283;62.65283
"Monoraphidium komarkovae";18.23283;61.1835
"Monoraphidium komarkovae";22.06717;64.70833
"Monoraphidium komarkovae";20.24767;63.7085
"Monoraphidium komarkovae";19.80833;63.52517
"Monoraphidium komarkovae";22.375;65.80717
"Monoraphidium komarkovae";19.8195;63.4995
"Monoraphidium komarkovae";18.26467;62.8635
"Monoraphidium komarkovae";18.9525;62.65217
"Monoraphidium komarkovae";22.06617;64.70867
"Monoraphidium komarkovae";19.819;63.49967
"Monoraphidium komarkovae";22.0655;64.70833
"Monoraphidium komarkovae";19.8085;63.52467
"Monoraphidium komarkovae";18.95233;62.65317
"Monoraphidium komarkovae";18.26367;62.86367
"Monoraphidium komarkovae";22.06467;64.709
"Monoraphidium komarkovae";19.82;63.49783
"Monoraphidium komarkovae";18.26317;62.86433
"Monoraphidium komarkovae";18.23233;61.184
"Monoraphidium komarkovae";22.06767;64.70767
"Monoraphidium komarkovae";22.444;65.72817
"Monoraphidium komarkovae";11.314266;59.111717
"Monoraphidium komarkovae";10.420983;59.627766
"Monoraphidium komarkovae";22.06367;64.708
"Monoraphidium komarkovae";22.06717;64.70817
"Monoraphidium komarkovae";19.808;63.52517
"Monoraphidium komarkovae";17.16636;60.95757
"Monoraphidium komarkovae";17.28398;60.69692
"Monoraphidium komarkovae";9.48224;59.6239
"Monoraphidium komarkovae";19.80883;63.52467
"Monoraphidium komarkovae";22.447;65.73017
"Monoraphidium komarkovae";18.954;62.6525
"Monoraphidium komarkovae";18.27479;60.35582
"Monoraphidium komarkovae";18.44778;60.3464
"Monoraphidium komarkovae";18.57657;60.10986
"Monoraphidium komarkovae";18.48382;60.17682
"Monoraphidium komarkovae";18.41649;60.24931
"Monoraphidium komarkovae";19.17208;59.41931
"Monoraphidium komarkovae";18.57889;59.3845
