"species";"lon";"lat"
"Nitzschia acicularis";-79.170137;-2.947326
"Nitzschia acicularis";72.706944;21.0795
"Nitzschia acicularis";72.807389;21.189722
"Nitzschia acicularis";7.599192;51.946487
"Nitzschia acicularis";-75.156639;5.926619
"Nitzschia acicularis";5.2;52.4
"Nitzschia acicularis";120.69564;24.00696
"Nitzschia acicularis";120.99071;24.08134
"Nitzschia acicularis";120.466667;24.178394
"Nitzschia acicularis";120.259742;23.858514
"Nitzschia acicularis";120.68072;23.93657
"Nitzschia acicularis";120.72781;23.93577
"Nitzschia acicularis";120.63035;24.06526
"Nitzschia acicularis";120.82696;24.02705
"Nitzschia acicularis";120.73866;23.8898
"Nitzschia acicularis";-74.815556;11.038888
"Nitzschia acicularis";-74.798333;11.0275
"Nitzschia acicularis";12.08465;54.133453
"Nitzschia acicularis";-75.664895;7.12052
"Nitzschia acicularis";-75.56763;4.022805
"Nitzschia acicularis";-75.53786;4.009361
"Nitzschia acicularis";-75.52425;4.012638
"Nitzschia acicularis";120.156885;23.000722
"Nitzschia acicularis";-76.591722;3.885667
"Nitzschia acicularis";-76.609722;3.888556
"Nitzschia acicularis";-75.51719;4.014305
"Nitzschia acicularis";-95.181824;43.380053
"Nitzschia acicularis";-76.585972;3.882722
"Nitzschia acicularis";11.04677;59.345379
"Nitzschia acicularis";3.846583;6.614472
"Nitzschia acicularis";4.082583;6.55925
"Nitzschia acicularis";3.807833;6.619694
"Nitzschia acicularis";3.899667;6.607722
"Nitzschia acicularis";3.976472;6.573889
"Nitzschia acicularis";4.084083;6.545167
"Nitzschia acicularis";4.097056;6.521167
"Nitzschia acicularis";29.7446;-2.5665
"Nitzschia acicularis";35.2727;50.0782
"Nitzschia acicularis";35.2768;50.0749
"Nitzschia acicularis";35.1782;50.1011
"Nitzschia acicularis";35.1769;50.1088
"Nitzschia acicularis";3.751889;6.611972
"Nitzschia acicularis";4.063889;6.582556
"Nitzschia acicularis";4.062833;6.498417
"Nitzschia acicularis";5.17179;51.231107
"Nitzschia acicularis";5.200833;51.225278
"Nitzschia acicularis";7.391339;45.053778
"Nitzschia acicularis";3.322521;50.843523
"Nitzschia acicularis";2.157855;41.642081
"Nitzschia acicularis";2.158102;41.642098
"Nitzschia acicularis";-2.9;56.65
"Nitzschia acicularis";4.347203;51.232794
"Nitzschia acicularis";5.125887;50.8414
"Nitzschia acicularis";4.441574;51.064583
"Nitzschia acicularis";5.146583;50.961342
"Nitzschia acicularis";-72.544944;11.166583
"Nitzschia acicularis";-72.741667;11.048611
"Nitzschia acicularis";-72.734722;11.041083
"Nitzschia acicularis";-72.588306;11.116
"Nitzschia acicularis";-72.595833;11.139778
"Nitzschia acicularis";-72.563472;11.177472
"Nitzschia acicularis";13.3505;52.514167
"Nitzschia acicularis";3.083575;6.477167
"Nitzschia acicularis";4.084667;6.5459
"Nitzschia acicularis";4.125183;6.567833
"Nitzschia acicularis";4.126733;6.481117
"Nitzschia acicularis";4.167467;6.520883
"Nitzschia acicularis";4.0558;6.476283
"Nitzschia acicularis";6.11;49.85
"Nitzschia acicularis";13.416592;52.434046
"Nitzschia acicularis";13.419932;52.43578
"Nitzschia acicularis";10.677815;53.700463
"Nitzschia acicularis";10.444214;54.182356
"Nitzschia acicularis";7.91529;45.3253
"Nitzschia acicularis";-90.307;17.243
"Nitzschia acicularis";-90.531;17.672
"Nitzschia acicularis";-90.881;17.296
"Nitzschia acicularis";-90.257;17.26
"Nitzschia acicularis";-90.848;17.337
"Nitzschia acicularis";-90.713;17.283
"Nitzschia acicularis";-90.533;17.672
"Nitzschia acicularis";-90.548;17.653
"Nitzschia acicularis";-90.298;17.231
"Nitzschia acicularis";-90.295;17.246
"Nitzschia acicularis";-90.644;17.432
"Nitzschia acicularis";-90.409;17.602
"Nitzschia acicularis";5.892271;4.732307
"Nitzschia acicularis";5.712104;5.387626
"Nitzschia acicularis";7.061112;4.802423
"Nitzschia acicularis";3.38692;6.526148
"Nitzschia acicularis";4.865396;7.073984
"Nitzschia acicularis";13.120802;52.574816
"Nitzschia acicularis";14.6451;52.019877
"Nitzschia acicularis";14.207392;52.048314
"Nitzschia acicularis";13.116658;52.47212
"Nitzschia acicularis";7.4167;54.25
"Nitzschia acicularis";9.00733;50.071838
"Nitzschia acicularis";8.059;51.2874
"Nitzschia acicularis";6.7755;51.4508
"Nitzschia acicularis";6.6206;51.6667
"Nitzschia acicularis";9.4167;51.1833
"Nitzschia acicularis";-122.4194;37.7749
"Nitzschia acicularis";8.403889;49.008056
"Nitzschia acicularis";17.049751;50.7999
"Nitzschia acicularis";5.039364;51.33756
"Nitzschia acicularis";29.40547;50.615539
"Nitzschia acicularis";12.415924;51.332115
"Nitzschia acicularis";12.416267;51.333225
"Nitzschia acicularis";8.615341;48.604511
"Nitzschia acicularis";31.805741;46.586576
"Nitzschia acicularis";31.95183;46.58802
"Nitzschia acicularis";31.749001;46.580443
"Nitzschia acicularis";5.738452;49.740885
"Nitzschia acicularis";5.736574;49.736777
"Nitzschia acicularis";4.80767;50.431235
"Nitzschia acicularis";4.553286;50.284
"Nitzschia acicularis";3.792557;50.874472
"Nitzschia acicularis";17.726389;49.299444
"Nitzschia acicularis";2.925822;50.848866
