"species";"lon";"lat"
"Pediastrum duplex";5.15;52.25
"Pediastrum duplex";9.290555;52.923519
"Pediastrum duplex";9.207235;52.923519
"Pediastrum duplex";-88.930465;37.376808
"Pediastrum duplex";16.891348;52.329234
"Pediastrum duplex";-95.99366;32.841892
"Pediastrum duplex";82.975347;54.988001
"Pediastrum duplex";4.85;52.05
"Pediastrum duplex";171.257021;-44.410591
"Pediastrum duplex";-81.770395;26.46523
"Pediastrum duplex";4.9;52.1
"Pediastrum duplex";-83.042511;40.034019
"Pediastrum duplex";113.836866;22.696273
"Pediastrum duplex";151.114098;-33.771566
"Pediastrum duplex";-2.818268;48.600889
"Pediastrum duplex";151.114187;-33.771616
"Pediastrum duplex";113.277411;22.898559
"Pediastrum duplex";136.011128;48.885374
"Pediastrum duplex";9.948021;54.276595
"Pediastrum duplex";-89.472507;37.575774
"Pediastrum duplex";-74.724137;40.43993
"Pediastrum duplex";83.198053;54.943897
"Pediastrum duplex";19.573383;49.091268
"Pediastrum duplex";146.672439;-38.565058
"Pediastrum duplex";-73.755493;41.076707
"Pediastrum duplex";-73.747197;41.046395
"Pediastrum duplex";6.1;52.65
"Pediastrum duplex";-84.373755;33.784455
"Pediastrum duplex";-80.257364;27.22687
"Pediastrum duplex";-89.505075;37.47663
"Pediastrum duplex";-90.072612;38.789321
"Pediastrum duplex";-80.31929;27.275276
"Pediastrum duplex";-97.173626;49.723096
"Pediastrum duplex";39.437324;54.888137
"Pediastrum duplex";5.9;51.95
"Pediastrum duplex";26.465222;58.265174
"Pediastrum duplex";-89.72802;45.876945
"Pediastrum duplex";-122.499778;45.630562
"Pediastrum duplex";83.04311;54.889701
"Pediastrum duplex";-79.879529;43.111131
"Pediastrum duplex";-122.646861;45.435167
"Pediastrum duplex";-88.668113;43.61952
"Pediastrum duplex";-89.183345;37.502057
"Pediastrum duplex";83.09236;54.890195
"Pediastrum duplex";-101.80338;33.567878
"Pediastrum duplex";-89.267438;37.779923
"Pediastrum duplex";36.022605;49.89809
"Pediastrum duplex";113.265466;22.939125
"Pediastrum duplex";-88.748208;37.458013
"Pediastrum duplex";-89.197966;37.34479
"Pediastrum duplex";-80.21342;27.225966
"Pediastrum duplex";153.09515;-27.37578
"Pediastrum duplex";46.201693;55.928646
"Pediastrum duplex";11.221284;43.72683
"Pediastrum duplex";-97.173282;49.722309
"Pediastrum duplex";-89.156136;37.725495
"Pediastrum duplex";-41.324943;-21.750787
"Pediastrum duplex";-88.973683;37.234168
"Pediastrum duplex";18.693182;50.921013
"Pediastrum duplex";-41.02512;-21.637223
"Pediastrum duplex";-41.296393;-21.739035
"Pediastrum duplex";9.489231;48.888702
"Pediastrum duplex";-41.02225;-21.787281
"Pediastrum duplex";-75.93383;38.9532
"Pediastrum duplex";-73.31523;42.45972
"Pediastrum duplex";-85.739585;42.992842
"Pediastrum duplex";11.587337;45.526168
"Pediastrum duplex";-85.739608;42.99281
"Pediastrum duplex";-64.796191;46.109313
"Pediastrum duplex";-93.285476;44.970305
"Pediastrum duplex";-85.756563;42.93317
"Pediastrum duplex";-85.756564;42.933174
"Pediastrum duplex";-85.756563;42.933174
"Pediastrum duplex";37.897424;55.936222
"Pediastrum duplex";-1.320413;43.776068
"Pediastrum duplex";100.537693;13.712675
"Pediastrum duplex";100.537812;13.714403
"Pediastrum duplex";-1.292889;48.596096
"Pediastrum duplex";-98.468616;31.972293
"Pediastrum duplex";83.092754;54.890234
"Pediastrum duplex";5.85;53.2
"Pediastrum duplex";12.08487;57.67121
"Pediastrum duplex";16.56324;58.99588
"Pediastrum duplex";25.376444;54.735152
"Pediastrum duplex";0.689173;47.389768
"Pediastrum duplex";-98.468449;31.972507
"Pediastrum duplex";-85.738298;42.997606
"Pediastrum duplex";10.85349;45.897808
"Pediastrum duplex";-98.484309;31.968168
"Pediastrum duplex";-78.74063;44.340753
"Pediastrum duplex";-85.736709;42.991635
"Pediastrum duplex";-122.414967;45.608708
"Pediastrum duplex";-81.504025;35.875723
"Pediastrum duplex";21.015105;55.313594
"Pediastrum duplex";-85.757438;42.933654
"Pediastrum duplex";21.015096;55.313674
"Pediastrum duplex";-80.804118;35.206284
"Pediastrum duplex";4.7;52.9
"Pediastrum duplex";6;52.85
"Pediastrum duplex";15.58675;58.24997
"Pediastrum duplex";117.121529;36.65626
"Pediastrum duplex";113.008288;23.72407
"Pediastrum duplex";14.076238;49.109621
"Pediastrum duplex";113.086855;23.745738
"Pediastrum duplex";14.342013;50.096487
"Pediastrum duplex";14.349249;50.044082
"Pediastrum duplex";2.448353;48.782823
"Pediastrum duplex";-80.863358;35.505967
