"species";"lon";"lat"
"Peridiniella catenata";17.62367;58.80333
"Peridiniella catenata";20.077;57.313
"Peridiniella catenata";18.2345;58.59317
"Peridiniella catenata";19.80783;63.52483
"Peridiniella catenata";18.95167;62.65267
"Peridiniella catenata";18.26317;62.86367
"Peridiniella catenata";20.076;57.31217
"Peridiniella catenata";18.23617;58.59367
"Peridiniella catenata";16.536;56.11633
"Peridiniella catenata";22.06583;64.70867
"Peridiniella catenata";18.952;62.65217
"Peridiniella catenata";19.80833;63.52483
"Peridiniella catenata";22.44883;65.73033
"Peridiniella catenata";18.31974;59.29523
"Peridiniella catenata";18.37725;59.32534
"Peridiniella catenata";18.34321;59.36615
"Peridiniella catenata";18.38358;59.26851
"Peridiniella catenata";20.07367;57.3165
"Peridiniella catenata";18.23633;58.59367
"Peridiniella catenata";18.23683;58.59867
"Peridiniella catenata";16.53617;56.11717
"Peridiniella catenata";19.81983;63.49967
"Peridiniella catenata";10.723783;59.7863
"Peridiniella catenata";20.0785;57.30983
"Peridiniella catenata";14.09883;54.97117
"Peridiniella catenata";16.536;56.11617
"Peridiniella catenata";15.98317;55.25067
"Peridiniella catenata";19.80817;63.52483
"Peridiniella catenata";19.81867;63.50017
"Peridiniella catenata";18.26433;62.8635
"Peridiniella catenata";22.06433;64.7055
"Peridiniella catenata";13.643;55.3858
"Peridiniella catenata";13.0188;55.3471
"Peridiniella catenata";14.8236;56.1115
"Peridiniella catenata";14.5138;55.9831
"Peridiniella catenata";18.8527;59.31379
"Peridiniella catenata";18.6734;59.37828
"Peridiniella catenata";18.39062;59.43943
"Peridiniella catenata";20.07583;57.31233
"Peridiniella catenata";16.53717;56.11667
"Peridiniella catenata";19.80817;63.525
"Peridiniella catenata";19.81833;63.49967
"Peridiniella catenata";18.95233;62.65283
"Peridiniella catenata";18.264;62.86383
"Peridiniella catenata";19.808;63.525
"Peridiniella catenata";18.15263;59.3192
"Peridiniella catenata";10.678084;59.484333
"Peridiniella catenata";10.569373;59.81498
"Peridiniella catenata";18.95233;62.65317
"Peridiniella catenata";18.23633;58.59383
"Peridiniella catenata";16.53583;56.11633
"Peridiniella catenata";22.444;65.72817
"Peridiniella catenata";19.81917;63.49967
"Peridiniella catenata";18.95167;62.65283
"Peridiniella catenata";18.263;62.8635
"Peridiniella catenata";21.6887;69.9664
"Peridiniella catenata";21.0725;70.1161
"Peridiniella catenata";9.655319;63.86995
"Peridiniella catenata";12.235439;65.60086
"Peridiniella catenata";16.202;56.37067
"Peridiniella catenata";22.06367;64.708
"Peridiniella catenata";22.44667;65.73
"Peridiniella catenata";18.26617;62.8635
"Peridiniella catenata";10.051567;59.019299
"Peridiniella catenata";20.07633;57.31217
"Peridiniella catenata";15.984;55.25
"Peridiniella catenata";12.4745;56.2012
"Peridiniella catenata";12.8539;55.8005
"Peridiniella catenata";12.8808;55.5133
"Peridiniella catenata";20.07617;57.31117
"Peridiniella catenata";15.983;55.25
"Peridiniella catenata";16.202;56.37083
"Peridiniella catenata";22.44683;65.729
"Peridiniella catenata";18.26417;62.86367
"Peridiniella catenata";19.8085;63.52467
