"species";"lon";"lat"
"Planktothrix agardhii";15.57557;58.39502
"Planktothrix agardhii";16.56324;58.99588
"Planktothrix agardhii";-0.659461;44.802938
"Planktothrix agardhii";10.089531;48.35319
"Planktothrix agardhii";-0.33;39.35
"Planktothrix agardhii";-0.33;39.35
"Planktothrix agardhii";22.4465;65.73
"Planktothrix agardhii";-0.34;39.35
"Planktothrix agardhii";11.032425;59.330515
"Planktothrix agardhii";26.465222;58.265174
"Planktothrix agardhii";22.375;65.8075
"Planktothrix agardhii";22.44667;65.73
"Planktothrix agardhii";18.34321;59.36615
"Planktothrix agardhii";-122.7403;45.68
"Planktothrix agardhii";22.37583;65.80583
"Planktothrix agardhii";18.15263;59.3192
"Planktothrix agardhii";18.0324;59.37215
"Planktothrix agardhii";18.04846;59.35909
"Planktothrix agardhii";18.39062;59.43943
"Planktothrix agardhii";-0.36;39.35
"Planktothrix agardhii";22.375;65.80717
"Planktothrix agardhii";22.44617;65.7295
"Planktothrix agardhii";72.067882;41.11287
"Planktothrix agardhii";72.152866;41.041476
"Planktothrix agardhii";71.8145;41.070792
"Planktothrix agardhii";10.323477;60.097441
"Planktothrix agardhii";18.6734;59.37828
"Planktothrix agardhii";22.37533;65.80733
"Planktothrix agardhii";17.28398;60.69692
"Planktothrix agardhii";0.54;41.48
"Planktothrix agardhii";22.447;65.73017
"Planktothrix agardhii";18.57657;60.10986
"Planktothrix agardhii";18.33801;60.29853
"Planktothrix agardhii";22.44717;65.72983
"Planktothrix agardhii";18.41649;60.24931
"Planktothrix agardhii";17.99832;59.4119
"Planktothrix agardhii";1.12;42.03
"Planktothrix agardhii";0.55;41.3
"Planktothrix agardhii";0.79;41.12
"Planktothrix agardhii";0.43;41.29
"Planktothrix agardhii";2.80785;51.43329
"Planktothrix agardhii";22.37467;65.8075
"Planktothrix agardhii";22.44633;65.73
"Planktothrix agardhii";18.1079;59.33057
"Planktothrix agardhii";2.60694;51.15649
"Planktothrix agardhii";3.0328;51.34266
"Planktothrix agardhii";2.85096;51.3087
"Planktothrix agardhii";3.18118;51.4381
"Planktothrix agardhii";3.18026;51.43761
"Planktothrix agardhii";3.21419;51.42366
"Planktothrix agardhii";3.21419;51.42367
"Planktothrix agardhii";-74.467228;46.206766
"Planktothrix agardhii";22.376;65.8075
"Planktothrix agardhii";22.44567;65.73
"Planktothrix agardhii";22.44683;65.72983
"Planktothrix agardhii";23.88068;65.69992
"Planktothrix agardhii";21.98934;65.48951
"Planktothrix agardhii";22.2492;65.6639
"Planktothrix agardhii";24.08653;65.69676
"Planktothrix agardhii";24.11752;65.75391
"Planktothrix agardhii";21.89184;65.52339
"Planktothrix agardhii";22.36667;65.72562
"Planktothrix agardhii";22.40178;65.68358
"Planktothrix agardhii";22.74777;65.53559
"Planktothrix agardhii";22.70051;65.88256
"Planktothrix agardhii";22.32293;65.48424
"Planktothrix agardhii";21.164;64.66783
"Planktothrix agardhii";22.375;65.80733
"Planktothrix agardhii";18.38648;59.43668
"Planktothrix agardhii";18.44225;59.37692
"Planktothrix agardhii";18.28706;59.36413
"Planktothrix agardhii";18.18221;59.32579
"Planktothrix agardhii";18.31829;59.29366
"Planktothrix agardhii";18.57889;59.3845
"Planktothrix agardhii";21.6823;65.41538
"Planktothrix agardhii";21.54771;65.38509
"Planktothrix agardhii";18.08988;59.35983
