"species";"lon";"lat"
"Prorocentrum lima";-80.137258;-2.422146
"Prorocentrum lima";5.4742;60.10425
"Prorocentrum lima";17.254999;68.3374
"Prorocentrum lima";-79.871775;-2.516908
"Prorocentrum lima";5.8;59.066669
"Prorocentrum lima";6.134501;59.2435
"Prorocentrum lima";11.6667;57.9012
"Prorocentrum lima";5.952701;61.146
"Prorocentrum lima";7.006108;62.094402
"Prorocentrum lima";18.1521;57.21594
"Prorocentrum lima";11.5933;57.9196
"Prorocentrum lima";5.75517;62.32841
"Prorocentrum lima";19.77006;69.7544
"Prorocentrum lima";15.4461;67.1709
"Prorocentrum lima";-68.202588;44.402771
"Prorocentrum lima";21.6887;69.9664
"Prorocentrum lima";6.4398;60.4014
"Prorocentrum lima";11.161667;59.114334
"Prorocentrum lima";9.255;58.73833
"Prorocentrum lima";2.951667;51.230556
"Prorocentrum lima";-78.319473;2.670203
"Prorocentrum lima";21.0725;70.1161
"Prorocentrum lima";11.4333;58.2598
"Prorocentrum lima";-68.192764;44.39152
"Prorocentrum lima";14.650019;68.116664
"Prorocentrum lima";-6.23;35.95
"Prorocentrum lima";11.4033;58.3433
"Prorocentrum lima";9.800005;59.034995
"Prorocentrum lima";10.53623;59.18993
"Prorocentrum lima";-6.23;35.95
"Prorocentrum lima";10.458333;59.486668
"Prorocentrum lima";14.977001;67.2743
"Prorocentrum lima";147.6184;-19.3085
"Prorocentrum lima";8.066671;58.17167
"Prorocentrum lima";10.355416;59.202835
"Prorocentrum lima";10.246068;59.077351
"Prorocentrum lima";11.4333;58.2583
"Prorocentrum lima";13.4787;66.8205
"Prorocentrum lima";11.4356;58.2598
"Prorocentrum lima";-71.352324;-29.965534
"Prorocentrum lima";115.4167;-32
"Prorocentrum lima";79.19;9.28
"Prorocentrum lima";159.87;-9.38
"Prorocentrum lima";136.4473;-35.8322
"Prorocentrum lima";159.99;-9.43
"Prorocentrum lima";8.816667;58.383329
"Prorocentrum lima";5.54224;60.159479
"Prorocentrum lima";11.24;58.35333
"Prorocentrum lima";2.483333;41.55
"Prorocentrum lima";10.590569;59.35867
"Prorocentrum lima";129.63;28.41
"Prorocentrum lima";-77.412097;6.231994
"Prorocentrum lima";-77.411155;6.25295
"Prorocentrum lima";-77.403338;6.251811
"Prorocentrum lima";-77.437461;6.272063
"Prorocentrum lima";-86.782219;21.434719
"Prorocentrum lima";-86.850528;20.874733
"Prorocentrum lima";-86.850528;20.874733
"Prorocentrum lima";-86.782219;21.434719
"Prorocentrum lima";-86.876194;20.824222
"Prorocentrum lima";-86.876194;20.824222
"Prorocentrum lima";-86.878693;20.832819
"Prorocentrum lima";-86.878693;20.832819
"Prorocentrum lima";151.2267;-34.1192
"Prorocentrum lima";6.41967;43.01483
"Prorocentrum lima";-64.344722;10.399167
