"species";"lon";"lat"
"Stephanodiscus dubius";8.5678;51.1234
"Stephanodiscus dubius";7.6543;51.9876
"Stephanodiscus dubius";7.8901;51.4567
"Stephanodiscus dubius";8.9012;51.2345
"Stephanodiscus dubius";8.3456;50.8765
"Stephanodiscus dubius";8.7654;50.5432
"Stephanodiscus dubius";8.1234;50.789
"Stephanodiscus dubius";7.5432;51.4321
"Stephanodiscus dubius";7.2109;51.8765
"Stephanodiscus dubius";8.0987;51.6543
"Stephanodiscus dubius";7.8901;52.3456
"Stephanodiscus dubius";7.5432;51.2345
"Stephanodiscus dubius";8.0461;51.2874
"Stephanodiscus dubius";6.7623;51.4344
"Stephanodiscus dubius";6.6206;51.6667
"Stephanodiscus dubius";9.4167;51.1833
"Stephanodiscus dubius";-122.4194;37.7749
"Stephanodiscus dubius";8.0667;51.5167
"Stephanodiscus dubius";-81.035156;29.988056
"Stephanodiscus dubius";-73.766667;-42.5
"Stephanodiscus dubius";-120;47
