"species";"lon";"lat"
"Strombomonas acuminata";-7.368079;57.322658
"Strombomonas acuminata";-7.372353;57.304116
"Strombomonas acuminata";121.23;30.17
"Strombomonas acuminata";-1.36;52.12
"Strombomonas acuminata";35.2683;50.0615
"Strombomonas acuminata";118.1992;39.5117
"Strombomonas acuminata";4.118709;51.793527
"Strombomonas acuminata";4.082744;51.739322
"Strombomonas acuminata";4.096084;51.755363
"Strombomonas acuminata";4.350632;51.680242
"Strombomonas acuminata";4.347892;51.686232
"Strombomonas acuminata";4.107924;51.766415
"Strombomonas acuminata";4.169995;51.691008
"Strombomonas acuminata";4.128745;51.707094
"Strombomonas acuminata";4.280289;51.71667
"Strombomonas acuminata";3.534932;51.572802
"Strombomonas acuminata";4.103947;51.75037
"Strombomonas acuminata";4.18099;51.73863
"Strombomonas acuminata";5.236028;51.795182
"Strombomonas acuminata";4.168488;51.816699
"Strombomonas acuminata";4.925934;51.96642
"Strombomonas acuminata";4.287057;51.840487
"Strombomonas acuminata";4.185005;51.850534
"Strombomonas acuminata";4.105312;51.767582
"Strombomonas acuminata";4.22492;51.693588
"Strombomonas acuminata";4.254526;51.676385
"Strombomonas acuminata";4.169864;51.735099
"Strombomonas acuminata";4.36752;51.802812
"Strombomonas acuminata";4.118758;51.786624
"Strombomonas acuminata";3.965548;51.814685
"Strombomonas acuminata";4.958131;52.005003
"Strombomonas acuminata";5.163291;52.001967
"Strombomonas acuminata";4.930468;52.068508
"Strombomonas acuminata";4.474487;51.715791
"Strombomonas acuminata";4.917871;52.118262
"Strombomonas acuminata";4.207707;51.83719
"Strombomonas acuminata";4.352897;51.612115
"Strombomonas acuminata";4.21367;51.890124
"Strombomonas acuminata";4.201996;51.900929
"Strombomonas acuminata";4.338931;51.616665
"Strombomonas acuminata";4.130158;51.777505
"Strombomonas acuminata";6.444743;52.598315
"Strombomonas acuminata";4.208332;51.840487
"Strombomonas acuminata";4.38218;51.632866
"Strombomonas acuminata";4.193848;51.538416
"Strombomonas acuminata";3.895037;51.502618
"Strombomonas acuminata";-51.220278;-30.0375
"Strombomonas acuminata";4.546337;51.995536
"Strombomonas acuminata";4.919372;52.395805
"Strombomonas acuminata";2.1;41.41
"Strombomonas acuminata";-3.166667;6.016667
"Strombomonas acuminata";-4.233333;5.833333
"Strombomonas acuminata";-3.75;5.25
"Strombomonas acuminata";32.769476;46.667534
