"species";"lon";"lat"
"Tabellaria fenestrata";13.12291;55.54644
"Tabellaria fenestrata";-82.70465;32.339584
"Tabellaria fenestrata";17.66621;59.81441
"Tabellaria fenestrata";5.95;50.9
"Tabellaria fenestrata";13.761648;46.875622
"Tabellaria fenestrata";12.08514;57.66928
"Tabellaria fenestrata";16.56324;58.99588
"Tabellaria fenestrata";12.08487;57.67121
"Tabellaria fenestrata";15.54016;58.14396
"Tabellaria fenestrata";30.22932;59.959412
"Tabellaria fenestrata";11.89811;57.74345
"Tabellaria fenestrata";-69.488601;44.438339
"Tabellaria fenestrata";16.84088;59.08294
"Tabellaria fenestrata";-77.920479;38.016921
"Tabellaria fenestrata";-77.920853;38.016964
"Tabellaria fenestrata";11.314266;59.111717
"Tabellaria fenestrata";5.75517;62.32841
"Tabellaria fenestrata";10.72905;59.28868
"Tabellaria fenestrata";10.420983;59.627766
"Tabellaria fenestrata";10.63338;59.60468
"Tabellaria fenestrata";22.375;65.8075
"Tabellaria fenestrata";17.6699;59.81533
"Tabellaria fenestrata";18.66162;59.62122
"Tabellaria fenestrata";20.3359;63.7105
"Tabellaria fenestrata";20.3333;63.6728
"Tabellaria fenestrata";20.3333;63.6728
"Tabellaria fenestrata";17.11492;58.72464
"Tabellaria fenestrata";13.76564;56.95151
"Tabellaria fenestrata";10.723783;59.7863
"Tabellaria fenestrata";10.678084;59.484333
"Tabellaria fenestrata";17.4911;60.6585
"Tabellaria fenestrata";17.6066;60.6633
"Tabellaria fenestrata";18.1079;59.33057
"Tabellaria fenestrata";18.15263;59.3192
"Tabellaria fenestrata";18.34321;59.36615
"Tabellaria fenestrata";18.39062;59.43943
"Tabellaria fenestrata";11.6867;57.6675
"Tabellaria fenestrata";11.5933;57.9196
"Tabellaria fenestrata";20.32912;63.67898
"Tabellaria fenestrata";20.3359;63.7105
"Tabellaria fenestrata";20.24767;63.7085
"Tabellaria fenestrata";72.13229;41.160907
"Tabellaria fenestrata";10.323477;60.097441
"Tabellaria fenestrata";11.310001;64.47
"Tabellaria fenestrata";11.161667;59.114334
"Tabellaria fenestrata";22.44667;65.73
"Tabellaria fenestrata";-80.027652;36.116455
"Tabellaria fenestrata";-80.715588;35.264489
"Tabellaria fenestrata";10.723783;59.7863
"Tabellaria fenestrata";-125.535238;49.622697
"Tabellaria fenestrata";-125.535152;49.622688
"Tabellaria fenestrata";11.4333;58.2583
"Tabellaria fenestrata";18.2645;62.864
"Tabellaria fenestrata";11.24;58.3537
"Tabellaria fenestrata";11.7683;57.6788
"Tabellaria fenestrata";20.30378;63.82095
"Tabellaria fenestrata";17.111;58.64895
"Tabellaria fenestrata";10.836563;59.393422
"Tabellaria fenestrata";11.4518;58.2569
"Tabellaria fenestrata";22.447;65.73017
"Tabellaria fenestrata";24.14155;65.70077
"Tabellaria fenestrata";24.14358;65.65237
"Tabellaria fenestrata";21.89184;65.52339
"Tabellaria fenestrata";20.3206;63.6096
"Tabellaria fenestrata";10.331285;59.916709
"Tabellaria fenestrata";24.08653;65.69676
"Tabellaria fenestrata";24.11752;65.75391
"Tabellaria fenestrata";24.14155;65.70077
"Tabellaria fenestrata";24.14358;65.65237
"Tabellaria fenestrata";23.71289;65.76779
"Tabellaria fenestrata";17.4071;60.6623
"Tabellaria fenestrata";20.32912;63.67898
"Tabellaria fenestrata";20.33334;63.67278
"Tabellaria fenestrata";12.077705;57.652439
"Tabellaria fenestrata";12.090024;57.666858
"Tabellaria fenestrata";0.86;42.65
"Tabellaria fenestrata";10.313697;59.970247
"Tabellaria fenestrata";11.8053;57.6615
"Tabellaria fenestrata";9.48224;59.6239
"Tabellaria fenestrata";10.458333;59.486668
"Tabellaria fenestrata";10.760812;59.0407
"Tabellaria fenestrata";18.09801;59.33127
"Tabellaria fenestrata";16.84815;58.87531
"Tabellaria fenestrata";11.032425;59.330515
"Tabellaria fenestrata";17.0715;58.7385
"Tabellaria fenestrata";23.42507;65.79643
"Tabellaria fenestrata";21.89184;65.52339
"Tabellaria fenestrata";22.32293;65.48424
"Tabellaria fenestrata";20.33334;63.67278
"Tabellaria fenestrata";11.032425;59.330515
"Tabellaria fenestrata";10.754619;59.443502
"Tabellaria fenestrata";18.18221;59.32579
"Tabellaria fenestrata";23.5082;65.7717
"Tabellaria fenestrata";23.88068;65.69992
"Tabellaria fenestrata";18.0324;59.37215
"Tabellaria fenestrata";18.34321;59.36615
"Tabellaria fenestrata";-125.278943;49.675898
"Tabellaria fenestrata";0.74;42.56
"Tabellaria fenestrata";11.5467;58.3233
"Tabellaria fenestrata";18.15263;59.3192
"Tabellaria fenestrata";18.8527;59.31379
"Tabellaria fenestrata";18.6734;59.37828
"Tabellaria fenestrata";-125.320867;49.728369
"Tabellaria fenestrata";-72.055804;41.439307
"Tabellaria fenestrata";9.7342;59.033295
"Tabellaria fenestrata";9.800005;59.034995
"Tabellaria fenestrata";9.045729;59.440398
"Tabellaria fenestrata";9.188104;58.976842
"Tabellaria fenestrata";9.664964;59.356025
"Tabellaria fenestrata";9.079065;58.958827
