"species";"lon";"lat"
"Teleaulax acuta";5.4742;60.10425
"Teleaulax acuta";7.055821;60.996322
"Teleaulax acuta";5.952701;61.146
"Teleaulax acuta";-127.9516;51.6505
"Teleaulax acuta";-125.0992;50.0307
"Teleaulax acuta";6.4398;60.4014
"Teleaulax acuta";-127.5583;51.5208
"Teleaulax acuta";6.16818;60.106069
"Teleaulax acuta";-79.618;26.997
"Teleaulax acuta";-79.987;26.991
"Teleaulax acuta";-93.579;27.92
"Teleaulax acuta";-95.004;27.5
"Teleaulax acuta";-89.999;27.584
"Teleaulax acuta";-89.999;27.737
"Teleaulax acuta";-90.123;28.935
"Teleaulax acuta";-96.783;27.335
"Teleaulax acuta";-85.378;29.5
"Teleaulax acuta";-86.62;28
"Teleaulax acuta";-86.8;30.111
"Teleaulax acuta";-85.665;26.221
"Teleaulax acuta";-83.016;28.014
"Teleaulax acuta";-90.768;21.167
"Teleaulax acuta";-86.503;21.591
"Teleaulax acuta";-83.101;26.729
"Teleaulax acuta";-83.24;26.62
"Teleaulax acuta";-83.806;26.259
"Teleaulax acuta";-84.715;25.658
"Teleaulax acuta";-86.49;22.734
"Teleaulax acuta";-80.625;24.4
"Teleaulax acuta";-80.622;24.735
"Teleaulax acuta";-89.667;21.701
"Teleaulax acuta";-90.642;23.183
"Teleaulax acuta";-97.639;22.274
"Teleaulax acuta";-97.361;22.274
"Teleaulax acuta";-94.29;20.601
"Teleaulax acuta";-93.5;19.609
"Teleaulax acuta";-88;22.542
"Teleaulax acuta";-88;26
"Teleaulax acuta";6.338313;59.29825
"Teleaulax acuta";18.39718;55.56077
"Teleaulax acuta";20.07483;57.31173
"Teleaulax acuta";14.0985;54.97225
"Teleaulax acuta";15.98527;55.25
"Teleaulax acuta";17.62367;58.80333
"Teleaulax acuta";22.0665;64.70817
"Teleaulax acuta";22.44667;65.73
"Teleaulax acuta";19.81833;63.49967
"Teleaulax acuta";18.95217;62.65217
"Teleaulax acuta";18.2325;61.18267
"Teleaulax acuta";18.264;62.8635
"Teleaulax acuta";20.08198;57.3124
"Teleaulax acuta";20.32897;58.88248
"Teleaulax acuta";15.98375;55.25042
"Teleaulax acuta";17.6671;57.11612
"Teleaulax acuta";14.09923;54.97013
"Teleaulax acuta";22.066;64.70867
"Teleaulax acuta";22.44567;65.73
"Teleaulax acuta";22.37517;65.8075
"Teleaulax acuta";18.26417;62.8635
"Teleaulax acuta";19.80683;63.52517
"Teleaulax acuta";18.15263;59.3192
"Teleaulax acuta";18.31974;59.29523
"Teleaulax acuta";18.26433;62.8635
"Teleaulax acuta";18.39062;59.43943
"Teleaulax acuta";-128.2384;51.705
"Teleaulax acuta";17.16637;60.95757
"Teleaulax acuta";17.28398;60.69692
"Teleaulax acuta";18.37725;59.32534
"Teleaulax acuta";18.34321;59.36615
"Teleaulax acuta";18.8527;59.31379
"Teleaulax acuta";18.6734;59.37828
"Teleaulax acuta";18.38358;59.26851
