"species";"lon";"lat"
"Tetradesmus obliquus";-48.779389;-26.328864
"Tetradesmus obliquus";-97.25553;49.697738
"Tetradesmus obliquus";-74.719163;40.441246
"Tetradesmus obliquus";-90.375924;38.623919
"Tetradesmus obliquus";139.6267;35.702398
"Tetradesmus obliquus";72.036329;41.085614
"Tetradesmus obliquus";83.041705;54.890073
"Tetradesmus obliquus";36.043075;49.886445
"Tetradesmus obliquus";153.051498;-27.661751
"Tetradesmus obliquus";-122.444642;45.839742
"Tetradesmus obliquus";15.58355;58.39789
"Tetradesmus obliquus";-122.38225;45.542722
"Tetradesmus obliquus";21.015096;55.313674
"Tetradesmus obliquus";-69.488601;44.438339
"Tetradesmus obliquus";27.323291;56.504375
"Tetradesmus obliquus";9.228076;52.924648
"Tetradesmus obliquus";9.207235;52.923519
"Tetradesmus obliquus";84.041523;28.191558
"Tetradesmus obliquus";-48.777781;-26.330825
"Tetradesmus obliquus";126.469653;35.632064
"Tetradesmus obliquus";127.675694;34.743081
"Tetradesmus obliquus";126.730919;36.004164
"Tetradesmus obliquus";126.510389;35.515578
"Tetradesmus obliquus";4.768323;51.571915
"Tetradesmus obliquus";72.566087;40.743155
"Tetradesmus obliquus";-75.714135;40.24687
"Tetradesmus obliquus";25.391559;54.719563
"Tetradesmus obliquus";36.227743;50.025904
"Tetradesmus obliquus";120.626024;36.155004
"Tetradesmus obliquus";-48.782558;-26.327109
"Tetradesmus obliquus";-2.618546;42.514961
"Tetradesmus obliquus";113.936586;22.522739
"Tetradesmus obliquus";113.932879;22.522578
"Tetradesmus obliquus";113.836892;22.696262
"Tetradesmus obliquus";-75.665726;40.370512
"Tetradesmus obliquus";-84.514943;42.708802
"Tetradesmus obliquus";14.350975;50.105414
"Tetradesmus obliquus";-111.543242;56.991618
"Tetradesmus obliquus";-111.546534;56.991085
"Tetradesmus obliquus";126.585778;33.243975
"Tetradesmus obliquus";126.751639;33.558306
"Tetradesmus obliquus";-87.982822;43.226796
"Tetradesmus obliquus";18.33801;60.29853
"Tetradesmus obliquus";17.66253;60.53203
"Tetradesmus obliquus";17.16636;60.95757
"Tetradesmus obliquus";7.599192;51.946487
"Tetradesmus obliquus";5.9;52.5
"Tetradesmus obliquus";-77.717;1.085
"Tetradesmus obliquus";126.530222;36.222694
"Tetradesmus obliquus";126.625694;35.748556
"Tetradesmus obliquus";9.709635;63.4666
"Tetradesmus obliquus";10.115123;63.16624
"Tetradesmus obliquus";7.612529;51.962066
"Tetradesmus obliquus";10.133592;63.202824
"Tetradesmus obliquus";9.694856;63.286361
"Tetradesmus obliquus";-75.781193;40.252656
"Tetradesmus obliquus";-75.620805;40.393917
"Tetradesmus obliquus";-75.739681;40.232261
"Tetradesmus obliquus";-75.719129;40.213117
"Tetradesmus obliquus";-75.764512;40.270172
"Tetradesmus obliquus";-75.775634;40.217208
"Tetradesmus obliquus";-73.886806;7.362844
"Tetradesmus obliquus";7.635069;52.350021
"Tetradesmus obliquus";-75.647424;40.376283
"Tetradesmus obliquus";-75.615716;40.208589
"Tetradesmus obliquus";0.55;41.3
"Tetradesmus obliquus";18.57657;60.10986
"Tetradesmus obliquus";21.56563;65.11497
"Tetradesmus obliquus";22.2492;65.6639
"Tetradesmus obliquus";7.625864;52.349416
"Tetradesmus obliquus";18.41649;60.24931
"Tetradesmus obliquus";18.44225;59.37692
"Tetradesmus obliquus";5.2;52.4
"Tetradesmus obliquus";11.850497;63.540526
"Tetradesmus obliquus";10.650108;63.766661
"Tetradesmus obliquus";14.413823;50.068245
"Tetradesmus obliquus";-73.891587;7.300332
"Tetradesmus obliquus";-73.831329;7.265656
"Tetradesmus obliquus";-73.895608;7.401191
"Tetradesmus obliquus";2.629605;39.639411
"Tetradesmus obliquus";5.05;52.2
"Tetradesmus obliquus";20.33334;63.67278
"Tetradesmus obliquus";20.3206;63.6096
"Tetradesmus obliquus";-76.150679;44.879893
"Tetradesmus obliquus";143.83413;-37.716804
"Tetradesmus obliquus";6;53.2
"Tetradesmus obliquus";10.746485;53.899887
"Tetradesmus obliquus";-118.115936;34.142353
"Tetradesmus obliquus";11.43333;58.25833
"Tetradesmus obliquus";-66.858835;-29.410008
"Tetradesmus obliquus";17.0715;58.7385
"Tetradesmus obliquus";5.25;52.35
"Tetradesmus obliquus";-6.44038;6.88083
"Tetradesmus obliquus";-6.440782;6.880949
"Tetradesmus obliquus";-6.44116;6.881011
"Tetradesmus obliquus";19.509;57.2137
"Tetradesmus obliquus";24.95694;60.16306
"Tetradesmus obliquus";129.449008;36.510908
"Tetradesmus obliquus";10.215628;59.663854
"Tetradesmus obliquus";39.6282;60.4664
"Tetradesmus obliquus";39.8145;60.4233
"Tetradesmus obliquus";137.44278;75.88528
"Tetradesmus obliquus";137.8108;75.75632
"Tetradesmus obliquus";18.48382;60.17682
"Tetradesmus obliquus";18.87949;59.77715
"Tetradesmus obliquus";-39.307499;-6.359762
"Tetradesmus obliquus";119.88;29.46
"Tetradesmus obliquus";129.411533;36.971367
"Tetradesmus obliquus";107.1872;26.4531
"Tetradesmus obliquus";5.15;52.3
"Tetradesmus obliquus";-3.782076;40.81769
"Tetradesmus obliquus";91.69;26.19
"Tetradesmus obliquus";18.18221;59.32579
"Tetradesmus obliquus";18.28706;59.36413
"Tetradesmus obliquus";127.20165;71.98304
"Tetradesmus obliquus";127.24305;71.96401
"Tetradesmus obliquus";6.87255;44.3789
"Tetradesmus obliquus";-128.1297;51.6522
