"species";"lon";"lat"
"Tetraedron caudatum";4.7;53
"Tetraedron caudatum";4.75;52.85
"Tetraedron caudatum";6.1;52.65
"Tetraedron caudatum";-1.181133;44.401708
"Tetraedron caudatum";-90.20435;38.79757
"Tetraedron caudatum";14.342015;50.096556
"Tetraedron caudatum";-75.013861;6.375694
"Tetraedron caudatum";-75.03025;6.378361
"Tetraedron caudatum";-75.030694;6.415556
"Tetraedron caudatum";-74.862083;6.225667
"Tetraedron caudatum";-74.848056;6.2125
"Tetraedron caudatum";17.66646;59.81445
"Tetraedron caudatum";17.0715;58.7385
"Tetraedron caudatum";4.8;52.1
"Tetraedron caudatum";72.147486;41.154406
"Tetraedron caudatum";25.113218;54.468429
"Tetraedron caudatum";-98.474649;31.979693
"Tetraedron caudatum";-74.884167;6.245806
"Tetraedron caudatum";26.465222;58.265174
"Tetraedron caudatum";0.54;41.48
"Tetraedron caudatum";18.33801;60.29853
"Tetraedron caudatum";23.5082;65.7717
"Tetraedron caudatum";22.2492;65.6639
"Tetraedron caudatum";22.26549;65.63597
"Tetraedron caudatum";22.32293;65.48424
"Tetraedron caudatum";22.2785;65.6837
"Tetraedron caudatum";21.54771;65.38509
"Tetraedron caudatum";6;53.2
"Tetraedron caudatum";4.940965;45.806016
"Tetraedron caudatum";-1.103479;45.100234
"Tetraedron caudatum";0.55;41.3
"Tetraedron caudatum";0.43;41.29
"Tetraedron caudatum";0.87;42.38
"Tetraedron caudatum";-82.477216;39.931927
"Tetraedron caudatum";-1.115797;45.10821
"Tetraedron caudatum";39.5332;60.6913
"Tetraedron caudatum";17.0715;58.73833
"Tetraedron caudatum";22.27369;65.63152
"Tetraedron caudatum";22.24809;65.66089
"Tetraedron caudatum";21.6544;65.3141
"Tetraedron caudatum";39.6292;60.4671
"Tetraedron caudatum";39.8145;60.4233
"Tetraedron caudatum";4.65;52.3
"Tetraedron caudatum";17.4911;60.6585
"Tetraedron caudatum";17.66253;60.53203
"Tetraedron caudatum";6.15;53.45
"Tetraedron caudatum";39.0161;60.4021
"Tetraedron caudatum";-1.114251;44.972596
"Tetraedron caudatum";-1.116087;45.164292
"Tetraedron caudatum";-1.105943;44.962831
"Tetraedron caudatum";35.2647;50.0745
"Tetraedron caudatum";14.181292;50.909709
"Tetraedron caudatum";13.945519;50.964395
"Tetraedron caudatum";11.79828;52.042552
"Tetraedron caudatum";13.165215;52.282425
"Tetraedron caudatum";35.1787;50.0961
"Tetraedron caudatum";76.77;10.95
"Tetraedron caudatum";11.48725;49.601
"Tetraedron caudatum";5.85;53.25
"Tetraedron caudatum";22.27768;65.63102
"Tetraedron caudatum";22.27467;65.63079
"Tetraedron caudatum";22.25494;65.66078
"Tetraedron caudatum";5.85;53.2
"Tetraedron caudatum";5.95;53.15
"Tetraedron caudatum";13.307819;52.452544
"Tetraedron caudatum";13.30824;52.452471
"Tetraedron caudatum";2.46404;48.755597
"Tetraedron caudatum";138.85465;-35.53558
"Tetraedron caudatum";5.5;52.9
"Tetraedron caudatum";5.076016;52.148859
"Tetraedron caudatum";4.898506;52.330776
"Tetraedron caudatum";4.935723;52.208275
"Tetraedron caudatum";4.83338;52.227487
"Tetraedron caudatum";4.831164;52.231485
"Tetraedron caudatum";4.997095;52.317004
"Tetraedron caudatum";4.951277;52.278313
"Tetraedron caudatum";4.813383;52.209515
"Tetraedron caudatum";5.086023;52.168596
"Tetraedron caudatum";4.903731;52.311707
"Tetraedron caudatum";5.07913;52.152777
"Tetraedron caudatum";4.865223;52.267916
"Tetraedron caudatum";4.804247;52.197695
"Tetraedron caudatum";18.55597;54.5181
"Tetraedron caudatum";27.5887;58.11782
"Tetraedron caudatum";5.086517;52.171177
"Tetraedron caudatum";5.092248;52.144578
"Tetraedron caudatum";4.789633;52.191349
"Tetraedron caudatum";4.881475;52.263619
"Tetraedron caudatum";-1.117518;45.100502
"Tetraedron caudatum";4.944748;52.201119
"Tetraedron caudatum";4.858604;52.363877
"Tetraedron caudatum";-1.354303;43.704468
"Tetraedron caudatum";5.25;53.35
"Tetraedron caudatum";-1.116237;45.100099
"Tetraedron caudatum";-1.129193;45.089433
"Tetraedron caudatum";-1.112228;45.099288
"Tetraedron caudatum";5.088441;52.272394
"Tetraedron caudatum";5.080234;52.234516
"Tetraedron caudatum";6.164304;53.3752
"Tetraedron caudatum";5.127883;52.284827
"Tetraedron caudatum";5.094325;52.237734
"Tetraedron caudatum";6.494338;52.897417
"Tetraedron caudatum";6.085149;52.679791
"Tetraedron caudatum";6.115406;52.712054
"Tetraedron caudatum";6.084957;52.66766
"Tetraedron caudatum";4.923546;52.250939
"Tetraedron caudatum";5.011463;52.601747
"Tetraedron caudatum";4.908071;52.483011
"Tetraedron caudatum";5.026548;52.911624
"Tetraedron caudatum";4.72221;52.461911
"Tetraedron caudatum";5.018184;52.426568
"Tetraedron caudatum";4.939153;52.479556
"Tetraedron caudatum";4.803535;52.504257
"Tetraedron caudatum";4.863819;52.515386
"Tetraedron caudatum";4.860843;52.461007
"Tetraedron caudatum";5.661174;52.608198
"Tetraedron caudatum";5.083732;52.18085
"Tetraedron caudatum";5.057008;52.180454
"Tetraedron caudatum";5.081002;52.218601
"Tetraedron caudatum";6.343536;53.285408
"Tetraedron caudatum";5.082112;52.270293
"Tetraedron caudatum";4.812238;52.235952
"Tetraedron caudatum";5.977859;52.794508
"Tetraedron caudatum";5.1884;52.408129
"Tetraedron caudatum";4.925841;52.245663
"Tetraedron caudatum";5.499324;52.402733
"Tetraedron caudatum";4.975679;52.548469
"Tetraedron caudatum";4.721922;52.57393
"Tetraedron caudatum";4.685396;52.539702
"Tetraedron caudatum";4.724944;52.520022
"Tetraedron caudatum";4.765018;52.4469
"Tetraedron caudatum";4.779237;52.58424
"Tetraedron caudatum";5.031741;52.543608
"Tetraedron caudatum";27.10338;58.8245
"Tetraedron caudatum";5.075285;52.211674
"Tetraedron caudatum";5.998474;52.72071
"Tetraedron caudatum";6.135574;52.688472
"Tetraedron caudatum";6.033744;52.713604
"Tetraedron caudatum";6.034711;52.668843
"Tetraedron caudatum";5.956009;52.75597
"Tetraedron caudatum";5.90694;52.790165
"Tetraedron caudatum";6.87193;44.37979
"Tetraedron caudatum";5.301984;52.248168
"Tetraedron caudatum";6.678337;52.611105
"Tetraedron caudatum";4.696173;52.513207
"Tetraedron caudatum";4.879684;52.510386
"Tetraedron caudatum";5.12657;52.745811
"Tetraedron caudatum";27.48742;58.23278
"Tetraedron caudatum";10.879641;49.693562
"Tetraedron caudatum";7.029285;53.171133
"Tetraedron caudatum";6.428823;52.879763
"Tetraedron caudatum";6.001598;52.732377
"Tetraedron caudatum";6.13519;52.696365
"Tetraedron caudatum";6.012214;52.698171
"Tetraedron caudatum";4.763275;52.524642
"Tetraedron caudatum";5.101885;52.273335
"Tetraedron caudatum";18.93;54.38
"Tetraedron caudatum";27.2888;58.44403
"Tetraedron caudatum";6.134876;52.693545
"Tetraedron caudatum";5.535303;52.462208
"Tetraedron caudatum";4.716344;52.707809
"Tetraedron caudatum";4.739449;52.447239
"Tetraedron caudatum";5.016399;52.499226
"Tetraedron caudatum";11.567639;53.038142
"Tetraedron caudatum";22.263;65.6365
"Tetraedron caudatum";5.062369;52.227296
"Tetraedron caudatum";6.541201;52.814919
"Tetraedron caudatum";6.039566;52.697126
"Tetraedron caudatum";6.091208;52.688743
"Tetraedron caudatum";4.753131;52.557923
"Tetraedron caudatum";4.704186;52.823493
"Tetraedron caudatum";12.350319;51.88043
"Tetraedron caudatum";5.109706;52.306725
"Tetraedron caudatum";6.448775;53.192955
"Tetraedron caudatum";18.96;54.46
"Tetraedron caudatum";4.218552;51.871098
"Tetraedron caudatum";4.596441;51.817909
"Tetraedron caudatum";5.092349;52.211125
"Tetraedron caudatum";5.109472;52.315937
"Tetraedron caudatum";6.694442;53.127621
"Tetraedron caudatum";4.077676;51.847669
"Tetraedron caudatum";4.687806;51.755811
"Tetraedron caudatum";4.309513;51.684258
"Tetraedron caudatum";4.332697;51.768535
"Tetraedron caudatum";4.539573;51.74997
"Tetraedron caudatum";4.530386;51.867755
"Tetraedron caudatum";5.16679;52.294146
"Tetraedron caudatum";4.823114;52.236031
"Tetraedron caudatum";4.19653;52.007412
"Tetraedron caudatum";5.106041;52.276491
"Tetraedron caudatum";5.874014;53.214636
"Tetraedron caudatum";4.329767;51.852754
"Tetraedron caudatum";3.965548;51.814685
"Tetraedron caudatum";4.55393;51.742621
"Tetraedron caudatum";4.518094;51.856177
"Tetraedron caudatum";4.490179;51.879527
"Tetraedron caudatum";4.385523;51.882636
"Tetraedron caudatum";6.88892;52.187052
"Tetraedron caudatum";4.336091;52.065442
"Tetraedron caudatum";4.196622;52.011655
"Tetraedron caudatum";4.31461;52.021572
"Tetraedron caudatum";4.823502;52.788349
"Tetraedron caudatum";4.766668;52.729687
"Tetraedron caudatum";5.110083;52.636313
"Tetraedron caudatum";5.158606;52.702362
"Tetraedron caudatum";5.139365;52.722257
"Tetraedron caudatum";5.228278;52.717277
"Tetraedron caudatum";4.786763;51.556989
"Tetraedron caudatum";4.202022;51.856379
"Tetraedron caudatum";4.766239;51.809177
"Tetraedron caudatum";4.314307;51.661999
"Tetraedron caudatum";4.347892;51.686232
"Tetraedron caudatum";4.184953;51.74695
"Tetraedron caudatum";4.006585;51.828731
"Tetraedron caudatum";4.028084;51.825899
"Tetraedron caudatum";4.029287;51.798513
"Tetraedron caudatum";4.318003;51.75517
"Tetraedron caudatum";4.299354;51.776563
"Tetraedron caudatum";4.396756;51.827621
"Tetraedron caudatum";4.544431;51.750409
"Tetraedron caudatum";4.616328;51.850868
"Tetraedron caudatum";4.56483;51.819912
"Tetraedron caudatum";4.610337;51.859098
"Tetraedron caudatum";4.614556;51.880519
"Tetraedron caudatum";4.478836;51.88024
"Tetraedron caudatum";5.069996;52.284632
"Tetraedron caudatum";5.99724;52.695822
"Tetraedron caudatum";5.948776;52.769485
"Tetraedron caudatum";4.929116;51.811382
"Tetraedron caudatum";4.298701;52.010702
"Tetraedron caudatum";4.171708;51.993512
"Tetraedron caudatum";4.291948;52.098649
"Tetraedron caudatum";4.233094;52.044019
"Tetraedron caudatum";4.439767;52.045611
"Tetraedron caudatum";4.120482;51.986275
"Tetraedron caudatum";4.928997;52.739122
"Tetraedron caudatum";4.860731;52.487718
"Tetraedron caudatum";5.001737;52.66068
"Tetraedron caudatum";4.861558;53.14708
"Tetraedron caudatum";4.718906;53.025236
"Tetraedron caudatum";4.755726;53.010429
"Tetraedron caudatum";13.94336;50.96433
"Tetraedron caudatum";4.530175;51.975672
"Tetraedron caudatum";21.67583;65.41667
"Tetraedron caudatum";22.27617;65.69183
"Tetraedron caudatum";21.533;65.38967
"Tetraedron caudatum";21.5045;65.32583
"Tetraedron caudatum";21.48133;65.35067
"Tetraedron caudatum";23.9195;65.744
"Tetraedron caudatum";5.124029;52.274842
"Tetraedron caudatum";5.393304;52.810045
"Tetraedron caudatum";4.338931;51.616665
"Tetraedron caudatum";4.239958;51.550564
"Tetraedron caudatum";4.180488;51.90533
"Tetraedron caudatum";4.69237;51.760422
"Tetraedron caudatum";4.700241;51.791444
