"species";"lon";"lat"
"Tetrastrum staurogeniiforme";-73.969589;40.775362
"Tetrastrum staurogeniiforme";4.75;52.85
"Tetrastrum staurogeniiforme";17.66453;59.81632
"Tetrastrum staurogeniiforme";-1.292894;48.596089
"Tetrastrum staurogeniiforme";-87.982822;43.226796
"Tetrastrum staurogeniiforme";-90.20435;38.79757
"Tetrastrum staurogeniiforme";14.073508;49.115338
"Tetrastrum staurogeniiforme";4.85;52.05
"Tetrastrum staurogeniiforme";17.66646;59.81445
"Tetrastrum staurogeniiforme";17.0715;58.7385
"Tetrastrum staurogeniiforme";4.8;52.15
"Tetrastrum staurogeniiforme";2.009345;41.411933
"Tetrastrum staurogeniiforme";20.33334;63.67278
"Tetrastrum staurogeniiforme";4.355965;46.719763
"Tetrastrum staurogeniiforme";-111.98779;40.582612
"Tetrastrum staurogeniiforme";17.0715;58.73833
"Tetrastrum staurogeniiforme";0.43;41.29
"Tetrastrum staurogeniiforme";31;45.8325
"Tetrastrum staurogeniiforme";-71.829833;42.290326
"Tetrastrum staurogeniiforme";6.2;53.15
"Tetrastrum staurogeniiforme";25.19972;60.21889
"Tetrastrum staurogeniiforme";20.42041;63.73809
"Tetrastrum staurogeniiforme";0.372624;43.569084
"Tetrastrum staurogeniiforme";-1.36;52.12
"Tetrastrum staurogeniiforme";13.307819;52.452544
"Tetrastrum staurogeniiforme";140.403611;36.035833
"Tetrastrum staurogeniiforme";14.181292;50.909709
"Tetrastrum staurogeniiforme";13.945519;50.964395
"Tetrastrum staurogeniiforme";109.15;21.4
"Tetrastrum staurogeniiforme";11.79828;52.042552
"Tetrastrum staurogeniiforme";5.85;53.05
"Tetrastrum staurogeniiforme";6.05;52.95
"Tetrastrum staurogeniiforme";13.30824;52.452471
"Tetrastrum staurogeniiforme";5.85;53.2
"Tetrastrum staurogeniiforme";-45.483;-26.222
"Tetrastrum staurogeniiforme";18.96;54.37
"Tetrastrum staurogeniiforme";5.75;52.85
"Tetrastrum staurogeniiforme";5.5;52.9
"Tetrastrum staurogeniiforme";5.55;52.9
"Tetrastrum staurogeniiforme";6.15;53.45
"Tetrastrum staurogeniiforme";4.813383;52.209515
"Tetrastrum staurogeniiforme";4.858604;52.363877
"Tetrastrum staurogeniiforme";5.086517;52.171177
"Tetrastrum staurogeniiforme";4.831164;52.231485
"Tetrastrum staurogeniiforme";4.881475;52.263619
"Tetrastrum staurogeniiforme";4.904869;52.273001
"Tetrastrum staurogeniiforme";4.789633;52.191349
"Tetrastrum staurogeniiforme";4.946255;52.258719
