"species";"lon";"lat"
"Thalassiosira baltica";18.952;62.65217
"Thalassiosira baltica";19.81933;63.5005
"Thalassiosira baltica";19.80833;63.52483
"Thalassiosira baltica";18.31974;59.29523
"Thalassiosira baltica";17.62367;58.80333
"Thalassiosira baltica";14.099;54.971
"Thalassiosira baltica";18.23633;58.59367
"Thalassiosira baltica";18.23683;58.59867
"Thalassiosira baltica";19.81983;63.49967
"Thalassiosira baltica";20.0785;57.30983
"Thalassiosira baltica";16.536;56.11617
"Thalassiosira baltica";19.80817;63.52483
"Thalassiosira baltica";19.81867;63.50017
"Thalassiosira baltica";18.95167;62.65267
"Thalassiosira baltica";18.26433;62.8635
"Thalassiosira baltica";22.06433;64.7055
"Thalassiosira baltica";18.15263;59.3192
"Thalassiosira baltica";20.07583;57.31233
"Thalassiosira baltica";16.53717;56.11667
"Thalassiosira baltica";15.98417;55.2495
"Thalassiosira baltica";19.80817;63.525
"Thalassiosira baltica";18.34321;59.36615
"Thalassiosira baltica";14.099;54.97117
"Thalassiosira baltica";14.09883;54.97117
"Thalassiosira baltica";15.98417;55.25
"Thalassiosira baltica";17.4911;60.6585
"Thalassiosira baltica";17.4071;60.6623
"Thalassiosira baltica";20.5208;63.6936
"Thalassiosira baltica";20.3866;63.6355
"Thalassiosira baltica";15.98417;55.25017
"Thalassiosira baltica";17.5138;60.7068
"Thalassiosira baltica";17.6066;60.6633
"Thalassiosira baltica";20.3208;63.6096
"Thalassiosira baltica";14.09917;54.97083
"Thalassiosira baltica";14.09917;54.97117
"Thalassiosira baltica";15.98283;55.2495
"Thalassiosira baltica";18.26367;62.86367
"Thalassiosira baltica";12.72;56.565
"Thalassiosira baltica";22.06467;64.709
"Thalassiosira baltica";19.82;63.49783
"Thalassiosira baltica";18.26317;62.86433
"Thalassiosira baltica";18.23233;61.184
"Thalassiosira baltica";18.26617;62.8635
"Thalassiosira baltica";16.20183;56.37083
"Thalassiosira baltica";19.81917;63.49967
"Thalassiosira baltica";20.07617;57.31117
"Thalassiosira baltica";15.983;55.25
"Thalassiosira baltica";22.07483;64.708
"Thalassiosira baltica";18.26417;62.86367
"Thalassiosira baltica";19.819;63.49933
"Thalassiosira baltica";19.8085;63.52467
"Thalassiosira baltica";18.95183;62.6525
"Thalassiosira baltica";15.98383;55.25033
"Thalassiosira baltica";18.2645;62.86333
"Thalassiosira baltica";19.819;63.49967
"Thalassiosira baltica";20.07617;57.312
"Thalassiosira baltica";15.98467;55.24983
"Thalassiosira baltica";17.49625;60.66178
"Thalassiosira baltica";17.28398;60.69692
"Thalassiosira baltica";18.87949;59.77715
"Thalassiosira baltica";18.75731;59.52486
"Thalassiosira baltica";21.54898;65.08322
"Thalassiosira baltica";20.3359;63.7105
"Thalassiosira baltica";20.3206;63.6096
"Thalassiosira baltica";18.62133;63.1775
"Thalassiosira baltica";18.18221;59.32579
"Thalassiosira baltica";18.28706;59.36413
"Thalassiosira baltica";21.56563;65.11497
"Thalassiosira baltica";24.14358;65.65237
"Thalassiosira baltica";21.74833;65.34591
"Thalassiosira baltica";21.08767;64.20767
"Thalassiosira baltica";20.949;64.07383
"Thalassiosira baltica";19.8085;63.525
"Thalassiosira baltica";18.38358;59.26851
"Thalassiosira baltica";19.808;63.525
"Thalassiosira baltica";18.95167;62.65333
"Thalassiosira baltica";19.80817;63.52467
"Thalassiosira baltica";14.8236;56.1115
"Thalassiosira baltica";14.09883;54.9705
"Thalassiosira baltica";15.984;55.25
"Thalassiosira baltica";16.202;56.371
"Thalassiosira baltica";19.81967;63.49833
"Thalassiosira baltica";18.9525;62.65267
"Thalassiosira baltica";18.2635;62.86333
"Thalassiosira baltica";14.1015;54.9765
"Thalassiosira baltica";18.23333;58.58333
"Thalassiosira baltica";18.23617;58.5935
"Thalassiosira baltica";15.98283;55.25033
"Thalassiosira baltica";16.202;56.37067
"Thalassiosira baltica";13.643;55.3858
"Thalassiosira baltica";13.0188;55.3471
"Thalassiosira baltica";14.5138;55.9831
"Thalassiosira baltica";12.8539;55.8005
