"species";"lon";"lat"
"Ulnaria acus";5.85;53.2
"Ulnaria acus";11.032425;59.330515
"Ulnaria acus";17.66646;59.81445
"Ulnaria acus";-87.810082;42.094774
"Ulnaria acus";72.152866;41.041476
"Ulnaria acus";72.210975;41.333071
"Ulnaria acus";-95.172916;43.37149
"Ulnaria acus";0.88;41.93
"Ulnaria acus";1.13;41.94
"Ulnaria acus";0.55;41.3
"Ulnaria acus";0.79;41.3
"Ulnaria acus";0.79;41.12
"Ulnaria acus";6.19874;48.74825
"Ulnaria acus";1.85;42.04
"Ulnaria acus";3.06;41.95
"Ulnaria acus";2.81;41.86
"Ulnaria acus";2.81;42.04
"Ulnaria acus";2.93;42.13
"Ulnaria acus";2.69;42.13
"Ulnaria acus";2.93;42.4
"Ulnaria acus";3.06;42.31
"Ulnaria acus";2.93;42.22
"Ulnaria acus";3.18;42.31
"Ulnaria acus";-7.283056;41.346667
"Ulnaria acus";0.79;41.21
"Ulnaria acus";2.33;42.04
"Ulnaria acus";-7.383238;41.328469
"Ulnaria acus";1.48;42.39
"Ulnaria acus";0.55;41.21
"Ulnaria acus";0.76;41.93
"Ulnaria acus";0.54;41.48
"Ulnaria acus";0.43;41.29
"Ulnaria acus";8.8375;46.1791
"Ulnaria acus";8.8657;46.1498
"Ulnaria acus";8.5378;45.7977
"Ulnaria acus";8.5801;45.9374
"Ulnaria acus";8.6191;45.8512
"Ulnaria acus";8.8654;46.1516
"Ulnaria acus";8.5913;45.7536
"Ulnaria acus";16.391731;48.141374
"Ulnaria acus";1.85;41.68
"Ulnaria acus";1.73;41.85
"Ulnaria acus";2.69;42.22
"Ulnaria acus";0.88;42.11
"Ulnaria acus";0.76;42.02
"Ulnaria acus";2.93;42.04
"Ulnaria acus";2.45;42.22
"Ulnaria acus";0.44;41.02
"Ulnaria acus";0.77;41.84
"Ulnaria acus";0.87;42.29
"Ulnaria acus";1.24;42.12
"Ulnaria acus";1.12;42.03
"Ulnaria acus";0.74;42.65
"Ulnaria acus";5.59102;50.48176
"Ulnaria acus";5.63322;50.6001
"Ulnaria acus";6.05;53.15
"Ulnaria acus";6.19554;48.75382
"Ulnaria acus";6.20321;48.74754
"Ulnaria acus";6.19851;48.74871
"Ulnaria acus";6.20059;48.74852
"Ulnaria acus";6.20396;48.74832
"Ulnaria acus";121.3075;24.39802
"Ulnaria acus";121.31383;24.35447
"Ulnaria acus";-73.385319;-37.892923
"Ulnaria acus";22.375;65.8075
"Ulnaria acus";2.95061;50.75161
"Ulnaria acus";3.02133;50.77632
"Ulnaria acus";4.11043;50.42505
"Ulnaria acus";3.46443;50.75714
"Ulnaria acus";4.40422;50.46167
"Ulnaria acus";4.39193;50.49149
"Ulnaria acus";4.85594;50.46429
"Ulnaria acus";3.68134;50.44916
"Ulnaria acus";-95.365415;43.438667
"Ulnaria acus";0.33;40.75
"Ulnaria acus";-6.709996;41.432183
"Ulnaria acus";22.44667;65.73
"Ulnaria acus";0.88;42.2
"Ulnaria acus";3.35222;50.70087
"Ulnaria acus";4.15717;50.66987
"Ulnaria acus";4.2201;50.68815
"Ulnaria acus";4.2254;50.60585
"Ulnaria acus";-95.17511;43.4241
"Ulnaria acus";-6.670665;41.455692
"Ulnaria acus";72.619;22.3181
"Ulnaria acus";151.2323;-33.992
"Ulnaria acus";4.11747;50.30472
"Ulnaria acus";-95.15877;43.37082
"Ulnaria acus";126.94498;72.2387
"Ulnaria acus";1.36;42.3
"Ulnaria acus";147.6184;-19.3085
"Ulnaria acus";151.2267;-34.1192
"Ulnaria acus";5.6636;50.78178
"Ulnaria acus";0.67;41.3
"Ulnaria acus";0.2;41.02
"Ulnaria acus";151.2325;-33.9911
"Ulnaria acus";151.1984;-33.8472
"Ulnaria acus";-93.642;29.635
"Ulnaria acus";22.992;60.426
"Ulnaria acus";121.23;30.17
"Ulnaria acus";17.0282;60.3414
"Ulnaria acus";-122.8896;51.6548
"Ulnaria acus";0.67;41.12
"Ulnaria acus";153.1638;-32.4761
"Ulnaria acus";115.4167;-32
"Ulnaria acus";127.8189;37.9474
"Ulnaria acus";4.42542;50.28283
"Ulnaria acus";4.43127;50.1898
"Ulnaria acus";3.64925;50.46641
"Ulnaria acus";23.85846;52.77987
"Ulnaria acus";23.85326;52.7153
"Ulnaria acus";23.84702;52.70101
"Ulnaria acus";23.81899;52.73091
"Ulnaria acus";23.81262;52.76129
"Ulnaria acus";23.7977;52.73521
"Ulnaria acus";23.83302;52.74308
"Ulnaria acus";23.79637;52.78452
"Ulnaria acus";23.90715;52.763
"Ulnaria acus";-6.660076;41.491651
"Ulnaria acus";-1.36;52.12
"Ulnaria acus";0.93;52.96
"Ulnaria acus";-64.05;-64.77
"Ulnaria acus";126.78038;71.75695
"Ulnaria acus";128.87004;71.74669
"Ulnaria acus";128.89301;71.65192
"Ulnaria acus";128.90561;71.63756
"Ulnaria acus";-123.05;38.32
"Ulnaria acus";2.37804;48.83525
"Ulnaria acus";2.30143;48.86351
"Ulnaria acus";4.82692;50.21574
"Ulnaria acus";5.85;52.8
"Ulnaria acus";15.933549;53.046394
"Ulnaria acus";1.3006;53.7619
"Ulnaria acus";5.142333;52.284813
"Ulnaria acus";4.903755;52.239337
"Ulnaria acus";5.748992;50.876609
"Ulnaria acus";5.105453;52.276714
"Ulnaria acus";1.2672;51.7619
"Ulnaria acus";2.3172;52.2119
"Ulnaria acus";6.086898;52.601079
"Ulnaria acus";4.944748;52.201119
"Ulnaria acus";128.60253;71.79854
"Ulnaria acus";128.6063;71.79636
"Ulnaria acus";124.97086;72.64526
"Ulnaria acus";124.97863;72.65506
"Ulnaria acus";144.2262;-11.6762
"Ulnaria acus";5.086023;52.168596
"Ulnaria acus";5.086517;52.171177
"Ulnaria acus";4.935723;52.208275
"Ulnaria acus";6.18435;51.475629
"Ulnaria acus";6.428823;52.879763
"Ulnaria acus";6.281005;52.78498
"Ulnaria acus";6.541201;52.814919
"Ulnaria acus";6.494338;52.897417
"Ulnaria acus";6.131197;52.674569
"Ulnaria acus";5.998474;52.72071
"Ulnaria acus";6.001598;52.732377
"Ulnaria acus";6.135574;52.688472
"Ulnaria acus";6.115406;52.712054
"Ulnaria acus";5.90694;52.790165
"Ulnaria acus";5.403421;52.14241
"Ulnaria acus";5.380556;52.165555
"Ulnaria acus";5.327893;52.254565
"Ulnaria acus";6.733768;52.685451
"Ulnaria acus";6.778802;52.73904
"Ulnaria acus";6.753219;52.673634
"Ulnaria acus";6.839373;52.761506
"Ulnaria acus";6.420556;52.517368
"Ulnaria acus";4.970846;52.457535
"Ulnaria acus";4.726786;52.550554
