"species";"lon";"lat"
"Woronichinia naegeliana";-79.790417;43.300958
"Woronichinia naegeliana";19.573383;49.091268
"Woronichinia naegeliana";-88.924467;37.590963
"Woronichinia naegeliana";-89.261119;48.421118
"Woronichinia naegeliana";-73.748499;41.045151
"Woronichinia naegeliana";17.66621;59.81441
"Woronichinia naegeliana";-84.373755;33.784455
"Woronichinia naegeliana";-71.136584;42.299175
"Woronichinia naegeliana";-89.378575;48.622901
"Woronichinia naegeliana";-89.334147;48.619446
"Woronichinia naegeliana";-89.238197;45.923058
"Woronichinia naegeliana";-122.4105;45.6056
"Woronichinia naegeliana";-71.415311;41.776096
"Woronichinia naegeliana";25.089803;60.396017
"Woronichinia naegeliana";-122.410803;45.605983
"Woronichinia naegeliana";-122.410842;45.606012
"Woronichinia naegeliana";-70.043415;41.724799
"Woronichinia naegeliana";-71.435038;41.794117
"Woronichinia naegeliana";143.713796;-38.541216
"Woronichinia naegeliana";-122.410857;45.606038
"Woronichinia naegeliana";-87.731083;44.072111
"Woronichinia naegeliana";-89.040336;37.570402
"Woronichinia naegeliana";-70.043085;41.724803
"Woronichinia naegeliana";19.254613;50.143838
"Woronichinia naegeliana";-88.761943;48.639771
"Woronichinia naegeliana";-79.450787;45.178341
"Woronichinia naegeliana";-122.717192;45.664468
"Woronichinia naegeliana";14.421598;50.070941
"Woronichinia naegeliana";140.864473;38.334846
"Woronichinia naegeliana";140.864471;38.334842
"Woronichinia naegeliana";-71.435063;41.793247
"Woronichinia naegeliana";-71.415068;41.777241
"Woronichinia naegeliana";-122.404464;45.604036
"Woronichinia naegeliana";140.850844;38.33605
"Woronichinia naegeliana";-0.687726;44.795679
"Woronichinia naegeliana";14.073441;49.11532
"Woronichinia naegeliana";2.448303;48.782785
"Woronichinia naegeliana";19.474321;51.844092
"Woronichinia naegeliana";-72.032071;41.43094
"Woronichinia naegeliana";-77.921053;38.01695
"Woronichinia naegeliana";-77.921045;38.016975
"Woronichinia naegeliana";11.314266;59.111717
"Woronichinia naegeliana";11.161667;59.114334
"Woronichinia naegeliana";-74.724244;40.439936
"Woronichinia naegeliana";-79.049092;39.726699
"Woronichinia naegeliana";-122.410965;45.605997
"Woronichinia naegeliana";17.66432;59.81625
"Woronichinia naegeliana";17.6699;59.81533
"Woronichinia naegeliana";19.488592;49.105349
"Woronichinia naegeliana";-71.278249;41.591427
"Woronichinia naegeliana";-71.278141;41.591685
"Woronichinia naegeliana";-71.272884;41.583511
"Woronichinia naegeliana";-71.31192;41.461263
"Woronichinia naegeliana";11.032425;59.330515
"Woronichinia naegeliana";-73.967605;40.779778
"Woronichinia naegeliana";-79.01718;35.939321
"Woronichinia naegeliana";-89.34114;48.610701
"Woronichinia naegeliana";-80.567417;43.622156
"Woronichinia naegeliana";10.723783;59.7863
"Woronichinia naegeliana";10.678084;59.484333
"Woronichinia naegeliana";-91.865884;47.955358
"Woronichinia naegeliana";-70.078911;44.316752
"Woronichinia naegeliana";-74.509258;46.318822
"Woronichinia naegeliana";-77.920578;38.017025
"Woronichinia naegeliana";-72.427101;41.807591
"Woronichinia naegeliana";-87.688789;41.988829
"Woronichinia naegeliana";-71.786443;42.291342
"Woronichinia naegeliana";-71.770663;42.093698
"Woronichinia naegeliana";-71.770637;42.093658
"Woronichinia naegeliana";1.24;42.12
"Woronichinia naegeliana";0.76;41.93
"Woronichinia naegeliana";0.79;41.3
"Woronichinia naegeliana";0.9;41.3
"Woronichinia naegeliana";10.313697;59.970247
"Woronichinia naegeliana";-122.427617;45.618374
"Woronichinia naegeliana";-70.997193;43.536968
"Woronichinia naegeliana";-122.403871;45.601908
"Woronichinia naegeliana";-87.688609;41.987297
"Woronichinia naegeliana";-87.688472;41.987148
"Woronichinia naegeliana";-77.922491;38.015408
"Woronichinia naegeliana";-71.981548;41.49183
"Woronichinia naegeliana";-122.4044;45.6009
"Woronichinia naegeliana";-122.4099;45.6053
"Woronichinia naegeliana";-86.065037;44.844198
"Woronichinia naegeliana";-71.757374;42.277045
"Woronichinia naegeliana";-71.757387;42.277018
"Woronichinia naegeliana";1.12;42.03
"Woronichinia naegeliana";0.79;41.12
"Woronichinia naegeliana";0.43;41.29
"Woronichinia naegeliana";0.87;42.38
"Woronichinia naegeliana";5.677955;58.748379
"Woronichinia naegeliana";-81.682936;36.213875
"Woronichinia naegeliana";11.897246;57.611055
"Woronichinia naegeliana";-77.912285;38.015661
"Woronichinia naegeliana";-71.407386;41.785494
"Woronichinia naegeliana";0.921981;45.550672
"Woronichinia naegeliana";-71.027449;43.628216
"Woronichinia naegeliana";140.850852;38.336052
"Woronichinia naegeliana";-70.044569;41.726227
"Woronichinia naegeliana";10.3287;59.2428
"Woronichinia naegeliana";22.2785;65.6837
"Woronichinia naegeliana";24.14155;65.70077
"Woronichinia naegeliana";22.01021;65.39857
"Woronichinia naegeliana";21.89184;65.52339
"Woronichinia naegeliana";22.40178;65.68358
"Woronichinia naegeliana";-72.431644;41.797172
"Woronichinia naegeliana";-77.401124;38.975242
"Woronichinia naegeliana";18.44225;59.37692
"Woronichinia naegeliana";23.88068;65.69992
"Woronichinia naegeliana";22.2492;65.6639
"Woronichinia naegeliana";24.11752;65.75391
"Woronichinia naegeliana";23.91366;65.74157
"Woronichinia naegeliana";22.70051;65.88256
"Woronichinia naegeliana";18.1079;59.33057
"Woronichinia naegeliana";18.34321;59.36615
"Woronichinia naegeliana";-71.786704;42.291445
"Woronichinia naegeliana";0.42355;43.281964
"Woronichinia naegeliana";12.386255;57.696841
"Woronichinia naegeliana";12.08644;57.66871
"Woronichinia naegeliana";12.086574;57.668772
"Woronichinia naegeliana";12.08658;57.668766
"Woronichinia naegeliana";-72.432699;41.797184
"Woronichinia naegeliana";-74.724122;40.439948
"Woronichinia naegeliana";12.38822;57.69943
"Woronichinia naegeliana";-71.784462;42.281851
"Woronichinia naegeliana";-118.721475;37.610058
"Woronichinia naegeliana";-71.416763;41.782708
"Woronichinia naegeliana";-71.412496;41.779742
"Woronichinia naegeliana";19.579291;49.08926
"Woronichinia naegeliana";14.414365;50.068203
"Woronichinia naegeliana";-77.920595;38.016997
"Woronichinia naegeliana";-122.410652;45.605655
"Woronichinia naegeliana";-122.4146;45.6068
"Woronichinia naegeliana";-122.404;45.6009
"Woronichinia naegeliana";-122.4085;45.6038
"Woronichinia naegeliana";6.408927;43.345552
"Woronichinia naegeliana";-0.310782;43.700236
"Woronichinia naegeliana";-70.442664;41.646582
"Woronichinia naegeliana";-122.4044;45.6007
"Woronichinia naegeliana";-122.4115;45.6037
"Woronichinia naegeliana";-71.414144;41.777281
"Woronichinia naegeliana";-122.4099;45.6005
"Woronichinia naegeliana";-121.007177;56.332632
"Woronichinia naegeliana";-122.105894;37.718467
"Woronichinia naegeliana";-89.54311;48.134392
"Woronichinia naegeliana";0.55;41.3
"Woronichinia naegeliana";5.564233;58.73541
"Woronichinia naegeliana";-108.498089;33.419544
"Woronichinia naegeliana";-71.412467;41.785237
"Woronichinia naegeliana";-71.406264;41.7849
"Woronichinia naegeliana";-70.432468;41.664654
"Woronichinia naegeliana";-89.54201;48.136001
"Woronichinia naegeliana";-88.095945;49.964986
"Woronichinia naegeliana";-90.530175;48.458955
"Woronichinia naegeliana";-122.7432;45.6695
"Woronichinia naegeliana";-122.414749;45.607097
"Woronichinia naegeliana";-122.4051;45.6049
"Woronichinia naegeliana";-70.042985;41.672903
"Woronichinia naegeliana";-70.042749;41.672893
"Woronichinia naegeliana";-70.042556;41.672925
"Woronichinia naegeliana";17.107748;48.148597
"Woronichinia naegeliana";-73.66436;41.458938
"Woronichinia naegeliana";-71.552734;41.861457
"Woronichinia naegeliana";0.42;41.38
"Woronichinia naegeliana";1.24;42.03
"Woronichinia naegeliana";10.458333;59.486668
"Woronichinia naegeliana";11.04677;59.345379
"Woronichinia naegeliana";-73.933035;40.669717
"Woronichinia naegeliana";12.169768;50.162771
"Woronichinia naegeliana";-70.9892;43.5393
"Woronichinia naegeliana";-25.74721;37.824108
"Woronichinia naegeliana";-28.318638;38.487291
"Woronichinia naegeliana";-25.775603;37.874318
"Woronichinia naegeliana";-122.814139;47.974798
"Woronichinia naegeliana";-72.878381;44.970398
"Woronichinia naegeliana";-71.572778;41.511903
"Woronichinia naegeliana";9.730608;59.147473
"Woronichinia naegeliana";-70.338073;41.653294
"Woronichinia naegeliana";24.90361;60.16
"Woronichinia naegeliana";-71.581189;41.512353
"Woronichinia naegeliana";-122.814274;47.975745
"Woronichinia naegeliana";-122.875241;47.898534
"Woronichinia naegeliana";-70.9885;43.5388
"Woronichinia naegeliana";23.0407;65.7613
"Woronichinia naegeliana";18.48382;60.17682
"Woronichinia naegeliana";-70.9883;43.5385
"Woronichinia naegeliana";-70.9362;43.5578
"Woronichinia naegeliana";-122.48;48.9
"Woronichinia naegeliana";-70.322575;41.70293
"Woronichinia naegeliana";-70.394692;41.670048
"Woronichinia naegeliana";-70.396133;41.672384
"Woronichinia naegeliana";-70.9891;43.5387
"Woronichinia naegeliana";-70.338342;41.653534
"Woronichinia naegeliana";-70.338238;41.653509
"Woronichinia naegeliana";-70.323114;41.70388
"Woronichinia naegeliana";-122.814113;47.975177
"Woronichinia naegeliana";-122.875142;47.898509
