"species";"lon";"lat"
"Arrhis phyllonyx";20.51447;69.58048
"Arrhis phyllonyx";17.316981;69.4328
"Arrhis phyllonyx";17.0677;69.3321
"Arrhis phyllonyx";14.76412;68.26453
"Arrhis phyllonyx";29.29721;70.028972
"Arrhis phyllonyx";29.28436;70.026806
"Arrhis phyllonyx";29.28276;70.025906
"Arrhis phyllonyx";12.10443;65.45653
"Arrhis phyllonyx";6.36868;62.66467
"Arrhis phyllonyx";20.70948;69.95443
"Arrhis phyllonyx";16.411633;68.187267
"Arrhis phyllonyx";16.40715;68.181033
"Arrhis phyllonyx";5.696934;59.012866
"Arrhis phyllonyx";15.19385;67.85583
"Arrhis phyllonyx";15.198029;67.8604
"Arrhis phyllonyx";15.215682;67.8669
"Arrhis phyllonyx";15.22982;67.87263
"Arrhis phyllonyx";20.697081;69.99845
"Arrhis phyllonyx";20.70365;69.99173
"Arrhis phyllonyx";14.85498;68.43857
"Arrhis phyllonyx";14.85272;68.43732
"Arrhis phyllonyx";6.82727;62.44072
"Arrhis phyllonyx";25.446829;70.869919
"Arrhis phyllonyx";25.474849;70.875549
"Arrhis phyllonyx";12.48453;66.03388
"Arrhis phyllonyx";12.47775;66.03242
"Arrhis phyllonyx";12.48003;66.02878
"Arrhis phyllonyx";20.72322;69.85528
"Arrhis phyllonyx";20.7181;69.86093
"Arrhis phyllonyx";16.15438;68.17308
"Arrhis phyllonyx";17.694934;69.515917
"Arrhis phyllonyx";17.632749;69.13887
"Arrhis phyllonyx";17.63952;69.14065
"Arrhis phyllonyx";17.642;69.13923
"Arrhis phyllonyx";17.67593;69.15025
"Arrhis phyllonyx";9.26467;63.36605
"Arrhis phyllonyx";17.52933;69.09693
"Arrhis phyllonyx";17.5048;69.09313
"Arrhis phyllonyx";9.1241;63.32947
"Arrhis phyllonyx";15.01778;68.47862
"Arrhis phyllonyx";15.03728;68.84752
"Arrhis phyllonyx";20.696771;69.94385
"Arrhis phyllonyx";20.7061;69.94293
"Arrhis phyllonyx";18.185771;69.6568
"Arrhis phyllonyx";18.18505;69.64957
"Arrhis phyllonyx";17.771771;69.55027
"Arrhis phyllonyx";17.111267;68.859767
"Arrhis phyllonyx";25.749548;70.761679
"Arrhis phyllonyx";27.347624;70.872827
"Arrhis phyllonyx";27.374764;70.867077
"Arrhis phyllonyx";5.129301;61.940899
"Arrhis phyllonyx";5.150751;61.968279
"Arrhis phyllonyx";18.00998;69.32215
"Arrhis phyllonyx";18.01182;69.3226
"Arrhis phyllonyx";18.01448;69.32357
"Arrhis phyllonyx";18.02053;69.3255
"Arrhis phyllonyx";19.9888;69.33935
"Arrhis phyllonyx";19.99498;69.33882
"Arrhis phyllonyx";16.4202;68.8706
"Arrhis phyllonyx";10.123899;64.0987
"Arrhis phyllonyx";9.991903;63.937799
"Arrhis phyllonyx";10.816669;63.45833
"Arrhis phyllonyx";15.31685;68.94307
"Arrhis phyllonyx";11.735933;65.011433
"Arrhis phyllonyx";11.73725;65.009217
"Arrhis phyllonyx";11.761717;65.009434
"Arrhis phyllonyx";11.72858;65.01478
"Arrhis phyllonyx";11.767951;65.010317
"Arrhis phyllonyx";19.520299;69.82728
"Arrhis phyllonyx";19.5298;69.82958
"Arrhis phyllonyx";-78.720039;76.520555
"Arrhis phyllonyx";16.47145;68.96252
"Arrhis phyllonyx";27.575842;70.814377
"Arrhis phyllonyx";27.574913;70.815966
"Arrhis phyllonyx";27.489563;70.820516
"Arrhis phyllonyx";17.87425;69.47045
"Arrhis phyllonyx";17.87732;69.47142
"Arrhis phyllonyx";17.877367;69.473517
"Arrhis phyllonyx";17.143469;68.71976
"Arrhis phyllonyx";17.155679;68.72195
"Arrhis phyllonyx";17.151449;68.721
"Arrhis phyllonyx";17.107167;68.882166
"Arrhis phyllonyx";15.82062;67.69997
"Arrhis phyllonyx";17.315;68.72962
"Arrhis phyllonyx";17.30058;68.7387
"Arrhis phyllonyx";25.336819;70.916179
"Arrhis phyllonyx";29.323397;70.030659
"Arrhis phyllonyx";10.646643;59.415887
"Arrhis phyllonyx";23.56432;70.53223
"Arrhis phyllonyx";23.567549;70.53615
"Arrhis phyllonyx";5.39878;60.575699
"Arrhis phyllonyx";5.42845;60.579419
"Arrhis phyllonyx";21.86943;69.90472
"Arrhis phyllonyx";4.989851;61.388779
"Arrhis phyllonyx";31.1935;76.4994
"Arrhis phyllonyx";12.39935;66.16158
"Arrhis phyllonyx";12.39718;66.15963
"Arrhis phyllonyx";12.407251;66.16427
"Arrhis phyllonyx";12.39373;66.18322
"Arrhis phyllonyx";5.53847;61.92162
"Arrhis phyllonyx";5.521717;61.921766
"Arrhis phyllonyx";24.600099;70.63695
"Arrhis phyllonyx";14.762081;68.26287
"Arrhis phyllonyx";24.63197;70.875499
"Arrhis phyllonyx";24.63485;70.87597
"Arrhis phyllonyx";15.36163;68.40182
"Arrhis phyllonyx";15.39345;68.40712
"Arrhis phyllonyx";21.813771;70.21892
"Arrhis phyllonyx";21.805679;70.21962
"Arrhis phyllonyx";21.814949;70.21582
"Arrhis phyllonyx";21.80267;70.20198
"Arrhis phyllonyx";20.51822;69.57895
"Arrhis phyllonyx";10.43833;63.45833
"Arrhis phyllonyx";10.44;63.46333
"Arrhis phyllonyx";23.3563;70.12608
"Arrhis phyllonyx";13.1382;68.04327
"Arrhis phyllonyx";13.14758;68.04692
"Arrhis phyllonyx";17.335958;68.4815
"Arrhis phyllonyx";17.359;68.48823
"Arrhis phyllonyx";49.002267;74.773167
"Arrhis phyllonyx";46.65665;74.823033
"Arrhis phyllonyx";19.7772;69.88638
"Arrhis phyllonyx";18.959829;69.5151
"Arrhis phyllonyx";19.360549;69.27678
"Arrhis phyllonyx";10.141794;64.077908
"Arrhis phyllonyx";28.148616;70.698026
"Arrhis phyllonyx";29.06074;70.08599
"Arrhis phyllonyx";30.146857;70.53813
"Arrhis phyllonyx";30.14969;70.537762
"Arrhis phyllonyx";14.83875;68.44587
"Arrhis phyllonyx";14.83158;68.44505
"Arrhis phyllonyx";11.392169;63.835662
"Arrhis phyllonyx";15.4939;68.63067
"Arrhis phyllonyx";15.49137;68.63028
"Arrhis phyllonyx";15.2848;68.63415
"Arrhis phyllonyx";15.2686;68.62802
"Arrhis phyllonyx";20.71272;69.98643
"Arrhis phyllonyx";11.37023;64.68567
"Arrhis phyllonyx";11.90043;64.92325
"Arrhis phyllonyx";17.2155;68.78915
"Arrhis phyllonyx";16.675;78.65833
"Arrhis phyllonyx";15.162759;78.3207
"Arrhis phyllonyx";14.002844;78.128798
"Arrhis phyllonyx";5.9289;60.12237
"Arrhis phyllonyx";5.932681;60.11543
"Arrhis phyllonyx";21.74818;69.88593
"Arrhis phyllonyx";25.655898;70.760119
"Arrhis phyllonyx";17.27188;69.03207
"Arrhis phyllonyx";9.7095;59.06667
"Arrhis phyllonyx";31.2197;76
"Arrhis phyllonyx";31.2193;76
"Arrhis phyllonyx";31.2217;76
"Arrhis phyllonyx";33.6516;77.5226
"Arrhis phyllonyx";6.89405;64.978157
"Arrhis phyllonyx";6.878265;64.979865
"Arrhis phyllonyx";7.12011;64.999618
"Arrhis phyllonyx";7.445545;65.114257
"Arrhis phyllonyx";6.727978;65.453558
"Arrhis phyllonyx";6.719658;65.457503
"Arrhis phyllonyx";2.837598;62.748313
"Arrhis phyllonyx";2.827743;62.742855
"Arrhis phyllonyx";2.315885;62.835333
"Arrhis phyllonyx";2.318169;62.839074
"Arrhis phyllonyx";2.315317;62.831127
"Arrhis phyllonyx";2.316687;62.838845
"Arrhis phyllonyx";2.019815;62.631797
"Arrhis phyllonyx";2.01452;62.633034
"Arrhis phyllonyx";2.014671;62.633302
"Arrhis phyllonyx";2.014416;62.63329
"Arrhis phyllonyx";2.014341;62.633235
"Arrhis phyllonyx";8.53295;63.82518
"Arrhis phyllonyx";2.33963;62.576338
"Arrhis phyllonyx";2.016322;62.632057
"Arrhis phyllonyx";1.403382;62.416695
"Arrhis phyllonyx";1.400717;62.416457
"Arrhis phyllonyx";1.583867;62.631403
"Arrhis phyllonyx";1.588743;62.633185
"Arrhis phyllonyx";4.891682;64.608558
"Arrhis phyllonyx";4.892317;64.608703
"Arrhis phyllonyx";5.193458;64.55381
"Arrhis phyllonyx";5.195178;64.554
"Arrhis phyllonyx";9.823125;64.592033
"Arrhis phyllonyx";20.31336;69.66578
"Arrhis phyllonyx";20.31133;69.66767
"Arrhis phyllonyx";25.64565;70.755569
"Arrhis phyllonyx";17.8325;69.1339
"Arrhis phyllonyx";17.0238;69.14543
"Arrhis phyllonyx";25.740938;70.982589
"Arrhis phyllonyx";16.5746;68.5546
"Arrhis phyllonyx";16.609301;68.5463
"Arrhis phyllonyx";14.83642;68.44555
"Arrhis phyllonyx";14.820029;68.44347
"Arrhis phyllonyx";14.813701;68.44408
"Arrhis phyllonyx";14.824086;68.44417
"Arrhis phyllonyx";5.825333;62.300999
"Arrhis phyllonyx";5.818501;62.295833
"Arrhis phyllonyx";176.473333;70.54
"Arrhis phyllonyx";14.89925;67.74393
"Arrhis phyllonyx";14.897488;67.74243
"Arrhis phyllonyx";23.052617;69.937533
"Arrhis phyllonyx";11.105;63.9753
"Arrhis phyllonyx";13.55;66.248
"Arrhis phyllonyx";17.32573;69.42818
"Arrhis phyllonyx";7.68455;62.98147
"Arrhis phyllonyx";11.49275;64.459083
"Arrhis phyllonyx";11.443217;64.44945
"Arrhis phyllonyx";22.02917;70.02358
"Arrhis phyllonyx";7.752035;63.097488
"Arrhis phyllonyx";29.674351;69.916436
"Arrhis phyllonyx";149.218333;75.81
"Arrhis phyllonyx";112.075;77.315
"Arrhis phyllonyx";49.0038;74.7775
"Arrhis phyllonyx";142.886667;76.333333
"Arrhis phyllonyx";136.34;76.708333
"Arrhis phyllonyx";85.428333;75.526667
"Arrhis phyllonyx";152.663333;75.371667
"Arrhis phyllonyx";22.69843;70.0867
"Arrhis phyllonyx";22.6929;70.08505
"Arrhis phyllonyx";23.10102;69.9504
"Arrhis phyllonyx";23.09165;69.948233
"Arrhis phyllonyx";27.485074;70.822716
"Arrhis phyllonyx";21.47732;70.26223
"Arrhis phyllonyx";21.4677;70.26542
"Arrhis phyllonyx";21.48082;70.25698
"Arrhis phyllonyx";23.232631;70.1224
"Arrhis phyllonyx";22.86055;70.41767
"Arrhis phyllonyx";9.88197;63.90797
"Arrhis phyllonyx";6.977725;64.972443
"Arrhis phyllonyx";7.555447;65.699512
"Arrhis phyllonyx";7.30581;65.328217
"Arrhis phyllonyx";7.541496;65.696014
"Arrhis phyllonyx";7.548976;65.695264
"Arrhis phyllonyx";7.413892;65.591958
"Arrhis phyllonyx";7.428798;65.59047
