"species";"lon";"lat"
"Astarte borealis";11.713655;54.1536
"Astarte borealis";3.95;51.9
"Astarte borealis";4.2;52.05
"Astarte borealis";3.45;51.55
"Astarte borealis";11.207042;54.411713
"Astarte borealis";-22.031211;64.109361
"Astarte borealis";3.8;51.75
"Astarte borealis";4.15;52
"Astarte borealis";3.95;51.95
"Astarte borealis";11.881572;54.149947
"Astarte borealis";3.85;51.75
"Astarte borealis";29.750594;70.067626
"Astarte borealis";11.740875;54.153363
"Astarte borealis";10.753901;54.052982
"Astarte borealis";10.75393;54.052882
"Astarte borealis";-169.52602;56.6617
"Astarte borealis";11.411323;54.010221
"Astarte borealis";10.032794;54.628767
"Astarte borealis";13.525543;68.199017
"Astarte borealis";10.915166;53.959354
"Astarte borealis";3.7;51.65
"Astarte borealis";4.15;52.05
"Astarte borealis";10.752182;54.036717
"Astarte borealis";17.00739;68.854646
"Astarte borealis";3.99;51.84
"Astarte borealis";10.43734;54.827179
"Astarte borealis";3.65;51.55
"Astarte borealis";18.81145;69.89063
"Astarte borealis";11.748988;54.157575
"Astarte borealis";3.6;51.55
"Astarte borealis";3.5;51.4
"Astarte borealis";11.738334;54.153161
"Astarte borealis";13.465833;68.072833
"Astarte borealis";12.441035;54.395534
"Astarte borealis";3.45;51.4
"Astarte borealis";18.90215;69.66478
"Astarte borealis";14.239896;68.321674
"Astarte borealis";13.547349;68.157966
"Astarte borealis";33.115892;66.552119
"Astarte borealis";-156.459469;71.385301
"Astarte borealis";10.087658;54.480792
"Astarte borealis";15.721436;69.137141
"Astarte borealis";-169.11337;64.66868
"Astarte borealis";26.588641;70.663469
"Astarte borealis";11.752735;54.154354
"Astarte borealis";10.025353;54.574061
"Astarte borealis";10.032008;54.63298
"Astarte borealis";8.357602;54.999084
"Astarte borealis";10.754113;54.053263
"Astarte borealis";3.45;51.45
"Astarte borealis";3.66;51.59
"Astarte borealis";3.69;51.67
"Astarte borealis";4.82;53.163
"Astarte borealis";13.635878;68.121688
"Astarte borealis";17.149201;68.72061
"Astarte borealis";3.65;51.7
"Astarte borealis";3.45;51.5
"Astarte borealis";20.984555;70.028107
"Astarte borealis";15.588285;78.230093
"Astarte borealis";15.567651;78.23285
"Astarte borealis";-156.742462;71.300688
"Astarte borealis";23.643899;70.66975
"Astarte borealis";18.907102;69.631512
"Astarte borealis";-21.108159;65.258337
"Astarte borealis";16.117936;69.324433
"Astarte borealis";15.540385;78.239877
"Astarte borealis";-67.10673;49.7732
"Astarte borealis";32.89806;66.70503
"Astarte borealis";11.407445;54.009228
"Astarte borealis";-61.800683;47.133308
"Astarte borealis";-61.83315;47.133683
"Astarte borealis";-61.797;47.133
"Astarte borealis";14.79935;68.4428
"Astarte borealis";11.843217;54.144758
"Astarte borealis";11.8433;54.144758
"Astarte borealis";11.843286;54.144763
"Astarte borealis";3.5;51.45
"Astarte borealis";18.851601;69.67672
"Astarte borealis";3.55;51.45
"Astarte borealis";3.4;51.5
"Astarte borealis";13.504985;68.212359
"Astarte borealis";4.221;52.072
"Astarte borealis";4.11;51.99
"Astarte borealis";3.96;51.94
"Astarte borealis";21.423885;70.238657
"Astarte borealis";-148.316532;70.31404
"Astarte borealis";33.961735;66.262113
"Astarte borealis";11.00235;58.88604
"Astarte borealis";33.2;66.6
"Astarte borealis";-148.309272;70.314609
"Astarte borealis";-61.835333;47.139667
"Astarte borealis";-80.923;71.888
"Astarte borealis";-61.833508;47.1417
"Astarte borealis";-61.832158;47.133933
"Astarte borealis";-62.099983;47.225033
"Astarte borealis";11.421991;54.013603
"Astarte borealis";4.1;51.95
"Astarte borealis";4.05;51.95
"Astarte borealis";-156.650868;71.336777
"Astarte borealis";11.425095;54.014629
"Astarte borealis";68.3962;72.7114
"Astarte borealis";73.80002;73.76511
"Astarte borealis";3.8;51.7
"Astarte borealis";3.65;51.65
"Astarte borealis";3.7;51.4
"Astarte borealis";21.3287;70.1483
"Astarte borealis";21.281679;70.1579
"Astarte borealis";21.339881;70.14535
"Astarte borealis";21.33162;70.14712
"Astarte borealis";25.895579;71.010122
"Astarte borealis";25.944396;71.017797
"Astarte borealis";13.88533;67.12172
"Astarte borealis";25.89498;71.010096
"Astarte borealis";19.536534;69.800185
"Astarte borealis";3.52;51.47
"Astarte borealis";18.789082;69.322514
"Astarte borealis";10.025125;54.576191
"Astarte borealis";69.8929;75.030883
"Astarte borealis";69.893283;75.047033
"Astarte borealis";69.902817;75.043283
"Astarte borealis";69.965364;75.04318
"Astarte borealis";19.3529;69.365135
"Astarte borealis";12.260719;65.959107
"Astarte borealis";-68.95312;48.75183
"Astarte borealis";25.38175;71.013548
"Astarte borealis";4.1;54.5
"Astarte borealis";3.9;55
"Astarte borealis";4.227;52.076
"Astarte borealis";4.18;52.05
"Astarte borealis";3.77;51.74
"Astarte borealis";10.031022;54.634884
"Astarte borealis";-156.784225;71.295083
"Astarte borealis";-156.357636;71.359239
"Astarte borealis";-115.20553;67.89617
"Astarte borealis";-67.987083;49.221167
"Astarte borealis";16.52422;78.4158
"Astarte borealis";16.4943;78.41006
"Astarte borealis";16.56673;78.41181
"Astarte borealis";4.161;52.029
"Astarte borealis";33.6;66.5
"Astarte borealis";-104.89655;69.08181
"Astarte borealis";-105.0378;69.11733
"Astarte borealis";-104.89217;69.08144
"Astarte borealis";-105.928;69.072
"Astarte borealis";-105.06447;69.05648
"Astarte borealis";-105.05439;69.05505
"Astarte borealis";-105.03692;69.05034
"Astarte borealis";-115.20538;67.89672
"Astarte borealis";-115.17993;67.90607
"Astarte borealis";-115.20502;67.89708
"Astarte borealis";58.490367;69.60685
"Astarte borealis";58.7634;69.84545
"Astarte borealis";58.1636;69.445567
"Astarte borealis";58.141083;69.525883
"Astarte borealis";25.971211;70.995044
"Astarte borealis";3.84;51.76
"Astarte borealis";25.963575;70.994173
"Astarte borealis";4.1;52
"Astarte borealis";4.078;51.525
"Astarte borealis";3.55;51.44
"Astarte borealis";3.49;51.56
"Astarte borealis";-63.521458;50.179042
"Astarte borealis";-63.596133;50.158275
"Astarte borealis";-105.0881;69.1029
"Astarte borealis";-105.09505;69.05626
"Astarte borealis";-105.05849;69.11384
"Astarte borealis";-105.16219;69.10439
"Astarte borealis";14.9819;68.91507
"Astarte borealis";14.83915;68.4335
"Astarte borealis";4;51.9
"Astarte borealis";114.9122;76.3312
"Astarte borealis";53.381349;69.011364
"Astarte borealis";15.226321;68.49333
"Astarte borealis";53.998638;70.162887
"Astarte borealis";55.1;69.766667
"Astarte borealis";53.400676;70.418903
"Astarte borealis";54.004496;69.99864
"Astarte borealis";54.05322;69.757256
"Astarte borealis";66.5468;72.1284
"Astarte borealis";52.773808;70.26296
"Astarte borealis";50.900143;70.735407
"Astarte borealis";51.720424;70.520073
"Astarte borealis";52.085116;70.657504
"Astarte borealis";4.197;52.057
"Astarte borealis";4.35;52.15
"Astarte borealis";4.16;52.03
"Astarte borealis";14.478085;67.323275
"Astarte borealis";10.549622;54.549767
"Astarte borealis";-63.495583;50.179167
"Astarte borealis";-63.120683;50.162425
"Astarte borealis";7.95378;63.47593
"Astarte borealis";82.168327;78.244026
"Astarte borealis";33.4;66.5
"Astarte borealis";84.052971;77.083611
"Astarte borealis";90.858627;78.063622
"Astarte borealis";5.240389;59.447996
"Astarte borealis";15.56705;78.232418
"Astarte borealis";10.512543;54.605484
"Astarte borealis";16.602708;68.733001
"Astarte borealis";4.71;52.93
"Astarte borealis";129.45275;37.049028
"Astarte borealis";10.243378;54.43251
"Astarte borealis";10.745648;54.697239
"Astarte borealis";4.17;52.037
"Astarte borealis";-150.06;70.8457
"Astarte borealis";-20.19;74.24
"Astarte borealis";-20.19;74.24
"Astarte borealis";-20.14;74.18
"Astarte borealis";-64.048;67.554
"Astarte borealis";5.7;53.45
"Astarte borealis";4.35;51.95
"Astarte borealis";18.9111;69.6292
"Astarte borealis";11.56;78.55
"Astarte borealis";11.56;78.55
"Astarte borealis";16.113853;69.31927
"Astarte borealis";3.922;52.014
"Astarte borealis";0.287;57.358
"Astarte borealis";0.287;57.358
"Astarte borealis";4.15;52.02
"Astarte borealis";4.13;52
"Astarte borealis";-57.81;49.493
"Astarte borealis";-78.4417;70.2622
"Astarte borealis";7.99312;63.02372
"Astarte borealis";7.9616;63.02209
"Astarte borealis";4.713;52.936
"Astarte borealis";33.1;66.6
"Astarte borealis";8.520299;63.78752
"Astarte borealis";75.1;73.8
"Astarte borealis";18.95;69.65
"Astarte borealis";18.9295;69.69216
"Astarte borealis";-67.08;45.08
"Astarte borealis";-67.083;45.083
"Astarte borealis";6.380324;62.838815
"Astarte borealis";1.867714;60.521704
"Astarte borealis";1.881295;60.5285
"Astarte borealis";23.86833;76.11633
