"species";"lon";"lat"
"Astarte crenata";23.213919;70.12247
"Astarte crenata";23.232567;70.124567
"Astarte crenata";23.238131;70.123099
"Astarte crenata";17.03533;69.24722
"Astarte crenata";25.020199;70.896629
"Astarte crenata";5.237735;59.610174
"Astarte crenata";14.56908;68.50472
"Astarte crenata";14.5664;68.50532
"Astarte crenata";5.050551;61.893199
"Astarte crenata";13.59623;66.86453
"Astarte crenata";13.607917;66.868883
"Astarte crenata";18.2576;69.74508
"Astarte crenata";18.249719;69.75378
"Astarte crenata";18.24937;69.75263
"Astarte crenata";13.07778;67.94572
"Astarte crenata";17.57401;69.48705
"Astarte crenata";20.70365;69.99173
"Astarte crenata";8.661179;63.67505
"Astarte crenata";14.780469;68.81625
"Astarte crenata";15.01778;68.47862
"Astarte crenata";15.023899;68.48373
"Astarte crenata";15.021301;68.47977
"Astarte crenata";15.03582;68.84875
"Astarte crenata";26.693926;70.425348
"Astarte crenata";26.698546;70.418648
"Astarte crenata";23.3235;70.2322
"Astarte crenata";23.37343;70.33883
"Astarte crenata";23.4038;70.33758
"Astarte crenata";14.600531;68.50515
"Astarte crenata";17.0659;68.8599
"Astarte crenata";17.93922;69.15437
"Astarte crenata";17.95962;69.16487
"Astarte crenata";15.39113;68.61498
"Astarte crenata";16.41703;68.86482
"Astarte crenata";15.557579;67.51018
"Astarte crenata";21.072731;70.116092
"Astarte crenata";17.500299;68.5213
"Astarte crenata";-168.21886;55.99245
"Astarte crenata";15.31685;68.94307
"Astarte crenata";13.55495;66.71317
"Astarte crenata";16.0326;68.71113
"Astarte crenata";16.0318;68.72228
"Astarte crenata";23.324029;70.13342
"Astarte crenata";15.23505;68.33748
"Astarte crenata";15.2295;68.3325
"Astarte crenata";15.23038;68.33488
"Astarte crenata";15.23582;68.33438
"Astarte crenata";15.43802;68.77492
"Astarte crenata";15.43902;68.7739
"Astarte crenata";15.43715;68.77197
"Astarte crenata";17.10758;68.88922
"Astarte crenata";9.06697;63.6091
"Astarte crenata";15.22888;68.33162
"Astarte crenata";15.27648;68.34432
"Astarte crenata";22.257219;70.14358
"Astarte crenata";13.635878;68.121688
"Astarte crenata";22.413429;70.1483
"Astarte crenata";22.40718;70.15235
"Astarte crenata";21.877433;70.065353
"Astarte crenata";21.87938;70.06538
"Astarte crenata";15.45668;68.42962
"Astarte crenata";15.46048;68.43222
"Astarte crenata";15.45832;68.43085
"Astarte crenata";15.46217;68.43338
"Astarte crenata";16.396299;68.8656
"Astarte crenata";16.4357;68.8584
"Astarte crenata";16.89445;68.35632
"Astarte crenata";16.88325;68.35102
"Astarte crenata";16.88142;68.35022
"Astarte crenata";15.34027;68.60203
"Astarte crenata";15.34378;68.60283
"Astarte crenata";25.394079;71.013119
"Astarte crenata";24.63485;70.87597
"Astarte crenata";24.63912;70.876749
"Astarte crenata";24.616679;70.876099
"Astarte crenata";15.36163;68.40182
"Astarte crenata";15.35275;68.39792
"Astarte crenata";15.35773;68.3998
"Astarte crenata";18.338279;69.501998
"Astarte crenata";18.511799;69.3418
"Astarte crenata";44.9357;74.75305
"Astarte crenata";42.2047;74.876
"Astarte crenata";21.814949;70.21582
"Astarte crenata";21.806399;70.203
"Astarte crenata";17.5246;69.02188
"Astarte crenata";17.503791;69.0244
"Astarte crenata";17.48918;69.01223
"Astarte crenata";17.320571;68.48165
"Astarte crenata";46.002267;74.35635
"Astarte crenata";46.736733;74.467817
"Astarte crenata";15.2686;68.62802
"Astarte crenata";15.27097;68.63008
"Astarte crenata";15.26097;68.62712
"Astarte crenata";15.25845;68.62612
"Astarte crenata";17.52793;68.81079
"Astarte crenata";24.0903;70.57752
"Astarte crenata";24.086171;70.57697
"Astarte crenata";23.47753;70.28732
"Astarte crenata";13.36588;68.0249
"Astarte crenata";13.39933;68.0321
"Astarte crenata";16.246632;68.55213
"Astarte crenata";16.376739;68.56144
"Astarte crenata";5.57667;61.901829
"Astarte crenata";18.65642;69.72785
"Astarte crenata";18.65533;69.72628
"Astarte crenata";15.4863;68.7289
"Astarte crenata";18.52662;69.8217
"Astarte crenata";16.90425;68.786866
"Astarte crenata";15.20015;68.31875
"Astarte crenata";15.19717;68.31778
"Astarte crenata";15.197017;68.3202
"Astarte crenata";23.48315;70.28685
"Astarte crenata";23.32087;70.26543
"Astarte crenata";23.310169;70.26522
"Astarte crenata";22.89405;70.24335
"Astarte crenata";33.6121;79.7712
"Astarte crenata";33.5875;79.7714
"Astarte crenata";33.5161;79.7592
"Astarte crenata";17.9503;69.1561
"Astarte crenata";17.9651;69.1589
"Astarte crenata";17.9622;69.1585
