"species";"lon";"lat"
"Ciliatocardium ciliatum";-93.888778;58.769283
"Ciliatocardium ciliatum";13.512409;78.084881
"Ciliatocardium ciliatum";18.288189;79.3954
"Ciliatocardium ciliatum";26.695216;70.417568
"Ciliatocardium ciliatum";-156.358363;71.358955
"Ciliatocardium ciliatum";-63.340191;50.227964
"Ciliatocardium ciliatum";-63.340041;50.227926
"Ciliatocardium ciliatum";-63.3417;50.227535
"Ciliatocardium ciliatum";11.071987;79.743104
"Ciliatocardium ciliatum";31.1935;76.4994
"Ciliatocardium ciliatum";-64.029158;50.256128
"Ciliatocardium ciliatum";-64.132462;50.274641
"Ciliatocardium ciliatum";-63.518918;50.256194
"Ciliatocardium ciliatum";-61.265345;50.186489
"Ciliatocardium ciliatum";30.342823;70.18454
"Ciliatocardium ciliatum";-68.00453;49.2796
"Ciliatocardium ciliatum";-68.1052;49.22153
"Ciliatocardium ciliatum";-66.61638;50.1133
"Ciliatocardium ciliatum";-66.85422;49.96762
"Ciliatocardium ciliatum";27.541942;70.816626
"Ciliatocardium ciliatum";33.803611;66.350518
"Ciliatocardium ciliatum";40.7593;74.1385
"Ciliatocardium ciliatum";41.6548;74.9783
"Ciliatocardium ciliatum";42.2713;74.6037
"Ciliatocardium ciliatum";-66.55842;50.11858
"Ciliatocardium ciliatum";-67.10673;49.7732
"Ciliatocardium ciliatum";-68.08268;49.17748
"Ciliatocardium ciliatum";-67.66398;49.29573
"Ciliatocardium ciliatum";-61.800683;47.133308
"Ciliatocardium ciliatum";-61.700533;47.166425
"Ciliatocardium ciliatum";-61.833533;47.125033
"Ciliatocardium ciliatum";-68.204333;49.034667
"Ciliatocardium ciliatum";-68.934167;48.745333
"Ciliatocardium ciliatum";-68.911;48.534667
"Ciliatocardium ciliatum";-67.6395;48.859167
"Ciliatocardium ciliatum";33.9;66.3
"Ciliatocardium ciliatum";-64.196;50.0255
"Ciliatocardium ciliatum";14.002844;78.128798
"Ciliatocardium ciliatum";30.412774;69.784959
"Ciliatocardium ciliatum";30.421553;69.735378
"Ciliatocardium ciliatum";-67.90617;49.28333
"Ciliatocardium ciliatum";-68.02417;49.27667
"Ciliatocardium ciliatum";34.0019;77.5004
"Ciliatocardium ciliatum";34.0022;77.5004
"Ciliatocardium ciliatum";-0.411827;50.73249
"Ciliatocardium ciliatum";-0.394158;50.6484
"Ciliatocardium ciliatum";-59.093667;48.315167
"Ciliatocardium ciliatum";33.2;66.6
"Ciliatocardium ciliatum";-78.121351;58.450168
"Ciliatocardium ciliatum";-78.118166;58.449438
"Ciliatocardium ciliatum";-62.031217;47.1761
"Ciliatocardium ciliatum";-67.573167;48.871167
"Ciliatocardium ciliatum";-68.326333;48.647
"Ciliatocardium ciliatum";-61.894833;49.933333
"Ciliatocardium ciliatum";-62.104;49.723833
"Ciliatocardium ciliatum";-62.083867;47.191917
"Ciliatocardium ciliatum";-61.8002;47.133433
"Ciliatocardium ciliatum";85.428333;75.526667
"Ciliatocardium ciliatum";136.34;76.708333
"Ciliatocardium ciliatum";40.7208;74.6329
"Ciliatocardium ciliatum";48.2391;74.6771
"Ciliatocardium ciliatum";121.99;76.895
"Ciliatocardium ciliatum";144.117222;50.316111
"Ciliatocardium ciliatum";114.666667;77.001667
"Ciliatocardium ciliatum";43.335833;75.621333
"Ciliatocardium ciliatum";142.886667;76.333333
"Ciliatocardium ciliatum";-68.9445;48.75417
"Ciliatocardium ciliatum";-68.87937;48.79342
"Ciliatocardium ciliatum";-67.61518;49.29582
"Ciliatocardium ciliatum";-68.07118;49.25503
"Ciliatocardium ciliatum";60.7295;69.91481
"Ciliatocardium ciliatum";53.95;75.509167
"Ciliatocardium ciliatum";-63.833178;48.521205
"Ciliatocardium ciliatum";53.714722;75.513611
"Ciliatocardium ciliatum";53.711944;75.514444
