"species";"lon";"lat"
"Cryptonatica affinis";23.232567;70.124567
"Cryptonatica affinis";17.35668;69.4218
"Cryptonatica affinis";17.330379;69.42665
"Cryptonatica affinis";18.761054;69.663202
"Cryptonatica affinis";20.319817;69.65975
"Cryptonatica affinis";3.5;51.4
"Cryptonatica affinis";-68.976883;48.741967
"Cryptonatica affinis";17.6795;69.51847
"Cryptonatica affinis";12.32296;65.14251
"Cryptonatica affinis";33.2;66.5
"Cryptonatica affinis";33.1;66.6
"Cryptonatica affinis";3.65;51.55
"Cryptonatica affinis";15.40035;67.1334
"Cryptonatica affinis";5.647301;61.89652
"Cryptonatica affinis";17.34465;69.13385
"Cryptonatica affinis";17.149201;68.72061
"Cryptonatica affinis";-2.287664;35.099883
"Cryptonatica affinis";22.280481;70.2182
"Cryptonatica affinis";15.288121;67.2032
"Cryptonatica affinis";5.52603;61.922269
"Cryptonatica affinis";15.27882;68.97485
"Cryptonatica affinis";5.554884;61.915533
"Cryptonatica affinis";155.1872;55.0195
"Cryptonatica affinis";39.8467;73.851
"Cryptonatica affinis";23.05358;70.34517
"Cryptonatica affinis";-134.42;70.645667
"Cryptonatica affinis";154.4223;56.3854
"Cryptonatica affinis";47.35125;74.922267
"Cryptonatica affinis";-65.810667;50.128667
"Cryptonatica affinis";19.68667;69.82047
"Cryptonatica affinis";-58.571667;49.248333
"Cryptonatica affinis";-58.615;49.496667
"Cryptonatica affinis";-60.367167;49.790667
"Cryptonatica affinis";15.79862;67.96848
"Cryptonatica affinis";15.27097;68.63008
"Cryptonatica affinis";3.65;51.6
"Cryptonatica affinis";15.33915;67.22487
"Cryptonatica affinis";15.34462;67.22857
"Cryptonatica affinis";6.91625;62.351583
"Cryptonatica affinis";16.24283;68.24457
"Cryptonatica affinis";23.32087;70.26543
"Cryptonatica affinis";13.59623;66.86453
"Cryptonatica affinis";13.60642;66.8682
"Cryptonatica affinis";7.419912;65.332847
"Cryptonatica affinis";12.64242;65.93535
"Cryptonatica affinis";23.6303;70.48592
"Cryptonatica affinis";14.606551;68.50058
"Cryptonatica affinis";1.583867;62.631403
"Cryptonatica affinis";4.891682;64.608558
"Cryptonatica affinis";34.0022;77.5004
"Cryptonatica affinis";14.84645;67.23722
"Cryptonatica affinis";-59.093667;48.315167
"Cryptonatica affinis";17.0043;69.15283
"Cryptonatica affinis";169.606667;67.055
"Cryptonatica affinis";170.381667;68.331667
"Cryptonatica affinis";178.703333;70.311667
"Cryptonatica affinis";-66.143333;49.334
"Cryptonatica affinis";-66.9885;49.113
"Cryptonatica affinis";-67.606;49.014333
"Cryptonatica affinis";-69.103833;48.472833
"Cryptonatica affinis";-68.223;48.947
"Cryptonatica affinis";-68.091;49.001
"Cryptonatica affinis";-67.556667;49.125333
"Cryptonatica affinis";28.249;75.162
