"species";"lon";"lat"
"Cylichnoides occultus";29.300146;70.028668
"Cylichnoides occultus";29.323397;70.030659
"Cylichnoides occultus";17.6503;68.7867
"Cylichnoides occultus";33.2;66.5
"Cylichnoides occultus";33.7;66.6
"Cylichnoides occultus";34.0019;77.5004
"Cylichnoides occultus";34.0022;77.5004
"Cylichnoides occultus";33.2;66.6
"Cylichnoides occultus";176.473333;70.54
"Cylichnoides occultus";178.703333;70.311667
"Cylichnoides occultus";23.378317;70.006383
"Cylichnoides occultus";175.413333;73.578333
"Cylichnoides occultus";60.35712;71.44731
"Cylichnoides occultus";142.886667;76.333333
"Cylichnoides occultus";133.381667;76.756667
"Cylichnoides occultus";85.428333;75.526667
"Cylichnoides occultus";155.3156;55.6728
"Cylichnoides occultus";155.2477;56.3859
"Cylichnoides occultus";155.473333;75.416667
"Cylichnoides occultus";57.285;69.271333
"Cylichnoides occultus";57.286;69.261333
"Cylichnoides occultus";57.356;69.2405
"Cylichnoides occultus";57.348;69.267333
"Cylichnoides occultus";17.72695;68.90497
"Cylichnoides occultus";22.04222;69.75673
"Cylichnoides occultus";61.73345;74.248733
"Cylichnoides occultus";61.68945;74.229783
"Cylichnoides occultus";61.74885;74.230183
"Cylichnoides occultus";69.950867;75.040717
"Cylichnoides occultus";59.984168;80.19872
"Cylichnoides occultus";61.776667;74.225333
"Cylichnoides occultus";19.988499;69.34108
"Cylichnoides occultus";19.993782;69.34223
"Cylichnoides occultus";36.734553;80.172602
"Cylichnoides occultus";41.710845;74.845788
"Cylichnoides occultus";83.865793;77.344054
"Cylichnoides occultus";83.849158;77.346677
"Cylichnoides occultus";17.654549;69.14363
"Cylichnoides occultus";4.940339;61.203871
"Cylichnoides occultus";5.083683;61.187933
"Cylichnoides occultus";6.942098;62.872889
"Cylichnoides occultus";27.021775;70.636177
"Cylichnoides occultus";16.30783;78.43028
"Cylichnoides occultus";16.45627;78.42303
"Cylichnoides occultus";16.4642;78.41879
"Cylichnoides occultus";16.52422;78.4158
"Cylichnoides occultus";16.4943;78.41006
"Cylichnoides occultus";16.56673;78.41181
"Cylichnoides occultus";16.56245;78.4083
"Cylichnoides occultus";14.62099;78.49433
"Cylichnoides occultus";14.58506;78.50902
"Cylichnoides occultus";58.955783;69.760583
"Cylichnoides occultus";70.8293;75.1045
"Cylichnoides occultus";70.8787;75.1089
"Cylichnoides occultus";56.497167;69.231167
"Cylichnoides occultus";15.07528;68.86418
"Cylichnoides occultus";12.07703;66.07193
"Cylichnoides occultus";144.197184;51.280701
"Cylichnoides occultus";144.324921;51.411595
"Cylichnoides occultus";144.277662;51.313607
"Cylichnoides occultus";14.97724;67.274303
"Cylichnoides occultus";58.65;69.08333
"Cylichnoides occultus";21.887667;74.735
"Cylichnoides occultus";56.137846;69.030467
"Cylichnoides occultus";53.380548;69.01088
"Cylichnoides occultus";-163.7735;71.6172
"Cylichnoides occultus";-163.4064;71.24122
"Cylichnoides occultus";-162.5989;71.48228
"Cylichnoides occultus";56.137861;69.020676
"Cylichnoides occultus";16.421801;68.86905
"Cylichnoides occultus";33.3;66.5
"Cylichnoides occultus";36.616667;76.300167
"Cylichnoides occultus";64.949;73.1845
"Cylichnoides occultus";17.149201;68.72061
"Cylichnoides occultus";17.65587;69.14835
"Cylichnoides occultus";152.423333;75.732433
"Cylichnoides occultus";142.22;76.378733
"Cylichnoides occultus";112.533333;74.617617
"Cylichnoides occultus";142.22;76.378717
"Cylichnoides occultus";152.423333;75.73245
"Cylichnoides occultus";112.538619;74.617786
"Cylichnoides occultus";149.09;76.754283
"Cylichnoides occultus";152.423333;75.732367
"Cylichnoides occultus";109.998333;76.905967
"Cylichnoides occultus";112.538333;74.617633
"Cylichnoides occultus";88.536057;78.984177
"Cylichnoides occultus";87.08313;79.426376
"Cylichnoides occultus";83.093514;79.096985
"Cylichnoides occultus";85.049248;78.176109
"Cylichnoides occultus";83.356537;77.889374
"Cylichnoides occultus";74.519493;79.220062
"Cylichnoides occultus";80.29332;78.625702
"Cylichnoides occultus";52.776833;80.373967
"Cylichnoides occultus";78.023125;79.189095
"Cylichnoides occultus";6.3577;62.679266
"Cylichnoides occultus";18.06825;69.470533
"Cylichnoides occultus";18.079783;69.477767
"Cylichnoides occultus";-162.63495;71.23278
"Cylichnoides occultus";-160.65772;71.32433
"Cylichnoides occultus";-161.04102;71.45533
"Cylichnoides occultus";-161.40358;71.58868
"Cylichnoides occultus";-161.78042;71.72018
"Cylichnoides occultus";-162.16157;71.84975
"Cylichnoides occultus";-163.80133;71.11936
"Cylichnoides occultus";-163.4026;71.24099
"Cylichnoides occultus";-162.60624;71.48318
"Cylichnoides occultus";-145.923;70.7385
"Cylichnoides occultus";31.313833;70.2965
"Cylichnoides occultus";5.600455;62.171131
"Cylichnoides occultus";5.604134;62.177266
"Cylichnoides occultus";33;66.6
"Cylichnoides occultus";24.27083;70.48716
"Cylichnoides occultus";22.229546;80.087602
"Cylichnoides occultus";16.499267;78.608767
"Cylichnoides occultus";64.308;75.387
"Cylichnoides occultus";-50.73;64.68
"Cylichnoides occultus";-53.369999;63.880001
"Cylichnoides occultus";22.914431;72.625778
"Cylichnoides occultus";15.61333;78.23333
"Cylichnoides occultus";15.59166;78.25666
"Cylichnoides occultus";18.2;74.5
"Cylichnoides occultus";10.4756;63.4448
"Cylichnoides occultus";12.1067;78.9167
"Cylichnoides occultus";139.995;77.51
"Cylichnoides occultus";129.98;75.998333
"Cylichnoides occultus";129.9856;75.9983
"Cylichnoides occultus";129.979996;75.998337
"Cylichnoides occultus";139.994995;77.510002
"Cylichnoides occultus";130.039993;77.93
"Cylichnoides occultus";130.04;77.93
"Cylichnoides occultus";130.0411;77.9296
"Cylichnoides occultus";135.246667;78.355
"Cylichnoides occultus";135.2466;78.355
"Cylichnoides occultus";135.246674;78.355003
"Cylichnoides occultus";22.8;78.6667
"Cylichnoides occultus";22.135;80.355
"Cylichnoides occultus";-70.291111;48.319444
"Cylichnoides occultus";-70.415;48.352778
"Cylichnoides occultus";-70.411944;48.355
"Cylichnoides occultus";-70.411667;48.354444
"Cylichnoides occultus";-70.834444;48.410278
"Cylichnoides occultus";-150.3017;70.5667
"Cylichnoides occultus";-148.5783;70.4567
"Cylichnoides occultus";-144.605;69.9767
"Cylichnoides occultus";-146.9683;70.18
"Cylichnoides occultus";-144.7717;70.0117
"Cylichnoides occultus";-144.8667;69.9767
"Cylichnoides occultus";-146.2167;70.195
"Cylichnoides occultus";-146.9717;70.2
"Cylichnoides occultus";-146.8833;70.2317
"Cylichnoides occultus";-147.1017;70.2567
"Cylichnoides occultus";-145.3067;70.0583
"Cylichnoides occultus";-8.5417;70.38
"Cylichnoides occultus";-162;66.18
"Cylichnoides occultus";-163.419998;66.18
"Cylichnoides occultus";-162.580002;66.419998
"Cylichnoides occultus";-162.589996;66.730003
"Cylichnoides occultus";-152.391667;57.775
"Cylichnoides occultus";-165.106667;71.616667
"Cylichnoides occultus";-168.256667;71.87
"Cylichnoides occultus";-73.7469;37.8969
"Cylichnoides occultus";-151.4;59.558333
"Cylichnoides occultus";-30.75;82.18333
"Cylichnoides occultus";-164.816667;54.733333
