"species";"lon";"lat"
"Cyrtodaria kurriana";-68.52218;63.724687
"Cyrtodaria kurriana";-148.314323;70.31366
"Cyrtodaria kurriana";53.7;68.9
"Cyrtodaria kurriana";53.8;68.9
"Cyrtodaria kurriana";-68.0334;63.7168
"Cyrtodaria kurriana";-87.7775;77.1319
"Cyrtodaria kurriana";-148.633333;70.433333
"Cyrtodaria kurriana";-134.050003;69.57
"Cyrtodaria kurriana";-134.130005;69.540001
"Cyrtodaria kurriana";-132.970001;69.43
"Cyrtodaria kurriana";-132.990005;69.449997
"Cyrtodaria kurriana";-133;69.449997
"Cyrtodaria kurriana";-147.805;70.3467
"Cyrtodaria kurriana";-146.2167;70.195
"Cyrtodaria kurriana";-146.8833;70.2317
"Cyrtodaria kurriana";-150.215;70.5333
"Cyrtodaria kurriana";-146.9683;70.18
"Cyrtodaria kurriana";-148.5783;70.4567
"Cyrtodaria kurriana";-149.88;70.52
"Cyrtodaria kurriana";-133.089996;69.639999
"Cyrtodaria kurriana";15.566;78.282
"Cyrtodaria kurriana";21.975;78.207
"Cyrtodaria kurriana";14.46;80
"Cyrtodaria kurriana";-134.070007;69.550003
"Cyrtodaria kurriana";-134.029999;69.550003
"Cyrtodaria kurriana";-133.020004;69.459999
"Cyrtodaria kurriana";21.166;77.616
"Cyrtodaria kurriana";20.809;78.08
"Cyrtodaria kurriana";22.616;77.316
"Cyrtodaria kurriana";-68.45;63.66667
"Cyrtodaria kurriana";-158.8;70.85
"Cyrtodaria kurriana";-64.6792;63.1922
"Cyrtodaria kurriana";-147.466667;70.333333
"Cyrtodaria kurriana";-150.031667;70.515
"Cyrtodaria kurriana";-146.095;70.186667
"Cyrtodaria kurriana";-160.089444;70.579444
"Cyrtodaria kurriana";-143.683333;70.137778
"Cyrtodaria kurriana";-153.208333;70.936667
"Cyrtodaria kurriana";-159.1;71.091667
"Cyrtodaria kurriana";-154.225;70.9206
"Cyrtodaria kurriana";-162.456389;66.940833
"Cyrtodaria kurriana";-138.929993;69.57
"Cyrtodaria kurriana";-133.880005;69.540001
"Cyrtodaria kurriana";-133.979996;69.599998
"Cyrtodaria kurriana";-133.919998;69.639999
"Cyrtodaria kurriana";-138.880005;69.57
"Cyrtodaria kurriana";-137.979996;69.099998
"Cyrtodaria kurriana";-137.929993;69.080002
"Cyrtodaria kurriana";-132.699997;69.650002
"Cyrtodaria kurriana";-132.149994;69.709999
"Cyrtodaria kurriana";-132.240005;69.75
"Cyrtodaria kurriana";-132.199997;69.730003
"Cyrtodaria kurriana";-132.139999;69.68
"Cyrtodaria kurriana";-131.130005;69.900002
"Cyrtodaria kurriana";-131.169998;69.940002
"Cyrtodaria kurriana";-131.289993;69.970001
"Cyrtodaria kurriana";-131.080002;70
"Cyrtodaria kurriana";-132.972;69.4333
"Cyrtodaria kurriana";-133.22;69.57
"Cyrtodaria kurriana";-133.3;69.47
"Cyrtodaria kurriana";-133.25;69.5
"Cyrtodaria kurriana";-130.830002;70.18
"Cyrtodaria kurriana";-133.100006;69.720001
"Cyrtodaria kurriana";-133.880005;69.669998
"Cyrtodaria kurriana";-132.483333;69.15
"Cyrtodaria kurriana";-8.2388;71.1302
"Cyrtodaria kurriana";-149.858333;70.5125
"Cyrtodaria kurriana";-133.07;69.65
"Cyrtodaria kurriana";-134;69.72
"Cyrtodaria kurriana";-133;69.78
"Cyrtodaria kurriana";-133.83;69.78
"Cyrtodaria kurriana";-133.62;69.67
"Cyrtodaria kurriana";-150;71
"Cyrtodaria kurriana";-128.917;69.95
"Cyrtodaria kurriana";-150.333333;70.416667
"Cyrtodaria kurriana";-119.917;74.1
"Cyrtodaria kurriana";-119.916667;74.1
"Cyrtodaria kurriana";-8.5;70.98333
"Cyrtodaria kurriana";-76.75;57.2333
"Cyrtodaria kurriana";-76.75;57.233333
"Cyrtodaria kurriana";-150.25;70.57
"Cyrtodaria kurriana";-155.8;71.22
"Cyrtodaria kurriana";-146.83;-70.25
"Cyrtodaria kurriana";144.0684058;53.1501591
"Cyrtodaria kurriana";80.416667;73.5
"Cyrtodaria kurriana";-148.281667;70.457833
"Cyrtodaria kurriana";92.333333;76.3
"Cyrtodaria kurriana";-58.5;44.5
"Cyrtodaria kurriana";-144.703888;69.967499
"Cyrtodaria kurriana";-144.766663;69.962502
"Cyrtodaria kurriana";-151.386673;70.065277
"Cyrtodaria kurriana";163.916672;58.966667
"Cyrtodaria kurriana";-21;82.375
"Cyrtodaria kurriana";-21;82.474998
"Cyrtodaria kurriana";-20.5;82.541664
"Cyrtodaria kurriana";-21;81
"Cyrtodaria kurriana";-54.883331;69.650002
"Cyrtodaria kurriana";-163;66
