"species";"lon";"lat"
"Diastylis glabra";33.113891;66.521265
"Diastylis glabra";33.118029;66.52068
"Diastylis glabra";33.2;66.6
"Diastylis glabra";33.2;66.5
"Diastylis glabra";33.1;66.3
"Diastylis glabra";32.87215;66.70625
"Diastylis glabra";21.820448;74.504175
"Diastylis glabra";117.2103;77.0435
"Diastylis glabra";120.0842;77.0912
"Diastylis glabra";66.9602;72.0715
"Diastylis glabra";66.5444;71.9242
"Diastylis glabra";152.73;76.2017
"Diastylis glabra";152.73;76.201617
"Diastylis glabra";93.725678;77.833572
"Diastylis glabra";33.3;66.5
"Diastylis glabra";33.4;66.5
"Diastylis glabra";88.557724;78.374977
"Diastylis glabra";80.685638;76.718758
"Diastylis glabra";33;66.6
"Diastylis glabra";33.1;66.6
"Diastylis glabra";33.5;66.5
"Diastylis glabra";142.9492;86.4
"Diastylis glabra";156.4633;85.5317
"Diastylis glabra";140.081665;77.998337
"Diastylis glabra";139.994995;77.510002
"Diastylis glabra";140.081667;77.998333
"Diastylis glabra";139.995;77.51
"Diastylis glabra";135.18;78.3483
"Diastylis glabra";135.3833;78.3261
"Diastylis glabra";56;69.472
"Diastylis glabra";59.523998;69.321999
"Diastylis glabra";58.668999;69.621002
"Diastylis glabra";57.992001;69.835999
"Diastylis glabra";131.020004;74.410004
"Diastylis glabra";127.46;74.52
"Diastylis glabra";131.02;74.41
"Diastylis glabra";127.459999;74.519997
"Diastylis glabra";123;75
"Diastylis glabra";11.42633;58.24467
"Diastylis glabra";-162;66.18
"Diastylis glabra";-146.238333;70.185
"Diastylis glabra";-165;64.45
"Diastylis glabra";-143.683333;70.15
"Diastylis glabra";-149.5;70.563333
"Diastylis glabra";-150.416667;70.545
"Diastylis glabra";-164.72;69.45
"Diastylis glabra";-164.12;69.97
"Diastylis glabra";-163.82;69.8
"Diastylis glabra";-164.48;69.58
"Diastylis glabra";-166.22;69.08
"Diastylis glabra";45;69
"Diastylis glabra";43;70.5
"Diastylis glabra";41.5;69
"Diastylis glabra";40;68.75
"Diastylis glabra";33;70.016998
"Diastylis glabra";59.417;69.650002
"Diastylis glabra";59.432999;69.650002
"Diastylis glabra";70;74.282997
"Diastylis glabra";51.333;72.333
"Diastylis glabra";54.382999;75.067001
"Diastylis glabra";52.122002;72.405998
"Diastylis glabra";43.516998;69.188004
"Diastylis glabra";44.037998;69.167
"Diastylis glabra";42.650002;69.167
"Diastylis glabra";43.049999;68.667
"Diastylis glabra";43.5;68.900002
"Diastylis glabra";43.5;68.904999
"Diastylis glabra";42.583;68.671997
"Diastylis glabra";43.821999;68.355003
"Diastylis glabra";41.099998;69.754997
"Diastylis glabra";54.632999;69.217003
"Diastylis glabra";54.868;69.772003
"Diastylis glabra";43.400002;68.733002
"Diastylis glabra";43;68.733002
"Diastylis glabra";43.900002;68.983002
"Diastylis glabra";45.132999;68.917
"Diastylis glabra";49.167;68.016998
"Diastylis glabra";56;74.75
"Diastylis glabra";54.367001;73.571999
"Diastylis glabra";21.566999;75.737999
"Diastylis glabra";59.283001;69.385002
"Diastylis glabra";59.983002;69.605003
"Diastylis glabra";58.667;69.625
"Diastylis glabra";57.333;69.622002
"Diastylis glabra";52.132999;70.633003
"Diastylis glabra";56.333;69.349998
"Diastylis glabra";55.182999;69.449997
"Diastylis glabra";54.200001;69.333
"Diastylis glabra";57.349998;69.633003
"Diastylis glabra";54.882999;69.708
"Diastylis glabra";42.799999;68.550003
"Diastylis glabra";59.483002;69.667
"Diastylis glabra";60.617001;69.833
"Diastylis glabra";43.932999;68.349998
"Diastylis glabra";40.266998;69.067001
"Diastylis glabra";46.716999;68.317001
"Diastylis glabra";54.083;73.292
"Diastylis glabra";32.571999;69.538002
"Diastylis glabra";51.349998;72.483002
"Diastylis glabra";43.266998;68.75
"Diastylis glabra";42.766998;68.467003
"Diastylis glabra";49.700001;69.782997
"Diastylis glabra";57.200001;68.932999
"Diastylis glabra";56.450001;69.217003
"Diastylis glabra";55.25;69.5
"Diastylis glabra";54.216999;69.800003
"Diastylis glabra";51.950001;70.467003
"Diastylis glabra";39;69.833
"Diastylis glabra";37.833;69.682999
"Diastylis glabra";33.650002;69.182999
"Diastylis glabra";42.583;68.900002
"Diastylis glabra";46.266998;69.650002
"Diastylis glabra";48.516998;68.282997
"Diastylis glabra";47.867001;69.133003
"Diastylis glabra";46.667;69.167
"Diastylis glabra";43.5;69.167
"Diastylis glabra";44.237999;69.650002
"Diastylis glabra";52.042;72.417
"Diastylis glabra";39.867001;68.417
"Diastylis glabra";-78.8;73.71666
"Diastylis glabra";-73;71.7
"Diastylis glabra";-73.93333;71.95
"Diastylis glabra";-74.33333;72.13333
"Diastylis glabra";-71.5;72.55
"Diastylis glabra";-61.83333;66.55
"Diastylis glabra";11.63333;57.73333
"Diastylis glabra";-55.0167;45.5833
"Diastylis glabra";-59.6125;45.0667
"Diastylis glabra";-55.4;45.4833
"Diastylis glabra";-59.9292;44.775
"Diastylis glabra";-52.5667;46.8083
"Diastylis glabra";-165.32;63.62
"Diastylis glabra";-162.92;70.2528
"Diastylis glabra";-162.92;70.2528
"Diastylis glabra";-159.65;70.78
"Diastylis glabra";-166.08;68.83
"Diastylis glabra";-175;68
"Diastylis glabra";-173.4;67.16666
"Diastylis glabra";-169.75;66.16666
"Diastylis glabra";60;69
"Diastylis glabra";119;73.75
"Diastylis glabra";170.28333;70.23333
"Diastylis glabra";177.68333;69.53333
"Diastylis glabra";-176.1;67.88333
"Diastylis glabra";65.75;70.2
"Diastylis glabra";52.3;71.55
"Diastylis glabra";52.2;72.43333
"Diastylis glabra";52.88333;72.88333
"Diastylis glabra";57.83333;73.5
"Diastylis glabra";60.91666;69.83333
"Diastylis glabra";64.28333;70.66666
"Diastylis glabra";66.83333;71.31666
"Diastylis glabra";66.08333;71.31666
"Diastylis glabra";68.98333;73
"Diastylis glabra";69.33333;73.88333
"Diastylis glabra";177.45;51.95
"Diastylis glabra";-176.63;51.78
"Diastylis glabra";-166.537;53.8739
