"species";"lon";"lat"
"Diastylis sulcata";33.2;66.6
"Diastylis sulcata";73.027933;71.958467
"Diastylis sulcata";72.814017;73.176317
"Diastylis sulcata";80.7315;72.3925
"Diastylis sulcata";152.663333;75.371667
"Diastylis sulcata";142.886667;76.333333
"Diastylis sulcata";64.04904;72.76742
"Diastylis sulcata";58.132817;69.524567
"Diastylis sulcata";57.1878;69.310933
"Diastylis sulcata";61.651167;74.246833
"Diastylis sulcata";61.762833;74.227833
"Diastylis sulcata";58.141083;69.525883
"Diastylis sulcata";58.1636;69.445567
"Diastylis sulcata";58.490367;69.60685
"Diastylis sulcata";53.7;68.9
"Diastylis sulcata";53.8;68.9
"Diastylis sulcata";33.2;66.5
"Diastylis sulcata";58.2;68.983333
"Diastylis sulcata";120.0068;77.3047
"Diastylis sulcata";120.0842;77.0912
"Diastylis sulcata";142.22;76.378733
"Diastylis sulcata";109.65;73.84535
"Diastylis sulcata";152.423333;75.732367
"Diastylis sulcata";143.17835;75.978367
"Diastylis sulcata";152.73;76.2017
"Diastylis sulcata";152.423333;75.73245
"Diastylis sulcata";53.6;68.9
"Diastylis sulcata";33.3;66.5
"Diastylis sulcata";33.5;66.5
"Diastylis sulcata";-133.352;69.7513
"Diastylis sulcata";-133.363;69.7496
"Diastylis sulcata";-137.702;70.1307
"Diastylis sulcata";-137.213;69.9725
"Diastylis sulcata";-136.763;69.6493
"Diastylis sulcata";-136.806;69.6529
"Diastylis sulcata";-135.891;69.6574
"Diastylis sulcata";-133.37;69.753
"Diastylis sulcata";-133.363;69.7498
"Diastylis sulcata";-136.295;69.6373
"Diastylis sulcata";-135.923;69.7389
"Diastylis sulcata";-133.362;69.7486
"Diastylis sulcata";-136.296;69.6371
"Diastylis sulcata";-136.302;69.6316
"Diastylis sulcata";-135.923;69.7387
"Diastylis sulcata";-134.305;70.0212
"Diastylis sulcata";-133.89;69.8274
"Diastylis sulcata";-132.86;69.8792
"Diastylis sulcata";-133.37;69.7535
"Diastylis sulcata";-132.861;69.8793
"Diastylis sulcata";-132.848;69.8773
"Diastylis sulcata";-134.326;70.0114
"Diastylis sulcata";-134.325;70.0109
"Diastylis sulcata";-132.86;69.8795
"Diastylis sulcata";-134.298;70.0171
"Diastylis sulcata";-133.37;69.7532
"Diastylis sulcata";-134.325;70.0126
"Diastylis sulcata";-133.896;69.8138
"Diastylis sulcata";-133.361;69.75
"Diastylis sulcata";-127.728;70.593
"Diastylis sulcata";15.65843;76.99935
"Diastylis sulcata";-133.304;69.8398
"Diastylis sulcata";144.881668;78.008331
"Diastylis sulcata";144.8816;78.0083
"Diastylis sulcata";144.881667;78.008333
"Diastylis sulcata";57.255001;69.834
"Diastylis sulcata";59.523998;69.321999
"Diastylis sulcata";58.668999;69.621002
"Diastylis sulcata";60;69.222
"Diastylis sulcata";50.708;68.834
"Diastylis sulcata";127.459999;74.519997
"Diastylis sulcata";139.690002;74.5
"Diastylis sulcata";134.050003;74.5
"Diastylis sulcata";113.997002;73.665001
"Diastylis sulcata";119.832001;73.292
"Diastylis sulcata";131.039993;74.415001
"Diastylis sulcata";139.667999;74.5
"Diastylis sulcata";128.662994;73.633003
"Diastylis sulcata";137.007004;71.690002
"Diastylis sulcata";127.46;74.52
"Diastylis sulcata";139.69;74.5
