"species";"lon";"lat"
"Leitoscoloplos acutus";12.024671;66.0287
"Leitoscoloplos acutus";33.7;66.6
"Leitoscoloplos acutus";33.2;66.5
"Leitoscoloplos acutus";155.046;57.9495
"Leitoscoloplos acutus";16.1212;68.4726
"Leitoscoloplos acutus";33.2;66.6
"Leitoscoloplos acutus";33.2;66.6
"Leitoscoloplos acutus";69.950417;75.024567
"Leitoscoloplos acutus";69.86395;75.02595
"Leitoscoloplos acutus";69.940908;75.028317
"Leitoscoloplos acutus";69.878424;75.028421
"Leitoscoloplos acutus";69.921873;75.035804
"Leitoscoloplos acutus";69.965364;75.04318
"Leitoscoloplos acutus";70.067007;75.060357
"Leitoscoloplos acutus";69.878417;75.028417
"Leitoscoloplos acutus";70.067;75.06035
"Leitoscoloplos acutus";69.9409;75.028317
"Leitoscoloplos acutus";69.893286;75.047033
"Leitoscoloplos acutus";69.965367;75.043183
"Leitoscoloplos acutus";69.950863;75.040722
"Leitoscoloplos acutus";69.902817;75.043283
"Leitoscoloplos acutus";69.950867;75.040717
"Leitoscoloplos acutus";69.892903;75.030883
"Leitoscoloplos acutus";69.950419;75.024573
"Leitoscoloplos acutus";69.893283;75.047033
"Leitoscoloplos acutus";69.8929;75.030883
"Leitoscoloplos acutus";33.4;66.5
"Leitoscoloplos acutus";168.9;70.2
"Leitoscoloplos acutus";20.125104;71.29249
"Leitoscoloplos acutus";20.140583;71.291826
"Leitoscoloplos acutus";33.2;66.5
"Leitoscoloplos acutus";-115.20538;67.89672
"Leitoscoloplos acutus";94.3;79.5
"Leitoscoloplos acutus";94.1;79.4
"Leitoscoloplos acutus";58.7634;69.84545
"Leitoscoloplos acutus";58.141083;69.525883
"Leitoscoloplos acutus";58.1636;69.445567
"Leitoscoloplos acutus";58.490367;69.60685
"Leitoscoloplos acutus";58.955783;69.760583
"Leitoscoloplos acutus";70.9625;75.088
"Leitoscoloplos acutus";70.9133;75.0836
"Leitoscoloplos acutus";30.052047;69.734916
"Leitoscoloplos acutus";30.063764;69.744833
"Leitoscoloplos acutus";30.078613;69.742265
"Leitoscoloplos acutus";30.073596;69.746565
"Leitoscoloplos acutus";30.059829;69.734349
"Leitoscoloplos acutus";30.092446;69.762449
"Leitoscoloplos acutus";29.961682;69.783233
"Leitoscoloplos acutus";30.083278;69.787849
"Leitoscoloplos acutus";33;66.6
"Leitoscoloplos acutus";33;66.6
"Leitoscoloplos acutus";130.3;73.1
"Leitoscoloplos acutus";33.2;66.3
"Leitoscoloplos acutus";33.9;66.2
"Leitoscoloplos acutus";33.1;66.3
"Leitoscoloplos acutus";33.2;66.3
"Leitoscoloplos acutus";-105.058;69.1138
"Leitoscoloplos acutus";16.775667;78.657273
"Leitoscoloplos acutus";14.002844;78.128798
"Leitoscoloplos acutus";15.162759;78.3207
"Leitoscoloplos acutus";53.710631;75.514792
"Leitoscoloplos acutus";53.713697;75.514322
"Leitoscoloplos acutus";53.700058;75.505981
"Leitoscoloplos acutus";53.712503;75.514622
"Leitoscoloplos acutus";53.688378;75.497806
"Leitoscoloplos acutus";120.2406;76.8322
"Leitoscoloplos acutus";118.7487;76.7496
"Leitoscoloplos acutus";116.2733;76.0472
"Leitoscoloplos acutus";117.3483;76.7225
"Leitoscoloplos acutus";116.1177;76.3676
"Leitoscoloplos acutus";115.9545;76.6878
"Leitoscoloplos acutus";122.9724;77.1074
"Leitoscoloplos acutus";118.6446;77.0713
"Leitoscoloplos acutus";114.9488;76.0069
"Leitoscoloplos acutus";114.9122;76.3312
"Leitoscoloplos acutus";114.9728;75.6584
"Leitoscoloplos acutus";123.7943;76.8903
"Leitoscoloplos acutus";117.4797;76.4014
"Leitoscoloplos acutus";122.262;76.8903
"Leitoscoloplos acutus";33.3;66.5
"Leitoscoloplos acutus";55.385021;70.057847
"Leitoscoloplos acutus";56.408413;69.611676
"Leitoscoloplos acutus";54.05322;69.757256
"Leitoscoloplos acutus";66.9602;72.0715
"Leitoscoloplos acutus";53.998638;70.162887
"Leitoscoloplos acutus";66.5444;71.9242
"Leitoscoloplos acutus";57;69.538333
"Leitoscoloplos acutus";66.5468;72.1284
"Leitoscoloplos acutus";66.1625;73.5415
"Leitoscoloplos acutus";55.1;69.766667
"Leitoscoloplos acutus";66.7713;73.2998
"Leitoscoloplos acutus";53.400676;70.418903
"Leitoscoloplos acutus";54.004496;69.99864
"Leitoscoloplos acutus";50.900143;70.735407
"Leitoscoloplos acutus";52.773808;70.26296
"Leitoscoloplos acutus";51.720424;70.520073
"Leitoscoloplos acutus";52.085506;70.969684
"Leitoscoloplos acutus";52.085116;70.657504
"Leitoscoloplos acutus";22.112016;73.481867
"Leitoscoloplos acutus";22.939097;73.571656
"Leitoscoloplos acutus";32.365655;71.846592
"Leitoscoloplos acutus";22.038521;73.412844
"Leitoscoloplos acutus";22.137408;73.473785
"Leitoscoloplos acutus";34.84311;72.648664
"Leitoscoloplos acutus";22.014025;73.409979
"Leitoscoloplos acutus";32.371406;71.846611
"Leitoscoloplos acutus";32.304468;71.855625
"Leitoscoloplos acutus";22.902977;73.579617
"Leitoscoloplos acutus";35.801618;73.986301
"Leitoscoloplos acutus";32.378299;71.875566
"Leitoscoloplos acutus";22.04631;73.411909
"Leitoscoloplos acutus";32.36856;71.845705
"Leitoscoloplos acutus";34.849116;72.648609
"Leitoscoloplos acutus";32.397886;71.873736
"Leitoscoloplos acutus";22.914063;73.579517
"Leitoscoloplos acutus";22.95506;73.569374
"Leitoscoloplos acutus";22.931285;73.572625
"Leitoscoloplos acutus";34.838607;72.648705
"Leitoscoloplos acutus";22.080392;73.487917
"Leitoscoloplos acutus";32.375719;71.846625
"Leitoscoloplos acutus";21.134521;73.735737
"Leitoscoloplos acutus";22.035328;73.411964
"Leitoscoloplos acutus";22.126268;73.478333
"Leitoscoloplos acutus";21.137713;73.734839
"Leitoscoloplos acutus";20.91933;72.857635
"Leitoscoloplos acutus";22.025006;73.409926
"Leitoscoloplos acutus";22.0203;73.409949
"Leitoscoloplos acutus";22.942366;73.572523
"Leitoscoloplos acutus";22.936034;73.572581
"Leitoscoloplos acutus";32.393154;71.872233
"Leitoscoloplos acutus";22.123163;73.477319
"Leitoscoloplos acutus";21.145717;73.73573
"Leitoscoloplos acutus";22.958122;73.568449
"Leitoscoloplos acutus";32.367686;71.880002
"Leitoscoloplos acutus";32.429115;71.865145
"Leitoscoloplos acutus";32.307312;71.856532
"Leitoscoloplos acutus";32.382604;71.876924
"Leitoscoloplos acutus";22.898225;73.57966
"Leitoscoloplos acutus";35.817602;73.987023
"Leitoscoloplos acutus";22.017109;73.409068
"Leitoscoloplos acutus";22.041604;73.411932
"Leitoscoloplos acutus";32.414903;71.870139
"Leitoscoloplos acutus";20.83193;72.778694
"Leitoscoloplos acutus";22.909312;73.57956
"Leitoscoloplos acutus";32.3685;71.847498
"Leitoscoloplos acutus";22.954853;73.567583
"Leitoscoloplos acutus";32.314537;71.855661
"Leitoscoloplos acutus";32.307378;71.854739
"Leitoscoloplos acutus";22.96287;73.568405
"Leitoscoloplos acutus";35.802404;73.978602
"Leitoscoloplos acutus";22.947043;73.568552
"Leitoscoloplos acutus";22.094655;73.484385
"Leitoscoloplos acutus";22.951791;73.568508
"Leitoscoloplos acutus";22.906043;73.578692
"Leitoscoloplos acutus";35.828385;73.993458
"Leitoscoloplos acutus";20.792045;72.825272
"Leitoscoloplos acutus";22.947115;73.572479
"Leitoscoloplos acutus";34.846205;72.649532
"Leitoscoloplos acutus";22.083496;73.488931
"Leitoscoloplos acutus";35.834332;73.978184
"Leitoscoloplos acutus";22.038412;73.411052
"Leitoscoloplos acutus";21.129723;73.73574
"Leitoscoloplos acutus";34.846021;72.64774
"Leitoscoloplos acutus";22.939303;73.573448
"Leitoscoloplos acutus";35.831644;74.003027
"Leitoscoloplos acutus";35.812083;73.993515
"Leitoscoloplos acutus";22.108912;73.480853
"Leitoscoloplos acutus";22.009319;73.410002
"Leitoscoloplos acutus";21.140919;73.735733
"Leitoscoloplos acutus";34.853619;72.648567
"Leitoscoloplos acutus";20.863807;72.765271
"Leitoscoloplos acutus";22.030622;73.411987
"Leitoscoloplos acutus";32.363655;71.878721
"Leitoscoloplos acutus";35.850416;74.00439
"Leitoscoloplos acutus";20.870866;72.834302
"Leitoscoloplos acutus";35.833921;73.98689
"Leitoscoloplos acutus";22.097759;73.485399
"Leitoscoloplos acutus";20.786796;72.757136
"Leitoscoloplos acutus";32.411491;71.868784
"Leitoscoloplos acutus";20.801649;72.780459
"Leitoscoloplos acutus";35.843962;73.994325
"Leitoscoloplos acutus";22.017216;73.41086
"Leitoscoloplos acutus";35.815282;74.002844
"Leitoscoloplos acutus";20.86336;72.82354
"Leitoscoloplos acutus";32.361341;71.846578
"Leitoscoloplos acutus";20.828435;72.824096
"Leitoscoloplos acutus";20.87979;72.861201
"Leitoscoloplos acutus";21.137728;73.736631
"Leitoscoloplos acutus";20.879049;72.849484
"Leitoscoloplos acutus";22.140513;73.474798
"Leitoscoloplos acutus";32.431131;71.865785
"Leitoscoloplos acutus";20.786107;72.814509
"Leitoscoloplos acutus";20.846324;72.863868
"Leitoscoloplos acutus";32.310222;71.855646
"Leitoscoloplos acutus";20.792695;72.769693
"Leitoscoloplos acutus";32.300153;71.85561
"Leitoscoloplos acutus";35.815835;73.977013
"Leitoscoloplos acutus";20.816448;72.812746
"Leitoscoloplos acutus";20.910283;72.843288
"Leitoscoloplos acutus";20.834304;72.848619
"Leitoscoloplos acutus";4.829211;61.089429
"Leitoscoloplos acutus";73.1;74.2
"Leitoscoloplos acutus";142.22;76.378733
"Leitoscoloplos acutus";109.998333;76.905967
"Leitoscoloplos acutus";142.22;76.378717
"Leitoscoloplos acutus";152.73;76.2017
"Leitoscoloplos acutus";112.538333;74.617633
"Leitoscoloplos acutus";112.543542;74.617458
"Leitoscoloplos acutus";152.73;76.201683
"Leitoscoloplos acutus";57.9;72.4
"Leitoscoloplos acutus";33.1;66.6
"Leitoscoloplos acutus";-176.58865;71.287633
"Leitoscoloplos acutus";82.168327;78.244026
"Leitoscoloplos acutus";-176.581717;71.297633
"Leitoscoloplos acutus";-176.571425;71.306853
"Leitoscoloplos acutus";-176.5748;71.30025
"Leitoscoloplos acutus";33.5;66.5
"Leitoscoloplos acutus";33.4;66.5
"Leitoscoloplos acutus";33.3;66.5
"Leitoscoloplos acutus";80.685638;76.718758
"Leitoscoloplos acutus";60.048333;80.88255
"Leitoscoloplos acutus";60.076667;80.877222
"Leitoscoloplos acutus";80.777847;79.309815
"Leitoscoloplos acutus";80.073845;77.603752
"Leitoscoloplos acutus";52.73;80.354383
"Leitoscoloplos acutus";76.469795;77.324928
"Leitoscoloplos acutus";60.05;80.86505
"Leitoscoloplos acutus";85.049248;78.176109
"Leitoscoloplos acutus";52.776833;80.373967
"Leitoscoloplos acutus";78.023125;79.189095
"Leitoscoloplos acutus";84.276672;76.39183
"Leitoscoloplos acutus";60.058333;80.872617
"Leitoscoloplos acutus";52.528333;80.353367
"Leitoscoloplos acutus";24.7219;73.887841
"Leitoscoloplos acutus";24.714048;73.888875
"Leitoscoloplos acutus";24.993322;73.533508
"Leitoscoloplos acutus";17.785371;73.450212
"Leitoscoloplos acutus";25.179841;73.650466
"Leitoscoloplos acutus";17.79536;73.465731
"Leitoscoloplos acutus";24.730155;73.888595
"Leitoscoloplos acutus";35.820592;74.073397
"Leitoscoloplos acutus";35.818569;74.07266
"Leitoscoloplos acutus";35.812286;74.072607
"Leitoscoloplos acutus";25.17689;73.651422
"Leitoscoloplos acutus";17.801072;73.450452
"Leitoscoloplos acutus";24.722303;73.88963
"Leitoscoloplos acutus";35.815806;74.071799
"Leitoscoloplos acutus";24.71888;73.888791
"Leitoscoloplos acutus";25.172128;73.651516
"Leitoscoloplos acutus";17.796362;73.45038
"Leitoscoloplos acutus";25.001416;73.534252
"Leitoscoloplos acutus";35.807157;74.072808
"Leitoscoloplos acutus";17.806362;73.465899
"Leitoscoloplos acutus";25.188;73.651203
"Leitoscoloplos acutus";25.183238;73.651297
"Leitoscoloplos acutus";35.812594;74.074398
"Leitoscoloplos acutus";24.993744;73.535296
