"species";"lon";"lat"
"Levinsenia gracilis";6.01612;58.92515
"Levinsenia gracilis";6.0369;58.90982
"Levinsenia gracilis";6.02647;58.91932
"Levinsenia gracilis";15.874134;68.424866
"Levinsenia gracilis";16.280079;68.8719
"Levinsenia gracilis";16.274031;68.87417
"Levinsenia gracilis";6.93922;62.87708
"Levinsenia gracilis";6.93313;62.87668
"Levinsenia gracilis";6.942169;62.87503
"Levinsenia gracilis";6.941021;62.87313
"Levinsenia gracilis";6.93075;62.87657
"Levinsenia gracilis";6.924851;62.87848
"Levinsenia gracilis";6.91643;62.88168
"Levinsenia gracilis";16.66;68.866633
"Levinsenia gracilis";5.309151;59.607349
"Levinsenia gracilis";5.301271;59.608419
"Levinsenia gracilis";18.038469;69.5078
"Levinsenia gracilis";18.013167;69.514733
"Levinsenia gracilis";18.033983;69.509033
"Levinsenia gracilis";20.7619;70.090217
"Levinsenia gracilis";20.762817;70.08985
"Levinsenia gracilis";20.76365;70.089017
"Levinsenia gracilis";20.764483;70.088667
"Levinsenia gracilis";20.767683;70.087233
"Levinsenia gracilis";20.809433;70.071633
"Levinsenia gracilis";12.3099;65.86207
"Levinsenia gracilis";12.308128;65.86023
"Levinsenia gracilis";12.30845;65.85553
"Levinsenia gracilis";5.8472;59.49535
"Levinsenia gracilis";5.85513;59.4932
"Levinsenia gracilis";5.85273;59.49442
"Levinsenia gracilis";5.85445;59.49602
"Levinsenia gracilis";20.51447;69.58048
"Levinsenia gracilis";20.52602;69.57802
"Levinsenia gracilis";20.51965;69.57872
"Levinsenia gracilis";20.50467;69.58193
"Levinsenia gracilis";5.112301;60.106199
"Levinsenia gracilis";16.266779;68.87728
"Levinsenia gracilis";5.41642;60.656029
"Levinsenia gracilis";5.205021;60.161919
"Levinsenia gracilis";5.198621;60.1626
"Levinsenia gracilis";9.122481;63.93873
"Levinsenia gracilis";9.1302;63.93958
"Levinsenia gracilis";9.1358;63.9418
"Levinsenia gracilis";9.13542;63.94387
"Levinsenia gracilis";9.138369;63.94602
"Levinsenia gracilis";9.11477;63.93538
"Levinsenia gracilis";5.305853;59.608368
"Levinsenia gracilis";8.961017;63.447183
"Levinsenia gracilis";17.04545;69.341383
"Levinsenia gracilis";5.865467;58.979083
"Levinsenia gracilis";5.85885;58.986833
"Levinsenia gracilis";4.815351;60.781699
"Levinsenia gracilis";4.829621;60.775579
"Levinsenia gracilis";4.810801;60.781299
"Levinsenia gracilis";12.34228;65.31373
"Levinsenia gracilis";12.3267;65.30492
"Levinsenia gracilis";12.3337;65.31042
"Levinsenia gracilis";12.33177;65.30868
"Levinsenia gracilis";12.32623;65.30758
"Levinsenia gracilis";12.32923;65.30953
"Levinsenia gracilis";5.9914;58.42505
"Levinsenia gracilis";5.98842;58.41525
"Levinsenia gracilis";5.994881;58.41463
"Levinsenia gracilis";5.121501;60.041519
"Levinsenia gracilis";5.123421;60.043029
"Levinsenia gracilis";8.4779;63.87825
"Levinsenia gracilis";5.897479;59.76992
"Levinsenia gracilis";5.90838;59.771549
"Levinsenia gracilis";5.89992;59.77193
"Levinsenia gracilis";6.11888;58.8717
"Levinsenia gracilis";6.11593;58.8726
"Levinsenia gracilis";10.01178;64.11652
"Levinsenia gracilis";9.99317;64.1233
"Levinsenia gracilis";23.42702;70.75643
"Levinsenia gracilis";14.76755;68.26058
"Levinsenia gracilis";5.072134;61.308932
"Levinsenia gracilis";25.164249;70.912782
"Levinsenia gracilis";20.509932;69.581417
"Levinsenia gracilis";5.828567;61.099116
"Levinsenia gracilis";5.831567;61.102916
"Levinsenia gracilis";9.236667;63.350217
"Levinsenia gracilis";9.238817;63.354467
"Levinsenia gracilis";9.23795;63.353833
"Levinsenia gracilis";9.2292;63.348233
"Levinsenia gracilis";7.10832;62.2911
"Levinsenia gracilis";7.111401;62.29172
"Levinsenia gracilis";7.32278;62.67355
"Levinsenia gracilis";7.31985;62.67325
"Levinsenia gracilis";7.3211;62.67227
"Levinsenia gracilis";7.3182;62.67398
"Levinsenia gracilis";7.31748;62.6832
"Levinsenia gracilis";29.918983;70.054684
"Levinsenia gracilis";29.923499;70.055251
"Levinsenia gracilis";29.927849;70.055951
"Levinsenia gracilis";29.949065;70.057067
"Levinsenia gracilis";29.954082;70.057017
"Levinsenia gracilis";29.88205;70.052001
"Levinsenia gracilis";8.14927;63.07048
"Levinsenia gracilis";8.14415;63.08092
"Levinsenia gracilis";8.14833;63.07677
"Levinsenia gracilis";8.14843;63.07417
"Levinsenia gracilis";8.45678;63.75595
"Levinsenia gracilis";20.319817;69.65975
"Levinsenia gracilis";29.055913;70.065573
"Levinsenia gracilis";16.53505;68.41637
"Levinsenia gracilis";16.54;68.41843
"Levinsenia gracilis";16.5079;68.41157
"Levinsenia gracilis";16.5314;68.4211
"Levinsenia gracilis";5.081911;61.148799
"Levinsenia gracilis";18.13727;69.43553
"Levinsenia gracilis";18.14738;69.43103
"Levinsenia gracilis";18.13832;69.42028
"Levinsenia gracilis";4.971931;61.536099
"Levinsenia gracilis";4.964371;61.543979
"Levinsenia gracilis";6.26053;62.3659
"Levinsenia gracilis";6.28092;62.36638
"Levinsenia gracilis";5.181281;61.602629
"Levinsenia gracilis";5.178901;61.602249
"Levinsenia gracilis";5.63316;60.2483
"Levinsenia gracilis";7.88743;62.73842
"Levinsenia gracilis";7.88498;62.73797
"Levinsenia gracilis";7.85502;62.7375
"Levinsenia gracilis";10.45845;59.4482
"Levinsenia gracilis";10.4621;59.458
"Levinsenia gracilis";10.303928;59.121273
"Levinsenia gracilis";10.47652;59.35869
"Levinsenia gracilis";10.346345;59.184977
"Levinsenia gracilis";10.232804;59.104939
"Levinsenia gracilis";6.20833;60.273
"Levinsenia gracilis";5.840943;59.776625
"Levinsenia gracilis";5.650425;59.695685
"Levinsenia gracilis";5.221043;59.565326
"Levinsenia gracilis";5.845662;59.742475
"Levinsenia gracilis";5.888899;59.990339
"Levinsenia gracilis";5.635;59.841666
"Levinsenia gracilis";5.292585;59.650218
"Levinsenia gracilis";6.723149;60.426343
"Levinsenia gracilis";5.961562;59.960343
"Levinsenia gracilis";6.082867;60.157213
"Levinsenia gracilis";5.599236;59.764278
"Levinsenia gracilis";6.094;61.844833
"Levinsenia gracilis";6.112333;61.848817
"Levinsenia gracilis";4.715734;61.096182
"Levinsenia gracilis";14.56908;68.50472
"Levinsenia gracilis";14.600531;68.50515
"Levinsenia gracilis";14.5664;68.50532
"Levinsenia gracilis";14.59713;68.50053
"Levinsenia gracilis";14.573231;68.50182
"Levinsenia gracilis";14.601;68.50718
"Levinsenia gracilis";14.567219;68.50087
"Levinsenia gracilis";14.606551;68.50058
"Levinsenia gracilis";14.60047;68.49628
"Levinsenia gracilis";14.571599;68.50365
"Levinsenia gracilis";5.071767;60.407183
"Levinsenia gracilis";5.5381;59.652333
"Levinsenia gracilis";5.5344;59.663419
"Levinsenia gracilis";5.5396;59.654319
"Levinsenia gracilis";5.062001;61.895049
"Levinsenia gracilis";5.073984;61.892433
"Levinsenia gracilis";23.066899;70.35147
"Levinsenia gracilis";12.10867;65.45507
"Levinsenia gracilis";12.10598;65.45378
"Levinsenia gracilis";12.10037;65.45172
"Levinsenia gracilis";12.1015;65.45398
"Levinsenia gracilis";12.10898;65.45822
"Levinsenia gracilis";12.1045;65.45517
"Levinsenia gracilis";5.215551;61.904699
"Levinsenia gracilis";5.212311;61.89653
"Levinsenia gracilis";5.256181;61.899079
"Levinsenia gracilis";10.694119;64.42173
"Levinsenia gracilis";6.3727;62.6635
"Levinsenia gracilis";6.36868;62.66467
"Levinsenia gracilis";6.362131;62.66945
"Levinsenia gracilis";6.35567;62.67302
"Levinsenia gracilis";6.35193;62.676529
"Levinsenia gracilis";6.35333;62.67408
"Levinsenia gracilis";6.3631;62.68242
"Levinsenia gracilis";6.3456;59.63892
"Levinsenia gracilis";20.948317;70.047717
"Levinsenia gracilis";5.30092;61.908399
"Levinsenia gracilis";5.298171;61.908
"Levinsenia gracilis";5.289201;61.908169
"Levinsenia gracilis";5.2909;61.906119
"Levinsenia gracilis";15.291538;68.02363
"Levinsenia gracilis";15.29348;68.0227
"Levinsenia gracilis";18.2576;69.74508
