"species";"lon";"lat"
"Macoma moesta";-80.879;71.89
"Macoma moesta";178.703333;70.311667
"Macoma moesta";72.814017;73.176317
"Macoma moesta";80.695;74.298333
"Macoma moesta";146.358333;75.92
"Macoma moesta";127.806667;76.891667
"Macoma moesta";88.435;76.216667
"Macoma moesta";142.886667;76.333333
"Macoma moesta";85.428333;75.526667
"Macoma moesta";70.067007;75.060357
"Macoma moesta";69.921873;75.035804
"Macoma moesta";54.39414;81.265568
"Macoma moesta";83.861121;77.350343
"Macoma moesta";83.849158;77.346677
"Macoma moesta";83.844456;77.352929
"Macoma moesta";-105.15885;69.10149
"Macoma moesta";-115.17993;67.90607
"Macoma moesta";70.896;75.0963
"Macoma moesta";70.8467;75.0918
"Macoma moesta";-168.87831;69.03877
"Macoma moesta";-168.23924;67.90122
"Macoma moesta";-168.878;69.0388
"Macoma moesta";-168.239;67.9012
"Macoma moesta";58.65;69.08333
"Macoma moesta";58.2;68.983333
"Macoma moesta";114.9728;75.6584
"Macoma moesta";53.380481;69.011004
"Macoma moesta";116.2733;76.0472
"Macoma moesta";117.4797;76.4014
"Macoma moesta";117.3483;76.7225
"Macoma moesta";114.9488;76.0069
"Macoma moesta";116.1177;76.3676
"Macoma moesta";55.1;69.766667
"Macoma moesta";53.400676;70.418903
"Macoma moesta";55.385021;70.057847
"Macoma moesta";52.085506;70.969684
"Macoma moesta";52.773808;70.26296
"Macoma moesta";51.720424;70.520073
"Macoma moesta";152.423333;75.732367
"Macoma moesta";152.423333;75.732433
"Macoma moesta";152.423333;75.73245
"Macoma moesta";87.742004;76.747627
"Macoma moesta";-134.6;70.81
"Macoma moesta";-134.6;70.817
"Macoma moesta";-134.6;70.82
"Macoma moesta";128.547833;34.763
"Macoma moesta";-151.72;57.61
"Macoma moesta";-151.84;57.63
"Macoma moesta";-168.7081;68.0027
"Macoma moesta";-168.7056;68.0034
"Macoma moesta";-45.13333;61.16666
"Macoma moesta";-147.794;70.376
"Macoma moesta";-151.8;57.62
"Macoma moesta";140.261111;42.780556
"Macoma moesta";140.600889;42.342145
"Macoma moesta";15.48068;76.9258
"Macoma moesta";-155.13;71.7321
"Macoma moesta";-155.319;71.8005
"Macoma moesta";14.7718;77.0508
"Macoma moesta";11.1393;79.6733
"Macoma moesta";-178.83;51.41
"Macoma moesta";-160.4003;55.01717
"Macoma moesta";-124.25;47.35
"Macoma moesta";-53.61666;69.23333
"Macoma moesta";141.735278;53.623056
"Macoma moesta";141.933611;53.512778
"Macoma moesta";141.7575;53.663611
"Macoma moesta";20.3917;77.3633
"Macoma moesta";19.1667;78.0667
"Macoma moesta";21.1233;78.6767
"Macoma moesta";19.4667;78.2167
"Macoma moesta";-148.633333;70.433333
"Macoma moesta";-148.853333;70.496333
"Macoma moesta";-148.751333;70.481833
"Macoma moesta";-148.613;70.457667
"Macoma moesta";-148.393333;70.451167
"Macoma moesta";-148.3345;70.425333
"Macoma moesta";-148.605667;70.431833
"Macoma moesta";-148.216333;70.496667
"Macoma moesta";19.0833;77.5333
"Macoma moesta";131.020004;74.410004
"Macoma moesta";131.51;73
"Macoma moesta";139.4;73.06
"Macoma moesta";131.02;74.41
"Macoma moesta";139.399994;73.059998
"Macoma moesta";131.509995;73
"Macoma moesta";129.54;75.31
"Macoma moesta";129.539993;75.309998
"Macoma moesta";-124.05;46.35
"Macoma moesta";-94.957;74.686
"Macoma moesta";-94.907;74.6865
"Macoma moesta";-94.982;74.6858
"Macoma moesta";-94.91;74.6864
"Macoma moesta";18.965;69.71
"Macoma moesta";-94.988;74.6858
"Macoma moesta";-94.8846;74.686
"Macoma moesta";-94.26;74.6491
"Macoma moesta";-161.916667;71.166667
"Macoma moesta";172.916667;61.366667
"Macoma moesta";-118.3;34
"Macoma moesta";-60.33;44.26
"Macoma moesta";-147.75;60.49
"Macoma moesta";-148.5783;70.4567
"Macoma moesta";-146.9717;70.2
"Macoma moesta";-144.605;69.9767
"Macoma moesta";-145.3067;70.0583
"Macoma moesta";-147.1017;70.2567
"Macoma moesta";-146.8833;70.2317
"Macoma moesta";-144.7717;70.0117
"Macoma moesta";-146.995;70.21
"Macoma moesta";-144.78;69.9883
"Macoma moesta";-161.998333;66.18333
"Macoma moesta";-169;67.059998
"Macoma moesta";-124.449;41.9433
"Macoma moesta";-124.35;47.45
"Macoma moesta";-124.35;47.35
"Macoma moesta";-124.25;47.35
"Macoma moesta";-165.111667;72.035
"Macoma moesta";-163.089996;66.82
"Macoma moesta";-165.210007;67.150002
"Macoma moesta";-131.46;54.3
"Macoma moesta";-130.81;53.19
"Macoma moesta";-165.359722;64.345
"Macoma moesta";-119.9;34.4
"Macoma moesta";18.70833;77.94166
"Macoma moesta";-130.660419;55.303023
"Macoma moesta";-163.481;55.152
"Macoma moesta";-160.615;56.051
"Macoma moesta";-162.133333;55.766667
"Macoma moesta";-162.331;55.781
"Macoma moesta";-147.016667;60.31
"Macoma moesta";-147.016667;60.301667
"Macoma moesta";-147;60.316667
"Macoma moesta";-163.565;55.565
"Macoma moesta";-126.036;48.6692
"Macoma moesta";-125.268;48.6342
"Macoma moesta";-126.083;48.7169
"Macoma moesta";-126.002;48.6167
"Macoma moesta";-8.5;70.98333
"Macoma moesta";-125.634;48.3506
"Macoma moesta";-168.523333;64.026667
"Macoma moesta";-150.285;70.583333
"Macoma moesta";-150.411667;70.61
"Macoma moesta";-167.283333;67.975
