"species";"lon";"lat"
"Maldane sarsi";15.866933;68.432416
"Maldane sarsi";15.874134;68.424866
"Maldane sarsi";15.87325;68.42798
"Maldane sarsi";15.869833;68.4178
"Maldane sarsi";16.280079;68.8719
"Maldane sarsi";16.67;68.868267
"Maldane sarsi";18.030221;69.50995
"Maldane sarsi";18.013167;69.514733
"Maldane sarsi";23.20715;70.121667
"Maldane sarsi";23.213919;70.12247
"Maldane sarsi";23.232567;70.124567
"Maldane sarsi";23.238131;70.123099
"Maldane sarsi";23.293667;70.1102
"Maldane sarsi";12.3099;65.86207
"Maldane sarsi";12.308128;65.86023
"Maldane sarsi";12.312536;65.8602
"Maldane sarsi";12.30845;65.85553
"Maldane sarsi";20.51447;69.58048
"Maldane sarsi";20.52602;69.57802
"Maldane sarsi";20.51573;69.57938
"Maldane sarsi";20.51965;69.57872
"Maldane sarsi";20.50467;69.58193
"Maldane sarsi";16.266779;68.87728
"Maldane sarsi";17.35668;69.4218
"Maldane sarsi";17.330379;69.42665
"Maldane sarsi";17.34708;69.42262
"Maldane sarsi";17.3527;69.42177
"Maldane sarsi";17.3454;69.4267
"Maldane sarsi";17.316981;69.4328
"Maldane sarsi";25.018799;70.895699
"Maldane sarsi";25.020199;70.896629
"Maldane sarsi";25.016829;70.894829
"Maldane sarsi";25.006419;70.891679
"Maldane sarsi";17.0677;69.3321
"Maldane sarsi";10.32538;64.2646
"Maldane sarsi";14.77632;68.27413
"Maldane sarsi";14.7809;68.27288
"Maldane sarsi";5.072134;61.308932
"Maldane sarsi";25.151349;70.920482
"Maldane sarsi";25.164249;70.912782
"Maldane sarsi";25.162882;70.914916
"Maldane sarsi";25.161582;70.916766
"Maldane sarsi";25.144216;70.924299
"Maldane sarsi";25.168166;70.917882
"Maldane sarsi";20.52433;69.57627
"Maldane sarsi";20.517417;69.578283
"Maldane sarsi";20.507167;69.580133
"Maldane sarsi";20.509932;69.581417
"Maldane sarsi";20.481067;69.589033
"Maldane sarsi";11.06978;65.00137
"Maldane sarsi";29.927849;70.055951
"Maldane sarsi";8.14833;63.07677
"Maldane sarsi";15.053;68.881983
"Maldane sarsi";15.05575;68.88335
"Maldane sarsi";15.0609;68.88535
"Maldane sarsi";15.0495;68.881417
"Maldane sarsi";15.028367;68.87675
"Maldane sarsi";23.021783;70.334217
"Maldane sarsi";20.319817;69.65975
"Maldane sarsi";20.31023;69.66451
