"species";"lon";"lat"
"Monodiamesa bathyphila";25.3609;61.7463
"Monodiamesa bathyphila";28.49266;61.72619
"Monodiamesa bathyphila";27.1796;64.1681
"Monodiamesa bathyphila";20.81567;69.03469
"Monodiamesa bathyphila";28.81759;62.50941
"Monodiamesa bathyphila";25.55736;60.68071
"Monodiamesa bathyphila";26.57075;61.28097
"Monodiamesa bathyphila";26.81163;61.19303
"Monodiamesa bathyphila";28.37064;66.49412
"Monodiamesa bathyphila";29.91372;62.0332
"Monodiamesa bathyphila";31.36143;62.82778
"Monodiamesa bathyphila";29.18411;61.42009
"Monodiamesa bathyphila";27.59257;61.23046
"Monodiamesa bathyphila";27.5095;61.27388
"Monodiamesa bathyphila";27.5837;61.22404
"Monodiamesa bathyphila";27.58999;61.22195
"Monodiamesa bathyphila";27.61721;61.24274
"Monodiamesa bathyphila";23.20512;61.63585
"Monodiamesa bathyphila";25.77396;62.18936
"Monodiamesa bathyphila";25.77392;62.18934
"Monodiamesa bathyphila";23.55699;60.21989
"Monodiamesa bathyphila";26.55339;62.81456
"Monodiamesa bathyphila";27.5991;61.72538
"Monodiamesa bathyphila";23.89718;61.46987
"Monodiamesa bathyphila";23.89902;61.47025
"Monodiamesa bathyphila";29.46131;62.23176
"Monodiamesa bathyphila";24.10972;62.04524
"Monodiamesa bathyphila";24.03748;62.13008
"Monodiamesa bathyphila";23.65825;61.48817
"Monodiamesa bathyphila";23.85918;61.43321
"Monodiamesa bathyphila";23.78484;61.44391
"Monodiamesa bathyphila";24.20077;65.75019
"Monodiamesa bathyphila";24.2082;65.757
"Monodiamesa bathyphila";24.18446;65.7474
"Monodiamesa bathyphila";24.20198;65.7203
"Monodiamesa bathyphila";8.857072;46.150444
"Monodiamesa bathyphila";27.92425;64.19978
"Monodiamesa bathyphila";28.08915;64.16531
"Monodiamesa bathyphila";27.99639;64.17687
"Monodiamesa bathyphila";21.62531;61.57183
"Monodiamesa bathyphila";29.47966;63.62383
"Monodiamesa bathyphila";26.11322;62.48959
"Monodiamesa bathyphila";27.67966;64.56288
"Monodiamesa bathyphila";28.37545;61.16599
"Monodiamesa bathyphila";28.79282;61.24504
"Monodiamesa bathyphila";28.47503;61.15326
"Monodiamesa bathyphila";26.09739;61.17391
