"species";"lon";"lat"
"Nephtys longosetosa";20.809433;70.071633
"Nephtys longosetosa";20.310883;69.662867
"Nephtys longosetosa";29.055913;70.065573
"Nephtys longosetosa";8.68307;63.87535
"Nephtys longosetosa";22.900029;70.32218
"Nephtys longosetosa";20.954883;70.050683
"Nephtys longosetosa";20.9544;70.049083
"Nephtys longosetosa";20.95145;70.047267
"Nephtys longosetosa";20.948317;70.047717
"Nephtys longosetosa";14.94762;68.5781
"Nephtys longosetosa";13.0983;67.95428
"Nephtys longosetosa";13.09972;67.95335
"Nephtys longosetosa";6.82727;62.44072
"Nephtys longosetosa";13.89002;68.1381
"Nephtys longosetosa";17.694934;69.515917
"Nephtys longosetosa";16.393283;68.869816
"Nephtys longosetosa";16.091501;69.15018
"Nephtys longosetosa";16.09073;69.14907
"Nephtys longosetosa";16.08672;69.14625
"Nephtys longosetosa";16.107999;69.13918
"Nephtys longosetosa";13.465833;68.072833
"Nephtys longosetosa";13.45852;68.07307
"Nephtys longosetosa";13.46215;68.07305
"Nephtys longosetosa";18.490088;69.89167
"Nephtys longosetosa";18.48297;69.8922
"Nephtys longosetosa";18.49767;69.91107
"Nephtys longosetosa";5.53727;58.804669
"Nephtys longosetosa";5.5362;58.810749
"Nephtys longosetosa";5.52662;58.786019
"Nephtys longosetosa";5.53472;58.795419
"Nephtys longosetosa";5.501871;58.82937
"Nephtys longosetosa";5.5187;58.779919
"Nephtys longosetosa";23.0277;70.5619
"Nephtys longosetosa";15.318429;68.94532
"Nephtys longosetosa";16.72893;68.93616
"Nephtys longosetosa";16.71375;68.931867
"Nephtys longosetosa";16.72126;68.93183
"Nephtys longosetosa";16.6555;68.925017
"Nephtys longosetosa";16.693251;68.9264
"Nephtys longosetosa";16.70765;68.93337
"Nephtys longosetosa";19.914481;69.98208
"Nephtys longosetosa";16.48958;68.97965
"Nephtys longosetosa";16.4966;68.98267
"Nephtys longosetosa";15.23445;67.74725
"Nephtys longosetosa";16.34267;68.93157
"Nephtys longosetosa";16.3488;68.9222
"Nephtys longosetosa";13.62838;68.09233
"Nephtys longosetosa";18.2513;69.87787
"Nephtys longosetosa";5.403354;60.576176
"Nephtys longosetosa";13.74852;68.0919
"Nephtys longosetosa";13.74522;68.09148
"Nephtys longosetosa";27.123075;70.617247
"Nephtys longosetosa";17.330671;69.13592
"Nephtys longosetosa";17.333681;69.13348
"Nephtys longosetosa";19.586521;70.10182
"Nephtys longosetosa";22.320079;70.1856
"Nephtys longosetosa";22.308399;70.18678
"Nephtys longosetosa";13.45097;66.7337
"Nephtys longosetosa";13.43713;66.73552
"Nephtys longosetosa";21.81612;70.05057
"Nephtys longosetosa";12.34228;65.31373
"Nephtys longosetosa";24.497029;70.67515
"Nephtys longosetosa";13.81253;68.10877
"Nephtys longosetosa";13.2477;68.00368
"Nephtys longosetosa";10.850767;63.448967
"Nephtys longosetosa";11.93097;57.38318
"Nephtys longosetosa";12.11837;57.31633
"Nephtys longosetosa";12.1251;57.28867
"Nephtys longosetosa";12.06467;57.35833
"Nephtys longosetosa";14.71017;68.17841
"Nephtys longosetosa";17.525251;69.02362
"Nephtys longosetosa";8.46325;63.80678
"Nephtys longosetosa";12.64667;65.64833
"Nephtys longosetosa";12.76728;66.68002
"Nephtys longosetosa";12.76748;66.68515
"Nephtys longosetosa";21.698719;70.24392
"Nephtys longosetosa";13.10042;66.8169
"Nephtys longosetosa";14.95683;68.57685
"Nephtys longosetosa";18.65198;69.78597
"Nephtys longosetosa";14.43588;67.41803
"Nephtys longosetosa";14.43955;67.41912
"Nephtys longosetosa";4.898551;61.320849
"Nephtys longosetosa";17.565681;69.47668
"Nephtys longosetosa";6.542981;58.24532
"Nephtys longosetosa";2.337;51.4
"Nephtys longosetosa";2.822775;62.74068
"Nephtys longosetosa";8.54125;63.82725
"Nephtys longosetosa";8.53295;63.82518
"Nephtys longosetosa";8.5218;63.8264
"Nephtys longosetosa";8.53697;63.82602
"Nephtys longosetosa";8.50192;63.8183
"Nephtys longosetosa";15.116301;67.65042
"Nephtys longosetosa";15.11445;67.6494
"Nephtys longosetosa";15.13693;67.66562
"Nephtys longosetosa";2.340933;62.576152
"Nephtys longosetosa";1.578893;62.315765
"Nephtys longosetosa";1.583515;62.312884
"Nephtys longosetosa";1.583476;62.312748
"Nephtys longosetosa";12.45205;66.00992
"Nephtys longosetosa";14.35417;68.62057
"Nephtys longosetosa";14.351499;68.6172
"Nephtys longosetosa";14.35838;68.61818
"Nephtys longosetosa";14.35477;68.61895
"Nephtys longosetosa";14.3585;68.62478
"Nephtys longosetosa";25.629999;70.748479
"Nephtys longosetosa";15.15737;67.963
"Nephtys longosetosa";15.163829;67.96223
"Nephtys longosetosa";11.9385;57.38317
"Nephtys longosetosa";12.10127;57.29578
"Nephtys longosetosa";12.13632;57.29913
"Nephtys longosetosa";11.93683;57.3815
"Nephtys longosetosa";12.82963;56.47608
"Nephtys longosetosa";10.48192;59.382568
"Nephtys longosetosa";25.745398;70.981499
"Nephtys longosetosa";25.740938;70.982589
"Nephtys longosetosa";7.11378;62.64343
"Nephtys longosetosa";28.315805;71.031994
"Nephtys longosetosa";12.269131;65.81733
"Nephtys longosetosa";2.8661;51.51978
"Nephtys longosetosa";19.37448;70.16655
"Nephtys longosetosa";2.58903;51.65958
"Nephtys longosetosa";22.62368;70.21778
"Nephtys longosetosa";16.894162;69.21425
"Nephtys longosetosa";22.8576;70.41912
