"species";"lon";"lat"
"Spisula elliptica";8.276848;55.48557
"Spisula elliptica";3.45;51.4
"Spisula elliptica";4.7;52.9
"Spisula elliptica";4.4;52.2
"Spisula elliptica";4.65;52.75
"Spisula elliptica";5;52.9
"Spisula elliptica";4.75;53.1
"Spisula elliptica";5.1;52.85
"Spisula elliptica";4.2;52.05
"Spisula elliptica";3.95;51.9
"Spisula elliptica";-3.778718;43.471811
"Spisula elliptica";-7.666865;37.083494
"Spisula elliptica";4;51.6
"Spisula elliptica";4.35;52.2
"Spisula elliptica";4.4;52.15
"Spisula elliptica";3.55;51.55
"Spisula elliptica";4.45;52.25
"Spisula elliptica";3.35;51.35
"Spisula elliptica";3.45;51.55
"Spisula elliptica";3.602277;51.38595
"Spisula elliptica";4.15;52
"Spisula elliptica";4.25;52.1
"Spisula elliptica";3.4;51.5
"Spisula elliptica";3.4;51.35
"Spisula elliptica";3.5;51.4
"Spisula elliptica";3.8;51.75
"Spisula elliptica";4.55;52.45
"Spisula elliptica";2.537056;39.508084
"Spisula elliptica";4.288105;52.119867
"Spisula elliptica";4.288108;52.119862
"Spisula elliptica";4.288103;52.119862
"Spisula elliptica";4.7;53
"Spisula elliptica";4.75;53
"Spisula elliptica";4.3;52.15
"Spisula elliptica";3.7;51.65
"Spisula elliptica";3.95;51.8
"Spisula elliptica";3.45;51.45
"Spisula elliptica";3.85;51.8
"Spisula elliptica";3.45;51.35
"Spisula elliptica";23.447221;70.75757
"Spisula elliptica";23.44358;70.75708
"Spisula elliptica";7.872333;63.243383
"Spisula elliptica";23.339267;70.7162
"Spisula elliptica";23.34343;70.7192
"Spisula elliptica";23.376717;70.72763
"Spisula elliptica";7.727679;53.779748
"Spisula elliptica";4.6;52.65
"Spisula elliptica";4.6;52.7
"Spisula elliptica";4.7;53.05
"Spisula elliptica";4.05;51.8
"Spisula elliptica";8.605783;63.790233
"Spisula elliptica";8.61305;63.797067
"Spisula elliptica";8.609351;63.794117
"Spisula elliptica";8.604784;63.7944
"Spisula elliptica";8.591783;63.789217
"Spisula elliptica";5.4487;59.061769
"Spisula elliptica";5.44667;59.060529
"Spisula elliptica";8.67105;63.8616
"Spisula elliptica";8.67378;63.8632
"Spisula elliptica";4.421372;52.238834
"Spisula elliptica";4.4;52.25
"Spisula elliptica";3.65;51.7
"Spisula elliptica";-1.202588;44.99848
"Spisula elliptica";7.79565;63.420234
"Spisula elliptica";6.20718;62.64258
"Spisula elliptica";6.224;62.640133
"Spisula elliptica";6.20272;62.64378
"Spisula elliptica";3.286605;51.35393
"Spisula elliptica";5.05;53.25
"Spisula elliptica";8.6913;63.85565
"Spisula elliptica";8.46507;63.82582
"Spisula elliptica";7.1176;58.0212
"Spisula elliptica";8.50493;63.78932
"Spisula elliptica";7.401009;53.735512
"Spisula elliptica";4.55;52.4
"Spisula elliptica";3.35;52.2
"Spisula elliptica";5.6;53.45
"Spisula elliptica";3.408669;51.385275
"Spisula elliptica";6.990048;53.682739
"Spisula elliptica";1.574502;50.610808
"Spisula elliptica";4.15;52.05
"Spisula elliptica";7.905047;54.186915
"Spisula elliptica";7.671454;53.772697
"Spisula elliptica";-4.047964;52.542093
"Spisula elliptica";7.048092;53.688428
"Spisula elliptica";5.9;53.45
