"species";"lon";"lat"
"Asterias amurensis";147.331603;-42.884888
"Asterias amurensis";144.652331;-38.111169
"Asterias amurensis";144.370757;-38.101892
"Asterias amurensis";144.926633;-37.841934
"Asterias amurensis";131.84297;43.073411
"Asterias amurensis";147.654372;-42.886667
"Asterias amurensis";144.883194;-37.86726
"Asterias amurensis";147.333862;-42.881217
"Asterias amurensis";144.905521;-37.861525
"Asterias amurensis";147.334662;-42.895103
"Asterias amurensis";147.334682;-42.895083
"Asterias amurensis";147.33556;-42.893853
"Asterias amurensis";147.338359;-42.888545
"Asterias amurensis";147.331633;-42.884712
"Asterias amurensis";147.332964;-42.883936
"Asterias amurensis";147.334488;-42.894847
"Asterias amurensis";145.124405;-38.103511
"Asterias amurensis";145.124312;-38.109702
"Asterias amurensis";145.087417;-38.011856
"Asterias amurensis";147.4;-42.9
"Asterias amurensis";145.124288;-38.103504
"Asterias amurensis";147.405039;-42.885625
"Asterias amurensis";145.03533;-38.214722
"Asterias amurensis";145.113473;-38.054123
"Asterias amurensis";145.124478;-38.103741
"Asterias amurensis";147.333276;-42.883622
"Asterias amurensis";145.117706;-38.065789
"Asterias amurensis";147.33435;-42.975933
"Asterias amurensis";145.124507;-38.100998
"Asterias amurensis";145.113467;-38.053811
"Asterias amurensis";144.835532;43.01947
"Asterias amurensis";147.144731;-43.448872
"Asterias amurensis";145.005515;-38.270627
"Asterias amurensis";145.115594;-38.146535
"Asterias amurensis";131.842973;43.073208
"Asterias amurensis";145.000518;-38.272079
"Asterias amurensis";145.009577;-38.268649
"Asterias amurensis";147.386202;-42.882629
"Asterias amurensis";-151.570175;59.636142
"Asterias amurensis";126.282163;36.672995
"Asterias amurensis";-151.539743;59.641172
"Asterias amurensis";131.894891;43.031682
"Asterias amurensis";145.124436;-38.104011
"Asterias amurensis";131.904099;43.077423
"Asterias amurensis";145.10666;-38.154059
"Asterias amurensis";131.138695;42.629625
"Asterias amurensis";131.12604;42.620514
"Asterias amurensis";145.131054;-38.110582
"Asterias amurensis";145.123581;-38.089405
"Asterias amurensis";145.123567;-38.089447
"Asterias amurensis";145.123567;-38.089461
"Asterias amurensis";145.12355;-38.089564
"Asterias amurensis";145.123886;-38.090733
"Asterias amurensis";145.1239;-38.090778
"Asterias amurensis";145.123886;-38.090786
"Asterias amurensis";145.123856;-38.092
"Asterias amurensis";145.124436;-38.096928
"Asterias amurensis";145.125931;-38.084153
"Asterias amurensis";145.124248;-38.093094
"Asterias amurensis";145.113053;-38.151672
"Asterias amurensis";131.904129;43.077421
"Asterias amurensis";131.893015;43.029812
"Asterias amurensis";144.402778;-38.072997
"Asterias amurensis";145.059983;-37.989772
"Asterias amurensis";126.159515;36.828141
"Asterias amurensis";144.995309;-38.281317
"Asterias amurensis";144.717072;-38.177425
"Asterias amurensis";-151.407913;59.600855
"Asterias amurensis";145.119828;-38.073683
"Asterias amurensis";120.327033;36.053798
"Asterias amurensis";120.331246;36.062992
"Asterias amurensis";144.930037;-37.840679
"Asterias amurensis";144.898226;-37.843859
"Asterias amurensis";144.915637;-37.841329
"Asterias amurensis";144.817795;-37.872833
"Asterias amurensis";144.81958;-37.872662
"Asterias amurensis";144.823442;-37.871403
"Asterias amurensis";145.113285;-38.145631
"Asterias amurensis";145.044022;-38.21362
"Asterias amurensis";147.368195;-42.8824
"Asterias amurensis";35.390505;37.261232
"Asterias amurensis";144.899353;-37.846886
"Asterias amurensis";145.052151;-38.292307
"Asterias amurensis";144.830281;-37.871601
"Asterias amurensis";145.120208;-38.074158
"Asterias amurensis";145.125186;-38.089331
"Asterias amurensis";144.816912;-37.873863
"Asterias amurensis";147.39768;-42.881712
"Asterias amurensis";145.121743;-38.133973
"Asterias amurensis";145.110458;-38.047294
"Asterias amurensis";145.111747;-38.152371
"Asterias amurensis";147.338163;-42.889153
"Asterias amurensis";144.824617;-37.87157
"Asterias amurensis";144.825958;-37.871158
"Asterias amurensis";144.707778;-37.966337
"Asterias amurensis";145.113234;-38.145612
"Asterias amurensis";144.716158;-38.179735
"Asterias amurensis";145.108302;-38.153973
"Asterias amurensis";145.111988;-38.152281
"Asterias amurensis";131.64032;42.865048
"Asterias amurensis";147.3537;-42.908431
"Asterias amurensis";144.966258;-37.8599
"Asterias amurensis";144.966325;-37.859898
"Asterias amurensis";145.121139;-38.133925
"Asterias amurensis";147.33383;-42.894783
"Asterias amurensis";147.333953;-42.894495
"Asterias amurensis";132.453311;42.814431
"Asterias amurensis";131.640266;42.864883
"Asterias amurensis";144.968522;-38.330925
"Asterias amurensis";144.974542;-38.330683
"Asterias amurensis";144.883598;-38.202364
"Asterias amurensis";144.980238;-38.323658
"Asterias amurensis";122.153778;37.451145
"Asterias amurensis";144.361631;-38.142725
"Asterias amurensis";144.361564;-38.142798
"Asterias amurensis";144.361542;-38.142822
"Asterias amurensis";144.35727;-38.129958
"Asterias amurensis";144.793533;-37.927067
"Asterias amurensis";144.791458;-37.927697
"Asterias amurensis";144.791445;-37.927672
"Asterias amurensis";145.089539;-38.013931
"Asterias amurensis";145.056961;-37.988275
"Asterias amurensis";145.124755;-38.103418
"Asterias amurensis";132.436915;42.874658
"Asterias amurensis";144.824845;-37.871528
"Asterias amurensis";144.825867;-37.871413
"Asterias amurensis";144.825972;-37.8714
"Asterias amurensis";144.828628;-37.871145
"Asterias amurensis";132.450722;42.925414
"Asterias amurensis";147.332867;-42.884889
"Asterias amurensis";145.124266;-38.107514
"Asterias amurensis";144.931347;-38.345898
"Asterias amurensis";144.925417;-38.348182
"Asterias amurensis";145.033768;-38.21314
"Asterias amurensis";131.743744;42.972039
"Asterias amurensis";147.324433;-43.005058
"Asterias amurensis";147.32428;-43.004906
"Asterias amurensis";147.324342;-43.004914
"Asterias amurensis";147.324447;-43.004353
"Asterias amurensis";158.645854;53.025253
"Asterias amurensis";147.35167;-42.908679
"Asterias amurensis";147.342436;-42.837604
"Asterias amurensis";147.226666;-42.958101
"Asterias amurensis";147.20918;-42.825084
"Asterias amurensis";147.360846;-42.942907
"Asterias amurensis";144.652893;-38.110584
"Asterias amurensis";144.96872;-38.330158
"Asterias amurensis";147.369213;-42.958987
"Asterias amurensis";147.396341;-42.812894
"Asterias amurensis";144.81575;-37.875828
"Asterias amurensis";144.924178;-38.348759
"Asterias amurensis";145.033647;-38.212504
"Asterias amurensis";136.568399;44.954611
"Asterias amurensis";143.411575;46.1604
"Asterias amurensis";144.926582;-38.347872
"Asterias amurensis";147.342637;-42.906513
"Asterias amurensis";144.825287;-37.871392
"Asterias amurensis";147.324973;-43.007453
"Asterias amurensis";147.325132;-43.007527
"Asterias amurensis";144.973237;-38.327878
"Asterias amurensis";144.99408;-38.306872
"Asterias amurensis";145.06047;-37.99002
"Asterias amurensis";144.897505;-37.844638
"Asterias amurensis";144.898055;-37.845413
"Asterias amurensis";144.978408;-38.324988
"Asterias amurensis";144.983397;-38.321313
"Asterias amurensis";147.241547;-43.322097
"Asterias amurensis";145.112896;-38.052981
"Asterias amurensis";144.830152;-37.87112
"Asterias amurensis";147.324142;-42.98343
"Asterias amurensis";147.331803;-42.884761
"Asterias amurensis";145.086464;-38.011045
"Asterias amurensis";131.930283;43.022175
"Asterias amurensis";144.832672;-37.87127
"Asterias amurensis";144.817;-37.873967
"Asterias amurensis";131.123701;42.65799
"Asterias amurensis";147.311415;-42.967266
"Asterias amurensis";147.309072;-42.869709
"Asterias amurensis";147.329118;-42.984929
"Asterias amurensis";147.330882;-42.977467
"Asterias amurensis";147.330575;-42.97753
"Asterias amurensis";145.021141;-38.258716
"Asterias amurensis";131.734714;42.947265
"Asterias amurensis";147.333398;-42.896175
"Asterias amurensis";147.333828;-42.89611
"Asterias amurensis";147.333697;-42.895395
"Asterias amurensis";147.334017;-42.8942
"Asterias amurensis";147.334273;-42.894173
"Asterias amurensis";147.334275;-42.894173
"Asterias amurensis";147.334925;-42.894018
"Asterias amurensis";144.791912;-37.927605
"Asterias amurensis";147.334092;-42.975997
"Asterias amurensis";145.121995;-38.130264
"Asterias amurensis";145.120986;-38.134139
"Asterias amurensis";147.32547;-43.007764
"Asterias amurensis";147.325608;-43.007786
"Asterias amurensis";131.841003;43.078706
"Asterias amurensis";147.33315;-42.88208
"Asterias amurensis";144.788697;-37.927742
"Asterias amurensis";131.912692;43.016762
"Asterias amurensis";131.912279;43.016838
"Asterias amurensis";131.911319;43.016988
