"species";"lon";"lat"
"Bythotrephes longimanus";6.508087;58.493223
"Bythotrephes longimanus";6.554856;58.535213
"Bythotrephes longimanus";-91.446547;48.065583
"Bythotrephes longimanus";6.492063;58.564614
"Bythotrephes longimanus";-94.02583;49.39742
"Bythotrephes longimanus";-91.709551;48.404357
"Bythotrephes longimanus";-89.558602;48.015612
"Bythotrephes longimanus";-89.558082;48.016572
"Bythotrephes longimanus";6.520769;58.507366
"Bythotrephes longimanus";-89.39073;43.080017
"Bythotrephes longimanus";5.998179;59.55499
"Bythotrephes longimanus";5.998213;59.548972
"Bythotrephes longimanus";9.938349;59.651854
"Bythotrephes longimanus";8.50175;59.24958
"Bythotrephes longimanus";9.961381;59.651314
"Bythotrephes longimanus";10.8102;63.2604
"Bythotrephes longimanus";9.667775;63.322877
"Bythotrephes longimanus";6.218975;58.417216
"Bythotrephes longimanus";6.765125;58.20312
"Bythotrephes longimanus";11.58783;61.999264
"Bythotrephes longimanus";6.082993;58.677633
"Bythotrephes longimanus";8.84369;62.279382
"Bythotrephes longimanus";8.777492;63.288498
"Bythotrephes longimanus";6.029977;59.564777
"Bythotrephes longimanus";6.026075;59.545071
"Bythotrephes longimanus";6.04326;59.56265
"Bythotrephes longimanus";10.548733;63.387501
"Bythotrephes longimanus";-88.97442;48.509425
"Bythotrephes longimanus";17.5884;69.204
"Bythotrephes longimanus";28.978748;69.1635
"Bythotrephes longimanus";10.25465;59.99228
"Bythotrephes longimanus";9.40522;59.26237
"Bythotrephes longimanus";10.386941;60.3662
"Bythotrephes longimanus";8.92943;59.88332
"Bythotrephes longimanus";11.582521;61.999874
"Bythotrephes longimanus";11.582732;62.00018
"Bythotrephes longimanus";10.146879;61.884981
"Bythotrephes longimanus";10.585793;63.370039
"Bythotrephes longimanus";-89.211689;48.374667
"Bythotrephes longimanus";-78.713228;46.062206
"Bythotrephes longimanus";-78.911859;45.984163
"Bythotrephes longimanus";-78.400104;45.512525
"Bythotrephes longimanus";23.892849;67.896559
"Bythotrephes longimanus";23.891974;67.89504
"Bythotrephes longimanus";29.683617;61.988475
"Bythotrephes longimanus";26.177532;70.309871
"Bythotrephes longimanus";11.872603;62.052275
"Bythotrephes longimanus";10.96715;63.21944
"Bythotrephes longimanus";19.117823;69.106557
"Bythotrephes longimanus";11.0414;63.24131
"Bythotrephes longimanus";11.07671;63.27511
"Bythotrephes longimanus";9.942181;59.726837
"Bythotrephes longimanus";17.409043;69.253289
"Bythotrephes longimanus";8.774651;60.578277
"Bythotrephes longimanus";10.571453;63.345511
"Bythotrephes longimanus";11.817335;59.288154
"Bythotrephes longimanus";20.782758;69.050256
"Bythotrephes longimanus";6.128248;59.656931
"Bythotrephes longimanus";8.444583;58.516439
