"species";"lon";"lat"
"Corbicula fluminea";-80.435545;33.52875
"Corbicula fluminea";-82.756992;42.020821
"Corbicula fluminea";-117.045393;32.789766
"Corbicula fluminea";-117.045443;32.789799
"Corbicula fluminea";-97.608187;35.605275
"Corbicula fluminea";-97.607437;35.605295
"Corbicula fluminea";-78.308833;38.856858
"Corbicula fluminea";-1.465778;52.455113
"Corbicula fluminea";-95.425628;38.926072
"Corbicula fluminea";-84.131922;35.555373
"Corbicula fluminea";-77.176346;38.969047
"Corbicula fluminea";-97.566243;30.442921
"Corbicula fluminea";-97.566235;30.442909
"Corbicula fluminea";-80.185699;25.878665
"Corbicula fluminea";-80.185739;25.878671
"Corbicula fluminea";-99.812219;30.449457
"Corbicula fluminea";-8.789444;40.476081
"Corbicula fluminea";9.288795;45.802024
"Corbicula fluminea";-97.412321;32.792253
"Corbicula fluminea";-84.015587;33.17838
"Corbicula fluminea";-77.050114;38.773773
"Corbicula fluminea";-80.283905;27.26958
"Corbicula fluminea";-97.113694;32.788767
"Corbicula fluminea";-116.687142;43.688987
"Corbicula fluminea";-122.780639;45.861994
"Corbicula fluminea";-96.318162;30.66117
"Corbicula fluminea";-91.126807;38.592673
"Corbicula fluminea";10.666608;53.84928
"Corbicula fluminea";10.667071;53.849565
"Corbicula fluminea";9.894229;53.544705
"Corbicula fluminea";9.894122;53.544753
"Corbicula fluminea";5.3;51.6
"Corbicula fluminea";5.9;51.45
"Corbicula fluminea";4.6;51.7
"Corbicula fluminea";6.05;51.25
"Corbicula fluminea";5.25;51.5
"Corbicula fluminea";4.95;51.8
"Corbicula fluminea";9.526874;47.614053
"Corbicula fluminea";5.55;51.95
"Corbicula fluminea";9.526852;47.614161
"Corbicula fluminea";9.891396;53.544596
"Corbicula fluminea";5;52.6
"Corbicula fluminea";11.814159;48.226856
"Corbicula fluminea";8.454081;49.737339
"Corbicula fluminea";5.8;51.7
"Corbicula fluminea";5.75;51.5
"Corbicula fluminea";5.75;52.4
"Corbicula fluminea";6.5;52.7
"Corbicula fluminea";9.42184;47.665262
"Corbicula fluminea";5.18878;51.23268
"Corbicula fluminea";8.498128;49.4055
"Corbicula fluminea";7.076365;50.771421
"Corbicula fluminea";-8.276639;39.604354
"Corbicula fluminea";-74.115951;40.621879
"Corbicula fluminea";-121.790236;37.256461
"Corbicula fluminea";-114.840145;36.116956
"Corbicula fluminea";10.454544;45.12554
"Corbicula fluminea";3.221133;45.67558
"Corbicula fluminea";-97.441071;32.853774
"Corbicula fluminea";9.291846;47.613681
"Corbicula fluminea";-87.011847;36.092356
"Corbicula fluminea";-117.956738;33.627908
"Corbicula fluminea";9.291842;47.613564
"Corbicula fluminea";5.349864;43.756947
"Corbicula fluminea";-72.888655;40.80305
"Corbicula fluminea";8.603565;45.786743
"Corbicula fluminea";8.686283;45.631332
"Corbicula fluminea";8.665746;45.684993
"Corbicula fluminea";-83.984043;35.781738
"Corbicula fluminea";-83.984114;35.781754
"Corbicula fluminea";-88.077289;36.441207
"Corbicula fluminea";-88.077528;36.44157
"Corbicula fluminea";-96.993976;32.613504
"Corbicula fluminea";-84.32388;33.804103
"Corbicula fluminea";-84.324146;33.80435
"Corbicula fluminea";-84.324722;33.804404
"Corbicula fluminea";-96.89449;32.919548
"Corbicula fluminea";9.146398;47.748175
"Corbicula fluminea";-81.272295;40.533303
"Corbicula fluminea";-75.19507;40.025383
"Corbicula fluminea";-81.362513;28.53611
"Corbicula fluminea";-117.039086;32.78347
"Corbicula fluminea";-117.039064;32.783478
"Corbicula fluminea";-85.032822;34.564963
"Corbicula fluminea";-86.633588;35.589474
"Corbicula fluminea";-82.855567;42.567136
