"species";"lon";"lat"
"Didemnum";-125.904092;49.154489
"Didemnum";130.71611;-0.53112
"Didemnum";123.265548;9.186134
"Didemnum";39.553987;-6.255815
"Didemnum";174.794219;-36.268429
"Didemnum";-40.254091;-20.272356
"Didemnum";-40.273276;-20.333822
"Didemnum";166.466008;-22.476667
"Didemnum";166.46568;-22.476576
"Didemnum";-38.623523;-3.689069
"Didemnum";-121.786833;36.811425
"Didemnum";-121.786811;36.811397
"Didemnum";-5.056694;50.147681
"Didemnum";-4.160628;50.361664
"Didemnum";138.185421;-35.522854
"Didemnum";147.068622;-18.620014
"Didemnum";115.583934;-8.685762
"Didemnum";72.785909;4.000014
"Didemnum";72.718214;3.615296
"Didemnum";39.336657;-4.67883
"Didemnum";73.539941;4.256625
"Didemnum";-40.254141;-20.272224
"Didemnum";124.111491;11.326914
"Didemnum";73.446786;3.915053
"Didemnum";72.839195;3.242807
"Didemnum";130.294389;-0.669067
"Didemnum";124.026923;11.269866
"Didemnum";124.143446;11.33602
"Didemnum";123.628705;9.455189
"Didemnum";123.917022;-5.783831
"Didemnum";123.369094;9.941755
"Didemnum";72.780457;3.619396
"Didemnum";126.342462;-1.832513
"Didemnum";-5.058212;50.14679
"Didemnum";-5.057738;50.147727
"Didemnum";-0.744162;37.77919
"Didemnum";-0.744162;37.77919
"Didemnum";-0.717451;37.655908
"Didemnum";115.028889;-21.506611
"Didemnum";57.377605;-20.256616
"Didemnum";127.236145;-0.028806
"Didemnum";-3.495562;50.404223
"Didemnum";72.963047;4.443073
"Didemnum";170.705764;-45.800684
"Didemnum";-35.022404;-8.612702
"Didemnum";124.407623;-8.021338
"Didemnum";5.083494;60.416103
"Didemnum";119.694768;11.25928
"Didemnum";39.385383;-4.647525
"Didemnum";73.864455;15.369762
"Didemnum";9.339058;42.760616
"Didemnum";9.339058;42.760616
"Didemnum";9.328494;42.718868
"Didemnum";9.338311;42.761476
"Didemnum";9.456222;42.711728
"Didemnum";-2.152372;48.631985
"Didemnum";118.70773;4.493014
"Didemnum";118.707722;4.492276
"Didemnum";118.707786;4.492249
"Didemnum";118.707829;4.492318
"Didemnum";116.061251;-8.340838
"Didemnum";118.707976;4.492161
"Didemnum";3.291907;42.293358
"Didemnum";72.957272;3.632716
"Didemnum";-5.575189;54.391492
"Didemnum";130.611551;-2.188445
"Didemnum";130.4274;-2.19521
"Didemnum";130.610333;-2.19595
"Didemnum";130.605349;-2.183902
"Didemnum";147.276996;-9.534085
"Didemnum";124.732368;1.619224
"Didemnum";124.741981;1.612615
"Didemnum";-127.64402;50.847706
"Didemnum";14.625833;67.227198
"Didemnum";5.268763;59.411297
"Didemnum";174.998211;-36.767927
"Didemnum";-122.893028;38.132789
"Didemnum";3.862523;43.444889
"Didemnum";114.51278;-8.090527
"Didemnum";123.894104;-5.77613
"Didemnum";174.796364;-36.26811
"Didemnum";72.794909;18.957211
"Didemnum";73.864105;15.369722
"Didemnum";-5.560063;54.535363
"Didemnum";-122.482207;37.502509
"Didemnum";73.503524;3.597855
"Didemnum";123.365105;9.943351
"Didemnum";-176.220067;-13.376223
"Didemnum";125.159703;1.767678
"Didemnum";130.453782;-2.216131
"Didemnum";119.904099;12.325076
"Didemnum";4.15;51.5
"Didemnum";3.828678;43.435584
"Didemnum";-9.17246;38.511403
"Didemnum";3.990886;43.530231
"Didemnum";120.41453;12.65953
"Didemnum";118.645225;-20.304709
"Didemnum";118.645492;-20.304903
"Didemnum";123.263128;9.190745
"Didemnum";39.387193;-4.659457
"Didemnum";-68.322014;44.442466
"Didemnum";4.1;51.6
"Didemnum";5.037914;61.604667
"Didemnum";146.561689;-18.056282
"Didemnum";146.557043;-18.043713
"Didemnum";147.068631;-18.61659
"Didemnum";118.59571;-20.290597
"Didemnum";147.06876;-18.614025
"Didemnum";138.46515;-35.148344
"Didemnum";147.069283;-18.614856
"Didemnum";166.441079;-22.500769
"Didemnum";3.136954;42.512646
"Didemnum";147.068647;-18.614673
"Didemnum";-123.054419;38.30645
"Didemnum";-123.054087;38.304402
"Didemnum";-122.320244;37.591798
"Didemnum";-66.046175;43.651034
"Didemnum";-5.122853;48.451848
"Didemnum";-5.140284;48.446506
"Didemnum";-5.140284;48.446506
"Didemnum";-5.117689;48.444798
"Didemnum";-5.117689;48.444798
"Didemnum";115.616566;-8.298434
"Didemnum";115.616082;-8.298987
"Didemnum";-1.937105;49.290166
"Didemnum";-70.641911;42.686725
"Didemnum";174.784257;-36.317625
"Didemnum";173.986625;-41.264364
"Didemnum";23.724269;40.166596
"Didemnum";144.797957;13.427359
"Didemnum";149.182878;-19.745216
"Didemnum";14.669098;45.155287
"Didemnum";14.6696;45.154472
"Didemnum";-68.090174;44.371879
"Didemnum";14.669525;45.154699
"Didemnum";-4.968375;51.70619
"Didemnum";-2.044183;48.6869
"Didemnum";-2.027311;48.638936
"Didemnum";-2.016967;48.693083
"Didemnum";10.422399;42.863603
"Didemnum";-122.482294;37.501794
"Didemnum";3.166396;42.113758
"Didemnum";5.391687;43.186212
"Didemnum";13.557325;45.323618
"Didemnum";145.450445;-14.662975
"Didemnum";124.32527;-8.283134
"Didemnum";-125.89435;49.169347
"Didemnum";-125.136847;48.834506
"Didemnum";124.822158;9.173211
"Didemnum";13.555877;45.320518
"Didemnum";-67.167053;44.880233
"Didemnum";-9.07476;53.156813
"Didemnum";4.092638;43.500732
"Didemnum";13.585977;45.276098
"Didemnum";13.586556;45.276309
"Didemnum";13.556971;45.322849
"Didemnum";13.556349;45.321582
"Didemnum";13.555984;45.320956
"Didemnum";13.586234;45.276037
"Didemnum";13.584754;45.276837
"Didemnum";3.7;51.6
"Didemnum";-80.44914;27.86047
"Didemnum";4.83423;60.80613
"Didemnum";5.077359;60.484121
"Didemnum";-5.653572;54.522778
"Didemnum";-5.65655;54.523445
"Didemnum";-1.970007;48.538346
"Didemnum";3.168785;42.441345
"Didemnum";3.168785;42.441345
"Didemnum";-122.493737;48.652962
"Didemnum";3.102573;42.525399
"Didemnum";12.316763;45.31677
"Didemnum";-135.313808;57.035138
"Didemnum";-5.545305;54.470013
"Didemnum";173.255451;-41.275087
"Didemnum";-1.938431;49.289601
"Didemnum";118.641884;-20.298956
"Didemnum";3.277211;42.339278
"Didemnum";3.173804;42.431993
"Didemnum";-3.856072;47.792371
"Didemnum";-3.856072;47.792371
"Didemnum";-5.653756;54.522706
"Didemnum";-5.653614;54.522775
"Didemnum";-5.653703;54.522667
"Didemnum";-5.654064;54.52235
"Didemnum";-5.653369;54.522025
"Didemnum";118.646892;-20.301943
"Didemnum";122.245757;12.565298
"Didemnum";-71.5165;41.38638
"Didemnum";-73.90249;40.58463
"Didemnum";-45.422679;-23.82768
"Didemnum";-45.422676;-23.827688
"Didemnum";-70.326072;43.540815
"Didemnum";166.445152;-22.526639
"Didemnum";-69.48291;43.879782
"Didemnum";124.406194;-8.250445
"Didemnum";-4.127552;50.356751
"Didemnum";24.47435;35.152169
"Didemnum";5.219154;43.328838
"Didemnum";-70.867492;42.536052
"Didemnum";24.390961;35.191002
"Didemnum";24.473722;35.152058
"Didemnum";5.619585;43.183876
"Didemnum";24.39957;35.180177
"Didemnum";-2.227759;49.718994
"Didemnum";114.14027;-21.797636
