"species";"lon";"lat"
"Geukensia demissa";-71.88053;41.338678
"Geukensia demissa";-70.144523;43.773507
"Geukensia demissa";-76.278441;37.099855
"Geukensia demissa";-77.08818;34.6477
"Geukensia demissa";-71.3481;41.742711
"Geukensia demissa";-74.002756;40.450784
"Geukensia demissa";-122.211228;37.73775
"Geukensia demissa";-122.210288;37.73593
"Geukensia demissa";-75.34906;37.882986
"Geukensia demissa";-80.45417;32.341472
"Geukensia demissa";-75.434473;38.653084
"Geukensia demissa";-122.101482;37.457968
"Geukensia demissa";-80.84803;32.214205
"Geukensia demissa";-74.567644;39.280347
"Geukensia demissa";-74.567636;39.280425
"Geukensia demissa";-73.997629;40.69874
"Geukensia demissa";-79.90213;32.750933
"Geukensia demissa";-75.093253;38.804029
"Geukensia demissa";-75.129939;38.782436
"Geukensia demissa";-74.135994;40.529963
"Geukensia demissa";-80.149605;25.93188
"Geukensia demissa";-79.903039;32.75087
"Geukensia demissa";-80.464767;32.418445
"Geukensia demissa";-75.162103;38.199988
"Geukensia demissa";-73.928191;40.5998
"Geukensia demissa";-76.252361;37.425628
"Geukensia demissa";-73.998339;40.445246
"Geukensia demissa";-72.569511;41.2677
"Geukensia demissa";-75.409126;39.137651
"Geukensia demissa";-122.101475;37.457956
"Geukensia demissa";-122.104959;37.461517
"Geukensia demissa";-75.833016;37.46907
"Geukensia demissa";-73.98855;40.43335
"Geukensia demissa";-71.405074;41.691883
"Geukensia demissa";-64.371937;45.157164
"Geukensia demissa";-74.957286;38.996474
"Geukensia demissa";-80.890934;32.01535
"Geukensia demissa";-76.507058;37.237762
"Geukensia demissa";-76.506974;37.237772
"Geukensia demissa";-71.382809;41.752534
"Geukensia demissa";-76.976358;35.40955
"Geukensia demissa";-74.512951;39.384663
"Geukensia demissa";-71.781014;41.327119
"Geukensia demissa";-73.045288;40.800331
"Geukensia demissa";-74.251936;40.461702
"Geukensia demissa";-74.558346;39.307684
"Geukensia demissa";-70.629511;41.760449
"Geukensia demissa";-70.629156;41.760329
"Geukensia demissa";-70.628529;41.760567
"Geukensia demissa";-70.628236;41.760753
"Geukensia demissa";-70.452656;41.373149
"Geukensia demissa";-74.325962;39.539389
"Geukensia demissa";-74.111162;40.688107
"Geukensia demissa";-73.935208;40.575827
"Geukensia demissa";-76.764281;34.759542
"Geukensia demissa";-75.136947;38.690788
"Geukensia demissa";-80.293962;32.50483
"Geukensia demissa";-122.13838;37.627591
"Geukensia demissa";-81.404281;31.104268
"Geukensia demissa";-73.142256;40.720395
"Geukensia demissa";-74.448804;39.463357
"Geukensia demissa";-71.447005;41.693763
"Geukensia demissa";-72.526636;41.288803
"Geukensia demissa";-70.009241;41.800033
"Geukensia demissa";-71.898937;41.216275
"Geukensia demissa";-80.691634;32.24684
"Geukensia demissa";-76.251833;38.980183
"Geukensia demissa";-75.101111;38.625442
"Geukensia demissa";-75.984992;35.115303
"Geukensia demissa";-77.088793;34.697019
"Geukensia demissa";-77.089391;34.695311
"Geukensia demissa";-73.930041;40.60404
"Geukensia demissa";-74.228037;40.45257
"Geukensia demissa";-73.540511;40.876203
"Geukensia demissa";-73.542357;40.876787
"Geukensia demissa";-80.70347;32.252905
"Geukensia demissa";-71.499122;41.380505
"Geukensia demissa";-74.192509;40.512804
"Geukensia demissa";-75.79;37.299999
"Geukensia demissa";-81.714929;30.077714
"Geukensia demissa";-73.098511;41.175191
"Geukensia demissa";-73.999625;40.448608
"Geukensia demissa";-76.288948;37.04394
"Geukensia demissa";-122.071547;37.532154
"Geukensia demissa";-71.362413;41.768814
"Geukensia demissa";-70.259747;41.710386
"Geukensia demissa";-73.929978;40.603927
"Geukensia demissa";-80.558902;32.31412
"Geukensia demissa";-69.520636;44.051506
"Geukensia demissa";-75.343658;37.888058
"Geukensia demissa";-122.110664;37.509053
"Geukensia demissa";-75.348883;37.882813
"Geukensia demissa";-79.194796;33.349989
"Geukensia demissa";-75.374917;37.893742
"Geukensia demissa";-80.237838;32.540742
"Geukensia demissa";-75.349094;37.883198
"Geukensia demissa";-79.183594;33.348094
"Geukensia demissa";-76.339745;37.01855
"Geukensia demissa";-79.292663;33.429615
"Geukensia demissa";-73.624702;40.623577
"Geukensia demissa";-69.967122;41.654507
"Geukensia demissa";-73.895775;40.622638
"Geukensia demissa";-73.899186;40.624356
"Geukensia demissa";-65.112989;47.066254
"Geukensia demissa";-64.946444;47.064832
"Geukensia demissa";-74.620446;39.304622
"Geukensia demissa";-70.652874;41.979377
"Geukensia demissa";-76.290237;37.038361
"Geukensia demissa";-76.339783;37.018683
"Geukensia demissa";-73.564833;40.577228
"Geukensia demissa";-70.08148;43.822113
"Geukensia demissa";-75.372501;37.911463
"Geukensia demissa";-75.101668;38.787143
"Geukensia demissa";-74.899992;38.945355
"Geukensia demissa";-71.187182;41.687577
"Geukensia demissa";-79.190705;33.350258
"Geukensia demissa";-71.020843;42.290016
"Geukensia demissa";-63.664492;45.845223
"Geukensia demissa";-73.175535;40.701526
"Geukensia demissa";-73.489647;40.885297
"Geukensia demissa";-73.489555;40.884628
"Geukensia demissa";-73.489638;40.88448
"Geukensia demissa";-70.040966;41.296324
"Geukensia demissa";-73.784301;40.872766
"Geukensia demissa";-60.034839;46.216141
"Geukensia demissa";-73.928055;40.603271
"Geukensia demissa";-73.925316;40.601254
"Geukensia demissa";-74.198921;40.512352
"Geukensia demissa";-71.453033;41.69617
"Geukensia demissa";-73.992278;40.775413
"Geukensia demissa";-73.99218;40.775488
"Geukensia demissa";-73.992172;40.775488
"Geukensia demissa";-73.92102;40.583115
"Geukensia demissa";-60.03485;46.216137
"Geukensia demissa";-60.034992;46.216263
"Geukensia demissa";-73.369483;41.126518
"Geukensia demissa";-73.369341;41.126662
"Geukensia demissa";-73.369426;41.126698
"Geukensia demissa";-73.396266;41.083209
"Geukensia demissa";-73.397614;41.084712
"Geukensia demissa";-74.019148;40.654202
"Geukensia demissa";-73.831535;40.615341
"Geukensia demissa";-73.829582;40.615977
"Geukensia demissa";-74.055413;40.598304
"Geukensia demissa";-72.602555;40.934258
"Geukensia demissa";-76.304554;36.900494
"Geukensia demissa";-71.121566;42.373096
"Geukensia demissa";-70.200266;41.272798
"Geukensia demissa";-70.201246;41.272324
"Geukensia demissa";-73.331578;41.116536
"Geukensia demissa";-73.394517;41.083569
"Geukensia demissa";-73.394563;41.082753
"Geukensia demissa";-70.818288;41.64458
"Geukensia demissa";-73.397944;41.082774
"Geukensia demissa";-73.396744;41.083573
"Geukensia demissa";-60.392809;46.01543
"Geukensia demissa";-73.397165;41.082538
"Geukensia demissa";-73.870842;40.637661
"Geukensia demissa";-73.930755;40.60138
"Geukensia demissa";-73.933186;40.611381
"Geukensia demissa";-73.94681;40.736993
"Geukensia demissa";-71.256613;41.650088
"Geukensia demissa";-74.891606;39.125693
"Geukensia demissa";-73.550913;40.591027
"Geukensia demissa";-73.550315;40.591314
"Geukensia demissa";-59.936461;46.007847
"Geukensia demissa";-59.936414;46.007808
"Geukensia demissa";-59.936414;46.0078
"Geukensia demissa";-59.936408;46.007794
"Geukensia demissa";-59.936378;46.0078
"Geukensia demissa";-59.936383;46.007806
"Geukensia demissa";-59.936389;46.007817
"Geukensia demissa";-59.936386;46.007819
"Geukensia demissa";-59.936364;46.007764
"Geukensia demissa";-59.936356;46.007758
"Geukensia demissa";-59.936353;46.007764
"Geukensia demissa";-59.936347;46.007764
"Geukensia demissa";-59.936358;46.007778
"Geukensia demissa";-59.936358;46.007786
"Geukensia demissa";-59.936347;46.007786
"Geukensia demissa";-59.936344;46.007775
"Geukensia demissa";-59.936325;46.007767
