"species";"lon";"lat"
"Orconectes virilis";-66.022299;45.272416
"Orconectes virilis";-76.876;39.3154
"Orconectes virilis";-0.034985;51.668852
"Orconectes virilis";-0.07662;51.674326
"Orconectes virilis";-88.44586;42.13572
"Orconectes virilis";-76.02;44.51
"Orconectes virilis";-79.66;43.75
"Orconectes virilis";-88.016498;43.199134
"Orconectes virilis";-88.442508;43.056253
"Orconectes virilis";-79.19;43.84
"Orconectes virilis";-79.197;43.8444
"Orconectes virilis";-87.894772;43.172738
"Orconectes virilis";-0.013663;51.689149
"Orconectes virilis";-0.018625;51.691481
"Orconectes virilis";-76.298;39.432
"Orconectes virilis";-0.016695;51.67207
"Orconectes virilis";-87.39025;41.52255
"Orconectes virilis";5.244773;52.051097
"Orconectes virilis";5.352271;51.982419
"Orconectes virilis";5.187374;52.009192
"Orconectes virilis";-0.031338;51.62855
"Orconectes virilis";-87.967684;41.189193
"Orconectes virilis";-0.031474;51.62875
"Orconectes virilis";5.259103;52.04617
"Orconectes virilis";-101.443;34.5452
"Orconectes virilis";-101.594;35.7138
"Orconectes virilis";-87.5825;41.80822
"Orconectes virilis";-71.57715;41.99878
"Orconectes virilis";-88.43491;41.18258
"Orconectes virilis";5.069924;52.021176
"Orconectes virilis";-88.429167;41.297778
"Orconectes virilis";-88.27273;41.15744
"Orconectes virilis";-0.025291;51.647027
"Orconectes virilis";-88.34768;41.41704
"Orconectes virilis";-88.310833;41.512222
"Orconectes virilis";-88.469722;41.370556
"Orconectes virilis";-88.188771;43.497551
"Orconectes virilis";-120.1545;47.9128
"Orconectes virilis";-88.775214;42.630414
"Orconectes virilis";-88.48854;41.86033
"Orconectes virilis";-88.58624;41.82144
"Orconectes virilis";-88.49619;41.76292
"Orconectes virilis";-88.58889;41.76457
"Orconectes virilis";-88.56887;42.10837
"Orconectes virilis";-122.32995;47.779317
"Orconectes virilis";-89.98942;42.06072
"Orconectes virilis";-89.994676;42.060767
"Orconectes virilis";-88.00485;41.52629
"Orconectes virilis";-122.447517;47.116833
"Orconectes virilis";-87.9554;41.70839
"Orconectes virilis";-87.92592;42.48925
"Orconectes virilis";-88.008611;42.465833
"Orconectes virilis";-88.024726;42.448095
"Orconectes virilis";-87.966289;42.2202
"Orconectes virilis";-88.382052;42.842975
"Orconectes virilis";-88.423808;42.8799
"Orconectes virilis";-88.423121;42.881787
"Orconectes virilis";-88.390497;42.821122
"Orconectes virilis";-88.385948;42.846802
"Orconectes virilis";-88.382481;42.837877
"Orconectes virilis";-88.42604;42.888956
"Orconectes virilis";-88.04198;41.38355
"Orconectes virilis";-88.6281;41.3911
"Orconectes virilis";-88.03634;41.33912
"Orconectes virilis";-88.357342;42.071072
"Orconectes virilis";-87.597222;41.407222
"Orconectes virilis";-88.338;42.05689
"Orconectes virilis";-88.440381;41.785392
"Orconectes virilis";-88.3144;41.75919
"Orconectes virilis";-88.5806;41.7161
"Orconectes virilis";-88.15316;41.37662
"Orconectes virilis";-88.77117;41.4336
"Orconectes virilis";-88.6447;41.6975
"Orconectes virilis";-118.989333;47.944
"Orconectes virilis";-118.961944;47.933333
"Orconectes virilis";-88.7006;41.7336
"Orconectes virilis";-88.6733;41.5881
"Orconectes virilis";-88.3411;41.93328
"Orconectes virilis";-118.927833;47.937167
"Orconectes virilis";-118.19988;48.46837
"Orconectes virilis";-118.14766;48.53672
"Orconectes virilis";-118.12681;48.57063
"Orconectes virilis";-118.14499;48.54051
"Orconectes virilis";-118.21039;48.46532
"Orconectes virilis";-118.15874;48.50974
"Orconectes virilis";-88.14714;42.37913
"Orconectes virilis";-118.344444;47.838056
"Orconectes virilis";-87.8808;41.5145
"Orconectes virilis";-88.32526;41.82211
"Orconectes virilis";-87.972838;41.515878
"Orconectes virilis";4.82906;52.224123
"Orconectes virilis";4.822672;52.224695
"Orconectes virilis";-87.6447;41.50601
"Orconectes virilis";-87.6456;41.5351
"Orconectes virilis";-88.538234;41.40244
"Orconectes virilis";-88.4071;41.7825
"Orconectes virilis";-88.50774;41.73336
"Orconectes virilis";-88.445422;42.153768
"Orconectes virilis";-88.14122;41.55195
"Orconectes virilis";-92.644645;47.708255
"Orconectes virilis";-92.850056;47.703741
"Orconectes virilis";-88.096951;41.505997
"Orconectes virilis";-88.138859;41.35492
"Orconectes virilis";-88.18604;41.48499
"Orconectes virilis";-88.43074;42.39957
"Orconectes virilis";-88.472561;42.364951
"Orconectes virilis";-88.289722;42.479722
"Orconectes virilis";-88.04992;41.60066
"Orconectes virilis";-87.480813;42.464303
"Orconectes virilis";-93.727477;48.135621
"Orconectes virilis";-86.704762;41.770149
"Orconectes virilis";-87.59381;41.29762
"Orconectes virilis";-88.487714;41.665369
"Orconectes virilis";-87.037435;41.58631
"Orconectes virilis";-88.393405;41.205522
"Orconectes virilis";-88.059027;41.494273
"Orconectes virilis";-88.0445;41.57064
"Orconectes virilis";-93.828981;45.807609
"Orconectes virilis";-95.516646;47.783152
"Orconectes virilis";-95.530516;47.397868
"Orconectes virilis";-96.225097;47.861579
"Orconectes virilis";-94.841411;46.45666
"Orconectes virilis";-96.337357;48.356615
"Orconectes virilis";-95.721084;47.337355
"Orconectes virilis";-94.037518;47.364871
"Orconectes virilis";-95.144853;47.760157
"Orconectes virilis";-93.901987;45.436099
"Orconectes virilis";-93.868131;45.648283
"Orconectes virilis";-96.254873;48.383447
"Orconectes virilis";-95.182996;47.348855
"Orconectes virilis";-96.210928;48.415817
"Orconectes virilis";-93.856883;45.629394
"Orconectes virilis";-88.1256;41.3867
"Orconectes virilis";-93.193526;47.032366
"Orconectes virilis";-93.321149;47.211592
"Orconectes virilis";-94.114568;47.44694
"Orconectes virilis";-93.555707;46.709944
"Orconectes virilis";-94.892229;45.448918
"Orconectes virilis";-93.588472;46.682746
"Orconectes virilis";-94.210988;45.315548
"Orconectes virilis";-93.671387;47.328305
"Orconectes virilis";-87.64976;41.164142
"Orconectes virilis";-88.076872;41.372553
"Orconectes virilis";-88.195215;41.377778
"Orconectes virilis";-93.428336;45.988329
"Orconectes virilis";-93.384172;45.955833
"Orconectes virilis";-95.176088;46.469077
"Orconectes virilis";-95.542937;46.680779
"Orconectes virilis";-102.477611;46.868065
"Orconectes virilis";-95.270382;46.449081
"Orconectes virilis";-96.092142;46.485297
"Orconectes virilis";-95.690422;46.813192
"Orconectes virilis";-93.331198;46.020396
"Orconectes virilis";-88.020792;42.378621
"Orconectes virilis";-93.343492;44.775444
"Orconectes virilis";-95.83036;48.041671
"Orconectes virilis";-93.779742;46.322879
"Orconectes virilis";-0.016833;51.666272
"Orconectes virilis";-0.024058;51.666394
"Orconectes virilis";-93.476223;47.388193
"Orconectes virilis";-93.255539;47.012348
"Orconectes virilis";-93.151011;47.287313
"Orconectes virilis";-87.527503;41.665793
"Orconectes virilis";-93.413051;47.378387
"Orconectes virilis";-0.046552;51.580443
"Orconectes virilis";-93.662765;46.060959
"Orconectes virilis";-94.731123;46.368619
"Orconectes virilis";-94.09778;46.653552
"Orconectes virilis";-93.656272;45.965755
"Orconectes virilis";-93.522954;47.232589
"Orconectes virilis";-94.801058;46.573904
"Orconectes virilis";-94.799126;46.414683
