"species";"lon";"lat"
"Pacifastacus leniusculus";-120.047383;39.238941
"Pacifastacus leniusculus";15.104045;47.386156
"Pacifastacus leniusculus";15.143891;47.394399
"Pacifastacus leniusculus";15.102681;47.386176
"Pacifastacus leniusculus";-122.005191;47.347793
"Pacifastacus leniusculus";-124.01505;49.671604
"Pacifastacus leniusculus";-3.228774;51.755099
"Pacifastacus leniusculus";4.40635;50.35993
"Pacifastacus leniusculus";4.39279;50.20085
"Pacifastacus leniusculus";16.41165;56.29834
"Pacifastacus leniusculus";3.644634;43.893784
"Pacifastacus leniusculus";15.423827;46.948528
"Pacifastacus leniusculus";-122.043664;38.507242
"Pacifastacus leniusculus";3.825263;43.99501
"Pacifastacus leniusculus";7.227012;51.51372
"Pacifastacus leniusculus";-122.726214;43.879957
"Pacifastacus leniusculus";-124.100172;44.307995
"Pacifastacus leniusculus";15.434061;46.922696
"Pacifastacus leniusculus";-122.620434;43.824572
"Pacifastacus leniusculus";-122.565645;49.275467
"Pacifastacus leniusculus";6.05;50.85
"Pacifastacus leniusculus";4.52641;50.03846
"Pacifastacus leniusculus";-116.096069;43.540778
"Pacifastacus leniusculus";6.982087;51.188815
"Pacifastacus leniusculus";-121.743217;49.266739
"Pacifastacus leniusculus";-122.247133;37.078624
"Pacifastacus leniusculus";14.03838;46.610419
"Pacifastacus leniusculus";16.162739;48.0585
"Pacifastacus leniusculus";-122.598059;49.138216
"Pacifastacus leniusculus";-122.935075;49.243816
"Pacifastacus leniusculus";-122.653581;49.246513
"Pacifastacus leniusculus";-126.471158;49.402405
"Pacifastacus leniusculus";-2.062311;53.481871
"Pacifastacus leniusculus";-121.969605;37.241945
"Pacifastacus leniusculus";-121.671386;45.710206
"Pacifastacus leniusculus";-123.074854;49.201574
"Pacifastacus leniusculus";-122.813743;38.173575
"Pacifastacus leniusculus";-122.032364;48.02477
"Pacifastacus leniusculus";0.389836;52.308397
"Pacifastacus leniusculus";-122.934989;49.244019
"Pacifastacus leniusculus";7.271165;51.178498
"Pacifastacus leniusculus";14.713125;48.059109
"Pacifastacus leniusculus";14.71;48.06
"Pacifastacus leniusculus";5.512233;50.059454
"Pacifastacus leniusculus";4.36542;50.18881
"Pacifastacus leniusculus";5.57731;50.36745
"Pacifastacus leniusculus";5.57764;50.36755
"Pacifastacus leniusculus";-122.758693;49.226918
"Pacifastacus leniusculus";0.513408;52.55176
"Pacifastacus leniusculus";8.705561;47.59802
"Pacifastacus leniusculus";0.825339;52.305746
"Pacifastacus leniusculus";-123.706017;45.481873
"Pacifastacus leniusculus";16.259452;47.997867
"Pacifastacus leniusculus";16.259449;47.99788
"Pacifastacus leniusculus";11.503729;47.901439
"Pacifastacus leniusculus";-117.445687;46.668438
"Pacifastacus leniusculus";3.604252;43.871795
"Pacifastacus leniusculus";-122.75014;49.180658
"Pacifastacus leniusculus";-1.783289;41.191605
"Pacifastacus leniusculus";-122.464645;48.70415
"Pacifastacus leniusculus";-123.661512;43.985991
"Pacifastacus leniusculus";-123.661982;43.985994
"Pacifastacus leniusculus";-123.661973;43.985968
"Pacifastacus leniusculus";-123.66182;43.986012
"Pacifastacus leniusculus";-3.926903;42.993072
"Pacifastacus leniusculus";-123.441002;48.463752
"Pacifastacus leniusculus";-122.286725;37.868056
"Pacifastacus leniusculus";-7.34408;42.86156
"Pacifastacus leniusculus";15.419368;46.950048
"Pacifastacus leniusculus";-121.964508;49.058219
"Pacifastacus leniusculus";15.312934;48.230919
"Pacifastacus leniusculus";15.420453;46.814413
"Pacifastacus leniusculus";2.86375;43.83907
"Pacifastacus leniusculus";-122.263814;37.871194
"Pacifastacus leniusculus";-0.843943;51.181151
"Pacifastacus leniusculus";15.92398;48.193222
"Pacifastacus leniusculus";16.438238;48.005642
"Pacifastacus leniusculus";16.307681;48.152782
"Pacifastacus leniusculus";-122.885742;38.508638
"Pacifastacus leniusculus";3.701329;43.844158
"Pacifastacus leniusculus";3.701343;43.844118
"Pacifastacus leniusculus";3.701342;43.844124
"Pacifastacus leniusculus";-123.787087;48.058647
"Pacifastacus leniusculus";-122.07484;37.303048
"Pacifastacus leniusculus";-122.470774;48.658185
"Pacifastacus leniusculus";14.710895;48.054074
"Pacifastacus leniusculus";12.9647;47.634184
"Pacifastacus leniusculus";16.319232;58.794799
"Pacifastacus leniusculus";13.455886;47.716976
"Pacifastacus leniusculus";-1.929982;53.259136
"Pacifastacus leniusculus";-1.929891;53.25922
"Pacifastacus leniusculus";8.114828;52.173088
"Pacifastacus leniusculus";13.46;47.72
"Pacifastacus leniusculus";14.71;48.05
"Pacifastacus leniusculus";5.89876;50.37714
"Pacifastacus leniusculus";5.89853;50.37738
"Pacifastacus leniusculus";4.49931;50.06262
"Pacifastacus leniusculus";12.61701;56.25083
"Pacifastacus leniusculus";13.26143;56.26206
