"species";"lon";"lat"
"Perna viridis";73.935142;15.112325
"Perna viridis";104.635473;10.142502
"Perna viridis";79.82596;11.906314
"Perna viridis";-48.536495;-25.849833
"Perna viridis";-48.536663;-25.850005
"Perna viridis";-82.630448;27.773185
"Perna viridis";113.91922;22.220163
"Perna viridis";-82.68608;27.710653
"Perna viridis";110.44849;-7.340195
"Perna viridis";-82.614453;27.846916
"Perna viridis";104.001958;1.384263
"Perna viridis";107.087953;10.326763
"Perna viridis";103.955025;1.3818
"Perna viridis";127.834111;26.497001
"Perna viridis";118.631037;24.868536
"Perna viridis";83.349548;17.748447
"Perna viridis";106.76796;-6.1026
"Perna viridis";109.917534;20.465452
"Perna viridis";139.47957;35.301933
"Perna viridis";75.22586;12.028197
"Perna viridis";100.436728;13.532933
"Perna viridis";139.546089;35.307804
"Perna viridis";139.547221;35.307212
"Perna viridis";119.395167;11.16915
"Perna viridis";119.386281;11.18005
"Perna viridis";98.842513;8.011881
"Perna viridis";113.559879;22.113279
"Perna viridis";98.839057;8.005365
"Perna viridis";73.294032;16.317464
"Perna viridis";139.551534;35.303754
"Perna viridis";-43.113741;-22.906729
"Perna viridis";100.182305;5.449472
"Perna viridis";100.182137;5.449212
"Perna viridis";-47.021523;-24.379053
"Perna viridis";100.241255;5.468672
"Perna viridis";100.239892;5.466997
"Perna viridis";100.063415;13.150531
"Perna viridis";73.861969;15.36987
"Perna viridis";66.824452;24.84488
"Perna viridis";118.173;24.448
"Perna viridis";72.826448;19.097419
"Perna viridis";72.823128;19.086261
"Perna viridis";100.022567;13.361663
"Perna viridis";73.864013;15.36957
"Perna viridis";72.80792;18.982267
"Perna viridis";114.111172;22.225947
"Perna viridis";100.408133;13.49395
"Perna viridis";100.621236;7.178422
"Perna viridis";72.864249;19.150321
"Perna viridis";104.001979;1.384234
"Perna viridis";100.003564;12.844275
"Perna viridis";72.819436;19.054508
"Perna viridis";-48.29821;-25.55216
"Perna viridis";-43.101796;-22.932882
"Perna viridis";114.462764;22.55714
"Perna viridis";100.93238;13.23275
"Perna viridis";104.000908;1.383997
"Perna viridis";103.986849;1.390676
"Perna viridis";106.978067;10.472838
"Perna viridis";106.978072;10.472828
"Perna viridis";106.94818;10.390096
"Perna viridis";118.159078;24.445869
"Perna viridis";-82.816109;28.018276
"Perna viridis";118.156997;24.444478
"Perna viridis";-48.536555;-25.850713
"Perna viridis";-48.536759;-25.849625
"Perna viridis";-48.536526;-25.850176
"Perna viridis";-48.543885;-25.830511
"Perna viridis";-43.136109;-22.901667
"Perna viridis";-81.654924;25.931963
"Perna viridis";-48.535813;-25.848126
"Perna viridis";-48.535305;-25.848046
"Perna viridis";103.921343;1.41253
"Perna viridis";103.89701;1.2943
"Perna viridis";103.692386;1.446305
"Perna viridis";103.91134;1.421501
"Perna viridis";-81.802396;26.099183
"Perna viridis";110.153828;18.578706
"Perna viridis";81.218906;8.616202
"Perna viridis";-43.135272;-22.899505
"Perna viridis";120.056999;14.931925
"Perna viridis";103.926462;1.408087
"Perna viridis";113.935152;22.227974
"Perna viridis";103.521393;10.674094
"Perna viridis";-48.30534;-25.542481
"Perna viridis";110.571303;20.09183
"Perna viridis";73.946858;15.142048
"Perna viridis";72.878686;18.803092
"Perna viridis";72.824714;18.913025
"Perna viridis";72.824972;18.912975
"Perna viridis";-47.057606;-24.435633
"Perna viridis";-81.210504;29.66411
"Perna viridis";72.80568;18.982967
"Perna viridis";115.168797;-8.760453
"Perna viridis";-81.210547;29.664113
"Perna viridis";103.907205;1.398446
"Perna viridis";103.908561;1.421581
"Perna viridis";103.984468;1.392286
"Perna viridis";109.293867;19.725582
"Perna viridis";-82.690972;27.710978
"Perna viridis";107.156226;10.387525
"Perna viridis";104.000994;1.384163
"Perna viridis";80.194882;14.576891
