"species";"lon";"lat"
"Planorbella duryi";17.62788;59.85041
"Planorbella duryi";-0.478463;38.344113
"Planorbella duryi";17.62794;59.85045
"Planorbella duryi";17.62793;59.85047
"Planorbella duryi";0.135341;38.703232
"Planorbella duryi";-84.800877;30.634371
"Planorbella duryi";-6.288778;37.739223
"Planorbella duryi";17.62787;59.85043
"Planorbella duryi";-0.32;39.31
"Planorbella duryi";-0.38;39.45
"Planorbella duryi";-0.37;39.48
"Planorbella duryi";-0.34;39.45
"Planorbella duryi";-3.956172;43.031861
"Planorbella duryi";115.779708;-31.793813
"Planorbella duryi";-16.156838;28.536414
"Planorbella duryi";5.3;51.65
"Planorbella duryi";-7.823065;40.4197
"Planorbella duryi";-8.912022;40.046871
"Planorbella duryi";-114.578985;35.199503
"Planorbella duryi";-16.253818;28.472611
"Planorbella duryi";-16.439047;28.478747
"Planorbella duryi";-16.43905;28.478742
"Planorbella duryi";-2.400568;36.831677
"Planorbella duryi";-2.400562;36.83168
"Planorbella duryi";-157.801795;21.332775
"Planorbella duryi";-68.269204;12.143008
"Planorbella duryi";-68.269058;12.143104
"Planorbella duryi";-68.278;12.2122
"Planorbella duryi";-68.27823;12.210464
"Planorbella duryi";2.036994;41.341142
"Planorbella duryi";2.037017;41.341117
"Planorbella duryi";2.036976;41.34112
"Planorbella duryi";-9.192392;38.643797
"Planorbella duryi";2.709344;39.764587
"Planorbella duryi";-0.175747;39.00121
"Planorbella duryi";-0.731658;38.492163
"Planorbella duryi";-8.15123;37.107643
"Planorbella duryi";-80.969424;24.758674
"Planorbella duryi";31.007499;-29.847834
"Planorbella duryi";-8.643915;41.153447
"Planorbella duryi";2.145535;41.440369
"Planorbella duryi";2.621894;39.708897
"Planorbella duryi";2.619307;39.612419
"Planorbella duryi";98.998058;18.787811
"Planorbella duryi";98.998557;18.786959
"Planorbella duryi";-15.562681;28.106767
"Planorbella duryi";-8.64258;41.153843
"Planorbella duryi";-63.238281;17.628102
"Planorbella duryi";-63.232611;17.628427
"Planorbella duryi";-63.228503;17.627298
"Planorbella duryi";-63.065711;18.09237
"Planorbella duryi";5.85;52
"Planorbella duryi";-8.296613;37.075689
"Planorbella duryi";-8.81478;37.359063
"Planorbella duryi";-63.249247;17.63096
"Planorbella duryi";-63.231147;17.628289
"Planorbella duryi";-63.238024;17.628194
"Planorbella duryi";2.036835;41.341022
"Planorbella duryi";35.094516;32.900713
"Planorbella duryi";37.518654;48.731605
"Planorbella duryi";-0.234792;38.506915
"Planorbella duryi";35.094514;32.900738
"Planorbella duryi";-118.075164;37.880609
"Planorbella duryi";-0.54;38.64
"Planorbella duryi";-75.279534;40.209967
"Planorbella duryi";-0.375887;39.448166
"Planorbella duryi";-63.228292;17.625188
"Planorbella duryi";4.9;52.35
"Planorbella duryi";-111.91915;33.31392
"Planorbella duryi";-111.91918;33.313942
"Planorbella duryi";-111.982635;33.328325
"Planorbella duryi";-111.982918;33.32807
"Planorbella duryi";-112.088989;33.477097
"Planorbella duryi";-2.404169;36.827728
"Planorbella duryi";98.99738;18.797905
"Planorbella duryi";-0.31;39.34
"Planorbella duryi";4.6;52.35
"Planorbella duryi";-118.37025;34.00889
"Planorbella duryi";55.32225;-21.04448
"Planorbella duryi";-114.728485;36.726018
"Planorbella duryi";1.279144;41.203186
"Planorbella duryi";-0.351648;39.229062
"Planorbella duryi";55.32225;-21.04448
"Planorbella duryi";-117.006085;32.855955
"Planorbella duryi";30.807722;-17.893444
"Planorbella duryi";2.242368;41.475513
"Planorbella duryi";55.64198;-21.30627
"Planorbella duryi";-61.73495;17.074317
"Planorbella duryi";-61.73;17.07
"Planorbella duryi";-114.1699;34.351143
"Planorbella duryi";-117.799835;34.082312
"Planorbella duryi";-118.444252;34.074247
"Planorbella duryi";-4.291484;55.879737
"Planorbella duryi";2.528749;41.571917
"Planorbella duryi";-3.660282;40.422963
"Planorbella duryi";-106.6;35.21
"Planorbella duryi";-4.414159;36.720614
"Planorbella duryi";55.64931;-21.09184
"Planorbella duryi";-81.37081;25.98272
"Planorbella duryi";-81.5511;28.6328
"Planorbella duryi";-81.4972;28.7572
"Planorbella duryi";-80.3786;26.125
"Planorbella duryi";-81.6853;26.1542
"Planorbella duryi";-80.37383;25.1725
"Planorbella duryi";-83.5333;31.45814
"Planorbella duryi";-3.660303;40.422751
"Planorbella duryi";0.07;40.1
"Planorbella duryi";-38.465472;-13.00575
"Planorbella duryi";2.173403;41.385064
"Planorbella duryi";-4.290922;55.879703
"Planorbella duryi";-35.209417;-6.270806
"Planorbella duryi";2.709138;39.764321
"Planorbella duryi";-88.812477;30.498543
"Planorbella duryi";-0.259731;39.129662
"Planorbella duryi";-0.754241;41.605985
"Planorbella duryi";2.71137;39.757682
"Planorbella duryi";-0.183978;38.997041
"Planorbella duryi";2.4892;41.6934
"Planorbella duryi";-0.18;38.99
"Planorbella duryi";2.488591;41.69481
"Planorbella duryi";2.714238;39.765826
"Planorbella duryi";-8.910887;39.427676
"Planorbella duryi";-0.755655;41.605653
"Planorbella duryi";-8.801758;39.560898
"Planorbella duryi";-82.0048;28.6498
"Planorbella duryi";-8.913345;39.405411
"Planorbella duryi";4.29462;44.43436
"Planorbella duryi";-82.3036;28.8078
"Planorbella duryi";-80.7022;28.6435
"Planorbella duryi";26.6305;50.3035
"Planorbella duryi";-80.4927;25.5338
"Planorbella duryi";-81.22;28.863333
"Planorbella duryi";-80.2382;27.3405
"Planorbella duryi";-81.5509;28.6325
"Planorbella duryi";-81.6144;30.1102
"Planorbella duryi";-81.65583;30.33194
"Planorbella duryi";13.06;47.79
"Planorbella duryi";-36.872694;-4.178111
