"species";"lon";"lat"
"Pomacea canaliculata";134.101705;34.254345
"Pomacea canaliculata";120.273329;23.594868
"Pomacea canaliculata";120.352433;23.733992
"Pomacea canaliculata";120.352597;23.732887
"Pomacea canaliculata";-57.721617;-37.938303
"Pomacea canaliculata";120.308546;22.692485
"Pomacea canaliculata";-70.602758;-33.40629
"Pomacea canaliculata";-70.602845;-33.406304
"Pomacea canaliculata";95.425238;5.429604
"Pomacea canaliculata";-62.451858;-38.006621
"Pomacea canaliculata";-62.464908;-38.022658
"Pomacea canaliculata";120.396861;23.674437
"Pomacea canaliculata";-117.089455;32.917205
"Pomacea canaliculata";121.42056;28.65611
"Pomacea canaliculata";-41.138103;-9.417187
"Pomacea canaliculata";-158.021998;21.3647
"Pomacea canaliculata";-41.889042;-22.767323
"Pomacea canaliculata";-58.346334;-34.606093
"Pomacea canaliculata";120.692763;24.073149
"Pomacea canaliculata";121.532091;25.102416
"Pomacea canaliculata";-112.288347;33.523082
"Pomacea canaliculata";105.832601;9.761337
"Pomacea canaliculata";121.58664;24.966955
"Pomacea canaliculata";120.265784;23.820718
"Pomacea canaliculata";120.426888;23.432995
"Pomacea canaliculata";-62.284508;-38.723224
"Pomacea canaliculata";120.447736;23.793047
"Pomacea canaliculata";120.426317;23.531019
"Pomacea canaliculata";114.336312;23.657012
"Pomacea canaliculata";121.501627;24.952961
"Pomacea canaliculata";120.408079;23.781156
"Pomacea canaliculata";120.189608;23.541939
"Pomacea canaliculata";128.221397;35.19121
"Pomacea canaliculata";-41.298423;-21.738541
"Pomacea canaliculata";120.196501;23.685463
"Pomacea canaliculata";120.190321;23.68271
"Pomacea canaliculata";120.434106;23.798756
"Pomacea canaliculata";100.787644;22.033642
"Pomacea canaliculata";100.787669;22.03365
"Pomacea canaliculata";120.289286;23.586078
"Pomacea canaliculata";120.459103;23.669355
"Pomacea canaliculata";120.42164;23.726418
"Pomacea canaliculata";120.309585;23.424313
"Pomacea canaliculata";120.309425;23.424275
"Pomacea canaliculata";120.297903;23.41091
"Pomacea canaliculata";120.421455;23.728615
"Pomacea canaliculata";98.446667;8.653252
"Pomacea canaliculata";120.23299;23.631056
"Pomacea canaliculata";121.705397;24.718553
"Pomacea canaliculata";120.421872;23.725937
"Pomacea canaliculata";121.784903;24.652662
"Pomacea canaliculata";121.734099;24.74347
"Pomacea canaliculata";101.251631;21.93475
"Pomacea canaliculata";55.387974;-21.288295
"Pomacea canaliculata";-68.852806;18.970678
"Pomacea canaliculata";120.401325;23.741228
"Pomacea canaliculata";120.274485;23.649224
"Pomacea canaliculata";-159.469465;22.199964
"Pomacea canaliculata";-111.940217;33.450855
"Pomacea canaliculata";-157.7562;21.405646
"Pomacea canaliculata";120.483756;23.662178
"Pomacea canaliculata";128.454693;35.795992
"Pomacea canaliculata";128.454751;35.796014
"Pomacea canaliculata";120.260318;23.620132
"Pomacea canaliculata";121.705375;24.718378
"Pomacea canaliculata";-116.936301;32.642725
"Pomacea canaliculata";139.451431;35.547703
"Pomacea canaliculata";-117.086228;32.918983
"Pomacea canaliculata";120.559075;23.875818
"Pomacea canaliculata";120.559118;23.875793
"Pomacea canaliculata";113.022353;23.111478
"Pomacea canaliculata";113.02275;23.112142
"Pomacea canaliculata";-58.343713;-32.166667
"Pomacea canaliculata";120.406244;23.616283
"Pomacea canaliculata";-80.448283;27.269771
"Pomacea canaliculata";120.926542;24.772262
"Pomacea canaliculata";121.514647;25.178147
"Pomacea canaliculata";-80.448005;27.269792
"Pomacea canaliculata";121.705362;24.718145
"Pomacea canaliculata";120.264547;23.632911
"Pomacea canaliculata";113.562692;22.151258
"Pomacea canaliculata";-159.49852;22.201067
"Pomacea canaliculata";121.57037;25.029018
"Pomacea canaliculata";120.350889;22.653192
"Pomacea canaliculata";-62.501778;-36.759031
"Pomacea canaliculata";121.156461;24.704311
"Pomacea canaliculata";-64.262647;-31.36544
"Pomacea canaliculata";121.533832;25.174082
"Pomacea canaliculata";-69.662771;18.755966
"Pomacea canaliculata";120.558922;24.214012
"Pomacea canaliculata";-117.039719;32.790394
"Pomacea canaliculata";120.307622;22.691661
"Pomacea canaliculata";120.306433;22.691708
"Pomacea canaliculata";-64.260234;-32.177653
"Pomacea canaliculata";121.526535;22.036955
"Pomacea canaliculata";-111.673559;33.523794
"Pomacea canaliculata";121.536827;22.08038
"Pomacea canaliculata";-62.139248;-37.171161
"Pomacea canaliculata";120.691503;24.032881
"Pomacea canaliculata";121.093117;24.762505
"Pomacea canaliculata";121.700988;24.71687
"Pomacea canaliculata";120.365594;23.213565
"Pomacea canaliculata";120.43281;23.50646
"Pomacea canaliculata";-116.931033;32.646668
"Pomacea canaliculata";127.926474;35.686519
"Pomacea canaliculata";127.925804;35.685454
"Pomacea canaliculata";121.70562;24.718155
"Pomacea canaliculata";120.667862;23.988512
"Pomacea canaliculata";102.805206;16.458794
"Pomacea canaliculata";121.713378;24.729763
"Pomacea canaliculata";121.353683;29.971872
"Pomacea canaliculata";120.401857;23.73134
"Pomacea canaliculata";121.046598;24.80555
"Pomacea canaliculata";121.715592;24.720863
"Pomacea canaliculata";100.681915;13.537117
"Pomacea canaliculata";120.440813;23.693021
"Pomacea canaliculata";121.767911;24.745175
"Pomacea canaliculata";121.751915;24.739891
"Pomacea canaliculata";121.790987;24.627198
"Pomacea canaliculata";100.32107;13.792307
"Pomacea canaliculata";121.50563;25.136581
"Pomacea canaliculata";99.747033;8.717997
"Pomacea canaliculata";99.747033;8.718008
"Pomacea canaliculata";100.904152;13.838787
"Pomacea canaliculata";-91.107758;30.37005
"Pomacea canaliculata";-112.251438;33.610248
"Pomacea canaliculata";125.785041;7.449455
"Pomacea canaliculata";121.087997;24.746889
"Pomacea canaliculata";121.036811;24.795261
"Pomacea canaliculata";120.309193;23.652303
"Pomacea canaliculata";121.037383;24.821858
"Pomacea canaliculata";121.18393;24.77088
"Pomacea canaliculata";-84.177661;30.437199
"Pomacea canaliculata";-91.182817;30.458638
"Pomacea canaliculata";-116.921612;32.633166
"Pomacea canaliculata";100.77527;13.851892
"Pomacea canaliculata";-89.247027;17.577051
"Pomacea canaliculata";120.293053;23.612817
"Pomacea canaliculata";101.53635;12.671369
"Pomacea canaliculata";101.548157;12.648664
"Pomacea canaliculata";101.547298;12.648496
"Pomacea canaliculata";120.267748;23.022796
"Pomacea canaliculata";100.552033;13.807655
"Pomacea canaliculata";121.744775;24.730143
"Pomacea canaliculata";121.580041;25.032212
"Pomacea canaliculata";-47.867267;-15.752511
"Pomacea canaliculata";-159.435988;21.875455
"Pomacea canaliculata";-117.043694;32.788578
"Pomacea canaliculata";121.470419;25.118918
"Pomacea canaliculata";121.808914;24.648206
"Pomacea canaliculata";120.29719;23.574279
"Pomacea canaliculata";121.570376;25.029064
"Pomacea canaliculata";120.69436;24.137896
"Pomacea canaliculata";121.791077;24.627478
"Pomacea canaliculata";-117.009523;33.006539
"Pomacea canaliculata";-159.453858;21.874395
"Pomacea canaliculata";139.314441;35.36882
"Pomacea canaliculata";121.449047;25.086889
"Pomacea canaliculata";120.307666;22.69189
"Pomacea canaliculata";112.951904;28.180059
"Pomacea canaliculata";120.66449;23.772175
"Pomacea canaliculata";121.633319;24.668539
"Pomacea canaliculata";121.093522;24.949288
"Pomacea canaliculata";121.093497;24.949292
"Pomacea canaliculata";-69.63665;18.604429
"Pomacea canaliculata";120.305872;23.565105
"Pomacea canaliculata";120.083413;30.281427
"Pomacea canaliculata";-116.926537;32.631622
"Pomacea canaliculata";120.691253;24.032877
"Pomacea canaliculata";139.761009;36.126335
"Pomacea canaliculata";-111.946992;33.490295
"Pomacea canaliculata";120.160922;23.453792
"Pomacea canaliculata";120.387302;23.676165
"Pomacea canaliculata";-82.24842;29.611083
"Pomacea canaliculata";120.387928;23.675639
"Pomacea canaliculata";133.67758;33.550992
"Pomacea canaliculata";55.393003;-21.291837
"Pomacea canaliculata";-118.370675;34.010108
"Pomacea canaliculata";-118.376458;34.017383
"Pomacea canaliculata";120.626738;24.176728
"Pomacea canaliculata";-156.460969;20.886638
"Pomacea canaliculata";121.571465;25.051224
"Pomacea canaliculata";-117.041244;32.784263
"Pomacea canaliculata";120.801395;23.827676
"Pomacea canaliculata";127.876061;26.68916
"Pomacea canaliculata";121.505439;25.106796
"Pomacea canaliculata";121.709945;24.719852
"Pomacea canaliculata";121.552892;29.848035
"Pomacea canaliculata";121.575009;25.160776
"Pomacea canaliculata";121.383583;24.841527
"Pomacea canaliculata";121.259852;24.96805
"Pomacea canaliculata";-157.898072;21.590862
"Pomacea canaliculata";-157.898055;21.590847
"Pomacea canaliculata";-157.897995;21.590875
"Pomacea canaliculata";-157.897933;21.590855
"Pomacea canaliculata";121.051321;24.944795
"Pomacea canaliculata";120.307878;22.692088
"Pomacea canaliculata";-159.453772;21.874606
"Pomacea canaliculata";-159.453759;21.874602
"Pomacea canaliculata";135.7005;34.735493
"Pomacea canaliculata";135.700378;34.73402
"Pomacea canaliculata";121.688576;24.72929
"Pomacea canaliculata";-38.944769;-6.678573
"Pomacea canaliculata";136.817999;35.213496
"Pomacea canaliculata";121.052654;24.793872
"Pomacea canaliculata";120.36072;23.580022
"Pomacea canaliculata";120.088774;30.275963
"Pomacea canaliculata";102.823014;16.476341
"Pomacea canaliculata";-111.911124;33.494616
"Pomacea canaliculata";-111.696976;33.51525
"Pomacea canaliculata";121.3419;25.016976
"Pomacea canaliculata";-117.092414;32.916517
"Pomacea canaliculata";121.244187;24.919763
"Pomacea canaliculata";121.705375;24.71862
"Pomacea canaliculata";96.749399;4.695135
"Pomacea canaliculata";135.300613;34.38507
"Pomacea canaliculata";120.19802;23.079402
"Pomacea canaliculata";120.197453;23.077347
"Pomacea canaliculata";-61.009428;10.163528
"Pomacea canaliculata";121.564292;25.244611
"Pomacea canaliculata";121.569878;25.035642
"Pomacea canaliculata";-111.934112;33.436676
"Pomacea canaliculata";-111.938104;33.436491
"Pomacea canaliculata";133.973267;34.657883
"Pomacea canaliculata";120.801307;23.828124
"Pomacea canaliculata";121.565899;25.244598
"Pomacea canaliculata";121.703597;24.728642
"Pomacea canaliculata";121.703622;24.72865
"Pomacea canaliculata";121.688382;24.727641
"Pomacea canaliculata";121.68824;24.727528
"Pomacea canaliculata";121.688275;24.727498
"Pomacea canaliculata";121.698737;24.730092
"Pomacea canaliculata";121.72027;24.712203
"Pomacea canaliculata";121.725245;24.716622
"Pomacea canaliculata";121.695228;24.711362
"Pomacea canaliculata";121.730103;24.709647
"Pomacea canaliculata";121.723703;24.716347
"Pomacea canaliculata";120.507736;23.631157
"Pomacea canaliculata";-159.498413;22.20113
"Pomacea canaliculata";-62.764906;-37.176669
"Pomacea canaliculata";120.519455;23.636932
"Pomacea canaliculata";121.724161;24.72326
"Pomacea canaliculata";121.680978;24.720388
"Pomacea canaliculata";121.718236;24.716676
"Pomacea canaliculata";121.705742;24.728725
"Pomacea canaliculata";121.70552;24.728783
"Pomacea canaliculata";121.689095;24.727787
"Pomacea canaliculata";121.703372;24.715819
"Pomacea canaliculata";121.705528;24.723725
"Pomacea canaliculata";121.705483;24.72465
"Pomacea canaliculata";121.722528;24.727004
"Pomacea canaliculata";121.689008;24.728211
"Pomacea canaliculata";121.689065;24.727781
"Pomacea canaliculata";121.430083;25.051322
"Pomacea canaliculata";120.28497;22.65614
"Pomacea canaliculata";121.698563;24.730062
"Pomacea canaliculata";138.42302;34.957325
"Pomacea canaliculata";-117.092086;32.916775
"Pomacea canaliculata";121.691203;24.713136
"Pomacea canaliculata";121.6923;24.721539
"Pomacea canaliculata";121.691857;24.721606
"Pomacea canaliculata";121.688838;24.728695
"Pomacea canaliculata";121.71122;24.733222
"Pomacea canaliculata";121.721902;24.721792
"Pomacea canaliculata";121.713455;24.729725
"Pomacea canaliculata";121.711212;24.733217
"Pomacea canaliculata";121.709438;24.736232
"Pomacea canaliculata";121.709451;24.736247
"Pomacea canaliculata";121.711353;24.73727
"Pomacea canaliculata";120.621357;23.808389
"Pomacea canaliculata";121.112172;24.816707
"Pomacea canaliculata";121.12874;24.791736
"Pomacea canaliculata";-118.37078;34.010075
"Pomacea canaliculata";115.572844;-8.511268
"Pomacea canaliculata";115.572176;-8.51185
"Pomacea canaliculata";-117.099725;32.913978
"Pomacea canaliculata";-82.722862;27.806778
"Pomacea canaliculata";-117.041515;32.784325
"Pomacea canaliculata";-117.041381;32.784305
"Pomacea canaliculata";-117.039221;32.786496
"Pomacea canaliculata";121.206725;23.069072
"Pomacea canaliculata";120.560304;23.453936
"Pomacea canaliculata";135.908295;34.976397
"Pomacea canaliculata";120.256441;23.638647
"Pomacea canaliculata";128.493073;35.793278
"Pomacea canaliculata";120.44839;23.494869
"Pomacea canaliculata";-46.731145;-23.56626
"Pomacea canaliculata";121.567138;25.290828
"Pomacea canaliculata";121.568917;25.273225
"Pomacea canaliculata";121.610392;25.212706
"Pomacea canaliculata";121.945979;25.016876
"Pomacea canaliculata";121.370355;23.414685
"Pomacea canaliculata";121.370352;23.414682
"Pomacea canaliculata";121.402176;23.45571
"Pomacea canaliculata";121.402192;23.455714
"Pomacea canaliculata";121.24079;23.158844
"Pomacea canaliculata";121.24362;23.15672
"Pomacea canaliculata";121.243619;23.156732
"Pomacea canaliculata";121.279918;23.171215
"Pomacea canaliculata";121.27991;23.171215
"Pomacea canaliculata";121.282086;23.173429
"Pomacea canaliculata";121.215188;23.146381
"Pomacea canaliculata";121.215465;23.146513
"Pomacea canaliculata";121.26744;23.149538
