"species";"lon";"lat"
"Pomacea insularum";117.956543;-8.788454
"Pomacea insularum";96.923393;20.162556
"Pomacea insularum";0.6327;40.731093
"Pomacea insularum";-81.6853;26.1542
"Pomacea insularum";-81.5511;28.6328
"Pomacea insularum";0.7804;40.6599
"Pomacea insularum";-81.6481;26.7203
"Pomacea insularum";0.62834;40.73162
"Pomacea insularum";122.412372;9.805573
"Pomacea insularum";-81.3595;29.8335
"Pomacea insularum";-95.6473;29.7556
"Pomacea insularum";-94.6326;29.8352
"Pomacea insularum";120.85;15.67
"Pomacea insularum";-56.71;-34.88
"Pomacea insularum";-57.67;-16.83
"Pomacea insularum";-57.7;-16.75
"Pomacea insularum";-57.8;-20.98
"Pomacea insularum";-58.374041;-33.150278
"Pomacea insularum";-56;-33
"Pomacea insularum";-64.7;-15.97
"Pomacea insularum";-35;-57
"Pomacea insularum";-57.97;-25.2
"Pomacea insularum";-58.67;-34.59
"Pomacea insularum";-65.82;-21.73
"Pomacea insularum";-49;-0.17
"Pomacea insularum";-60.218322;-26.870069
"Pomacea insularum";-58.251352;-34.182558
"Pomacea insularum";-59.811403;-30.947297
"Pomacea insularum";-60.521195;-31.751347
"Pomacea insularum";-60.700839;-31.615811
"Pomacea insularum";-60.533239;-31.709053
"Pomacea insularum";-58.52486;-33.012155
"Pomacea insularum";-57.968436;-34.825412
"Pomacea insularum";-58.457544;-34.505858
