"species";"lon";"lat"
"Potamocorbula amurensis";3.95;51.45
"Potamocorbula amurensis";4.31115;51.2568
"Potamocorbula amurensis";4.29926;51.29255
"Potamocorbula amurensis";4.7;52.4
"Potamocorbula amurensis";3.21829;51.35093
"Potamocorbula amurensis";131.902938;43.164445
"Potamocorbula amurensis";131.907304;43.161757
"Potamocorbula amurensis";4.26215;51.33213
"Potamocorbula amurensis";2.98604;51.24574
"Potamocorbula amurensis";4.30589;51.28918
"Potamocorbula amurensis";4.36822;51.29083
"Potamocorbula amurensis";4.28652;51.29241
"Potamocorbula amurensis";-121.796531;38.015949
"Potamocorbula amurensis";4;51.5
"Potamocorbula amurensis";4.25128;51.33934
"Potamocorbula amurensis";4.27554;51.30553
"Potamocorbula amurensis";4.151;51.432
"Potamocorbula amurensis";3.709;51.433
"Potamocorbula amurensis";121.928736;30.864319
"Potamocorbula amurensis";4;51.4
"Potamocorbula amurensis";4.31548;51.25694
"Potamocorbula amurensis";4.28145;51.30751
"Potamocorbula amurensis";4.2814;51.30978
"Potamocorbula amurensis";131.905653;43.160781
"Potamocorbula amurensis";121.919749;30.947386
"Potamocorbula amurensis";-122.116736;37.50662
"Potamocorbula amurensis";-122.116486;37.506788
"Potamocorbula amurensis";-122.33397;37.587938
"Potamocorbula amurensis";4.3269;51.28178
"Potamocorbula amurensis";4.24424;51.36037
"Potamocorbula amurensis";4.24544;51.35297
"Potamocorbula amurensis";4.26561;51.34134
"Potamocorbula amurensis";4.27437;51.34761
"Potamocorbula amurensis";4.27346;51.31144
"Potamocorbula amurensis";4.28737;51.3031
"Potamocorbula amurensis";4.28712;51.30284
"Potamocorbula amurensis";-122.183878;38.048509
"Potamocorbula amurensis";-122.183304;38.047664
"Potamocorbula amurensis";4.28396;51.29651
"Potamocorbula amurensis";4.26591;51.3373
"Potamocorbula amurensis";4.22558;51.36949
"Potamocorbula amurensis";131.95157;43.218187
"Potamocorbula amurensis";-122.183066;38.047428
"Potamocorbula amurensis";-122.316162;38.011506
"Potamocorbula amurensis";117.71071;39.00254
"Potamocorbula amurensis";4.3717;51.29016
"Potamocorbula amurensis";-122.593861;38.227691
"Potamocorbula amurensis";4.30228;51.2662
"Potamocorbula amurensis";4.30115;51.26815
"Potamocorbula amurensis";4.27106;51.30846
"Potamocorbula amurensis";4.27942;51.30053
"Potamocorbula amurensis";4.25645;51.35094
"Potamocorbula amurensis";4.2674;51.34307
"Potamocorbula amurensis";4.23255;51.36059
"Potamocorbula amurensis";3.35;51.35
"Potamocorbula amurensis";4.25729;51.33308
"Potamocorbula amurensis";4.25213;51.34106
"Potamocorbula amurensis";4.163;51.328
"Potamocorbula amurensis";126.738083;36.003306
"Potamocorbula amurensis";126.725944;35.997194
"Potamocorbula amurensis";4.26688;51.31271
"Potamocorbula amurensis";4.25493;51.33437
"Potamocorbula amurensis";131.506124;43.007581
"Potamocorbula amurensis";131.760555;43.175752
"Potamocorbula amurensis";4.2456;51.35992
"Potamocorbula amurensis";4.24561;51.35989
"Potamocorbula amurensis";4.24083;51.36167
"Potamocorbula amurensis";4.23972;51.36167
"Potamocorbula amurensis";-122.183816;38.048491
"Potamocorbula amurensis";-122.464081;38.002739
"Potamocorbula amurensis";3.22968;51.34488
"Potamocorbula amurensis";3.23011;51.34552
"Potamocorbula amurensis";4.2423;51.27506
"Potamocorbula amurensis";4.30015;51.2669
"Potamocorbula amurensis";4.32838;51.28095
"Potamocorbula amurensis";4.32368;51.27931
"Potamocorbula amurensis";4.25477;51.28442
"Potamocorbula amurensis";4.1;51.35
"Potamocorbula amurensis";-122.261779;37.578956
"Potamocorbula amurensis";-122.340202;37.91766
"Potamocorbula amurensis";4.26237;51.35968
"Potamocorbula amurensis";-122.248698;37.563677
"Potamocorbula amurensis";4.2;51.4
"Potamocorbula amurensis";-122.230936;38.065956
"Potamocorbula amurensis";4.25499;51.33459
"Potamocorbula amurensis";4.2549;51.33448
"Potamocorbula amurensis";4.265;51.31778
"Potamocorbula amurensis";4.2801;51.32098
"Potamocorbula amurensis";4.31004;51.29067
"Potamocorbula amurensis";4.27689;51.3135
"Potamocorbula amurensis";4.25833;51.34667
"Potamocorbula amurensis";4.27907;51.30294
"Potamocorbula amurensis";4.26445;51.33522
"Potamocorbula amurensis";-122.127556;37.497711
"Potamocorbula amurensis";-122.127786;37.499504
"Potamocorbula amurensis";4.26093;51.33389
"Potamocorbula amurensis";140.101419;35.314165
"Potamocorbula amurensis";4.25914;51.33429
"Potamocorbula amurensis";4.26918;51.3751
"Potamocorbula amurensis";4.22143;51.37182
"Potamocorbula amurensis";4.39259;51.22444
"Potamocorbula amurensis";4.4;51.2
"Potamocorbula amurensis";4.41805;51.24115
"Potamocorbula amurensis";4.2;51.35
"Potamocorbula amurensis";4.24463;51.34188
"Potamocorbula amurensis";4.28342;51.2961
"Potamocorbula amurensis";4.27997;51.33085
"Potamocorbula amurensis";4.29109;51.30241
"Potamocorbula amurensis";4.28047;51.32953
"Potamocorbula amurensis";4.3;51.2
"Potamocorbula amurensis";4.28143;51.33118
"Potamocorbula amurensis";4.29799;51.2971
"Potamocorbula amurensis";4.30722;51.29417
"Potamocorbula amurensis";4.30556;51.26167
"Potamocorbula amurensis";4.24;51.36195
"Potamocorbula amurensis";-122.093013;37.453165
"Potamocorbula amurensis";-122.484436;37.9458
"Potamocorbula amurensis";-122.3245;37.802192
"Potamocorbula amurensis";4.31952;51.28293
"Potamocorbula amurensis";-122.105749;37.459163
"Potamocorbula amurensis";-122.315096;37.862441
"Potamocorbula amurensis";128.516108;38.335839
"Potamocorbula amurensis";-122.39;37.849
"Potamocorbula amurensis";130.79334;42.645039
"Potamocorbula amurensis";113.683;29.9667
"Potamocorbula amurensis";126.592806;37.505972
"Potamocorbula amurensis";126.756444;37.026833
"Potamocorbula amurensis";142.345278;45.123333
"Potamocorbula amurensis";-122.46168;38.0025
"Potamocorbula amurensis";-122.29277;38.02306
"Potamocorbula amurensis";-122.26672;38.10508
"Potamocorbula amurensis";-122.27165;38.03938
"Potamocorbula amurensis";-122.38705;37.9212
"Potamocorbula amurensis";-122.22987;38.06612
"Potamocorbula amurensis";-122.43497;37.86798
"Potamocorbula amurensis";-122.50257;38.11573
"Potamocorbula amurensis";-122.63535;38.23443
"Potamocorbula amurensis";-122.26949;38.10147
"Potamocorbula amurensis";-122.43262;38.04456
"Potamocorbula amurensis";128.808144;35.541058
"Potamocorbula amurensis";128.656019;35.58306
"Potamocorbula amurensis";-122.31657;37.82662
"Potamocorbula amurensis";-122.45564;37.99615
"Potamocorbula amurensis";-122.47678;37.90619
"Potamocorbula amurensis";-122.43262;38.04456
"Potamocorbula amurensis";-122.31189;38.21977
"Potamocorbula amurensis";-122.41846;37.96429
"Potamocorbula amurensis";140.19813;35.813682
"Potamocorbula amurensis";-122.50258;38.11562
"Potamocorbula amurensis";-122.63822;38.2355
"Potamocorbula amurensis";-122.503283;38.116217
"Potamocorbula amurensis";-122.421;37.96555
"Potamocorbula amurensis";-122.36153;38.00582
"Potamocorbula amurensis";-122.34925;38.01825
"Potamocorbula amurensis";-122.27307;38.04617
"Potamocorbula amurensis";140.241857;35.778485
"Potamocorbula amurensis";-122.28391;37.60713
"Potamocorbula amurensis";-122.29;37.60683
"Potamocorbula amurensis";-122.42733;38.05067
"Potamocorbula amurensis";-122.374;38.063
"Potamocorbula amurensis";-122.28983;38.04833
"Potamocorbula amurensis";-122.31633;38.06566
"Potamocorbula amurensis";-122.34257;37.85772
"Potamocorbula amurensis";-122.24815;37.57975
"Potamocorbula amurensis";-122.34417;38.08733
"Potamocorbula amurensis";-121.8428;38.04172
"Potamocorbula amurensis";-121.8875;38.04712
"Potamocorbula amurensis";-121.8644;38.05805
"Potamocorbula amurensis";-121.9331;38.06721
"Potamocorbula amurensis";-122.0528;38.13348
"Potamocorbula amurensis";-122.0326;38.10598
"Potamocorbula amurensis";-122.0451;38.05655
"Potamocorbula amurensis";-121.9645;38.06552
"Potamocorbula amurensis";-122.1095;38.06242
"Potamocorbula amurensis";-122.1275;38.03838
"Potamocorbula amurensis";-121.9779;38.05717
"Potamocorbula amurensis";-122.0689;38.1478
"Potamocorbula amurensis";-122.0591;38.14717
"Potamocorbula amurensis";-122.0675;38.12133
"Potamocorbula amurensis";-122.1891;38.0645
"Potamocorbula amurensis";-122.2783;38.11333
"Potamocorbula amurensis";-122.2491;38.07033
"Potamocorbula amurensis";-122.2747;38.1375
"Potamocorbula amurensis";-122.387;38.04483
"Potamocorbula amurensis";-122.3161;38.07617
"Potamocorbula amurensis";-122.533;38.14767
"Potamocorbula amurensis";-122.4531;38.10167
"Potamocorbula amurensis";-122.3718;37.92178
"Potamocorbula amurensis";-122.3383;37.77645
"Potamocorbula amurensis";-122.3003;37.7761
"Potamocorbula amurensis";-122.3743;37.71772
"Potamocorbula amurensis";-122.0115;37.46665
"Potamocorbula amurensis";-122.4235;38.046
"Potamocorbula amurensis";-122.32483;38.0655
"Potamocorbula amurensis";-122.30567;38.0585
"Potamocorbula amurensis";-122.3445;38.0255
"Potamocorbula amurensis";-122.43617;38.01617
"Potamocorbula amurensis";-122.3655;38.06567
"Potamocorbula amurensis";-122.35957;37.6364
"Potamocorbula amurensis";-122.3465;37.02417
"Potamocorbula amurensis";-122.28686;37.72896
"Potamocorbula amurensis";-121.8331;38.03788
"Potamocorbula amurensis";-121.9242;38.06375
"Potamocorbula amurensis";-122.0202;37.4515
"Potamocorbula amurensis";140.127783;35.327136
"Potamocorbula amurensis";140.2;35.5
"Potamocorbula amurensis";-122.46457;37.95856
"Potamocorbula amurensis";-122.38843;37.85951
"Potamocorbula amurensis";139.401461;35.685081
"Potamocorbula amurensis";139.410365;35.683623
"Potamocorbula amurensis";-122.2;38
"Potamocorbula amurensis";-122.34;37.744
"Potamocorbula amurensis";-122.055;38.101389
"Potamocorbula amurensis";-122.072;38.078
"Potamocorbula amurensis";-122.03;38.07
"Potamocorbula amurensis";-122.39;38.06
"Potamocorbula amurensis";-122.185;37.536667
"Potamocorbula amurensis";-122.072267;38.07855
"Potamocorbula amurensis";-122.386322;38.061067
"Potamocorbula amurensis";-122.038833;38.116167
"Potamocorbula amurensis";-122.353333;37.873833
"Potamocorbula amurensis";-122.081667;37.463333
"Potamocorbula amurensis";143.30823;42.29725
"Potamocorbula amurensis";135.31694;34.4062
"Potamocorbula amurensis";132;43.25
"Potamocorbula amurensis";-122.401373;37.956335
"Potamocorbula amurensis";131.9;42.766667
"Potamocorbula amurensis";-122.416667;37.766667
"Potamocorbula amurensis";138;36
"Potamocorbula amurensis";-122.140278;38.031667
"Potamocorbula amurensis";141.083333;52.95
"Potamocorbula amurensis";139.405596;35.685162
"Potamocorbula amurensis";140.83;51.45
"Potamocorbula amurensis";4.209722;51.401667
"Potamocorbula amurensis";126.46078;37.58978
"Potamocorbula amurensis";159;58.416668
"Potamocorbula amurensis";142.006393;47.66861
