"species";"lon";"lat"
"Procambarus virginalis";6.1;51.4
"Procambarus virginalis";13.04846;52.41848
"Procambarus virginalis";16.533687;48.201816
"Procambarus virginalis";16.533665;48.201806
"Procambarus virginalis";16.540511;48.189764
"Procambarus virginalis";5.8;51.75
"Procambarus virginalis";4.43138;51.19603
"Procambarus virginalis";13.34177;52.482821
"Procambarus virginalis";5.05;53.3
"Procambarus virginalis";5.75;51.75
"Procambarus virginalis";5.4;51.4
"Procambarus virginalis";4.46278;51.19653
"Procambarus virginalis";4.49382;51.36893
"Procambarus virginalis";37.784044;44.686227
"Procambarus virginalis";8.73215;49.900917
"Procambarus virginalis";8.463633;50.005983
"Procambarus virginalis";6.8;53.05
"Procambarus virginalis";5.5;51.4
"Procambarus virginalis";8.463752;49.078787
"Procambarus virginalis";5.4;51.35
"Procambarus virginalis";13.341041;52.482998
"Procambarus virginalis";4.72732;50.8938
"Procambarus virginalis";4.71876;50.89396
"Procambarus virginalis";4.71911;50.89394
"Procambarus virginalis";12.247204;51.317543
"Procambarus virginalis";12.217623;49.337704
"Procambarus virginalis";5.95;50.9
"Procambarus virginalis";5.45;51.4
"Procambarus virginalis";4.45;51.9
"Procambarus virginalis";4.723;50.89234
"Procambarus virginalis";4.72338;50.89255
"Procambarus virginalis";4.72339;50.89255
"Procambarus virginalis";4.7188;50.89392
"Procambarus virginalis";4.72198;50.89264
"Procambarus virginalis";4.36714;51.16536
"Procambarus virginalis";4.36591;51.16656
"Procambarus virginalis";4.36774;51.16539
"Procambarus virginalis";4.36825;51.16556
"Procambarus virginalis";4.36932;51.16565
"Procambarus virginalis";4.24604;51.02248
"Procambarus virginalis";4.46036;51.17159
"Procambarus virginalis";12.026903;51.474137
"Procambarus virginalis";13.340529;52.482522
"Procambarus virginalis";16.437879;48.213841
"Procambarus virginalis";3.55;51.55
"Procambarus virginalis";13.307398;52.474118
"Procambarus virginalis";4.72145;50.89348
"Procambarus virginalis";4.72129;50.8926
"Procambarus virginalis";4.72082;50.89289
"Procambarus virginalis";4.72118;50.8927
"Procambarus virginalis";4.72138;50.89243
"Procambarus virginalis";4.72077;50.89286
"Procambarus virginalis";4.72088;50.89292
"Procambarus virginalis";4.72209;50.89301
"Procambarus virginalis";4.7208;50.89279
"Procambarus virginalis";4.7212;50.89268
"Procambarus virginalis";4.72303;50.89243
"Procambarus virginalis";4.72229;50.89228
"Procambarus virginalis";4.72246;50.89214
"Procambarus virginalis";4.72676;50.8948
"Procambarus virginalis";129.080111;35.026346
"Procambarus virginalis";129.085347;35.022198
"Procambarus virginalis";129.042126;35.191735
"Procambarus virginalis";129.028501;35.099737
"Procambarus virginalis";129.129341;35.117894
"Procambarus virginalis";129.048034;35.106126
"Procambarus virginalis";129.052055;35.1073
"Procambarus virginalis";129.169079;35.100538
"Procambarus virginalis";129.002643;35.005349
"Procambarus virginalis";129.181546;35.008985
"Procambarus virginalis";129.15502;35.131876
