"species";"lon";"lat"
"Pseudodiaptomus inopinus";120.42;31.15
"Pseudodiaptomus inopinus";128.811806;37.912716
"Pseudodiaptomus inopinus";128.811658;37.912357
"Pseudodiaptomus inopinus";128.811806;37.911998
"Pseudodiaptomus inopinus";128.812165;37.911849
"Pseudodiaptomus inopinus";128.812524;37.911998
"Pseudodiaptomus inopinus";128.812672;37.912357
"Pseudodiaptomus inopinus";128.811447;37.913075
"Pseudodiaptomus inopinus";128.81115;37.912357
"Pseudodiaptomus inopinus";128.81146;37.911639
"Pseudodiaptomus inopinus";128.812165;37.911355
"Pseudodiaptomus inopinus";128.812883;37.911639
"Pseudodiaptomus inopinus";128.813242;37.91128
"Pseudodiaptomus inopinus";128.812165;37.910835
"Pseudodiaptomus inopinus";128.811101;37.910531
"Pseudodiaptomus inopinus";130.5;33.84
"Pseudodiaptomus inopinus";130.502;33.8472
"Pseudodiaptomus inopinus";130.737667;33.872833
"Pseudodiaptomus inopinus";126.471417;34.519444
"Pseudodiaptomus inopinus";126.471367;34.519497
"Pseudodiaptomus inopinus";126.471286;34.519589
"Pseudodiaptomus inopinus";126.471217;34.519681
"Pseudodiaptomus inopinus";126.471128;34.519767
"Pseudodiaptomus inopinus";126.471064;34.519747
"Pseudodiaptomus inopinus";126.470983;34.519753
"Pseudodiaptomus inopinus";126.470822;34.519686
"Pseudodiaptomus inopinus";-123.81691;46.159724
"Pseudodiaptomus inopinus";127.762245;36.402386
"Pseudodiaptomus inopinus";-124.413128;43.122913
"Pseudodiaptomus inopinus";-124.12533;44.000903
"Pseudodiaptomus inopinus";-123.87598;46.42538
"Pseudodiaptomus inopinus";-123.83461;46.958149
"Pseudodiaptomus inopinus";-124.319916;43.354143
"Pseudodiaptomus inopinus";-124.162674;43.70263
"Pseudodiaptomus inopinus";-124.01789;44.61234
"Pseudodiaptomus inopinus";-123.900719;45.485169
"Pseudodiaptomus inopinus";-123.84681;46.166517
"Pseudodiaptomus inopinus";-123.75127;46.685377
"Pseudodiaptomus inopinus";-123.68133;46.228778
"Pseudodiaptomus inopinus";-123.817;46.2011
"Pseudodiaptomus inopinus";-124.06929;46.269614
"Pseudodiaptomus inopinus";123.83;24.25
"Pseudodiaptomus inopinus";130.33;31.25
"Pseudodiaptomus inopinus";123.5;24.33
"Pseudodiaptomus inopinus";126.477;34.7786
"Pseudodiaptomus inopinus";120.19814;31.21649
"Pseudodiaptomus inopinus";136.916667;9.966667
"Pseudodiaptomus inopinus";136.966667;14.983333
"Pseudodiaptomus inopinus";136.966667;20
"Pseudodiaptomus inopinus";136.983333;24.983333
"Pseudodiaptomus inopinus";137.05;30
"Pseudodiaptomus inopinus";135.25;29.916667
"Pseudodiaptomus inopinus";135.233333;29.466667
"Pseudodiaptomus inopinus";135.3;30.966667
"Pseudodiaptomus inopinus";135.2;30.5
"Pseudodiaptomus inopinus";127.816667;27.783333
"Pseudodiaptomus inopinus";128.25;27.5
"Pseudodiaptomus inopinus";140.233333;34.9
"Pseudodiaptomus inopinus";140.733333;34.633333
"Pseudodiaptomus inopinus";140.9;34.2
"Pseudodiaptomus inopinus";141.233333;33.85
"Pseudodiaptomus inopinus";141.533333;33.5
"Pseudodiaptomus inopinus";127.333333;28.1
"Pseudodiaptomus inopinus";140.583333;34.533333
"Pseudodiaptomus inopinus";140.9;34.166667
"Pseudodiaptomus inopinus";141.266667;33.816667
"Pseudodiaptomus inopinus";141.5;33.533333
"Pseudodiaptomus inopinus";135.216667;29.416667
"Pseudodiaptomus inopinus";136.316667;29.95
"Pseudodiaptomus inopinus";135.316667;32
"Pseudodiaptomus inopinus";136.35;33.333333
"Pseudodiaptomus inopinus";136.35;31.016667
"Pseudodiaptomus inopinus";136.3;30.466667
"Pseudodiaptomus inopinus";128.266667;27.516667
