"species";"lon";"lat"
"Pseudosuccinea columella";-16.894887;32.662378
"Pseudosuccinea columella";138.722933;-34.994169
"Pseudosuccinea columella";149.973188;-36.608625
"Pseudosuccinea columella";17.62788;59.85041
"Pseudosuccinea columella";-81.350937;40.845062
"Pseudosuccinea columella";-90.548505;35.463612
"Pseudosuccinea columella";145.214002;-38.246207
"Pseudosuccinea columella";-8.356298;43.329438
"Pseudosuccinea columella";-73.610009;40.602499
"Pseudosuccinea columella";145.021917;-37.828883
"Pseudosuccinea columella";144.851161;-38.377003
"Pseudosuccinea columella";7.091025;50.724248
"Pseudosuccinea columella";17.62787;59.85043
"Pseudosuccinea columella";145.055022;-37.717097
"Pseudosuccinea columella";174.560975;-36.146917
"Pseudosuccinea columella";174.560975;-36.146908
"Pseudosuccinea columella";174.560975;-36.146919
"Pseudosuccinea columella";-94.370629;36.893124
"Pseudosuccinea columella";134.253914;35.450437
"Pseudosuccinea columella";-81.85312;30.066817
"Pseudosuccinea columella";-46.341287;-23.855156
"Pseudosuccinea columella";-49.232044;-25.447967
"Pseudosuccinea columella";-88.536012;32.410725
"Pseudosuccinea columella";-71.449461;-33.042317
"Pseudosuccinea columella";22.063272;-33.944467
"Pseudosuccinea columella";-75.12263;40.970508
"Pseudosuccinea columella";-99.143461;19.536244
"Pseudosuccinea columella";173.848328;-36.059689
"Pseudosuccinea columella";20.634821;44.869392
"Pseudosuccinea columella";30.195051;-24.724758
"Pseudosuccinea columella";-58.417292;-34.582588
"Pseudosuccinea columella";5.15;52.05
"Pseudosuccinea columella";172.57658;-43.462971
"Pseudosuccinea columella";18.904848;-34.355838
"Pseudosuccinea columella";174.389678;-36.065319
"Pseudosuccinea columella";-99.084627;19.589035
"Pseudosuccinea columella";151.95131;-27.647887
"Pseudosuccinea columella";-17.912202;28.657722
"Pseudosuccinea columella";140.852998;38.271109
"Pseudosuccinea columella";11.97574;57.70555
"Pseudosuccinea columella";-73.998409;40.696416
"Pseudosuccinea columella";-71.572485;42.565489
"Pseudosuccinea columella";173.958306;-39.207655
"Pseudosuccinea columella";175.15451;-37.102341
"Pseudosuccinea columella";-64.510293;-31.312643
"Pseudosuccinea columella";-74.444879;40.481568
"Pseudosuccinea columella";18.808386;-33.811742
"Pseudosuccinea columella";-73.191811;44.35014
"Pseudosuccinea columella";-0.479398;51.565694
"Pseudosuccinea columella";175.301564;-37.663508
"Pseudosuccinea columella";-84.29028;33.781571
"Pseudosuccinea columella";-81.954472;32.883357
"Pseudosuccinea columella";-79.033505;36.167995
"Pseudosuccinea columella";-87.241873;32.66826
"Pseudosuccinea columella";13.20324;55.70476
"Pseudosuccinea columella";146.396951;-38.347298
"Pseudosuccinea columella";121.9238;-33.8435
"Pseudosuccinea columella";174.626853;-36.878507
"Pseudosuccinea columella";174.626853;-36.878497
"Pseudosuccinea columella";174.627059;-36.878472
"Pseudosuccinea columella";140.852989;38.271111
"Pseudosuccinea columella";-74.423321;40.474197
"Pseudosuccinea columella";-87.038888;40.432325
"Pseudosuccinea columella";-71.78042;42.413903
"Pseudosuccinea columella";-122.390244;37.4897
"Pseudosuccinea columella";-83.2;33.15
"Pseudosuccinea columella";-72.826721;43.156281
"Pseudosuccinea columella";-83.477696;41.7039
"Pseudosuccinea columella";175.302917;-40.667725
"Pseudosuccinea columella";174.430795;-36.727676
"Pseudosuccinea columella";55.408401;-21.301094
"Pseudosuccinea columella";-76.001738;41.251665
"Pseudosuccinea columella";4.825582;52.734119
"Pseudosuccinea columella";115.905;-33.0838
"Pseudosuccinea columella";-88.086231;30.569067
"Pseudosuccinea columella";174.043264;-39.088369
"Pseudosuccinea columella";-87.055558;40.454271
"Pseudosuccinea columella";135.43443;34.458996
"Pseudosuccinea columella";146.895839;-36.05907
"Pseudosuccinea columella";-61.54974;16.23067
"Pseudosuccinea columella";174.419616;-36.81026
"Pseudosuccinea columella";145.483445;-38.196525
"Pseudosuccinea columella";150.431952;-33.72685
"Pseudosuccinea columella";145.020875;-38.266495
"Pseudosuccinea columella";-72.3489;44.335499
"Pseudosuccinea columella";151.1138;-33.921092
"Pseudosuccinea columella";-87.895997;30.56062
"Pseudosuccinea columella";-85.47147;37.851444
"Pseudosuccinea columella";-72.634171;43.941471
"Pseudosuccinea columella";-49.528278;-27.13499
"Pseudosuccinea columella";-118.057003;34.035339
"Pseudosuccinea columella";24.851628;-33.79508
"Pseudosuccinea columella";28.290931;-26.194589
"Pseudosuccinea columella";145.738103;-17.022022
"Pseudosuccinea columella";-48.96408;-28.130967
"Pseudosuccinea columella";-106.6;35.216
"Pseudosuccinea columella";-106.598478;35.216431
"Pseudosuccinea columella";-106.6;35.22
"Pseudosuccinea columella";-72.360275;44.347221
"Pseudosuccinea columella";150.544151;-33.604728
"Pseudosuccinea columella";-75.678398;44.964732
"Pseudosuccinea columella";-87.607803;33.391525
"Pseudosuccinea columella";3.27529;43.29514
"Pseudosuccinea columella";-15.7481;27.9828
"Pseudosuccinea columella";-15.7479;27.9822
"Pseudosuccinea columella";-55.7936;-27.4804
"Pseudosuccinea columella";55.32225;-21.04448
"Pseudosuccinea columella";11.97576;57.70557
"Pseudosuccinea columella";-72.605186;43.925388
"Pseudosuccinea columella";-72.329407;44.142479
"Pseudosuccinea columella";11.97576;57.70558
"Pseudosuccinea columella";31.027472;-17.253222
"Pseudosuccinea columella";-114.822666;36.050861
"Pseudosuccinea columella";144.996446;-37.8561
"Pseudosuccinea columella";-55.79;-27.48
"Pseudosuccinea columella";-54.82789;-27.05874
"Pseudosuccinea columella";-54.92301;-27.27153
"Pseudosuccinea columella";151.013651;-33.60487
"Pseudosuccinea columella";151.115829;-33.773612
"Pseudosuccinea columella";11.97606;57.70572
"Pseudosuccinea columella";55.32225;-21.04448
"Pseudosuccinea columella";145.22;-37.92
"Pseudosuccinea columella";-88.0468;41.7714
"Pseudosuccinea columella";-87.7908;42.1443
"Pseudosuccinea columella";-72.611328;44.589748
"Pseudosuccinea columella";152.791396;-26.656486
"Pseudosuccinea columella";28.881552;-16.550521
"Pseudosuccinea columella";152.628922;-26.633578
"Pseudosuccinea columella";-87.41208;30.312326
"Pseudosuccinea columella";-86.154733;43.024015
"Pseudosuccinea columella";115.8369;-33.2888
"Pseudosuccinea columella";-86.039345;43.028083
"Pseudosuccinea columella";-54.92;-27.27
"Pseudosuccinea columella";-54.83;-27.06
"Pseudosuccinea columella";-55.06;-26.92
"Pseudosuccinea columella";-55.19574;-27.48063
"Pseudosuccinea columella";11.9522;57.6831
"Pseudosuccinea columella";6.37546;43.37374
"Pseudosuccinea columella";-76.5546;38.8877
"Pseudosuccinea columella";-76.55;38.89
"Pseudosuccinea columella";-71.72089;42.422752
"Pseudosuccinea columella";150.08299;-33.5252
"Pseudosuccinea columella";-60.391941;46.648293
"Pseudosuccinea columella";0.27878;44.37141
"Pseudosuccinea columella";175.420567;-37.892147
"Pseudosuccinea columella";55.64198;-21.30627
"Pseudosuccinea columella";137.46935;36.767387
"Pseudosuccinea columella";55.42158;-21.23361
"Pseudosuccinea columella";-61.819883;17.062083
"Pseudosuccinea columella";-61.858617;17.082383
"Pseudosuccinea columella";-61.807317;17.115783
"Pseudosuccinea columella";-75.671953;45.057255
"Pseudosuccinea columella";-55.2;-27.48
"Pseudosuccinea columella";-55.88;-27.42
"Pseudosuccinea columella";-54.4004;-27.04649
"Pseudosuccinea columella";-117.799835;34.082312
"Pseudosuccinea columella";-76.5535;38.8882
"Pseudosuccinea columella";-118.116708;34.142224
"Pseudosuccinea columella";-106.596;35.2144
"Pseudosuccinea columella";-106.6;35.21
"Pseudosuccinea columella";-119.16721;34.451005
"Pseudosuccinea columella";-118.090733;34.094749
"Pseudosuccinea columella";-118.09695;34.177512
"Pseudosuccinea columella";165.445867;-21.386212
"Pseudosuccinea columella";165.445508;-21.386282
"Pseudosuccinea columella";-72.73;40.91
"Pseudosuccinea columella";-72.73;40.91
"Pseudosuccinea columella";-54.4;-27.05
"Pseudosuccinea columella";-121.734197;56.121978
"Pseudosuccinea columella";-121.451461;56.208369
"Pseudosuccinea columella";-121.201492;56.275219
"Pseudosuccinea columella";-121.646528;56.134583
"Pseudosuccinea columella";147.32274;-42.881918
"Pseudosuccinea columella";-81.5511;28.6328
"Pseudosuccinea columella";152.01152;-30.7421
"Pseudosuccinea columella";151.85805;-30.66388
"Pseudosuccinea columella";152.15361;-30.80222
"Pseudosuccinea columella";151.86638;-31.09138
"Pseudosuccinea columella";-62.1833;16.8083
"Pseudosuccinea columella";-88.91557;38.18657
"Pseudosuccinea columella";-88.9945;38.1829
"Pseudosuccinea columella";136.093623;35.659456
"Pseudosuccinea columella";-89.80252;37.97865
"Pseudosuccinea columella";-90.14792;38.19783
"Pseudosuccinea columella";-88.36443;37.7143
"Pseudosuccinea columella";-88.36427;37.71715
"Pseudosuccinea columella";-88.92854;38.10296
"Pseudosuccinea columella";-89.195313;41.703613
"Pseudosuccinea columella";-88.36328;37.71404
"Pseudosuccinea columella";-89.8097;37.9919
"Pseudosuccinea columella";-90.13694;38.19826
"Pseudosuccinea columella";-90.34497;41.47979
"Pseudosuccinea columella";-124.7365;49.3459
"Pseudosuccinea columella";-82.646799;30.183207
"Pseudosuccinea columella";-87.80796;42.49102
"Pseudosuccinea columella";-87.89976;42.47944
"Pseudosuccinea columella";-88.10143;42.17242
"Pseudosuccinea columella";-8.53;42.36
"Pseudosuccinea columella";-88.41348;42.09413
"Pseudosuccinea columella";-94.89583;47.81957
"Pseudosuccinea columella";-94.94865;47.8034
"Pseudosuccinea columella";175.805208;-40.916862
"Pseudosuccinea columella";0.49972;44.39194
"Pseudosuccinea columella";0.53389;44.39083
"Pseudosuccinea columella";1.05788;46.30777
"Pseudosuccinea columella";0.89123;46.08987
"Pseudosuccinea columella";1.1279;46.29082
"Pseudosuccinea columella";19.255;-33.837
"Pseudosuccinea columella";-98.380479;40.823061
"Pseudosuccinea columella";-119.786124;36.865912
"Pseudosuccinea columella";-94.90299;47.84571
"Pseudosuccinea columella";-88.78988;37.65225
"Pseudosuccinea columella";-88.9012;37.65599
"Pseudosuccinea columella";-88.80036;37.56723
"Pseudosuccinea columella";-88.62963;37.61042
"Pseudosuccinea columella";-88.51841;37.63157
"Pseudosuccinea columella";175.783395;-36.596275
"Pseudosuccinea columella";-87.613936;41.86645
"Pseudosuccinea columella";-118.4319;33.9683
"Pseudosuccinea columella";144.12764;-37.89853
"Pseudosuccinea columella";147.2033;-36.4393
"Pseudosuccinea columella";173.310434;-41.63927
"Pseudosuccinea columella";145.550845;-16.898599
"Pseudosuccinea columella";-61.23;10.58
"Pseudosuccinea columella";-85.9593;33.4885
