"species";"lon";"lat"
"Radix rubiginosa";5.15;52.05
"Radix rubiginosa";103.653091;-1.703021
"Radix rubiginosa";4.32998;50.92451
"Radix rubiginosa";115.169228;-8.70444
"Radix rubiginosa";115.26452;-8.511596
"Radix rubiginosa";-1.615538;53.250245
"Radix rubiginosa";115.257874;-8.451717
"Radix rubiginosa";108.218381;-7.209355
"Radix rubiginosa";-0.542441;51.847062
"Radix rubiginosa";108.190856;-7.360742
"Radix rubiginosa";4.33005;50.92491
"Radix rubiginosa";110.535254;-7.853957
"Radix rubiginosa";100.21486;5.349722
"Radix rubiginosa";4.68993;50.87832
"Radix rubiginosa";110.321269;-7.614031
"Radix rubiginosa";110.289001;-7.644977
"Radix rubiginosa";110.11741;-7.766554
"Radix rubiginosa";110.306323;-7.734216
"Radix rubiginosa";110.415643;-7.615943
"Radix rubiginosa";110.58859;-7.852484
"Radix rubiginosa";110.583305;-7.866138
"Radix rubiginosa";110.127214;-7.617075
"Radix rubiginosa";110.544587;-7.894479
"Radix rubiginosa";106.720515;-6.351134
"Radix rubiginosa";4.68992;50.8783
"Radix rubiginosa";110.415186;-7.616063
"Radix rubiginosa";110.415102;-7.624972
"Radix rubiginosa";99.059922;18.773513
"Radix rubiginosa";115.261667;-8.683333
"Radix rubiginosa";110.41783;-7.62889
"Radix rubiginosa";-0.292827;51.479074
"Radix rubiginosa";-4.291484;55.879737
"Radix rubiginosa";103.81026;1.352825
"Radix rubiginosa";106.722;22.855
"Radix rubiginosa";106.826;-6.3625
"Radix rubiginosa";100.3584;-0.9753
"Radix rubiginosa";100.601;-1.1824
"Radix rubiginosa";104.83;15.42
"Radix rubiginosa";102.64;18.58
"Radix rubiginosa";102.42;16.78
"Radix rubiginosa";101.92;14.5
"Radix rubiginosa";102.12;14.98
"Radix rubiginosa";102.85;16.43
"Radix rubiginosa";101.92;14.5
"Radix rubiginosa";102.3;15.1083
"Radix rubiginosa";102.83;16.35
"Radix rubiginosa";102.05;12.5
"Radix rubiginosa";105.92;9.87
"Radix rubiginosa";100.22775;19.82064
"Radix rubiginosa";99.88843;16.46862
"Radix rubiginosa";107.4881;-7.0891
"Radix rubiginosa";105;13
"Radix rubiginosa";119.98;-1.93
"Radix rubiginosa";103.1;18.67
"Radix rubiginosa";77;20
"Radix rubiginosa";110;-7.5
"Radix rubiginosa";80.28;13.08
"Radix rubiginosa";113.965385;0.15592
"Radix rubiginosa";88;24
"Radix rubiginosa";105;13
"Radix rubiginosa";120.0809;-1.3187
"Radix rubiginosa";113.0777;-7.2224
"Radix rubiginosa";99.26667;1.61667
"Radix rubiginosa";106.82944;-6.17444
"Radix rubiginosa";110;-7.4
"Radix rubiginosa";120.08247;-3.8183
"Radix rubiginosa";118.9872;-3.5401
"Radix rubiginosa";106.82944;-6.17444
"Radix rubiginosa";114.73;-3.8
