"species";"lon";"lat"
"Styela clava";-5.952227;54.969253
"Styela clava";-117.174488;32.72612
"Styela clava";-3.921018;48.691493
"Styela clava";-70.144415;43.774124
"Styela clava";-0.195975;50.826742
"Styela clava";-0.19616;50.826094
"Styela clava";-117.882094;33.599367
"Styela clava";-117.242626;32.780549
"Styela clava";174.853612;-41.071257
"Styela clava";3.95;51.5
"Styela clava";-122.317225;37.591419
"Styela clava";-5.672831;54.665472
"Styela clava";-3.982472;48.731725
"Styela clava";-2.094011;49.169313
"Styela clava";-2.015892;49.203452
"Styela clava";-5.894241;54.67249
"Styela clava";-5.897363;54.664161
"Styela clava";-117.246803;32.761899
"Styela clava";11.39813;58.31347
"Styela clava";11.39948;58.40257
"Styela clava";-69.987601;43.749417
"Styela clava";-73.543577;41.035709
"Styela clava";-117.246648;32.761535
"Styela clava";-71.579863;41.19468
"Styela clava";-9.822067;52.27448
"Styela clava";3.20018;51.33023
"Styela clava";-5.67281;54.6655
"Styela clava";-70.751321;41.868339
"Styela clava";-117.246646;32.760914
"Styela clava";-70.655191;42.596852
"Styela clava";-10.290689;51.912885
"Styela clava";-117.207358;32.72477
"Styela clava";4;51.55
"Styela clava";5.35;53.35
"Styela clava";-117.235098;32.766775
"Styela clava";-4.27107;48.308169
"Styela clava";3.761693;51.556177
"Styela clava";-10.334763;51.891327
"Styela clava";132.736049;42.881641
"Styela clava";-1.936916;49.289695
"Styela clava";119.743428;39.957608
"Styela clava";3.8;51.6
"Styela clava";-2.119883;48.673833
"Styela clava";-2.331504;48.688265
"Styela clava";-2.0505;48.687533
"Styela clava";11.17013;58.93765
"Styela clava";11.88469;58.33087
"Styela clava";11.76868;57.69272
"Styela clava";-123.713967;48.925075
"Styela clava";-123.668717;48.982555
"Styela clava";3.995236;51.710974
"Styela clava";-1.933594;49.289111
"Styela clava";-2.0236;49.164719
"Styela clava";-117.235295;32.766533
"Styela clava";-117.217112;32.765313
"Styela clava";-117.246547;32.761011
"Styela clava";-1.940253;49.291069
"Styela clava";-2.236158;49.190087
"Styela clava";-2.08614;49.162441
"Styela clava";-70.146033;43.773523
"Styela clava";4;51.5
"Styela clava";-2.023035;48.648763
"Styela clava";11.39539;58.28054
"Styela clava";-4.486268;48.379921
"Styela clava";-118.394171;33.836778
"Styela clava";1.285775;51.948306
"Styela clava";-2.044644;49.236614
"Styela clava";-1.969124;48.539403
"Styela clava";-10.347593;51.893208
"Styela clava";-117.246866;32.760828
"Styela clava";-1.936185;49.292051
"Styela clava";-1.93465;49.291995
"Styela clava";-4.699193;48.342874
"Styela clava";-70.60645;42.659019
"Styela clava";-71.9688;41.34712
"Styela clava";-73.90249;40.58463
"Styela clava";8.535873;54.679459
"Styela clava";11.39896;58.31608
"Styela clava";-118.446474;33.972143
"Styela clava";-10.35529;51.890296
"Styela clava";-71.361611;41.479148
"Styela clava";-117.24643;32.762016
"Styela clava";-69.596794;43.814293
"Styela clava";-70.169773;41.676099
"Styela clava";174.811605;-36.84988
"Styela clava";174.811539;-36.849861
"Styela clava";-70.642797;42.686583
