"species";"lon";"lat"
"Eurytemora velox";44.96322;56.08564
"Eurytemora velox";46.00647;56.11354
"Eurytemora velox";46.00664;56.11348
"Eurytemora velox";46.00659;56.11348
"Eurytemora velox";46.00654;56.11349
"Eurytemora velox";46.00649;56.11349
"Eurytemora velox";46.00644;56.1135
"Eurytemora velox";46.00662;56.11356
"Eurytemora velox";46.00652;56.11357
"Eurytemora velox";46.00646;56.11358
"Eurytemora velox";46.00666;56.11352
"Eurytemora velox";46.00662;56.11353
"Eurytemora velox";46.00656;56.11353
"Eurytemora velox";46.00652;56.11353
"Eurytemora velox";46.27571;56.42388
"Eurytemora velox";32.33132;50.1233
"Eurytemora velox";32.34325;50.11167
"Eurytemora velox";18.1044;59.32514
"Eurytemora velox";18.10451;59.32695
"Eurytemora velox";31.141649;49.95208
"Eurytemora velox";31.05804;49.97782
"Eurytemora velox";46.30615;56.38248
"Eurytemora velox";46.34134;56.36457
"Eurytemora velox";46.36572;56.34856
"Eurytemora velox";43.60996;56.52034
"Eurytemora velox";43.597;56.55108
"Eurytemora velox";43.59618;56.54666
"Eurytemora velox";43.59907;56.54345
"Eurytemora velox";16.396956;48.250998
"Eurytemora velox";-8.312704;51.907361
"Eurytemora velox";32.28611;50.21816
"Eurytemora velox";32.37381;50.10778
"Eurytemora velox";46.28452;56.40618
"Eurytemora velox";46.43507;56.31632
"Eurytemora velox";49.435801;53.458538
"Eurytemora velox";49.30561;53.454772
"Eurytemora velox";44.96352;56.09045
"Eurytemora velox";44.96151;56.08851
"Eurytemora velox";44.97366;56.08625
"Eurytemora velox";44.96297;56.09285
"Eurytemora velox";44.42908;56.09468
"Eurytemora velox";44.46324;56.08555
"Eurytemora velox";44.54099;56.06
"Eurytemora velox";14.33;53.25
"Eurytemora velox";45.03629;56.05236
"Eurytemora velox";45.03982;56.05709
"Eurytemora velox";45.03989;56.06183
"Eurytemora velox";45.02947;56.06605
"Eurytemora velox";45.04174;56.06346
"Eurytemora velox";45.03646;56.04604
"Eurytemora velox";46.27834;56.4352
"Eurytemora velox";46.38563;56.3334
"Eurytemora velox";46.40091;56.32186
"Eurytemora velox";46.26151;56.43566
"Eurytemora velox";14.37;53.5
"Eurytemora velox";14.37;53.33
"Eurytemora velox";11.001218;59.299368
"Eurytemora velox";44.44694;56.08857
"Eurytemora velox";44.43158;56.09412
"Eurytemora velox";10.407453;59.821265
"Eurytemora velox";10.40737;59.823363
"Eurytemora velox";10.410465;59.823492
"Eurytemora velox";44.9762;56.08538
"Eurytemora velox";44.43129;56.09402
"Eurytemora velox";44.46324;56.08554
"Eurytemora velox";44.46398;56.0856
"Eurytemora velox";44.46382;56.08329
"Eurytemora velox";44.43689;56.0909
"Eurytemora velox";43.97254;56.32691
"Eurytemora velox";43.96196;56.29788
"Eurytemora velox";45.03183;56.06589
"Eurytemora velox";44.03899;56.34324
"Eurytemora velox";44.04863;56.35347
"Eurytemora velox";44.04118;56.34546
"Eurytemora velox";44.04848;56.34972
"Eurytemora velox";44.04961;56.35352
"Eurytemora velox";44.04109;56.35728
"Eurytemora velox";44.01422;56.3581
"Eurytemora velox";44.02555;56.35652
"Eurytemora velox";43.96111;56.28241
"Eurytemora velox";43.95654;56.3157
"Eurytemora velox";43.95795;56.32097
"Eurytemora velox";43.95884;56.32156
"Eurytemora velox";43.95808;56.26542
"Eurytemora velox";10.277995;60.052032
"Eurytemora velox";10.11345;60.08202
"Eurytemora velox";32.33324;50.13636
"Eurytemora velox";32.28497;50.23196
"Eurytemora velox";32.30095;50.18352
"Eurytemora velox";30.9684;52.3469
"Eurytemora velox";23.7063;52.0832
"Eurytemora velox";32.31831;50.14344
"Eurytemora velox";32.25498;50.18819
"Eurytemora velox";32.29117;50.17377
"Eurytemora velox";2.34427;47.91195
"Eurytemora velox";2.52164;42.60003
"Eurytemora velox";5.08634;43.54577
"Eurytemora velox";2.4693;48.77744
"Eurytemora velox";4.18015;43.99349
"Eurytemora velox";2.41363;43.10331
"Eurytemora velox";3.36738;43.57971
"Eurytemora velox";-4.025063;53.254784
"Eurytemora velox";4.498378;51.953351
"Eurytemora velox";6.694442;53.127621
"Eurytemora velox";54.541088;54.326753
"Eurytemora velox";54.568456;54.298702
"Eurytemora velox";54.60301;54.324406
"Eurytemora velox";54.547428;54.302843
"Eurytemora velox";54.537812;54.312668
"Eurytemora velox";54.623405;54.300309
"Eurytemora velox";4.479039;51.950003
"Eurytemora velox";4.962988;52.227296
"Eurytemora velox";5.07913;52.152777
"Eurytemora velox";5.076016;52.148859
"Eurytemora velox";4.952454;52.217856
"Eurytemora velox";5.11481;52.289678
"Eurytemora velox";5.094325;52.237734
"Eurytemora velox";5.109706;52.306725
"Eurytemora velox";5.125072;52.294285
"Eurytemora velox";5.082112;52.270293
"Eurytemora velox";5.080234;52.234516
"Eurytemora velox";4.515316;51.935914
"Eurytemora velox";5.130441;52.285938
"Eurytemora velox";5.088441;52.272394
"Eurytemora velox";4.925841;52.245663
"Eurytemora velox";4.923546;52.250939
"Eurytemora velox";-4.198797;53.295309
"Eurytemora velox";5.886444;51.962776
"Eurytemora velox";5.918123;51.949496
"Eurytemora velox";32.8254;46.681876
"Eurytemora velox";4.52294;51.801849
"Eurytemora velox";-1.544616;50.727676
"Eurytemora velox";4.873711;52.655397
"Eurytemora velox";5.772546;51.898363
"Eurytemora velox";5.597948;51.913655
"Eurytemora velox";4.910363;52.130842
"Eurytemora velox";5.348721;51.877885
"Eurytemora velox";3.839058;51.682857
"Eurytemora velox";3.832774;51.684752
"Eurytemora velox";3.805249;51.392116
"Eurytemora velox";-2.985579;53.681398
"Eurytemora velox";5.055778;51.867456
"Eurytemora velox";3.985052;51.236465
"Eurytemora velox";4.262688;51.488578
"Eurytemora velox";5.968819;51.201392
"Eurytemora velox";5.867693;51.177135
"Eurytemora velox";5.95818;51.438483
"Eurytemora velox";5.857845;51.137174
"Eurytemora velox";1.443159;52.026958
"Eurytemora velox";-4.382628;53.173994
"Eurytemora velox";-1.322451;53.539726
"Eurytemora velox";23.475;60.02
"Eurytemora velox";0.272682;52.304883
"Eurytemora velox";0.274331;52.308448
"Eurytemora velox";-3.081134;51.468976
"Eurytemora velox";-3.117667;51.491113
"Eurytemora velox";2.9518;51.22835
"Eurytemora velox";-3.118553;51.497849
"Eurytemora velox";-4.085508;55.892872
"Eurytemora velox";-0.324147;51.43936
"Eurytemora velox";-1.323881;53.449848
"Eurytemora velox";22.617;65.5865
"Eurytemora velox";23.08333;65.73333
"Eurytemora velox";33.336647;49.065784
"Eurytemora velox";10.430387;59.428299
"Eurytemora velox";11.042767;59.687143
"Eurytemora velox";10.784033;59.450871
"Eurytemora velox";10.879068;59.372891
"Eurytemora velox";10.833352;59.464465
"Eurytemora velox";10.848986;59.445226
"Eurytemora velox";10.840811;59.439168
"Eurytemora velox";10.234345;61.787312
"Eurytemora velox";10.212962;61.422477
"Eurytemora velox";70.193667;57.967056
"Eurytemora velox";8.78;58.41
"Eurytemora velox";8.78;58.41
"Eurytemora velox";29.176967;45.155967
