"species";"lon";"lat"
"Bugula neritina";-46.334709;-23.969723
"Bugula neritina";-104.35198;19.104809
"Bugula neritina";-82.68667;27.710083
"Bugula neritina";3.55967;43.31723
"Bugula neritina";-61.79028;16.16667
"Bugula neritina";-61.78806;16.16694
"Bugula neritina";136.935219;-33.687998
"Bugula neritina";-0.768513;37.647499
"Bugula neritina";-0.800796;37.798978
"Bugula neritina";-80.056405;26.893905
"Bugula neritina";-106.49021;23.302857
"Bugula neritina";-118.44195;33.977455
"Bugula neritina";-5.672805;54.665478
"Bugula neritina";-81.448325;30.515617
"Bugula neritina";-9.17246;38.511403
"Bugula neritina";-111.249549;26.044072
"Bugula neritina";-123.014074;48.538383
"Bugula neritina";-123.014086;48.538384
"Bugula neritina";-79.139319;33.399722
"Bugula neritina";-121.893883;36.608658
"Bugula neritina";-119.191351;34.139667
"Bugula neritina";-118.224231;33.62561
"Bugula neritina";-2.100143;49.175746
"Bugula neritina";5.15;53.35
"Bugula neritina";133.668848;-32.125742
"Bugula neritina";-122.278557;37.767672
"Bugula neritina";-118.283038;33.713305
"Bugula neritina";-122.482291;37.501449
"Bugula neritina";2.94365;51.22624
"Bugula neritina";-117.692271;33.4592
"Bugula neritina";12.316763;45.31677
"Bugula neritina";3.699976;43.425009
"Bugula neritina";-117.892333;33.62132
"Bugula neritina";3.60323;43.420072
"Bugula neritina";-2.893042;47.544953
"Bugula neritina";-70.674149;42.655273
"Bugula neritina";3.85;51.75
"Bugula neritina";-73.90249;40.58463
"Bugula neritina";-118.276513;33.717436
"Bugula neritina";-70.645314;42.081711
"Bugula neritina";-1.179646;44.664317
"Bugula neritina";-48.616383;-26.075474
"Bugula neritina";153.189352;-27.453884
"Bugula neritina";-73.858864;40.568342
"Bugula neritina";-97.376205;27.795687
"Bugula neritina";-121.894226;36.610587
"Bugula neritina";2.93167;51.23761
"Bugula neritina";2.74939;51.16381
"Bugula neritina";-71.05207;42.349694
"Bugula neritina";-123.812674;48.997197
"Bugula neritina";-117.235189;32.766649
"Bugula neritina";-117.240887;32.773415
"Bugula neritina";-75.372623;37.868215
"Bugula neritina";-75.386686;37.876123
"Bugula neritina";-76.591431;34.689809
"Bugula neritina";2.95127;51.23159
"Bugula neritina";3.023084;42.836422
"Bugula neritina";3.023176;42.83657
"Bugula neritina";3.020387;42.810192
"Bugula neritina";3.020283;42.809938
